time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 14, 'nano': 910000000}","{'units': 15, 'nano': 50000000}","{'units': 14, 'nano': 760000000}","{'units': 14, 'nano': 900000000}",126993,True,1
2025-02-05 00:00:00+00:00,"{'units': 14, 'nano': 825000000}","{'units': 15, 'nano': 175000000}","{'units': 14, 'nano': 705000000}","{'units': 15, 'nano': 65000000}",241856,True,1
2025-02-06 00:00:00+00:00,"{'units': 15, 'nano': 60000000}","{'units': 15, 'nano': 295000000}","{'units': 15, 'nano': 25000000}","{'units': 15, 'nano': 185000000}",276872,True,1
2025-02-07 00:00:00+00:00,"{'units': 15, 'nano': 195000000}","{'units': 15, 'nano': 300000000}","{'units': 15, 'nano': 75000000}","{'units': 15, 'nano': 140000000}",139422,True,1
2025-02-10 00:00:00+00:00,"{'units': 15, 'nano': 210000000}","{'units': 15, 'nano': 580000000}","{'units': 15, 'nano': 150000000}","{'units': 15, 'nano': 260000000}",589577,True,1
2025-02-11 00:00:00+00:00,"{'units': 15, 'nano': 260000000}","{'units': 15, 'nano': 790000000}","{'units': 15, 'nano': 245000000}","{'units': 15, 'nano': 785000000}",545459,True,1
2025-02-12 00:00:00+00:00,"{'units': 15, 'nano': 800000000}","{'units': 16, 'nano': 540000000}","{'units': 15, 'nano': 420000000}","{'units': 16, 'nano': 500000000}",1099847,True,1
2025-02-13 00:00:00+00:00,"{'units': 16, 'nano': 600000000}","{'units': 16, 'nano': 890000000}","{'units': 16, 'nano': 200000000}","{'units': 16, 'nano': 465000000}",764338,True,1
2025-02-14 00:00:00+00:00,"{'units': 16, 'nano': 600000000}","{'units': 17, 'nano': 100000000}","{'units': 16, 'nano': 0}","{'units': 16, 'nano': 245000000}",932397,True,1
2025-02-17 00:00:00+00:00,"{'units': 16, 'nano': 615000000}","{'units': 17, 'nano': 360000000}","{'units': 16, 'nano': 610000000}","{'units': 17, 'nano': 350000000}",849786,True,1
2025-02-18 00:00:00+00:00,"{'units': 17, 'nano': 400000000}","{'units': 17, 'nano': 585000000}","{'units': 16, 'nano': 420000000}","{'units': 16, 'nano': 860000000}",804587,True,1
2025-02-19 00:00:00+00:00,"{'units': 16, 'nano': 915000000}","{'units': 17, 'nano': 100000000}","{'units': 16, 'nano': 520000000}","{'units': 16, 'nano': 975000000}",421167,True,1
2025-02-20 00:00:00+00:00,"{'units': 16, 'nano': 990000000}","{'units': 17, 'nano': 150000000}","{'units': 16, 'nano': 720000000}","{'units': 16, 'nano': 860000000}",262624,True,1
2025-02-21 00:00:00+00:00,"{'units': 16, 'nano': 950000000}","{'units': 17, 'nano': 100000000}","{'units': 16, 'nano': 710000000}","{'units': 16, 'nano': 895000000}",263133,True,1
2025-02-24 00:00:00+00:00,"{'units': 16, 'nano': 895000000}","{'units': 17, 'nano': 250000000}","{'units': 16, 'nano': 820000000}","{'units': 17, 'nano': 190000000}",434756,True,1
2025-02-25 00:00:00+00:00,"{'units': 17, 'nano': 195000000}","{'units': 17, 'nano': 535000000}","{'units': 17, 'nano': 75000000}","{'units': 17, 'nano': 240000000}",590428,True,1
2025-02-26 00:00:00+00:00,"{'units': 17, 'nano': 255000000}","{'units': 17, 'nano': 400000000}","{'units': 16, 'nano': 165000000}","{'units': 16, 'nano': 460000000}",892364,True,1
2025-02-27 00:00:00+00:00,"{'units': 16, 'nano': 460000000}","{'units': 16, 'nano': 510000000}","{'units': 15, 'nano': 885000000}","{'units': 15, 'nano': 915000000}",527103,True,1
2025-02-28 00:00:00+00:00,"{'units': 16, 'nano': 200000000}","{'units': 16, 'nano': 945000000}","{'units': 15, 'nano': 885000000}","{'units': 16, 'nano': 625000000}",1016733,True,1
2025-03-01 00:00:00+00:00,"{'units': 16, 'nano': 650000000}","{'units': 16, 'nano': 795000000}","{'units': 16, 'nano': 650000000}","{'units': 16, 'nano': 710000000}",8078,True,1
2025-03-02 00:00:00+00:00,"{'units': 16, 'nano': 600000000}","{'units': 16, 'nano': 670000000}","{'units': 16, 'nano': 250000000}","{'units': 16, 'nano': 280000000}",35425,True,1
2025-03-03 00:00:00+00:00,"{'units': 16, 'nano': 300000000}","{'units': 16, 'nano': 585000000}","{'units': 15, 'nano': 855000000}","{'units': 16, 'nano': 440000000}",614065,True,1
2025-03-04 00:00:00+00:00,"{'units': 16, 'nano': 500000000}","{'units': 17, 'nano': 440000000}","{'units': 16, 'nano': 500000000}","{'units': 17, 'nano': 250000000}",755966,True,1
2025-03-05 00:00:00+00:00,"{'units': 17, 'nano': 245000000}","{'units': 17, 'nano': 950000000}","{'units': 16, 'nano': 900000000}","{'units': 17, 'nano': 530000000}",722893,True,1
2025-03-06 00:00:00+00:00,"{'units': 17, 'nano': 570000000}","{'units': 18, 'nano': 90000000}","{'units': 17, 'nano': 195000000}","{'units': 17, 'nano': 400000000}",691709,True,1
2025-03-07 00:00:00+00:00,"{'units': 17, 'nano': 475000000}","{'units': 17, 'nano': 915000000}","{'units': 16, 'nano': 700000000}","{'units': 17, 'nano': 700000000}",907806,True,1
2025-03-10 00:00:00+00:00,"{'units': 17, 'nano': 700000000}","{'units': 17, 'nano': 925000000}","{'units': 17, 'nano': 420000000}","{'units': 17, 'nano': 510000000}",240325,True,1
2025-03-11 00:00:00+00:00,"{'units': 17, 'nano': 540000000}","{'units': 17, 'nano': 665000000}","{'units': 17, 'nano': 65000000}","{'units': 17, 'nano': 385000000}",323475,True,1
2025-03-12 00:00:00+00:00,"{'units': 17, 'nano': 430000000}","{'units': 17, 'nano': 495000000}","{'units': 16, 'nano': 995000000}","{'units': 17, 'nano': 275000000}",302982,True,1
2025-03-13 00:00:00+00:00,"{'units': 17, 'nano': 300000000}","{'units': 17, 'nano': 515000000}","{'units': 16, 'nano': 595000000}","{'units': 17, 'nano': 195000000}",905060,True,1
2025-03-14 00:00:00+00:00,"{'units': 17, 'nano': 20000000}","{'units': 17, 'nano': 855000000}","{'units': 16, 'nano': 965000000}","{'units': 17, 'nano': 775000000}",781762,True,1
2025-03-15 00:00:00+00:00,"{'units': 17, 'nano': 780000000}","{'units': 17, 'nano': 995000000}","{'units': 17, 'nano': 710000000}","{'units': 17, 'nano': 935000000}",45055,True,1
2025-03-16 00:00:00+00:00,"{'units': 17, 'nano': 900000000}","{'units': 18, 'nano': 285000000}","{'units': 17, 'nano': 900000000}","{'units': 18, 'nano': 240000000}",112405,True,1
2025-03-17 00:00:00+00:00,"{'units': 18, 'nano': 235000000}","{'units': 18, 'nano': 795000000}","{'units': 18, 'nano': 130000000}","{'units': 18, 'nano': 715000000}",806560,True,1
2025-03-18 00:00:00+00:00,"{'units': 18, 'nano': 715000000}","{'units': 18, 'nano': 970000000}","{'units': 18, 'nano': 565000000}","{'units': 18, 'nano': 665000000}",744473,True,1
2025-03-19 00:00:00+00:00,"{'units': 18, 'nano': 670000000}","{'units': 18, 'nano': 860000000}","{'units': 18, 'nano': 315000000}","{'units': 18, 'nano': 840000000}",590204,True,1
2025-03-20 00:00:00+00:00,"{'units': 18, 'nano': 800000000}","{'units': 18, 'nano': 920000000}","{'units': 18, 'nano': 415000000}","{'units': 18, 'nano': 720000000}",410458,True,1
2025-03-21 00:00:00+00:00,"{'units': 18, 'nano': 560000000}","{'units': 18, 'nano': 900000000}","{'units': 18, 'nano': 320000000}","{'units': 18, 'nano': 565000000}",554777,True,1
2025-03-24 00:00:00+00:00,"{'units': 18, 'nano': 460000000}","{'units': 18, 'nano': 585000000}","{'units': 18, 'nano': 160000000}","{'units': 18, 'nano': 305000000}",378506,True,1
2025-03-25 00:00:00+00:00,"{'units': 18, 'nano': 305000000}","{'units': 18, 'nano': 495000000}","{'units': 17, 'nano': 850000000}","{'units': 18, 'nano': 370000000}",474017,True,1
2025-03-26 00:00:00+00:00,"{'units': 18, 'nano': 370000000}","{'units': 18, 'nano': 500000000}","{'units': 17, 'nano': 775000000}","{'units': 17, 'nano': 965000000}",420357,True,1
2025-03-27 00:00:00+00:00,"{'units': 17, 'nano': 950000000}","{'units': 18, 'nano': 60000000}","{'units': 16, 'nano': 880000000}","{'units': 16, 'nano': 915000000}",657910,True,1
2025-03-28 00:00:00+00:00,"{'units': 16, 'nano': 940000000}","{'units': 17, 'nano': 185000000}","{'units': 16, 'nano': 330000000}","{'units': 16, 'nano': 690000000}",1373426,True,1
2025-03-29 00:00:00+00:00,"{'units': 16, 'nano': 800000000}","{'units': 16, 'nano': 810000000}","{'units': 16, 'nano': 260000000}","{'units': 16, 'nano': 265000000}",75243,True,1
2025-03-30 00:00:00+00:00,"{'units': 16, 'nano': 275000000}","{'units': 16, 'nano': 485000000}","{'units': 16, 'nano': 260000000}","{'units': 16, 'nano': 260000000}",48498,True,1
2025-03-31 00:00:00+00:00,"{'units': 16, 'nano': 150000000}","{'units': 17, 'nano': 85000000}","{'units': 16, 'nano': 5000000}","{'units': 16, 'nano': 970000000}",700324,True,1
2025-04-01 00:00:00+00:00,"{'units': 16, 'nano': 970000000}","{'units': 17, 'nano': 550000000}","{'units': 16, 'nano': 300000000}","{'units': 16, 'nano': 365000000}",829002,True,1
2025-04-02 00:00:00+00:00,"{'units': 16, 'nano': 360000000}","{'units': 17, 'nano': 20000000}","{'units': 16, 'nano': 300000000}","{'units': 16, 'nano': 745000000}",793251,True,1
2025-04-03 00:00:00+00:00,"{'units': 16, 'nano': 920000000}","{'units': 17, 'nano': 0}","{'units': 15, 'nano': 915000000}","{'units': 16, 'nano': 585000000}",836088,True,1
2025-04-04 00:00:00+00:00,"{'units': 16, 'nano': 750000000}","{'units': 16, 'nano': 875000000}","{'units': 15, 'nano': 325000000}","{'units': 15, 'nano': 455000000}",1073563,True,1
2025-04-05 00:00:00+00:00,"{'units': 15, 'nano': 445000000}","{'units': 15, 'nano': 750000000}","{'units': 15, 'nano': 370000000}","{'units': 15, 'nano': 665000000}",60748,True,1
2025-04-06 00:00:00+00:00,"{'units': 15, 'nano': 545000000}","{'units': 16, 'nano': 20000000}","{'units': 15, 'nano': 545000000}","{'units': 16, 'nano': 0}",62009,True,1
2025-04-07 00:00:00+00:00,"{'units': 15, 'nano': 660000000}","{'units': 15, 'nano': 730000000}","{'units': 14, 'nano': 615000000}","{'units': 15, 'nano': 525000000}",1480936,True,1
2025-04-08 00:00:00+00:00,"{'units': 15, 'nano': 590000000}","{'units': 16, 'nano': 195000000}","{'units': 15, 'nano': 430000000}","{'units': 15, 'nano': 645000000}",751171,True,1
2025-04-09 00:00:00+00:00,"{'units': 15, 'nano': 410000000}","{'units': 16, 'nano': 245000000}","{'units': 14, 'nano': 560000000}","{'units': 16, 'nano': 240000000}",1674910,True,1
2025-04-10 00:00:00+00:00,"{'units': 16, 'nano': 340000000}","{'units': 16, 'nano': 550000000}","{'units': 15, 'nano': 750000000}","{'units': 16, 'nano': 335000000}",719235,True,1
2025-04-11 00:00:00+00:00,"{'units': 16, 'nano': 360000000}","{'units': 16, 'nano': 765000000}","{'units': 16, 'nano': 215000000}","{'units': 16, 'nano': 425000000}",454153,True,1
2025-04-12 00:00:00+00:00,"{'units': 16, 'nano': 495000000}","{'units': 16, 'nano': 560000000}","{'units': 16, 'nano': 450000000}","{'units': 16, 'nano': 510000000}",47831,True,1
