time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 118, 'nano': 800000000}","{'units': 119, 'nano': 40000000}","{'units': 116, 'nano': 20000000}","{'units': 116, 'nano': 600000000}",63926,True,1
2025-02-05 00:00:00+00:00,"{'units': 116, 'nano': 600000000}","{'units': 117, 'nano': 460000000}","{'units': 113, 'nano': 500000000}","{'units': 116, 'nano': 320000000}",174053,True,1
2025-02-06 00:00:00+00:00,"{'units': 116, 'nano': 880000000}","{'units': 116, 'nano': 880000000}","{'units': 114, 'nano': 0}","{'units': 114, 'nano': 820000000}",123366,True,1
2025-02-07 00:00:00+00:00,"{'units': 115, 'nano': 0}","{'units': 115, 'nano': 600000000}","{'units': 112, 'nano': 220000000}","{'units': 112, 'nano': 660000000}",139212,True,1
2025-02-10 00:00:00+00:00,"{'units': 112, 'nano': 820000000}","{'units': 113, 'nano': 280000000}","{'units': 108, 'nano': 600000000}","{'units': 109, 'nano': 840000000}",311890,True,1
2025-02-11 00:00:00+00:00,"{'units': 110, 'nano': 680000000}","{'units': 112, 'nano': 480000000}","{'units': 109, 'nano': 720000000}","{'units': 111, 'nano': 500000000}",101650,True,1
2025-02-12 00:00:00+00:00,"{'units': 112, 'nano': 520000000}","{'units': 115, 'nano': 600000000}","{'units': 111, 'nano': 520000000}","{'units': 114, 'nano': 980000000}",239265,True,1
2025-02-13 00:00:00+00:00,"{'units': 116, 'nano': 120000000}","{'units': 117, 'nano': 500000000}","{'units': 113, 'nano': 0}","{'units': 115, 'nano': 220000000}",177493,True,1
2025-02-14 00:00:00+00:00,"{'units': 115, 'nano': 620000000}","{'units': 118, 'nano': 0}","{'units': 113, 'nano': 120000000}","{'units': 114, 'nano': 640000000}",294692,True,1
2025-02-17 00:00:00+00:00,"{'units': 116, 'nano': 40000000}","{'units': 122, 'nano': 260000000}","{'units': 116, 'nano': 40000000}","{'units': 120, 'nano': 620000000}",482453,True,1
2025-02-18 00:00:00+00:00,"{'units': 120, 'nano': 900000000}","{'units': 124, 'nano': 800000000}","{'units': 118, 'nano': 140000000}","{'units': 120, 'nano': 740000000}",948262,True,1
2025-02-19 00:00:00+00:00,"{'units': 121, 'nano': 500000000}","{'units': 122, 'nano': 840000000}","{'units': 119, 'nano': 560000000}","{'units': 121, 'nano': 240000000}",193564,True,1
2025-02-20 00:00:00+00:00,"{'units': 121, 'nano': 300000000}","{'units': 123, 'nano': 320000000}","{'units': 121, 'nano': 300000000}","{'units': 122, 'nano': 420000000}",179979,True,1
