time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 30, 'nano': 320000000}","{'units': 30, 'nano': 700000000}","{'units': 29, 'nano': 950000000}","{'units': 30, 'nano': 50000000}",30815,True,1
2025-02-05 00:00:00+00:00,"{'units': 30, 'nano': 30000000}","{'units': 30, 'nano': 30000000}","{'units': 28, 'nano': 850000000}","{'units': 29, 'nano': 370000000}",50484,True,1
2025-02-06 00:00:00+00:00,"{'units': 29, 'nano': 860000000}","{'units': 30, 'nano': 280000000}","{'units': 29, 'nano': 660000000}","{'units': 29, 'nano': 830000000}",28181,True,1
2025-02-07 00:00:00+00:00,"{'units': 30, 'nano': 0}","{'units': 32, 'nano': 0}","{'units': 30, 'nano': 0}","{'units': 30, 'nano': 750000000}",168302,True,1
2025-02-10 00:00:00+00:00,"{'units': 31, 'nano': 880000000}","{'units': 31, 'nano': 900000000}","{'units': 30, 'nano': 110000000}","{'units': 30, 'nano': 470000000}",67390,True,1
2025-02-11 00:00:00+00:00,"{'units': 30, 'nano': 120000000}","{'units': 30, 'nano': 600000000}","{'units': 29, 'nano': 820000000}","{'units': 30, 'nano': 420000000}",33541,True,1
2025-02-12 00:00:00+00:00,"{'units': 30, 'nano': 490000000}","{'units': 30, 'nano': 840000000}","{'units': 30, 'nano': 20000000}","{'units': 30, 'nano': 370000000}",33257,True,1
2025-02-13 00:00:00+00:00,"{'units': 31, 'nano': 370000000}","{'units': 32, 'nano': 590000000}","{'units': 30, 'nano': 500000000}","{'units': 30, 'nano': 720000000}",56626,True,1
2025-02-14 00:00:00+00:00,"{'units': 31, 'nano': 0}","{'units': 31, 'nano': 300000000}","{'units': 30, 'nano': 210000000}","{'units': 30, 'nano': 270000000}",53207,True,1
2025-02-17 00:00:00+00:00,"{'units': 31, 'nano': 170000000}","{'units': 31, 'nano': 340000000}","{'units': 30, 'nano': 740000000}","{'units': 31, 'nano': 200000000}",56590,True,1
2025-02-18 00:00:00+00:00,"{'units': 31, 'nano': 210000000}","{'units': 34, 'nano': 230000000}","{'units': 31, 'nano': 60000000}","{'units': 32, 'nano': 160000000}",303098,True,1
2025-02-19 00:00:00+00:00,"{'units': 32, 'nano': 10000000}","{'units': 33, 'nano': 800000000}","{'units': 32, 'nano': 10000000}","{'units': 33, 'nano': 50000000}",220007,True,1
2025-02-20 00:00:00+00:00,"{'units': 33, 'nano': 130000000}","{'units': 33, 'nano': 990000000}","{'units': 33, 'nano': 0}","{'units': 33, 'nano': 0}",57195,True,1
2025-02-21 00:00:00+00:00,"{'units': 33, 'nano': 0}","{'units': 34, 'nano': 0}","{'units': 32, 'nano': 750000000}","{'units': 33, 'nano': 90000000}",79144,True,1
2025-02-24 00:00:00+00:00,"{'units': 33, 'nano': 220000000}","{'units': 33, 'nano': 500000000}","{'units': 32, 'nano': 810000000}","{'units': 32, 'nano': 930000000}",31882,True,1
2025-02-25 00:00:00+00:00,"{'units': 33, 'nano': 0}","{'units': 34, 'nano': 450000000}","{'units': 32, 'nano': 930000000}","{'units': 33, 'nano': 340000000}",143074,True,1
2025-02-26 00:00:00+00:00,"{'units': 34, 'nano': 0}","{'units': 34, 'nano': 900000000}","{'units': 32, 'nano': 810000000}","{'units': 33, 'nano': 260000000}",136236,True,1
2025-02-27 00:00:00+00:00,"{'units': 32, 'nano': 800000000}","{'units': 33, 'nano': 980000000}","{'units': 31, 'nano': 360000000}","{'units': 32, 'nano': 500000000}",79719,True,1
2025-02-28 00:00:00+00:00,"{'units': 32, 'nano': 250000000}","{'units': 32, 'nano': 550000000}","{'units': 30, 'nano': 560000000}","{'units': 31, 'nano': 710000000}",105645,True,1
2025-03-03 00:00:00+00:00,"{'units': 31, 'nano': 710000000}","{'units': 31, 'nano': 840000000}","{'units': 30, 'nano': 920000000}","{'units': 31, 'nano': 160000000}",43374,True,1
2025-03-04 00:00:00+00:00,"{'units': 31, 'nano': 890000000}","{'units': 32, 'nano': 600000000}","{'units': 31, 'nano': 340000000}","{'units': 32, 'nano': 350000000}",37322,True,1
2025-03-05 00:00:00+00:00,"{'units': 32, 'nano': 180000000}","{'units': 34, 'nano': 350000000}","{'units': 32, 'nano': 70000000}","{'units': 33, 'nano': 490000000}",186396,True,1
2025-03-06 00:00:00+00:00,"{'units': 33, 'nano': 910000000}","{'units': 34, 'nano': 0}","{'units': 32, 'nano': 520000000}","{'units': 33, 'nano': 340000000}",84961,True,1
2025-03-07 00:00:00+00:00,"{'units': 33, 'nano': 340000000}","{'units': 33, 'nano': 850000000}","{'units': 31, 'nano': 680000000}","{'units': 31, 'nano': 880000000}",55072,True,1
