time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 1, 'nano': 694500000}","{'units': 1, 'nano': 706500000}","{'units': 1, 'nano': 677500000}","{'units': 1, 'nano': 678000000}",18312,True,1
2025-02-05 00:00:00+00:00,"{'units': 1, 'nano': 684500000}","{'units': 1, 'nano': 735000000}","{'units': 1, 'nano': 676500000}","{'units': 1, 'nano': 696500000}",53410,True,1
2025-02-06 00:00:00+00:00,"{'units': 1, 'nano': 727500000}","{'units': 1, 'nano': 727500000}","{'units': 1, 'nano': 684500000}","{'units': 1, 'nano': 693500000}",21152,True,1
2025-02-07 00:00:00+00:00,"{'units': 1, 'nano': 700500000}","{'units': 1, 'nano': 700500000}","{'units': 1, 'nano': 682000000}","{'units': 1, 'nano': 689500000}",7304,True,1
2025-02-10 00:00:00+00:00,"{'units': 1, 'nano': 691500000}","{'units': 1, 'nano': 709500000}","{'units': 1, 'nano': 682500000}","{'units': 1, 'nano': 686500000}",24967,True,1
2025-02-11 00:00:00+00:00,"{'units': 1, 'nano': 691000000}","{'units': 1, 'nano': 699500000}","{'units': 1, 'nano': 684000000}","{'units': 1, 'nano': 697000000}",8064,True,1
2025-02-12 00:00:00+00:00,"{'units': 1, 'nano': 688000000}","{'units': 1, 'nano': 780000000}","{'units': 1, 'nano': 688000000}","{'units': 1, 'nano': 735500000}",58108,True,1
2025-02-13 00:00:00+00:00,"{'units': 1, 'nano': 764500000}","{'units': 1, 'nano': 764500000}","{'units': 1, 'nano': 668000000}","{'units': 1, 'nano': 697000000}",39928,True,1
2025-02-14 00:00:00+00:00,"{'units': 1, 'nano': 700000000}","{'units': 1, 'nano': 723500000}","{'units': 1, 'nano': 670000000}","{'units': 1, 'nano': 684000000}",38882,True,1
2025-02-17 00:00:00+00:00,"{'units': 1, 'nano': 713500000}","{'units': 1, 'nano': 722000000}","{'units': 1, 'nano': 690500000}","{'units': 1, 'nano': 720000000}",27814,True,1
2025-02-18 00:00:00+00:00,"{'units': 1, 'nano': 704500000}","{'units': 1, 'nano': 792000000}","{'units': 1, 'nano': 683500000}","{'units': 1, 'nano': 726000000}",77263,True,1
2025-02-19 00:00:00+00:00,"{'units': 1, 'nano': 723500000}","{'units': 1, 'nano': 752500000}","{'units': 1, 'nano': 720000000}","{'units': 1, 'nano': 748500000}",13085,True,1
2025-02-20 00:00:00+00:00,"{'units': 1, 'nano': 748500000}","{'units': 1, 'nano': 907500000}","{'units': 1, 'nano': 742500000}","{'units': 1, 'nano': 835000000}",139144,True,1
2025-02-21 00:00:00+00:00,"{'units': 1, 'nano': 826000000}","{'units': 1, 'nano': 852000000}","{'units': 1, 'nano': 760000000}","{'units': 1, 'nano': 789500000}",39112,True,1
2025-02-24 00:00:00+00:00,"{'units': 1, 'nano': 817000000}","{'units': 1, 'nano': 876000000}","{'units': 1, 'nano': 801000000}","{'units': 1, 'nano': 869500000}",52257,True,1
2025-02-25 00:00:00+00:00,"{'units': 1, 'nano': 870000000}","{'units': 1, 'nano': 924000000}","{'units': 1, 'nano': 850000000}","{'units': 1, 'nano': 886500000}",74157,True,1
2025-02-26 00:00:00+00:00,"{'units': 1, 'nano': 893500000}","{'units': 1, 'nano': 904500000}","{'units': 1, 'nano': 813000000}","{'units': 1, 'nano': 850500000}",25751,True,1
2025-02-27 00:00:00+00:00,"{'units': 1, 'nano': 881500000}","{'units': 1, 'nano': 924000000}","{'units': 1, 'nano': 845000000}","{'units': 1, 'nano': 867500000}",34121,True,1
2025-02-28 00:00:00+00:00,"{'units': 1, 'nano': 863000000}","{'units': 1, 'nano': 910000000}","{'units': 1, 'nano': 826000000}","{'units': 1, 'nano': 844500000}",41335,True,1
2025-03-03 00:00:00+00:00,"{'units': 1, 'nano': 826500000}","{'units': 1, 'nano': 833500000}","{'units': 1, 'nano': 801000000}","{'units': 1, 'nano': 817500000}",15635,True,1
2025-03-04 00:00:00+00:00,"{'units': 1, 'nano': 826500000}","{'units': 1, 'nano': 859000000}","{'units': 1, 'nano': 826500000}","{'units': 1, 'nano': 840000000}",13052,True,1
2025-03-05 00:00:00+00:00,"{'units': 1, 'nano': 850000000}","{'units': 1, 'nano': 890000000}","{'units': 1, 'nano': 826000000}","{'units': 1, 'nano': 826000000}",23835,True,1
2025-03-06 00:00:00+00:00,"{'units': 1, 'nano': 842000000}","{'units': 1, 'nano': 842000000}","{'units': 1, 'nano': 824500000}","{'units': 1, 'nano': 834500000}",4791,True,1
