time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 685, 'nano': 0}","{'units': 692, 'nano': 0}","{'units': 684, 'nano': 0}","{'units': 685, 'nano': 800000000}",22376,True,1
2025-02-05 00:00:00+00:00,"{'units': 683, 'nano': 800000000}","{'units': 684, 'nano': 0}","{'units': 646, 'nano': 400000000}","{'units': 652, 'nano': 600000000}",186753,True,1
2025-02-06 00:00:00+00:00,"{'units': 660, 'nano': 800000000}","{'units': 692, 'nano': 0}","{'units': 652, 'nano': 600000000}","{'units': 687, 'nano': 0}",251849,True,1
2025-02-07 00:00:00+00:00,"{'units': 687, 'nano': 0}","{'units': 687, 'nano': 0}","{'units': 674, 'nano': 200000000}","{'units': 680, 'nano': 800000000}",86779,True,1
2025-02-10 00:00:00+00:00,"{'units': 680, 'nano': 800000000}","{'units': 695, 'nano': 800000000}","{'units': 680, 'nano': 800000000}","{'units': 688, 'nano': 0}",73027,True,1
2025-02-11 00:00:00+00:00,"{'units': 691, 'nano': 0}","{'units': 718, 'nano': 600000000}","{'units': 688, 'nano': 0}","{'units': 702, 'nano': 0}",259848,True,1
2025-02-12 00:00:00+00:00,"{'units': 708, 'nano': 800000000}","{'units': 747, 'nano': 0}","{'units': 697, 'nano': 600000000}","{'units': 712, 'nano': 200000000}",282638,True,1
2025-02-13 00:00:00+00:00,"{'units': 723, 'nano': 400000000}","{'units': 745, 'nano': 0}","{'units': 695, 'nano': 0}","{'units': 703, 'nano': 800000000}",132007,True,1
2025-02-14 00:00:00+00:00,"{'units': 708, 'nano': 0}","{'units': 712, 'nano': 0}","{'units': 683, 'nano': 0}","{'units': 696, 'nano': 600000000}",104269,True,1
2025-02-17 00:00:00+00:00,"{'units': 702, 'nano': 0}","{'units': 710, 'nano': 0}","{'units': 700, 'nano': 200000000}","{'units': 702, 'nano': 0}",54742,True,1
2025-02-18 00:00:00+00:00,"{'units': 700, 'nano': 200000000}","{'units': 700, 'nano': 200000000}","{'units': 686, 'nano': 200000000}","{'units': 689, 'nano': 600000000}",82961,True,1
2025-02-19 00:00:00+00:00,"{'units': 691, 'nano': 200000000}","{'units': 697, 'nano': 0}","{'units': 676, 'nano': 600000000}","{'units': 686, 'nano': 0}",57244,True,1
2025-02-20 00:00:00+00:00,"{'units': 689, 'nano': 600000000}","{'units': 698, 'nano': 600000000}","{'units': 688, 'nano': 0}","{'units': 691, 'nano': 0}",34464,True,1
2025-02-21 00:00:00+00:00,"{'units': 694, 'nano': 0}","{'units': 695, 'nano': 400000000}","{'units': 689, 'nano': 800000000}","{'units': 691, 'nano': 0}",41721,True,1
2025-02-24 00:00:00+00:00,"{'units': 693, 'nano': 200000000}","{'units': 698, 'nano': 600000000}","{'units': 680, 'nano': 0}","{'units': 688, 'nano': 800000000}",89715,True,1
2025-02-25 00:00:00+00:00,"{'units': 693, 'nano': 0}","{'units': 718, 'nano': 0}","{'units': 692, 'nano': 0}","{'units': 700, 'nano': 200000000}",214526,True,1
2025-02-26 00:00:00+00:00,"{'units': 705, 'nano': 600000000}","{'units': 714, 'nano': 600000000}","{'units': 680, 'nano': 0}","{'units': 691, 'nano': 200000000}",92661,True,1
2025-02-27 00:00:00+00:00,"{'units': 691, 'nano': 200000000}","{'units': 694, 'nano': 800000000}","{'units': 677, 'nano': 600000000}","{'units': 691, 'nano': 400000000}",63964,True,1
2025-02-28 00:00:00+00:00,"{'units': 690, 'nano': 0}","{'units': 691, 'nano': 0}","{'units': 678, 'nano': 600000000}","{'units': 686, 'nano': 400000000}",31371,True,1
2025-03-03 00:00:00+00:00,"{'units': 684, 'nano': 800000000}","{'units': 691, 'nano': 400000000}","{'units': 665, 'nano': 0}","{'units': 684, 'nano': 400000000}",81523,True,1
2025-03-04 00:00:00+00:00,"{'units': 691, 'nano': 0}","{'units': 691, 'nano': 600000000}","{'units': 681, 'nano': 600000000}","{'units': 685, 'nano': 200000000}",36577,True,1
2025-03-05 00:00:00+00:00,"{'units': 685, 'nano': 600000000}","{'units': 699, 'nano': 0}","{'units': 685, 'nano': 600000000}","{'units': 692, 'nano': 600000000}",43786,True,1
2025-03-06 00:00:00+00:00,"{'units': 692, 'nano': 0}","{'units': 693, 'nano': 800000000}","{'units': 671, 'nano': 0}","{'units': 674, 'nano': 200000000}",53505,True,1
2025-03-07 00:00:00+00:00,"{'units': 675, 'nano': 600000000}","{'units': 684, 'nano': 600000000}","{'units': 671, 'nano': 400000000}","{'units': 674, 'nano': 600000000}",30475,True,1
2025-03-10 00:00:00+00:00,"{'units': 676, 'nano': 0}","{'units': 688, 'nano': 0}","{'units': 674, 'nano': 600000000}","{'units': 679, 'nano': 600000000}",41304,True,1
2025-03-11 00:00:00+00:00,"{'units': 679, 'nano': 0}","{'units': 682, 'nano': 600000000}","{'units': 661, 'nano': 200000000}","{'units': 670, 'nano': 200000000}",95597,True,1
2025-03-12 00:00:00+00:00,"{'units': 666, 'nano': 0}","{'units': 675, 'nano': 200000000}","{'units': 660, 'nano': 0}","{'units': 661, 'nano': 400000000}",70107,True,1
2025-03-13 00:00:00+00:00,"{'units': 664, 'nano': 0}","{'units': 664, 'nano': 0}","{'units': 649, 'nano': 400000000}","{'units': 652, 'nano': 600000000}",47165,True,1
2025-03-14 00:00:00+00:00,"{'units': 657, 'nano': 400000000}","{'units': 663, 'nano': 600000000}","{'units': 651, 'nano': 600000000}","{'units': 663, 'nano': 200000000}",36020,True,1
2025-03-17 00:00:00+00:00,"{'units': 664, 'nano': 400000000}","{'units': 682, 'nano': 600000000}","{'units': 662, 'nano': 800000000}","{'units': 677, 'nano': 200000000}",87563,True,1
2025-03-18 00:00:00+00:00,"{'units': 680, 'nano': 0}","{'units': 685, 'nano': 0}","{'units': 665, 'nano': 600000000}","{'units': 668, 'nano': 0}",36490,True,1
2025-03-19 00:00:00+00:00,"{'units': 668, 'nano': 0}","{'units': 670, 'nano': 0}","{'units': 654, 'nano': 600000000}","{'units': 667, 'nano': 0}",34288,True,1
2025-03-20 00:00:00+00:00,"{'units': 667, 'nano': 800000000}","{'units': 670, 'nano': 600000000}","{'units': 651, 'nano': 400000000}","{'units': 656, 'nano': 0}",51204,True,1
2025-03-21 00:00:00+00:00,"{'units': 658, 'nano': 0}","{'units': 663, 'nano': 400000000}","{'units': 641, 'nano': 200000000}","{'units': 653, 'nano': 0}",79866,True,1
2025-03-24 00:00:00+00:00,"{'units': 652, 'nano': 400000000}","{'units': 653, 'nano': 800000000}","{'units': 637, 'nano': 600000000}","{'units': 639, 'nano': 600000000}",38834,True,1
2025-03-25 00:00:00+00:00,"{'units': 640, 'nano': 200000000}","{'units': 648, 'nano': 600000000}","{'units': 631, 'nano': 600000000}","{'units': 640, 'nano': 0}",85241,True,1
2025-03-26 00:00:00+00:00,"{'units': 641, 'nano': 200000000}","{'units': 646, 'nano': 600000000}","{'units': 631, 'nano': 200000000}","{'units': 633, 'nano': 0}",33435,True,1
2025-03-27 00:00:00+00:00,"{'units': 626, 'nano': 400000000}","{'units': 649, 'nano': 600000000}","{'units': 620, 'nano': 400000000}","{'units': 636, 'nano': 200000000}",65070,True,1
2025-03-28 00:00:00+00:00,"{'units': 636, 'nano': 0}","{'units': 651, 'nano': 0}","{'units': 630, 'nano': 0}","{'units': 641, 'nano': 600000000}",50804,True,1
