time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 320, 'nano': 600000000}","{'units': 325, 'nano': 900000000}","{'units': 307, 'nano': 0}","{'units': 307, 'nano': 700000000}",11080121,True,1
2025-02-05 00:00:00+00:00,"{'units': 308, 'nano': 300000000}","{'units': 319, 'nano': 0}","{'units': 299, 'nano': 600000000}","{'units': 316, 'nano': 0}",13987834,True,1
2025-02-06 00:00:00+00:00,"{'units': 317, 'nano': 600000000}","{'units': 319, 'nano': 600000000}","{'units': 312, 'nano': 0}","{'units': 312, 'nano': 0}",5853170,True,1
2025-02-07 00:00:00+00:00,"{'units': 312, 'nano': 0}","{'units': 316, 'nano': 0}","{'units': 298, 'nano': 200000000}","{'units': 303, 'nano': 0}",7251847,True,1
2025-02-10 00:00:00+00:00,"{'units': 304, 'nano': 700000000}","{'units': 314, 'nano': 100000000}","{'units': 303, 'nano': 300000000}","{'units': 307, 'nano': 700000000}",10610688,True,1
2025-02-11 00:00:00+00:00,"{'units': 307, 'nano': 500000000}","{'units': 318, 'nano': 100000000}","{'units': 304, 'nano': 600000000}","{'units': 317, 'nano': 400000000}",7293530,True,1
2025-02-12 00:00:00+00:00,"{'units': 317, 'nano': 600000000}","{'units': 334, 'nano': 500000000}","{'units': 311, 'nano': 0}","{'units': 329, 'nano': 0}",14514603,True,1
2025-02-13 00:00:00+00:00,"{'units': 332, 'nano': 400000000}","{'units': 345, 'nano': 200000000}","{'units': 320, 'nano': 400000000}","{'units': 325, 'nano': 800000000}",11298262,True,1
2025-02-14 00:00:00+00:00,"{'units': 347, 'nano': 0}","{'units': 350, 'nano': 0}","{'units': 310, 'nano': 200000000}","{'units': 319, 'nano': 0}",9959170,True,1
2025-02-17 00:00:00+00:00,"{'units': 323, 'nano': 600000000}","{'units': 335, 'nano': 100000000}","{'units': 322, 'nano': 0}","{'units': 334, 'nano': 200000000}",6825416,True,1
2025-02-18 00:00:00+00:00,"{'units': 335, 'nano': 900000000}","{'units': 337, 'nano': 500000000}","{'units': 319, 'nano': 300000000}","{'units': 322, 'nano': 400000000}",6114855,True,1
2025-02-19 00:00:00+00:00,"{'units': 322, 'nano': 900000000}","{'units': 330, 'nano': 0}","{'units': 316, 'nano': 100000000}","{'units': 327, 'nano': 400000000}",4683968,True,1
2025-02-20 00:00:00+00:00,"{'units': 327, 'nano': 600000000}","{'units': 335, 'nano': 800000000}","{'units': 325, 'nano': 400000000}","{'units': 330, 'nano': 0}",4877074,True,1
2025-02-21 00:00:00+00:00,"{'units': 330, 'nano': 0}","{'units': 333, 'nano': 0}","{'units': 325, 'nano': 0}","{'units': 329, 'nano': 600000000}",2581468,True,1
2025-02-24 00:00:00+00:00,"{'units': 329, 'nano': 600000000}","{'units': 340, 'nano': 800000000}","{'units': 329, 'nano': 500000000}","{'units': 340, 'nano': 200000000}",5757538,True,1
2025-02-25 00:00:00+00:00,"{'units': 340, 'nano': 400000000}","{'units': 356, 'nano': 400000000}","{'units': 336, 'nano': 700000000}","{'units': 353, 'nano': 100000000}",7477460,True,1
2025-02-26 00:00:00+00:00,"{'units': 353, 'nano': 100000000}","{'units': 358, 'nano': 800000000}","{'units': 332, 'nano': 900000000}","{'units': 334, 'nano': 900000000}",12450441,True,1
2025-02-27 00:00:00+00:00,"{'units': 336, 'nano': 600000000}","{'units': 339, 'nano': 900000000}","{'units': 328, 'nano': 400000000}","{'units': 330, 'nano': 800000000}",4671504,True,1
2025-02-28 00:00:00+00:00,"{'units': 330, 'nano': 100000000}","{'units': 336, 'nano': 0}","{'units': 322, 'nano': 800000000}","{'units': 333, 'nano': 600000000}",6259066,True,1
2025-03-01 00:00:00+00:00,"{'units': 333, 'nano': 900000000}","{'units': 335, 'nano': 500000000}","{'units': 333, 'nano': 600000000}","{'units': 334, 'nano': 900000000}",80235,True,1
2025-03-02 00:00:00+00:00,"{'units': 334, 'nano': 600000000}","{'units': 336, 'nano': 700000000}","{'units': 333, 'nano': 500000000}","{'units': 333, 'nano': 500000000}",97015,True,1
2025-03-03 00:00:00+00:00,"{'units': 332, 'nano': 0}","{'units': 333, 'nano': 0}","{'units': 320, 'nano': 300000000}","{'units': 321, 'nano': 200000000}",3891436,True,1
2025-03-04 00:00:00+00:00,"{'units': 321, 'nano': 200000000}","{'units': 339, 'nano': 400000000}","{'units': 321, 'nano': 100000000}","{'units': 336, 'nano': 800000000}",7199843,True,1
2025-03-05 00:00:00+00:00,"{'units': 337, 'nano': 0}","{'units': 343, 'nano': 300000000}","{'units': 328, 'nano': 800000000}","{'units': 333, 'nano': 400000000}",5219138,True,1
2025-03-06 00:00:00+00:00,"{'units': 334, 'nano': 400000000}","{'units': 338, 'nano': 700000000}","{'units': 329, 'nano': 600000000}","{'units': 332, 'nano': 100000000}",2925369,True,1
2025-03-07 00:00:00+00:00,"{'units': 334, 'nano': 0}","{'units': 338, 'nano': 200000000}","{'units': 323, 'nano': 800000000}","{'units': 330, 'nano': 300000000}",2952801,True,1
2025-03-10 00:00:00+00:00,"{'units': 330, 'nano': 400000000}","{'units': 333, 'nano': 400000000}","{'units': 326, 'nano': 600000000}","{'units': 326, 'nano': 900000000}",1394577,True,1
2025-03-11 00:00:00+00:00,"{'units': 327, 'nano': 400000000}","{'units': 330, 'nano': 700000000}","{'units': 322, 'nano': 400000000}","{'units': 327, 'nano': 0}",2388479,True,1
2025-03-12 00:00:00+00:00,"{'units': 327, 'nano': 0}","{'units': 327, 'nano': 400000000}","{'units': 317, 'nano': 200000000}","{'units': 321, 'nano': 800000000}",2641937,True,1
2025-03-13 00:00:00+00:00,"{'units': 321, 'nano': 800000000}","{'units': 324, 'nano': 200000000}","{'units': 312, 'nano': 700000000}","{'units': 322, 'nano': 600000000}",3572737,True,1
2025-03-14 00:00:00+00:00,"{'units': 321, 'nano': 400000000}","{'units': 328, 'nano': 200000000}","{'units': 317, 'nano': 500000000}","{'units': 327, 'nano': 900000000}",2672026,True,1
2025-03-15 00:00:00+00:00,"{'units': 328, 'nano': 600000000}","{'units': 330, 'nano': 600000000}","{'units': 326, 'nano': 100000000}","{'units': 327, 'nano': 400000000}",245532,True,1
2025-03-16 00:00:00+00:00,"{'units': 327, 'nano': 400000000}","{'units': 331, 'nano': 800000000}","{'units': 327, 'nano': 300000000}","{'units': 331, 'nano': 200000000}",214749,True,1
2025-03-17 00:00:00+00:00,"{'units': 331, 'nano': 400000000}","{'units': 336, 'nano': 0}","{'units': 330, 'nano': 100000000}","{'units': 334, 'nano': 0}",2297517,True,1
2025-03-18 00:00:00+00:00,"{'units': 335, 'nano': 0}","{'units': 337, 'nano': 500000000}","{'units': 325, 'nano': 500000000}","{'units': 326, 'nano': 800000000}",3089600,True,1
2025-03-19 00:00:00+00:00,"{'units': 326, 'nano': 600000000}","{'units': 332, 'nano': 200000000}","{'units': 322, 'nano': 200000000}","{'units': 328, 'nano': 100000000}",2808057,True,1
2025-03-20 00:00:00+00:00,"{'units': 328, 'nano': 500000000}","{'units': 333, 'nano': 400000000}","{'units': 298, 'nano': 600000000}","{'units': 301, 'nano': 500000000}",36901122,True,1
2025-03-21 00:00:00+00:00,"{'units': 300, 'nano': 600000000}","{'units': 301, 'nano': 500000000}","{'units': 290, 'nano': 400000000}","{'units': 294, 'nano': 400000000}",21807313,True,1
2025-03-24 00:00:00+00:00,"{'units': 294, 'nano': 0}","{'units': 294, 'nano': 700000000}","{'units': 284, 'nano': 200000000}","{'units': 284, 'nano': 500000000}",6521429,True,1
2025-03-25 00:00:00+00:00,"{'units': 284, 'nano': 600000000}","{'units': 292, 'nano': 900000000}","{'units': 283, 'nano': 100000000}","{'units': 291, 'nano': 800000000}",5575690,True,1
2025-03-26 00:00:00+00:00,"{'units': 291, 'nano': 900000000}","{'units': 293, 'nano': 600000000}","{'units': 286, 'nano': 0}","{'units': 286, 'nano': 100000000}",2452652,True,1
2025-03-27 00:00:00+00:00,"{'units': 287, 'nano': 500000000}","{'units': 287, 'nano': 500000000}","{'units': 275, 'nano': 200000000}","{'units': 282, 'nano': 0}",4742826,True,1
2025-03-28 00:00:00+00:00,"{'units': 282, 'nano': 0}","{'units': 289, 'nano': 600000000}","{'units': 277, 'nano': 800000000}","{'units': 280, 'nano': 400000000}",5972100,True,1
2025-03-29 00:00:00+00:00,"{'units': 280, 'nano': 0}","{'units': 280, 'nano': 0}","{'units': 273, 'nano': 500000000}","{'units': 274, 'nano': 200000000}",923329,True,1
2025-03-30 00:00:00+00:00,"{'units': 273, 'nano': 500000000}","{'units': 274, 'nano': 600000000}","{'units': 273, 'nano': 500000000}","{'units': 273, 'nano': 500000000}",177747,True,1
2025-03-31 00:00:00+00:00,"{'units': 271, 'nano': 100000000}","{'units': 285, 'nano': 200000000}","{'units': 266, 'nano': 200000000}","{'units': 282, 'nano': 0}",3677187,True,1
2025-04-01 00:00:00+00:00,"{'units': 282, 'nano': 0}","{'units': 291, 'nano': 700000000}","{'units': 273, 'nano': 300000000}","{'units': 274, 'nano': 500000000}",5746343,True,1
2025-04-02 00:00:00+00:00,"{'units': 275, 'nano': 0}","{'units': 284, 'nano': 600000000}","{'units': 273, 'nano': 500000000}","{'units': 281, 'nano': 700000000}",3368591,True,1
2025-04-03 00:00:00+00:00,"{'units': 281, 'nano': 700000000}","{'units': 286, 'nano': 200000000}","{'units': 271, 'nano': 400000000}","{'units': 279, 'nano': 100000000}",3023905,True,1
2025-04-04 00:00:00+00:00,"{'units': 280, 'nano': 800000000}","{'units': 283, 'nano': 300000000}","{'units': 263, 'nano': 0}","{'units': 263, 'nano': 400000000}",3824894,True,1
2025-04-05 00:00:00+00:00,"{'units': 262, 'nano': 300000000}","{'units': 265, 'nano': 400000000}","{'units': 260, 'nano': 500000000}","{'units': 263, 'nano': 100000000}",295576,True,1
2025-04-06 00:00:00+00:00,"{'units': 263, 'nano': 0}","{'units': 268, 'nano': 700000000}","{'units': 262, 'nano': 0}","{'units': 268, 'nano': 300000000}",204257,True,1
