time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 4418, 'nano': 500000000}","{'units': 4444, 'nano': 500000000}","{'units': 4360, 'nano': 500000000}","{'units': 4360, 'nano': 500000000}",4538,True,1
2025-02-05 00:00:00+00:00,"{'units': 4360, 'nano': 0}","{'units': 4386, 'nano': 0}","{'units': 4292, 'nano': 0}","{'units': 4325, 'nano': 500000000}",4459,True,1
2025-02-06 00:00:00+00:00,"{'units': 4368, 'nano': 0}","{'units': 4403, 'nano': 0}","{'units': 4274, 'nano': 500000000}","{'units': 4323, 'nano': 500000000}",6662,True,1
2025-02-07 00:00:00+00:00,"{'units': 4348, 'nano': 500000000}","{'units': 4352, 'nano': 500000000}","{'units': 4280, 'nano': 500000000}","{'units': 4317, 'nano': 0}",6344,True,1
2025-02-10 00:00:00+00:00,"{'units': 4322, 'nano': 0}","{'units': 4413, 'nano': 0}","{'units': 4284, 'nano': 500000000}","{'units': 4307, 'nano': 500000000}",11806,True,1
2025-02-11 00:00:00+00:00,"{'units': 4309, 'nano': 0}","{'units': 4380, 'nano': 0}","{'units': 4307, 'nano': 0}","{'units': 4336, 'nano': 500000000}",7393,True,1
2025-02-12 00:00:00+00:00,"{'units': 4354, 'nano': 500000000}","{'units': 4369, 'nano': 0}","{'units': 4150, 'nano': 500000000}","{'units': 4184, 'nano': 0}",22780,True,1
2025-02-13 00:00:00+00:00,"{'units': 4330, 'nano': 0}","{'units': 4370, 'nano': 0}","{'units': 4070, 'nano': 0}","{'units': 4091, 'nano': 500000000}",38365,True,1
2025-02-14 00:00:00+00:00,"{'units': 4114, 'nano': 500000000}","{'units': 4139, 'nano': 500000000}","{'units': 4001, 'nano': 0}","{'units': 4020, 'nano': 500000000}",36909,True,1
2025-02-17 00:00:00+00:00,"{'units': 4035, 'nano': 500000000}","{'units': 4118, 'nano': 0}","{'units': 4021, 'nano': 500000000}","{'units': 4044, 'nano': 0}",26730,True,1
2025-02-18 00:00:00+00:00,"{'units': 4062, 'nano': 0}","{'units': 4062, 'nano': 0}","{'units': 4010, 'nano': 0}","{'units': 4020, 'nano': 0}",14540,True,1
2025-02-19 00:00:00+00:00,"{'units': 4028, 'nano': 500000000}","{'units': 4030, 'nano': 0}","{'units': 4000, 'nano': 0}","{'units': 4004, 'nano': 0}",12502,True,1
2025-02-20 00:00:00+00:00,"{'units': 4044, 'nano': 0}","{'units': 4094, 'nano': 0}","{'units': 4000, 'nano': 500000000}","{'units': 4030, 'nano': 0}",13137,True,1
2025-02-21 00:00:00+00:00,"{'units': 4040, 'nano': 0}","{'units': 4090, 'nano': 500000000}","{'units': 3932, 'nano': 0}","{'units': 3955, 'nano': 500000000}",22940,True,1
2025-02-24 00:00:00+00:00,"{'units': 3999, 'nano': 0}","{'units': 4026, 'nano': 0}","{'units': 3925, 'nano': 0}","{'units': 3960, 'nano': 500000000}",24701,True,1
2025-02-25 00:00:00+00:00,"{'units': 3985, 'nano': 0}","{'units': 4019, 'nano': 500000000}","{'units': 3954, 'nano': 500000000}","{'units': 3961, 'nano': 0}",23451,True,1
2025-02-26 00:00:00+00:00,"{'units': 3990, 'nano': 0}","{'units': 4049, 'nano': 500000000}","{'units': 3920, 'nano': 500000000}","{'units': 3930, 'nano': 500000000}",21729,True,1
2025-02-27 00:00:00+00:00,"{'units': 3919, 'nano': 0}","{'units': 3938, 'nano': 500000000}","{'units': 3893, 'nano': 0}","{'units': 3902, 'nano': 0}",14239,True,1
2025-02-28 00:00:00+00:00,"{'units': 3902, 'nano': 0}","{'units': 3932, 'nano': 500000000}","{'units': 3833, 'nano': 0}","{'units': 3877, 'nano': 0}",10188,True,1
2025-03-03 00:00:00+00:00,"{'units': 3897, 'nano': 0}","{'units': 3897, 'nano': 0}","{'units': 3778, 'nano': 0}","{'units': 3778, 'nano': 0}",19655,True,1
2025-03-04 00:00:00+00:00,"{'units': 3801, 'nano': 0}","{'units': 3874, 'nano': 0}","{'units': 3780, 'nano': 0}","{'units': 3808, 'nano': 0}",15607,True,1
2025-03-05 00:00:00+00:00,"{'units': 3834, 'nano': 500000000}","{'units': 3851, 'nano': 500000000}","{'units': 3814, 'nano': 500000000}","{'units': 3825, 'nano': 0}",18728,True,1
2025-03-06 00:00:00+00:00,"{'units': 3830, 'nano': 0}","{'units': 3915, 'nano': 500000000}","{'units': 3690, 'nano': 0}","{'units': 3730, 'nano': 0}",94392,True,1
2025-03-07 00:00:00+00:00,"{'units': 3753, 'nano': 0}","{'units': 3765, 'nano': 500000000}","{'units': 3663, 'nano': 0}","{'units': 3699, 'nano': 500000000}",23597,True,1
2025-03-10 00:00:00+00:00,"{'units': 3775, 'nano': 0}","{'units': 3867, 'nano': 500000000}","{'units': 3742, 'nano': 0}","{'units': 3862, 'nano': 500000000}",29970,True,1
2025-03-11 00:00:00+00:00,"{'units': 3870, 'nano': 0}","{'units': 3892, 'nano': 0}","{'units': 3800, 'nano': 0}","{'units': 3846, 'nano': 0}",24246,True,1
2025-03-12 00:00:00+00:00,"{'units': 3850, 'nano': 0}","{'units': 3857, 'nano': 500000000}","{'units': 3786, 'nano': 0}","{'units': 3805, 'nano': 500000000}",14373,True,1
2025-03-13 00:00:00+00:00,"{'units': 3801, 'nano': 500000000}","{'units': 3806, 'nano': 0}","{'units': 3690, 'nano': 0}","{'units': 3697, 'nano': 0}",22535,True,1
2025-03-14 00:00:00+00:00,"{'units': 3750, 'nano': 0}","{'units': 3788, 'nano': 0}","{'units': 3737, 'nano': 0}","{'units': 3780, 'nano': 0}",12061,True,1
2025-03-17 00:00:00+00:00,"{'units': 3842, 'nano': 0}","{'units': 3882, 'nano': 500000000}","{'units': 3788, 'nano': 0}","{'units': 3804, 'nano': 0}",25986,True,1
2025-03-18 00:00:00+00:00,"{'units': 3828, 'nano': 0}","{'units': 3878, 'nano': 500000000}","{'units': 3816, 'nano': 0}","{'units': 3836, 'nano': 0}",16774,True,1
2025-03-19 00:00:00+00:00,"{'units': 3836, 'nano': 0}","{'units': 3845, 'nano': 500000000}","{'units': 3793, 'nano': 500000000}","{'units': 3828, 'nano': 0}",11725,True,1
2025-03-20 00:00:00+00:00,"{'units': 3856, 'nano': 0}","{'units': 3860, 'nano': 0}","{'units': 3825, 'nano': 0}","{'units': 3838, 'nano': 500000000}",16918,True,1
2025-03-21 00:00:00+00:00,"{'units': 3780, 'nano': 500000000}","{'units': 3781, 'nano': 500000000}","{'units': 3750, 'nano': 0}","{'units': 3750, 'nano': 0}",11691,True,1
2025-03-24 00:00:00+00:00,"{'units': 3724, 'nano': 500000000}","{'units': 3740, 'nano': 0}","{'units': 3671, 'nano': 500000000}","{'units': 3693, 'nano': 500000000}",9118,True,1
2025-03-25 00:00:00+00:00,"{'units': 3694, 'nano': 0}","{'units': 3727, 'nano': 500000000}","{'units': 3664, 'nano': 500000000}","{'units': 3700, 'nano': 0}",7443,True,1
2025-03-26 00:00:00+00:00,"{'units': 3710, 'nano': 0}","{'units': 3715, 'nano': 0}","{'units': 3651, 'nano': 500000000}","{'units': 3655, 'nano': 0}",6471,True,1
