time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 822, 'nano': 800000000}","{'units': 849, 'nano': 800000000}","{'units': 815, 'nano': 0}","{'units': 842, 'nano': 0}",24838,True,1
2025-02-05 00:00:00+00:00,"{'units': 839, 'nano': 0}","{'units': 842, 'nano': 900000000}","{'units': 812, 'nano': 0}","{'units': 825, 'nano': 200000000}",58451,True,1
2025-02-06 00:00:00+00:00,"{'units': 826, 'nano': 400000000}","{'units': 853, 'nano': 500000000}","{'units': 825, 'nano': 200000000}","{'units': 853, 'nano': 300000000}",33876,True,1
2025-02-07 00:00:00+00:00,"{'units': 853, 'nano': 400000000}","{'units': 887, 'nano': 300000000}","{'units': 853, 'nano': 400000000}","{'units': 863, 'nano': 400000000}",68707,True,1
2025-02-10 00:00:00+00:00,"{'units': 863, 'nano': 400000000}","{'units': 884, 'nano': 0}","{'units': 847, 'nano': 500000000}","{'units': 856, 'nano': 300000000}",36281,True,1
2025-02-11 00:00:00+00:00,"{'units': 850, 'nano': 900000000}","{'units': 859, 'nano': 0}","{'units': 842, 'nano': 0}","{'units': 851, 'nano': 0}",16746,True,1
2025-02-12 00:00:00+00:00,"{'units': 853, 'nano': 300000000}","{'units': 874, 'nano': 0}","{'units': 853, 'nano': 100000000}","{'units': 864, 'nano': 0}",25551,True,1
2025-02-13 00:00:00+00:00,"{'units': 872, 'nano': 100000000}","{'units': 886, 'nano': 100000000}","{'units': 851, 'nano': 0}","{'units': 863, 'nano': 300000000}",45728,True,1
2025-02-14 00:00:00+00:00,"{'units': 863, 'nano': 500000000}","{'units': 880, 'nano': 0}","{'units': 855, 'nano': 0}","{'units': 862, 'nano': 0}",23592,True,1
2025-02-17 00:00:00+00:00,"{'units': 879, 'nano': 900000000}","{'units': 879, 'nano': 900000000}","{'units': 844, 'nano': 700000000}","{'units': 862, 'nano': 100000000}",43663,True,1
2025-02-18 00:00:00+00:00,"{'units': 869, 'nano': 0}","{'units': 917, 'nano': 0}","{'units': 858, 'nano': 600000000}","{'units': 876, 'nano': 0}",105818,True,1
2025-02-19 00:00:00+00:00,"{'units': 889, 'nano': 900000000}","{'units': 894, 'nano': 500000000}","{'units': 870, 'nano': 400000000}","{'units': 884, 'nano': 200000000}",23565,True,1
2025-02-20 00:00:00+00:00,"{'units': 890, 'nano': 800000000}","{'units': 896, 'nano': 300000000}","{'units': 854, 'nano': 700000000}","{'units': 875, 'nano': 100000000}",27036,True,1
2025-02-21 00:00:00+00:00,"{'units': 882, 'nano': 900000000}","{'units': 894, 'nano': 900000000}","{'units': 877, 'nano': 300000000}","{'units': 888, 'nano': 0}",11124,True,1
