time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 4, 'nano': 74000000}","{'units': 4, 'nano': 88000000}","{'units': 4, 'nano': 2000000}","{'units': 4, 'nano': 36000000}",4714,True,1
2025-02-05 00:00:00+00:00,"{'units': 4, 'nano': 58000000}","{'units': 4, 'nano': 58000000}","{'units': 3, 'nano': 928000000}","{'units': 3, 'nano': 984000000}",11276,True,1
2025-02-06 00:00:00+00:00,"{'units': 4, 'nano': 20000000}","{'units': 4, 'nano': 72000000}","{'units': 3, 'nano': 994000000}","{'units': 4, 'nano': 10000000}",7890,True,1
2025-02-07 00:00:00+00:00,"{'units': 4, 'nano': 26000000}","{'units': 4, 'nano': 72000000}","{'units': 3, 'nano': 986000000}","{'units': 4, 'nano': 18000000}",10634,True,1
2025-02-10 00:00:00+00:00,"{'units': 4, 'nano': 18000000}","{'units': 4, 'nano': 68000000}","{'units': 3, 'nano': 984000000}","{'units': 4, 'nano': 16000000}",7340,True,1
2025-02-11 00:00:00+00:00,"{'units': 4, 'nano': 24000000}","{'units': 4, 'nano': 48000000}","{'units': 3, 'nano': 998000000}","{'units': 4, 'nano': 36000000}",6264,True,1
2025-02-12 00:00:00+00:00,"{'units': 4, 'nano': 48000000}","{'units': 4, 'nano': 210000000}","{'units': 3, 'nano': 968000000}","{'units': 4, 'nano': 108000000}",45016,True,1
2025-02-13 00:00:00+00:00,"{'units': 4, 'nano': 300000000}","{'units': 4, 'nano': 300000000}","{'units': 4, 'nano': 88000000}","{'units': 4, 'nano': 112000000}",26794,True,1
2025-02-14 00:00:00+00:00,"{'units': 4, 'nano': 160000000}","{'units': 4, 'nano': 230000000}","{'units': 4, 'nano': 54000000}","{'units': 4, 'nano': 114000000}",24728,True,1
2025-02-17 00:00:00+00:00,"{'units': 4, 'nano': 124000000}","{'units': 4, 'nano': 340000000}","{'units': 4, 'nano': 112000000}","{'units': 4, 'nano': 336000000}",29076,True,1
2025-02-18 00:00:00+00:00,"{'units': 4, 'nano': 336000000}","{'units': 4, 'nano': 336000000}","{'units': 4, 'nano': 206000000}","{'units': 4, 'nano': 256000000}",16686,True,1
2025-02-19 00:00:00+00:00,"{'units': 4, 'nano': 260000000}","{'units': 4, 'nano': 260000000}","{'units': 4, 'nano': 154000000}","{'units': 4, 'nano': 218000000}",6982,True,1
2025-02-20 00:00:00+00:00,"{'units': 4, 'nano': 242000000}","{'units': 4, 'nano': 280000000}","{'units': 4, 'nano': 200000000}","{'units': 4, 'nano': 222000000}",8339,True,1
