time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 138, 'nano': 300000000}","{'units': 140, 'nano': 700000000}","{'units': 137, 'nano': 700000000}","{'units': 138, 'nano': 900000000}",23432,True,1
2025-02-05 00:00:00+00:00,"{'units': 139, 'nano': 600000000}","{'units': 141, 'nano': 800000000}","{'units': 138, 'nano': 400000000}","{'units': 141, 'nano': 500000000}",16205,True,1
2025-02-06 00:00:00+00:00,"{'units': 141, 'nano': 300000000}","{'units': 142, 'nano': 650000000}","{'units': 141, 'nano': 0}","{'units': 141, 'nano': 550000000}",18902,True,1
2025-02-07 00:00:00+00:00,"{'units': 141, 'nano': 550000000}","{'units': 142, 'nano': 950000000}","{'units': 141, 'nano': 0}","{'units': 141, 'nano': 800000000}",15605,True,1
2025-02-10 00:00:00+00:00,"{'units': 142, 'nano': 50000000}","{'units': 144, 'nano': 400000000}","{'units': 141, 'nano': 0}","{'units': 143, 'nano': 500000000}",29121,True,1
2025-02-11 00:00:00+00:00,"{'units': 143, 'nano': 500000000}","{'units': 146, 'nano': 850000000}","{'units': 143, 'nano': 150000000}","{'units': 146, 'nano': 650000000}",25328,True,1
2025-02-12 00:00:00+00:00,"{'units': 146, 'nano': 800000000}","{'units': 148, 'nano': 850000000}","{'units': 143, 'nano': 200000000}","{'units': 148, 'nano': 400000000}",41740,True,1
2025-02-13 00:00:00+00:00,"{'units': 148, 'nano': 400000000}","{'units': 150, 'nano': 0}","{'units': 144, 'nano': 0}","{'units': 147, 'nano': 900000000}",28772,True,1
2025-02-14 00:00:00+00:00,"{'units': 148, 'nano': 200000000}","{'units': 151, 'nano': 600000000}","{'units': 146, 'nano': 500000000}","{'units': 149, 'nano': 150000000}",42404,True,1
2025-02-17 00:00:00+00:00,"{'units': 150, 'nano': 50000000}","{'units': 153, 'nano': 900000000}","{'units': 149, 'nano': 300000000}","{'units': 153, 'nano': 550000000}",36245,True,1
2025-02-18 00:00:00+00:00,"{'units': 153, 'nano': 500000000}","{'units': 153, 'nano': 550000000}","{'units': 147, 'nano': 500000000}","{'units': 149, 'nano': 800000000}",22960,True,1
2025-02-19 00:00:00+00:00,"{'units': 149, 'nano': 950000000}","{'units': 152, 'nano': 300000000}","{'units': 149, 'nano': 950000000}","{'units': 151, 'nano': 600000000}",14542,True,1
2025-02-20 00:00:00+00:00,"{'units': 152, 'nano': 500000000}","{'units': 154, 'nano': 650000000}","{'units': 151, 'nano': 600000000}","{'units': 152, 'nano': 900000000}",17918,True,1
2025-02-21 00:00:00+00:00,"{'units': 154, 'nano': 0}","{'units': 154, 'nano': 450000000}","{'units': 152, 'nano': 650000000}","{'units': 153, 'nano': 900000000}",17572,True,1
2025-02-24 00:00:00+00:00,"{'units': 154, 'nano': 0}","{'units': 154, 'nano': 400000000}","{'units': 150, 'nano': 200000000}","{'units': 152, 'nano': 750000000}",20891,True,1
2025-02-25 00:00:00+00:00,"{'units': 152, 'nano': 750000000}","{'units': 155, 'nano': 0}","{'units': 151, 'nano': 400000000}","{'units': 152, 'nano': 50000000}",19597,True,1
2025-02-26 00:00:00+00:00,"{'units': 153, 'nano': 300000000}","{'units': 154, 'nano': 0}","{'units': 148, 'nano': 350000000}","{'units': 150, 'nano': 700000000}",20953,True,1
2025-02-27 00:00:00+00:00,"{'units': 150, 'nano': 0}","{'units': 151, 'nano': 0}","{'units': 145, 'nano': 750000000}","{'units': 146, 'nano': 350000000}",19751,True,1
2025-02-28 00:00:00+00:00,"{'units': 148, 'nano': 600000000}","{'units': 160, 'nano': 0}","{'units': 145, 'nano': 800000000}","{'units': 154, 'nano': 300000000}",92236,True,1
2025-03-03 00:00:00+00:00,"{'units': 154, 'nano': 0}","{'units': 154, 'nano': 0}","{'units': 148, 'nano': 450000000}","{'units': 151, 'nano': 300000000}",33754,True,1
2025-03-04 00:00:00+00:00,"{'units': 151, 'nano': 500000000}","{'units': 155, 'nano': 750000000}","{'units': 151, 'nano': 500000000}","{'units': 155, 'nano': 0}",26835,True,1
2025-03-05 00:00:00+00:00,"{'units': 155, 'nano': 250000000}","{'units': 156, 'nano': 350000000}","{'units': 150, 'nano': 100000000}","{'units': 154, 'nano': 50000000}",20183,True,1
2025-03-06 00:00:00+00:00,"{'units': 154, 'nano': 50000000}","{'units': 154, 'nano': 50000000}","{'units': 150, 'nano': 400000000}","{'units': 151, 'nano': 550000000}",12354,True,1
2025-03-07 00:00:00+00:00,"{'units': 152, 'nano': 650000000}","{'units': 153, 'nano': 750000000}","{'units': 149, 'nano': 700000000}","{'units': 151, 'nano': 200000000}",18301,True,1
2025-03-10 00:00:00+00:00,"{'units': 151, 'nano': 350000000}","{'units': 153, 'nano': 650000000}","{'units': 150, 'nano': 0}","{'units': 150, 'nano': 650000000}",13237,True,1
2025-03-11 00:00:00+00:00,"{'units': 150, 'nano': 850000000}","{'units': 161, 'nano': 750000000}","{'units': 150, 'nano': 500000000}","{'units': 151, 'nano': 850000000}",33506,True,1
2025-03-12 00:00:00+00:00,"{'units': 151, 'nano': 950000000}","{'units': 156, 'nano': 650000000}","{'units': 151, 'nano': 950000000}","{'units': 154, 'nano': 250000000}",17612,True,1
2025-03-13 00:00:00+00:00,"{'units': 154, 'nano': 0}","{'units': 154, 'nano': 50000000}","{'units': 150, 'nano': 100000000}","{'units': 152, 'nano': 500000000}",26456,True,1
2025-03-14 00:00:00+00:00,"{'units': 152, 'nano': 450000000}","{'units': 155, 'nano': 100000000}","{'units': 151, 'nano': 400000000}","{'units': 153, 'nano': 600000000}",10360,True,1
2025-03-17 00:00:00+00:00,"{'units': 153, 'nano': 600000000}","{'units': 155, 'nano': 750000000}","{'units': 153, 'nano': 150000000}","{'units': 154, 'nano': 50000000}",17134,True,1
2025-03-18 00:00:00+00:00,"{'units': 154, 'nano': 200000000}","{'units': 155, 'nano': 400000000}","{'units': 152, 'nano': 100000000}","{'units': 152, 'nano': 400000000}",15581,True,1
2025-03-19 00:00:00+00:00,"{'units': 152, 'nano': 650000000}","{'units': 158, 'nano': 100000000}","{'units': 152, 'nano': 500000000}","{'units': 157, 'nano': 100000000}",18537,True,1
2025-03-20 00:00:00+00:00,"{'units': 157, 'nano': 100000000}","{'units': 159, 'nano': 0}","{'units': 156, 'nano': 0}","{'units': 157, 'nano': 750000000}",14944,True,1
2025-03-21 00:00:00+00:00,"{'units': 158, 'nano': 650000000}","{'units': 161, 'nano': 0}","{'units': 156, 'nano': 550000000}","{'units': 158, 'nano': 900000000}",23261,True,1
