time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 4061, 'nano': 0}","{'units': 4086, 'nano': 0}","{'units': 3978, 'nano': 0}","{'units': 4008, 'nano': 0}",423539,True,1
2025-02-05 00:00:00+00:00,"{'units': 4010, 'nano': 0}","{'units': 4120, 'nano': 0}","{'units': 3993, 'nano': 500000000}","{'units': 4105, 'nano': 500000000}",668975,True,1
2025-02-06 00:00:00+00:00,"{'units': 4106, 'nano': 0}","{'units': 4225, 'nano': 0}","{'units': 4095, 'nano': 0}","{'units': 4219, 'nano': 0}",1685841,True,1
2025-02-07 00:00:00+00:00,"{'units': 4221, 'nano': 500000000}","{'units': 4245, 'nano': 500000000}","{'units': 4176, 'nano': 500000000}","{'units': 4200, 'nano': 0}",894797,True,1
2025-02-10 00:00:00+00:00,"{'units': 4219, 'nano': 0}","{'units': 4287, 'nano': 0}","{'units': 4185, 'nano': 500000000}","{'units': 4217, 'nano': 0}",988267,True,1
2025-02-11 00:00:00+00:00,"{'units': 4217, 'nano': 0}","{'units': 4293, 'nano': 0}","{'units': 4212, 'nano': 0}","{'units': 4287, 'nano': 0}",697374,True,1
2025-02-12 00:00:00+00:00,"{'units': 4294, 'nano': 500000000}","{'units': 4568, 'nano': 0}","{'units': 4264, 'nano': 0}","{'units': 4519, 'nano': 500000000}",2256740,True,1
2025-02-13 00:00:00+00:00,"{'units': 4560, 'nano': 0}","{'units': 4598, 'nano': 500000000}","{'units': 4454, 'nano': 500000000}","{'units': 4492, 'nano': 0}",1666755,True,1
2025-02-14 00:00:00+00:00,"{'units': 4794, 'nano': 500000000}","{'units': 4794, 'nano': 500000000}","{'units': 4440, 'nano': 0}","{'units': 4549, 'nano': 0}",1680291,True,1
2025-02-17 00:00:00+00:00,"{'units': 4590, 'nano': 500000000}","{'units': 4718, 'nano': 0}","{'units': 4585, 'nano': 0}","{'units': 4709, 'nano': 0}",1210212,True,1
2025-02-18 00:00:00+00:00,"{'units': 4718, 'nano': 500000000}","{'units': 4749, 'nano': 500000000}","{'units': 4511, 'nano': 0}","{'units': 4550, 'nano': 0}",1392270,True,1
2025-02-19 00:00:00+00:00,"{'units': 4550, 'nano': 0}","{'units': 4669, 'nano': 0}","{'units': 4527, 'nano': 0}","{'units': 4646, 'nano': 0}",1127973,True,1
2025-02-20 00:00:00+00:00,"{'units': 4660, 'nano': 0}","{'units': 4734, 'nano': 0}","{'units': 4610, 'nano': 500000000}","{'units': 4649, 'nano': 0}",1692660,True,1
2025-02-21 00:00:00+00:00,"{'units': 4680, 'nano': 0}","{'units': 4697, 'nano': 500000000}","{'units': 4590, 'nano': 0}","{'units': 4667, 'nano': 0}",685047,True,1
2025-02-24 00:00:00+00:00,"{'units': 4667, 'nano': 0}","{'units': 4698, 'nano': 0}","{'units': 4608, 'nano': 500000000}","{'units': 4671, 'nano': 0}",736993,True,1
2025-02-25 00:00:00+00:00,"{'units': 4671, 'nano': 0}","{'units': 4689, 'nano': 500000000}","{'units': 4620, 'nano': 0}","{'units': 4623, 'nano': 500000000}",715780,True,1
2025-02-26 00:00:00+00:00,"{'units': 4624, 'nano': 500000000}","{'units': 4638, 'nano': 0}","{'units': 4412, 'nano': 0}","{'units': 4440, 'nano': 0}",1558970,True,1
2025-02-27 00:00:00+00:00,"{'units': 4440, 'nano': 0}","{'units': 4519, 'nano': 500000000}","{'units': 4324, 'nano': 0}","{'units': 4377, 'nano': 0}",1242221,True,1
2025-02-28 00:00:00+00:00,"{'units': 4377, 'nano': 0}","{'units': 4485, 'nano': 0}","{'units': 4300, 'nano': 0}","{'units': 4423, 'nano': 0}",1388817,True,1
2025-03-01 00:00:00+00:00,"{'units': 4450, 'nano': 0}","{'units': 4455, 'nano': 0}","{'units': 4427, 'nano': 0}","{'units': 4438, 'nano': 0}",13967,True,1
2025-03-02 00:00:00+00:00,"{'units': 4430, 'nano': 500000000}","{'units': 4432, 'nano': 500000000}","{'units': 4365, 'nano': 0}","{'units': 4376, 'nano': 0}",40558,True,1
2025-03-03 00:00:00+00:00,"{'units': 4398, 'nano': 500000000}","{'units': 4399, 'nano': 500000000}","{'units': 4260, 'nano': 0}","{'units': 4347, 'nano': 500000000}",1107208,True,1
2025-03-04 00:00:00+00:00,"{'units': 4368, 'nano': 0}","{'units': 4619, 'nano': 500000000}","{'units': 4356, 'nano': 0}","{'units': 4586, 'nano': 0}",1426512,True,1
2025-03-05 00:00:00+00:00,"{'units': 4586, 'nano': 0}","{'units': 4630, 'nano': 0}","{'units': 4470, 'nano': 0}","{'units': 4497, 'nano': 0}",925381,True,1
2025-03-06 00:00:00+00:00,"{'units': 4498, 'nano': 0}","{'units': 4577, 'nano': 500000000}","{'units': 4480, 'nano': 0}","{'units': 4513, 'nano': 500000000}",561494,True,1
2025-03-07 00:00:00+00:00,"{'units': 4510, 'nano': 0}","{'units': 4640, 'nano': 0}","{'units': 4474, 'nano': 0}","{'units': 4553, 'nano': 0}",1320212,True,1
2025-03-10 00:00:00+00:00,"{'units': 4565, 'nano': 0}","{'units': 4612, 'nano': 0}","{'units': 4537, 'nano': 0}","{'units': 4562, 'nano': 500000000}",505694,True,1
2025-03-11 00:00:00+00:00,"{'units': 4572, 'nano': 0}","{'units': 4614, 'nano': 0}","{'units': 4541, 'nano': 500000000}","{'units': 4564, 'nano': 500000000}",566301,True,1
2025-03-12 00:00:00+00:00,"{'units': 4565, 'nano': 0}","{'units': 4584, 'nano': 500000000}","{'units': 4501, 'nano': 0}","{'units': 4529, 'nano': 0}",527868,True,1
2025-03-13 00:00:00+00:00,"{'units': 4536, 'nano': 0}","{'units': 4550, 'nano': 0}","{'units': 4361, 'nano': 0}","{'units': 4480, 'nano': 0}",1445273,True,1
2025-03-14 00:00:00+00:00,"{'units': 4478, 'nano': 0}","{'units': 4558, 'nano': 0}","{'units': 4390, 'nano': 0}","{'units': 4527, 'nano': 0}",781910,True,1
2025-03-15 00:00:00+00:00,"{'units': 4527, 'nano': 0}","{'units': 4544, 'nano': 0}","{'units': 4516, 'nano': 0}","{'units': 4527, 'nano': 500000000}",35764,True,1
2025-03-16 00:00:00+00:00,"{'units': 4518, 'nano': 500000000}","{'units': 4597, 'nano': 500000000}","{'units': 4518, 'nano': 500000000}","{'units': 4584, 'nano': 500000000}",44249,True,1
2025-03-17 00:00:00+00:00,"{'units': 4599, 'nano': 0}","{'units': 4675, 'nano': 0}","{'units': 4562, 'nano': 0}","{'units': 4673, 'nano': 500000000}",707535,True,1
2025-03-18 00:00:00+00:00,"{'units': 4678, 'nano': 0}","{'units': 4730, 'nano': 0}","{'units': 4610, 'nano': 500000000}","{'units': 4622, 'nano': 0}",1153625,True,1
2025-03-19 00:00:00+00:00,"{'units': 4611, 'nano': 0}","{'units': 4654, 'nano': 500000000}","{'units': 4595, 'nano': 500000000}","{'units': 4641, 'nano': 0}",430658,True,1
2025-03-20 00:00:00+00:00,"{'units': 4641, 'nano': 0}","{'units': 4673, 'nano': 500000000}","{'units': 4566, 'nano': 500000000}","{'units': 4646, 'nano': 0}",630473,True,1
