time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 222, 'nano': 0}","{'units': 223, 'nano': 750000000}","{'units': 220, 'nano': 50000000}","{'units': 220, 'nano': 650000000}",52552,True,1
2025-02-05 00:00:00+00:00,"{'units': 220, 'nano': 0}","{'units': 221, 'nano': 650000000}","{'units': 216, 'nano': 850000000}","{'units': 219, 'nano': 850000000}",62939,True,1
2025-02-06 00:00:00+00:00,"{'units': 219, 'nano': 850000000}","{'units': 221, 'nano': 950000000}","{'units': 219, 'nano': 700000000}","{'units': 221, 'nano': 300000000}",47648,True,1
2025-02-07 00:00:00+00:00,"{'units': 222, 'nano': 550000000}","{'units': 222, 'nano': 550000000}","{'units': 219, 'nano': 550000000}","{'units': 219, 'nano': 550000000}",94981,True,1
2025-02-10 00:00:00+00:00,"{'units': 219, 'nano': 500000000}","{'units': 219, 'nano': 900000000}","{'units': 214, 'nano': 200000000}","{'units': 216, 'nano': 750000000}",91594,True,1
2025-02-11 00:00:00+00:00,"{'units': 216, 'nano': 750000000}","{'units': 221, 'nano': 0}","{'units': 215, 'nano': 750000000}","{'units': 216, 'nano': 100000000}",48303,True,1
2025-02-12 00:00:00+00:00,"{'units': 218, 'nano': 0}","{'units': 226, 'nano': 450000000}","{'units': 214, 'nano': 50000000}","{'units': 216, 'nano': 700000000}",110980,True,1
2025-02-13 00:00:00+00:00,"{'units': 220, 'nano': 500000000}","{'units': 225, 'nano': 0}","{'units': 211, 'nano': 0}","{'units': 211, 'nano': 0}",134890,True,1
2025-02-14 00:00:00+00:00,"{'units': 211, 'nano': 800000000}","{'units': 214, 'nano': 0}","{'units': 205, 'nano': 350000000}","{'units': 208, 'nano': 0}",248891,True,1
2025-02-17 00:00:00+00:00,"{'units': 209, 'nano': 500000000}","{'units': 210, 'nano': 650000000}","{'units': 208, 'nano': 500000000}","{'units': 209, 'nano': 400000000}",149113,True,1
2025-02-18 00:00:00+00:00,"{'units': 209, 'nano': 400000000}","{'units': 210, 'nano': 450000000}","{'units': 204, 'nano': 800000000}","{'units': 206, 'nano': 0}",176724,True,1
2025-02-19 00:00:00+00:00,"{'units': 206, 'nano': 0}","{'units': 208, 'nano': 800000000}","{'units': 205, 'nano': 0}","{'units': 205, 'nano': 400000000}",65599,True,1
2025-02-20 00:00:00+00:00,"{'units': 205, 'nano': 400000000}","{'units': 205, 'nano': 700000000}","{'units': 203, 'nano': 100000000}","{'units': 205, 'nano': 250000000}",85935,True,1
2025-02-21 00:00:00+00:00,"{'units': 205, 'nano': 250000000}","{'units': 208, 'nano': 900000000}","{'units': 203, 'nano': 400000000}","{'units': 203, 'nano': 800000000}",119956,True,1
2025-02-24 00:00:00+00:00,"{'units': 208, 'nano': 0}","{'units': 208, 'nano': 700000000}","{'units': 203, 'nano': 200000000}","{'units': 203, 'nano': 900000000}",139391,True,1
