time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 535, 'nano': 800000000}","{'units': 557, 'nano': 200000000}","{'units': 535, 'nano': 600000000}","{'units': 550, 'nano': 800000000}",28461,True,1
2025-02-05 00:00:00+00:00,"{'units': 549, 'nano': 800000000}","{'units': 580, 'nano': 0}","{'units': 533, 'nano': 0}","{'units': 575, 'nano': 0}",111983,True,1
2025-04-03 00:00:00+00:00,"{'units': 685, 'nano': 400000000}","{'units': 712, 'nano': 800000000}","{'units': 575, 'nano': 0}","{'units': 580, 'nano': 0}",2264459,True,1
2025-04-04 00:00:00+00:00,"{'units': 580, 'nano': 0}","{'units': 589, 'nano': 0}","{'units': 545, 'nano': 0}","{'units': 555, 'nano': 800000000}",597986,True,1
2025-04-07 00:00:00+00:00,"{'units': 500, 'nano': 400000000}","{'units': 531, 'nano': 200000000}","{'units': 484, 'nano': 400000000}","{'units': 505, 'nano': 0}",893316,True,1
2025-04-08 00:00:00+00:00,"{'units': 519, 'nano': 0}","{'units': 526, 'nano': 0}","{'units': 510, 'nano': 0}","{'units': 510, 'nano': 0}",275998,True,1
2025-04-09 00:00:00+00:00,"{'units': 509, 'nano': 0}","{'units': 510, 'nano': 0}","{'units': 477, 'nano': 400000000}","{'units': 490, 'nano': 0}",347955,True,1
2025-04-10 00:00:00+00:00,"{'units': 520, 'nano': 0}","{'units': 527, 'nano': 200000000}","{'units': 506, 'nano': 0}","{'units': 516, 'nano': 0}",299905,True,1
2025-04-11 00:00:00+00:00,"{'units': 529, 'nano': 600000000}","{'units': 543, 'nano': 0}","{'units': 521, 'nano': 0}","{'units': 537, 'nano': 200000000}",146385,True,1
2025-04-14 00:00:00+00:00,"{'units': 540, 'nano': 0}","{'units': 558, 'nano': 0}","{'units': 525, 'nano': 400000000}","{'units': 549, 'nano': 600000000}",120971,True,1
2025-04-15 00:00:00+00:00,"{'units': 549, 'nano': 800000000}","{'units': 555, 'nano': 600000000}","{'units': 540, 'nano': 200000000}","{'units': 547, 'nano': 400000000}",36353,True,1
2025-04-16 00:00:00+00:00,"{'units': 547, 'nano': 0}","{'units': 562, 'nano': 0}","{'units': 540, 'nano': 0}","{'units': 557, 'nano': 200000000}",92868,True,1
2025-04-17 00:00:00+00:00,"{'units': 557, 'nano': 800000000}","{'units': 570, 'nano': 0}","{'units': 550, 'nano': 0}","{'units': 558, 'nano': 800000000}",114288,True,1
2025-04-18 00:00:00+00:00,"{'units': 560, 'nano': 0}","{'units': 560, 'nano': 0}","{'units': 504, 'nano': 800000000}","{'units': 529, 'nano': 600000000}",519194,True,1
2025-04-21 00:00:00+00:00,"{'units': 534, 'nano': 0}","{'units': 544, 'nano': 800000000}","{'units': 525, 'nano': 0}","{'units': 530, 'nano': 400000000}",90700,True,1
2025-04-22 00:00:00+00:00,"{'units': 535, 'nano': 200000000}","{'units': 539, 'nano': 400000000}","{'units': 527, 'nano': 0}","{'units': 533, 'nano': 0}",68773,True,1
2025-04-23 00:00:00+00:00,"{'units': 530, 'nano': 400000000}","{'units': 532, 'nano': 400000000}","{'units': 520, 'nano': 200000000}","{'units': 527, 'nano': 400000000}",50016,True,1
2025-04-24 00:00:00+00:00,"{'units': 530, 'nano': 0}","{'units': 540, 'nano': 0}","{'units': 529, 'nano': 0}","{'units': 531, 'nano': 0}",69648,True,1
2025-04-25 00:00:00+00:00,"{'units': 534, 'nano': 0}","{'units': 537, 'nano': 0}","{'units': 530, 'nano': 200000000}","{'units': 532, 'nano': 800000000}",52889,True,1
2025-04-28 00:00:00+00:00,"{'units': 532, 'nano': 800000000}","{'units': 558, 'nano': 0}","{'units': 529, 'nano': 200000000}","{'units': 551, 'nano': 0}",118182,True,1
2025-04-29 00:00:00+00:00,"{'units': 551, 'nano': 0}","{'units': 589, 'nano': 400000000}","{'units': 539, 'nano': 200000000}","{'units': 549, 'nano': 200000000}",236259,True,1
