time,open,high,low,close,volume,is_complete,candle_source
2025-10-31 00:00:00+00:00,"{'units': 63, 'nano': 900000000}","{'units': 63, 'nano': 990000000}","{'units': 60, 'nano': 590000000}","{'units': 63, 'nano': 490000000}",4355632,True,1
2025-11-01 00:00:00+00:00,"{'units': 62, 'nano': 550000000}","{'units': 63, 'nano': 380000000}","{'units': 61, 'nano': 800000000}","{'units': 62, 'nano': 490000000}",654460,True,1
2025-11-03 00:00:00+00:00,"{'units': 62, 'nano': 990000000}","{'units': 63, 'nano': 250000000}","{'units': 61, 'nano': 10000000}","{'units': 62, 'nano': 500000000}",442875,True,1
2025-11-05 00:00:00+00:00,"{'units': 62, 'nano': 670000000}","{'units': 62, 'nano': 670000000}","{'units': 60, 'nano': 740000000}","{'units': 61, 'nano': 910000000}",805491,True,1
2025-11-06 00:00:00+00:00,"{'units': 61, 'nano': 180000000}","{'units': 62, 'nano': 0}","{'units': 61, 'nano': 100000000}","{'units': 61, 'nano': 890000000}",786081,True,1
2025-11-07 00:00:00+00:00,"{'units': 61, 'nano': 890000000}","{'units': 61, 'nano': 900000000}","{'units': 61, 'nano': 340000000}","{'units': 61, 'nano': 890000000}",388604,True,1
2025-11-10 00:00:00+00:00,"{'units': 61, 'nano': 890000000}","{'units': 61, 'nano': 930000000}","{'units': 61, 'nano': 100000000}","{'units': 61, 'nano': 510000000}",251741,True,1
2025-11-11 00:00:00+00:00,"{'units': 61, 'nano': 130000000}","{'units': 61, 'nano': 410000000}","{'units': 59, 'nano': 430000000}","{'units': 60, 'nano': 250000000}",557086,True,1
2025-11-12 00:00:00+00:00,"{'units': 59, 'nano': 740000000}","{'units': 60, 'nano': 990000000}","{'units': 59, 'nano': 740000000}","{'units': 60, 'nano': 450000000}",206709,True,1
2025-11-13 00:00:00+00:00,"{'units': 60, 'nano': 430000000}","{'units': 60, 'nano': 660000000}","{'units': 59, 'nano': 500000000}","{'units': 60, 'nano': 470000000}",396095,True,1
2025-11-14 00:00:00+00:00,"{'units': 60, 'nano': 450000000}","{'units': 60, 'nano': 450000000}","{'units': 59, 'nano': 750000000}","{'units': 60, 'nano': 250000000}",251156,True,1
2025-11-17 00:00:00+00:00,"{'units': 60, 'nano': 250000000}","{'units': 60, 'nano': 700000000}","{'units': 59, 'nano': 590000000}","{'units': 60, 'nano': 700000000}",324650,True,1
2025-11-18 00:00:00+00:00,"{'units': 60, 'nano': 600000000}","{'units': 60, 'nano': 600000000}","{'units': 59, 'nano': 220000000}","{'units': 59, 'nano': 830000000}",260554,True,1
2025-11-19 00:00:00+00:00,"{'units': 59, 'nano': 790000000}","{'units': 59, 'nano': 870000000}","{'units': 58, 'nano': 100000000}","{'units': 58, 'nano': 580000000}",688929,True,1
2025-11-20 00:00:00+00:00,"{'units': 59, 'nano': 190000000}","{'units': 59, 'nano': 190000000}","{'units': 58, 'nano': 0}","{'units': 59, 'nano': 0}",203280,True,1
2025-11-21 00:00:00+00:00,"{'units': 59, 'nano': 0}","{'units': 59, 'nano': 20000000}","{'units': 57, 'nano': 800000000}","{'units': 58, 'nano': 850000000}",314404,True,1
2025-11-24 00:00:00+00:00,"{'units': 58, 'nano': 990000000}","{'units': 59, 'nano': 190000000}","{'units': 57, 'nano': 800000000}","{'units': 58, 'nano': 640000000}",276010,True,1
2025-11-25 00:00:00+00:00,"{'units': 58, 'nano': 620000000}","{'units': 58, 'nano': 620000000}","{'units': 57, 'nano': 700000000}","{'units': 58, 'nano': 0}",232500,True,1
2025-11-26 00:00:00+00:00,"{'units': 58, 'nano': 500000000}","{'units': 58, 'nano': 500000000}","{'units': 57, 'nano': 720000000}","{'units': 58, 'nano': 0}",170508,True,1
2025-11-27 00:00:00+00:00,"{'units': 58, 'nano': 490000000}","{'units': 58, 'nano': 900000000}","{'units': 57, 'nano': 830000000}","{'units': 58, 'nano': 890000000}",333419,True,1
2025-11-28 00:00:00+00:00,"{'units': 59, 'nano': 800000000}","{'units': 60, 'nano': 990000000}","{'units': 59, 'nano': 0}","{'units': 59, 'nano': 680000000}",603682,True,1
2025-12-01 00:00:00+00:00,"{'units': 60, 'nano': 470000000}","{'units': 60, 'nano': 470000000}","{'units': 58, 'nano': 240000000}","{'units': 60, 'nano': 400000000}",189189,True,1
2025-12-02 00:00:00+00:00,"{'units': 60, 'nano': 400000000}","{'units': 60, 'nano': 910000000}","{'units': 59, 'nano': 100000000}","{'units': 59, 'nano': 470000000}",105452,True,1
2025-12-03 00:00:00+00:00,"{'units': 59, 'nano': 570000000}","{'units': 60, 'nano': 260000000}","{'units': 57, 'nano': 830000000}","{'units': 58, 'nano': 610000000}",135822,True,1
2025-12-04 00:00:00+00:00,"{'units': 58, 'nano': 610000000}","{'units': 59, 'nano': 340000000}","{'units': 58, 'nano': 50000000}","{'units': 58, 'nano': 310000000}",91456,True,1
2025-12-05 00:00:00+00:00,"{'units': 58, 'nano': 150000000}","{'units': 58, 'nano': 650000000}","{'units': 57, 'nano': 880000000}","{'units': 58, 'nano': 170000000}",183081,True,1
2025-12-08 00:00:00+00:00,"{'units': 58, 'nano': 190000000}","{'units': 58, 'nano': 580000000}","{'units': 57, 'nano': 510000000}","{'units': 58, 'nano': 310000000}",168600,True,1
2025-12-09 00:00:00+00:00,"{'units': 58, 'nano': 540000000}","{'units': 58, 'nano': 540000000}","{'units': 57, 'nano': 920000000}","{'units': 58, 'nano': 230000000}",134674,True,1
2025-12-10 00:00:00+00:00,"{'units': 58, 'nano': 300000000}","{'units': 58, 'nano': 300000000}","{'units': 57, 'nano': 950000000}","{'units': 58, 'nano': 20000000}",128171,True,1
2025-12-11 00:00:00+00:00,"{'units': 58, 'nano': 60000000}","{'units': 58, 'nano': 300000000}","{'units': 57, 'nano': 980000000}","{'units': 58, 'nano': 180000000}",212731,True,1
2025-12-12 00:00:00+00:00,"{'units': 58, 'nano': 180000000}","{'units': 58, 'nano': 630000000}","{'units': 56, 'nano': 850000000}","{'units': 57, 'nano': 130000000}",311571,True,1
2025-12-13 00:00:00+00:00,"{'units': 57, 'nano': 850000000}","{'units': 57, 'nano': 850000000}","{'units': 57, 'nano': 50000000}","{'units': 57, 'nano': 450000000}",20223,True,1
2025-12-14 00:00:00+00:00,"{'units': 57, 'nano': 450000000}","{'units': 58, 'nano': 160000000}","{'units': 57, 'nano': 120000000}","{'units': 57, 'nano': 500000000}",34747,True,1
2025-12-15 00:00:00+00:00,"{'units': 57, 'nano': 500000000}","{'units': 62, 'nano': 350000000}","{'units': 57, 'nano': 170000000}","{'units': 59, 'nano': 840000000}",1290623,True,1
2025-12-16 00:00:00+00:00,"{'units': 60, 'nano': 800000000}","{'units': 65, 'nano': 280000000}","{'units': 59, 'nano': 600000000}","{'units': 65, 'nano': 20000000}",1991485,True,1
2025-12-17 00:00:00+00:00,"{'units': 65, 'nano': 100000000}","{'units': 69, 'nano': 640000000}","{'units': 63, 'nano': 210000000}","{'units': 64, 'nano': 810000000}",4561461,True,1
2025-12-18 00:00:00+00:00,"{'units': 64, 'nano': 910000000}","{'units': 66, 'nano': 860000000}","{'units': 62, 'nano': 300000000}","{'units': 65, 'nano': 310000000}",1850362,True,1
2025-12-19 00:00:00+00:00,"{'units': 65, 'nano': 310000000}","{'units': 65, 'nano': 450000000}","{'units': 62, 'nano': 560000000}","{'units': 63, 'nano': 600000000}",816261,True,1
2025-12-20 00:00:00+00:00,"{'units': 63, 'nano': 600000000}","{'units': 64, 'nano': 460000000}","{'units': 62, 'nano': 500000000}","{'units': 63, 'nano': 350000000}",171146,True,1
2025-12-21 00:00:00+00:00,"{'units': 63, 'nano': 980000000}","{'units': 64, 'nano': 0}","{'units': 63, 'nano': 0}","{'units': 63, 'nano': 100000000}",30451,True,1
2025-12-22 00:00:00+00:00,"{'units': 63, 'nano': 250000000}","{'units': 64, 'nano': 430000000}","{'units': 59, 'nano': 70000000}","{'units': 60, 'nano': 330000000}",1551589,True,1
2025-12-23 00:00:00+00:00,"{'units': 60, 'nano': 330000000}","{'units': 61, 'nano': 480000000}","{'units': 58, 'nano': 600000000}","{'units': 60, 'nano': 20000000}",504206,True,1
2025-12-24 00:00:00+00:00,"{'units': 60, 'nano': 20000000}","{'units': 60, 'nano': 220000000}","{'units': 58, 'nano': 790000000}","{'units': 59, 'nano': 500000000}",262091,True,1
2025-12-25 00:00:00+00:00,"{'units': 59, 'nano': 500000000}","{'units': 60, 'nano': 480000000}","{'units': 57, 'nano': 520000000}","{'units': 57, 'nano': 620000000}",772448,True,1
2025-12-26 00:00:00+00:00,"{'units': 57, 'nano': 630000000}","{'units': 58, 'nano': 830000000}","{'units': 57, 'nano': 570000000}","{'units': 58, 'nano': 600000000}",338567,True,1
2025-12-27 00:00:00+00:00,"{'units': 58, 'nano': 800000000}","{'units': 59, 'nano': 100000000}","{'units': 58, 'nano': 480000000}","{'units': 58, 'nano': 790000000}",54246,True,1
2025-12-28 00:00:00+00:00,"{'units': 58, 'nano': 790000000}","{'units': 59, 'nano': 0}","{'units': 58, 'nano': 0}","{'units': 58, 'nano': 660000000}",93942,True,1
2025-12-29 00:00:00+00:00,"{'units': 58, 'nano': 840000000}","{'units': 60, 'nano': 540000000}","{'units': 57, 'nano': 400000000}","{'units': 58, 'nano': 170000000}",679020,True,1
2025-12-30 00:00:00+00:00,"{'units': 58, 'nano': 850000000}","{'units': 58, 'nano': 850000000}","{'units': 58, 'nano': 10000000}","{'units': 58, 'nano': 320000000}",183630,True,1
2026-01-05 00:00:00+00:00,"{'units': 58, 'nano': 320000000}","{'units': 58, 'nano': 600000000}","{'units': 58, 'nano': 0}","{'units': 58, 'nano': 280000000}",192187,True,1
2026-01-06 00:00:00+00:00,"{'units': 58, 'nano': 300000000}","{'units': 58, 'nano': 970000000}","{'units': 58, 'nano': 30000000}","{'units': 58, 'nano': 150000000}",141768,True,1
2026-01-08 00:00:00+00:00,"{'units': 58, 'nano': 60000000}","{'units': 61, 'nano': 610000000}","{'units': 58, 'nano': 0}","{'units': 59, 'nano': 570000000}",1173000,True,1
2026-01-09 00:00:00+00:00,"{'units': 59, 'nano': 620000000}","{'units': 62, 'nano': 110000000}","{'units': 59, 'nano': 220000000}","{'units': 59, 'nano': 750000000}",301106,True,1
2026-01-12 00:00:00+00:00,"{'units': 59, 'nano': 750000000}","{'units': 60, 'nano': 450000000}","{'units': 58, 'nano': 700000000}","{'units': 59, 'nano': 900000000}",280338,True,1
2026-01-13 00:00:00+00:00,"{'units': 59, 'nano': 900000000}","{'units': 64, 'nano': 560000000}","{'units': 59, 'nano': 530000000}","{'units': 63, 'nano': 340000000}",1184015,True,1
2026-01-14 00:00:00+00:00,"{'units': 63, 'nano': 340000000}","{'units': 64, 'nano': 560000000}","{'units': 62, 'nano': 240000000}","{'units': 62, 'nano': 400000000}",788002,True,1
2026-01-15 00:00:00+00:00,"{'units': 63, 'nano': 50000000}","{'units': 63, 'nano': 110000000}","{'units': 61, 'nano': 290000000}","{'units': 61, 'nano': 790000000}",369567,True,1
