time,open,high,low,close,volume,is_complete,candle_source
2025-12-10 00:00:00+00:00,"{'units': 97, 'nano': 0}","{'units': 106, 'nano': 400000000}","{'units': 97, 'nano': 0}","{'units': 101, 'nano': 260000000}",524988,True,1
2025-12-11 00:00:00+00:00,"{'units': 102, 'nano': 280000000}","{'units': 105, 'nano': 0}","{'units': 100, 'nano': 0}","{'units': 103, 'nano': 980000000}",188920,True,1
2025-12-12 00:00:00+00:00,"{'units': 105, 'nano': 800000000}","{'units': 107, 'nano': 720000000}","{'units': 103, 'nano': 560000000}","{'units': 105, 'nano': 800000000}",81934,True,1
2025-12-15 00:00:00+00:00,"{'units': 107, 'nano': 500000000}","{'units': 107, 'nano': 800000000}","{'units': 105, 'nano': 360000000}","{'units': 106, 'nano': 40000000}",26491,True,1
2025-12-16 00:00:00+00:00,"{'units': 106, 'nano': 400000000}","{'units': 107, 'nano': 460000000}","{'units': 105, 'nano': 380000000}","{'units': 105, 'nano': 940000000}",15913,True,1
2025-12-17 00:00:00+00:00,"{'units': 106, 'nano': 520000000}","{'units': 107, 'nano': 940000000}","{'units': 106, 'nano': 300000000}","{'units': 107, 'nano': 880000000}",36102,True,1
2025-12-18 00:00:00+00:00,"{'units': 108, 'nano': 20000000}","{'units': 108, 'nano': 500000000}","{'units': 106, 'nano': 660000000}","{'units': 108, 'nano': 380000000}",38176,True,1
2025-12-19 00:00:00+00:00,"{'units': 108, 'nano': 380000000}","{'units': 108, 'nano': 900000000}","{'units': 103, 'nano': 0}","{'units': 106, 'nano': 700000000}",17950,True,1
2025-12-22 00:00:00+00:00,"{'units': 106, 'nano': 720000000}","{'units': 108, 'nano': 180000000}","{'units': 103, 'nano': 720000000}","{'units': 105, 'nano': 0}",19008,True,1
2025-12-23 00:00:00+00:00,"{'units': 105, 'nano': 0}","{'units': 106, 'nano': 300000000}","{'units': 103, 'nano': 100000000}","{'units': 105, 'nano': 100000000}",13683,True,1
2025-12-24 00:00:00+00:00,"{'units': 105, 'nano': 980000000}","{'units': 106, 'nano': 360000000}","{'units': 103, 'nano': 620000000}","{'units': 105, 'nano': 400000000}",8593,True,1
2025-12-25 00:00:00+00:00,"{'units': 105, 'nano': 400000000}","{'units': 106, 'nano': 860000000}","{'units': 104, 'nano': 240000000}","{'units': 105, 'nano': 0}",15960,True,1
2025-12-26 00:00:00+00:00,"{'units': 105, 'nano': 40000000}","{'units': 107, 'nano': 500000000}","{'units': 105, 'nano': 0}","{'units': 105, 'nano': 960000000}",22618,True,1
2025-12-29 00:00:00+00:00,"{'units': 105, 'nano': 980000000}","{'units': 107, 'nano': 760000000}","{'units': 102, 'nano': 440000000}","{'units': 104, 'nano': 0}",28083,True,1
2025-12-30 00:00:00+00:00,"{'units': 104, 'nano': 0}","{'units': 107, 'nano': 0}","{'units': 104, 'nano': 0}","{'units': 105, 'nano': 800000000}",12158,True,1
2026-01-05 00:00:00+00:00,"{'units': 105, 'nano': 800000000}","{'units': 106, 'nano': 480000000}","{'units': 104, 'nano': 120000000}","{'units': 105, 'nano': 0}",2790,True,1
2026-01-06 00:00:00+00:00,"{'units': 105, 'nano': 0}","{'units': 105, 'nano': 720000000}","{'units': 104, 'nano': 40000000}","{'units': 104, 'nano': 300000000}",3419,True,1
2026-01-08 00:00:00+00:00,"{'units': 104, 'nano': 300000000}","{'units': 104, 'nano': 700000000}","{'units': 103, 'nano': 540000000}","{'units': 103, 'nano': 700000000}",5424,True,1
2026-01-09 00:00:00+00:00,"{'units': 103, 'nano': 800000000}","{'units': 104, 'nano': 880000000}","{'units': 103, 'nano': 780000000}","{'units': 104, 'nano': 0}",2264,True,1
2026-01-12 00:00:00+00:00,"{'units': 105, 'nano': 0}","{'units': 105, 'nano': 180000000}","{'units': 104, 'nano': 0}","{'units': 104, 'nano': 500000000}",7559,True,1
2026-01-13 00:00:00+00:00,"{'units': 104, 'nano': 580000000}","{'units': 105, 'nano': 0}","{'units': 103, 'nano': 900000000}","{'units': 104, 'nano': 160000000}",5190,True,1
2026-01-14 00:00:00+00:00,"{'units': 103, 'nano': 0}","{'units': 104, 'nano': 980000000}","{'units': 103, 'nano': 0}","{'units': 104, 'nano': 980000000}",15142,True,1
2026-01-15 00:00:00+00:00,"{'units': 105, 'nano': 20000000}","{'units': 105, 'nano': 500000000}","{'units': 104, 'nano': 280000000}","{'units': 105, 'nano': 460000000}",11109,True,1
2026-01-16 00:00:00+00:00,"{'units': 106, 'nano': 0}","{'units': 112, 'nano': 560000000}","{'units': 105, 'nano': 300000000}","{'units': 107, 'nano': 100000000}",132733,True,1
