time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 259, 'nano': 200000000}","{'units': 263, 'nano': 400000000}","{'units': 249, 'nano': 800000000}","{'units': 251, 'nano': 100000000}",105660,True,1
2025-02-05 00:00:00+00:00,"{'units': 251, 'nano': 200000000}","{'units': 262, 'nano': 200000000}","{'units': 249, 'nano': 900000000}","{'units': 260, 'nano': 0}",114667,True,1
2025-02-06 00:00:00+00:00,"{'units': 262, 'nano': 800000000}","{'units': 262, 'nano': 800000000}","{'units': 255, 'nano': 200000000}","{'units': 256, 'nano': 800000000}",63618,True,1
2025-02-07 00:00:00+00:00,"{'units': 257, 'nano': 300000000}","{'units': 258, 'nano': 300000000}","{'units': 252, 'nano': 500000000}","{'units': 253, 'nano': 100000000}",28719,True,1
2025-02-10 00:00:00+00:00,"{'units': 256, 'nano': 800000000}","{'units': 265, 'nano': 900000000}","{'units': 250, 'nano': 100000000}","{'units': 252, 'nano': 800000000}",171479,True,1
2025-02-11 00:00:00+00:00,"{'units': 255, 'nano': 800000000}","{'units': 261, 'nano': 0}","{'units': 253, 'nano': 800000000}","{'units': 258, 'nano': 800000000}",60805,True,1
2025-02-12 00:00:00+00:00,"{'units': 261, 'nano': 0}","{'units': 314, 'nano': 900000000}","{'units': 260, 'nano': 400000000}","{'units': 304, 'nano': 500000000}",1186135,True,1
2025-02-13 00:00:00+00:00,"{'units': 310, 'nano': 0}","{'units': 310, 'nano': 0}","{'units': 280, 'nano': 500000000}","{'units': 288, 'nano': 500000000}",155466,True,1
2025-02-14 00:00:00+00:00,"{'units': 294, 'nano': 200000000}","{'units': 294, 'nano': 200000000}","{'units': 271, 'nano': 900000000}","{'units': 279, 'nano': 200000000}",113182,True,1
2025-02-17 00:00:00+00:00,"{'units': 287, 'nano': 900000000}","{'units': 304, 'nano': 300000000}","{'units': 283, 'nano': 0}","{'units': 304, 'nano': 300000000}",244045,True,1
2025-02-18 00:00:00+00:00,"{'units': 298, 'nano': 200000000}","{'units': 298, 'nano': 200000000}","{'units': 282, 'nano': 0}","{'units': 285, 'nano': 600000000}",140738,True,1
2025-02-19 00:00:00+00:00,"{'units': 288, 'nano': 0}","{'units': 324, 'nano': 500000000}","{'units': 286, 'nano': 0}","{'units': 314, 'nano': 100000000}",653757,True,1
