time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 3241, 'nano': 0}","{'units': 3291, 'nano': 500000000}","{'units': 3226, 'nano': 500000000}","{'units': 3268, 'nano': 500000000}",1275522,True,1
2025-02-05 00:00:00+00:00,"{'units': 3267, 'nano': 0}","{'units': 3305, 'nano': 0}","{'units': 3241, 'nano': 500000000}","{'units': 3276, 'nano': 500000000}",1275707,True,1
2025-02-06 00:00:00+00:00,"{'units': 3283, 'nano': 0}","{'units': 3295, 'nano': 0}","{'units': 3234, 'nano': 500000000}","{'units': 3264, 'nano': 500000000}",1121566,True,1
2025-02-07 00:00:00+00:00,"{'units': 3268, 'nano': 0}","{'units': 3276, 'nano': 500000000}","{'units': 3245, 'nano': 0}","{'units': 3266, 'nano': 0}",613439,True,1
2025-02-10 00:00:00+00:00,"{'units': 3266, 'nano': 500000000}","{'units': 3357, 'nano': 0}","{'units': 3266, 'nano': 500000000}","{'units': 3267, 'nano': 500000000}",1723277,True,1
2025-02-11 00:00:00+00:00,"{'units': 3285, 'nano': 0}","{'units': 3353, 'nano': 0}","{'units': 3275, 'nano': 0}","{'units': 3318, 'nano': 500000000}",1076594,True,1
2025-02-12 00:00:00+00:00,"{'units': 3323, 'nano': 0}","{'units': 3450, 'nano': 0}","{'units': 3318, 'nano': 500000000}","{'units': 3440, 'nano': 0}",2008114,True,1
2025-02-13 00:00:00+00:00,"{'units': 3440, 'nano': 0}","{'units': 3675, 'nano': 500000000}","{'units': 3364, 'nano': 0}","{'units': 3419, 'nano': 0}",2621433,True,1
2025-02-14 00:00:00+00:00,"{'units': 3419, 'nano': 500000000}","{'units': 3493, 'nano': 500000000}","{'units': 3350, 'nano': 0}","{'units': 3406, 'nano': 500000000}",1877552,True,1
2025-02-17 00:00:00+00:00,"{'units': 3425, 'nano': 0}","{'units': 3480, 'nano': 0}","{'units': 3415, 'nano': 0}","{'units': 3470, 'nano': 0}",1201150,True,1
2025-02-18 00:00:00+00:00,"{'units': 3470, 'nano': 0}","{'units': 3470, 'nano': 0}","{'units': 3406, 'nano': 500000000}","{'units': 3430, 'nano': 0}",811061,True,1
2025-02-19 00:00:00+00:00,"{'units': 3438, 'nano': 0}","{'units': 3466, 'nano': 0}","{'units': 3380, 'nano': 500000000}","{'units': 3445, 'nano': 0}",648394,True,1
2025-02-20 00:00:00+00:00,"{'units': 3450, 'nano': 0}","{'units': 3489, 'nano': 500000000}","{'units': 3350, 'nano': 500000000}","{'units': 3449, 'nano': 500000000}",647881,True,1
2025-02-21 00:00:00+00:00,"{'units': 3448, 'nano': 0}","{'units': 3470, 'nano': 0}","{'units': 3432, 'nano': 0}","{'units': 3448, 'nano': 500000000}",334231,True,1
2025-02-24 00:00:00+00:00,"{'units': 3448, 'nano': 500000000}","{'units': 3468, 'nano': 500000000}","{'units': 3414, 'nano': 500000000}","{'units': 3438, 'nano': 500000000}",772397,True,1
2025-02-25 00:00:00+00:00,"{'units': 3440, 'nano': 0}","{'units': 3460, 'nano': 0}","{'units': 3385, 'nano': 0}","{'units': 3414, 'nano': 500000000}",939476,True,1
2025-02-26 00:00:00+00:00,"{'units': 3414, 'nano': 500000000}","{'units': 3437, 'nano': 500000000}","{'units': 3276, 'nano': 0}","{'units': 3299, 'nano': 0}",1419337,True,1
2025-02-27 00:00:00+00:00,"{'units': 3295, 'nano': 500000000}","{'units': 3362, 'nano': 500000000}","{'units': 3202, 'nano': 0}","{'units': 3222, 'nano': 500000000}",1495848,True,1
2025-02-28 00:00:00+00:00,"{'units': 3220, 'nano': 0}","{'units': 3349, 'nano': 500000000}","{'units': 3175, 'nano': 0}","{'units': 3334, 'nano': 0}",1370411,True,1
2025-03-01 00:00:00+00:00,"{'units': 3340, 'nano': 0}","{'units': 3352, 'nano': 0}","{'units': 3325, 'nano': 500000000}","{'units': 3333, 'nano': 500000000}",25308,True,1
2025-03-02 00:00:00+00:00,"{'units': 3336, 'nano': 0}","{'units': 3349, 'nano': 0}","{'units': 3303, 'nano': 500000000}","{'units': 3320, 'nano': 0}",33952,True,1
2025-03-03 00:00:00+00:00,"{'units': 3318, 'nano': 0}","{'units': 3340, 'nano': 0}","{'units': 3191, 'nano': 0}","{'units': 3257, 'nano': 0}",1034661,True,1
2025-03-04 00:00:00+00:00,"{'units': 3260, 'nano': 0}","{'units': 3389, 'nano': 0}","{'units': 3260, 'nano': 0}","{'units': 3348, 'nano': 500000000}",1112001,True,1
2025-03-05 00:00:00+00:00,"{'units': 3351, 'nano': 0}","{'units': 3380, 'nano': 0}","{'units': 3300, 'nano': 0}","{'units': 3322, 'nano': 500000000}",912139,True,1
2025-03-06 00:00:00+00:00,"{'units': 3304, 'nano': 500000000}","{'units': 3343, 'nano': 500000000}","{'units': 3277, 'nano': 500000000}","{'units': 3337, 'nano': 500000000}",513723,True,1
2025-03-07 00:00:00+00:00,"{'units': 3337, 'nano': 0}","{'units': 3433, 'nano': 500000000}","{'units': 3322, 'nano': 500000000}","{'units': 3393, 'nano': 0}",1348015,True,1
2025-03-10 00:00:00+00:00,"{'units': 3393, 'nano': 500000000}","{'units': 3495, 'nano': 0}","{'units': 3393, 'nano': 0}","{'units': 3464, 'nano': 500000000}",1244368,True,1
2025-03-11 00:00:00+00:00,"{'units': 3465, 'nano': 0}","{'units': 3565, 'nano': 0}","{'units': 3457, 'nano': 0}","{'units': 3547, 'nano': 500000000}",1651586,True,1
2025-03-12 00:00:00+00:00,"{'units': 3550, 'nano': 0}","{'units': 3565, 'nano': 0}","{'units': 3440, 'nano': 0}","{'units': 3518, 'nano': 0}",1093014,True,1
2025-03-13 00:00:00+00:00,"{'units': 3518, 'nano': 500000000}","{'units': 3547, 'nano': 500000000}","{'units': 3425, 'nano': 0}","{'units': 3513, 'nano': 0}",1465422,True,1
2025-03-14 00:00:00+00:00,"{'units': 3511, 'nano': 0}","{'units': 3615, 'nano': 500000000}","{'units': 3487, 'nano': 500000000}","{'units': 3610, 'nano': 0}",1182982,True,1
2025-03-15 00:00:00+00:00,"{'units': 3616, 'nano': 0}","{'units': 3640, 'nano': 0}","{'units': 3610, 'nano': 0}","{'units': 3630, 'nano': 500000000}",54462,True,1
2025-03-16 00:00:00+00:00,"{'units': 3605, 'nano': 0}","{'units': 3645, 'nano': 0}","{'units': 3605, 'nano': 0}","{'units': 3644, 'nano': 500000000}",47953,True,1
2025-03-17 00:00:00+00:00,"{'units': 3640, 'nano': 0}","{'units': 3666, 'nano': 0}","{'units': 3592, 'nano': 0}","{'units': 3648, 'nano': 0}",1766147,True,1
2025-03-18 00:00:00+00:00,"{'units': 3648, 'nano': 500000000}","{'units': 3663, 'nano': 0}","{'units': 3580, 'nano': 0}","{'units': 3608, 'nano': 0}",977770,True,1
2025-03-19 00:00:00+00:00,"{'units': 3618, 'nano': 0}","{'units': 3744, 'nano': 0}","{'units': 3601, 'nano': 0}","{'units': 3736, 'nano': 0}",1268630,True,1
2025-03-20 00:00:00+00:00,"{'units': 3745, 'nano': 0}","{'units': 3764, 'nano': 0}","{'units': 3654, 'nano': 0}","{'units': 3694, 'nano': 0}",1154929,True,1
2025-03-21 00:00:00+00:00,"{'units': 3695, 'nano': 0}","{'units': 3719, 'nano': 0}","{'units': 3610, 'nano': 0}","{'units': 3648, 'nano': 0}",3192225,True,1
2025-03-24 00:00:00+00:00,"{'units': 3653, 'nano': 0}","{'units': 3663, 'nano': 0}","{'units': 3570, 'nano': 0}","{'units': 3589, 'nano': 500000000}",1438070,True,1
2025-03-25 00:00:00+00:00,"{'units': 3590, 'nano': 0}","{'units': 3609, 'nano': 0}","{'units': 3541, 'nano': 0}","{'units': 3587, 'nano': 500000000}",1019240,True,1
2025-03-26 00:00:00+00:00,"{'units': 3598, 'nano': 0}","{'units': 3615, 'nano': 0}","{'units': 3472, 'nano': 0}","{'units': 3487, 'nano': 500000000}",1383765,True,1
2025-03-27 00:00:00+00:00,"{'units': 3488, 'nano': 0}","{'units': 3546, 'nano': 0}","{'units': 3454, 'nano': 0}","{'units': 3503, 'nano': 0}",1695045,True,1
2025-03-28 00:00:00+00:00,"{'units': 3501, 'nano': 0}","{'units': 3549, 'nano': 500000000}","{'units': 3475, 'nano': 500000000}","{'units': 3508, 'nano': 0}",1340007,True,1
2025-03-29 00:00:00+00:00,"{'units': 3520, 'nano': 0}","{'units': 3524, 'nano': 500000000}","{'units': 3475, 'nano': 500000000}","{'units': 3487, 'nano': 0}",79743,True,1
2025-03-30 00:00:00+00:00,"{'units': 3487, 'nano': 0}","{'units': 3505, 'nano': 0}","{'units': 3422, 'nano': 500000000}","{'units': 3426, 'nano': 0}",149830,True,1
2025-03-31 00:00:00+00:00,"{'units': 3443, 'nano': 500000000}","{'units': 3524, 'nano': 0}","{'units': 3415, 'nano': 0}","{'units': 3507, 'nano': 500000000}",1067893,True,1
2025-04-01 00:00:00+00:00,"{'units': 3507, 'nano': 500000000}","{'units': 3535, 'nano': 0}","{'units': 3424, 'nano': 0}","{'units': 3443, 'nano': 0}",1302258,True,1
2025-04-02 00:00:00+00:00,"{'units': 3440, 'nano': 0}","{'units': 3462, 'nano': 0}","{'units': 3390, 'nano': 500000000}","{'units': 3418, 'nano': 0}",903705,True,1
2025-04-03 00:00:00+00:00,"{'units': 3415, 'nano': 0}","{'units': 3447, 'nano': 0}","{'units': 3300, 'nano': 0}","{'units': 3350, 'nano': 0}",1386844,True,1
2025-04-04 00:00:00+00:00,"{'units': 3364, 'nano': 0}","{'units': 3375, 'nano': 0}","{'units': 3218, 'nano': 0}","{'units': 3246, 'nano': 500000000}",1540020,True,1
2025-04-05 00:00:00+00:00,"{'units': 3246, 'nano': 500000000}","{'units': 3313, 'nano': 500000000}","{'units': 3181, 'nano': 0}","{'units': 3284, 'nano': 500000000}",246557,True,1
2025-04-06 00:00:00+00:00,"{'units': 3287, 'nano': 0}","{'units': 3356, 'nano': 500000000}","{'units': 3277, 'nano': 500000000}","{'units': 3349, 'nano': 500000000}",224148,True,1
2025-04-07 00:00:00+00:00,"{'units': 3300, 'nano': 0}","{'units': 3350, 'nano': 0}","{'units': 3190, 'nano': 0}","{'units': 3227, 'nano': 0}",1931310,True,1
2025-04-08 00:00:00+00:00,"{'units': 3231, 'nano': 500000000}","{'units': 3285, 'nano': 500000000}","{'units': 3200, 'nano': 0}","{'units': 3209, 'nano': 500000000}",1061580,True,1
2025-04-09 00:00:00+00:00,"{'units': 3212, 'nano': 0}","{'units': 3298, 'nano': 0}","{'units': 3090, 'nano': 0}","{'units': 3294, 'nano': 500000000}",1807907,True,1
2025-04-10 00:00:00+00:00,"{'units': 3299, 'nano': 500000000}","{'units': 3303, 'nano': 0}","{'units': 3202, 'nano': 0}","{'units': 3238, 'nano': 500000000}",799169,True,1
2025-04-11 00:00:00+00:00,"{'units': 3242, 'nano': 0}","{'units': 3331, 'nano': 500000000}","{'units': 3235, 'nano': 0}","{'units': 3325, 'nano': 500000000}",755328,True,1
2025-04-12 00:00:00+00:00,"{'units': 3335, 'nano': 0}","{'units': 3355, 'nano': 0}","{'units': 3331, 'nano': 0}","{'units': 3351, 'nano': 0}",107102,True,1
2025-04-13 00:00:00+00:00,"{'units': 3351, 'nano': 0}","{'units': 3388, 'nano': 500000000}","{'units': 3344, 'nano': 0}","{'units': 3375, 'nano': 500000000}",127100,True,1
2025-04-14 00:00:00+00:00,"{'units': 3380, 'nano': 0}","{'units': 3389, 'nano': 0}","{'units': 3310, 'nano': 0}","{'units': 3351, 'nano': 0}",751987,True,1
2025-04-15 00:00:00+00:00,"{'units': 3351, 'nano': 0}","{'units': 3377, 'nano': 0}","{'units': 3323, 'nano': 500000000}","{'units': 3347, 'nano': 0}",323642,True,1
2025-04-16 00:00:00+00:00,"{'units': 3351, 'nano': 0}","{'units': 3414, 'nano': 500000000}","{'units': 3301, 'nano': 500000000}","{'units': 3388, 'nano': 0}",733990,True,1
2025-04-17 00:00:00+00:00,"{'units': 3390, 'nano': 500000000}","{'units': 3414, 'nano': 500000000}","{'units': 3372, 'nano': 0}","{'units': 3404, 'nano': 0}",575909,True,1
2025-04-18 00:00:00+00:00,"{'units': 3397, 'nano': 0}","{'units': 3400, 'nano': 0}","{'units': 3310, 'nano': 500000000}","{'units': 3350, 'nano': 0}",581168,True,1
2025-04-21 00:00:00+00:00,"{'units': 3373, 'nano': 0}","{'units': 3408, 'nano': 0}","{'units': 3360, 'nano': 0}","{'units': 3398, 'nano': 0}",466104,True,1
2025-04-22 00:00:00+00:00,"{'units': 3398, 'nano': 0}","{'units': 3420, 'nano': 0}","{'units': 3376, 'nano': 0}","{'units': 3400, 'nano': 0}",676572,True,1
2025-04-23 00:00:00+00:00,"{'units': 3400, 'nano': 500000000}","{'units': 3418, 'nano': 0}","{'units': 3354, 'nano': 500000000}","{'units': 3383, 'nano': 0}",490973,True,1
2025-04-24 00:00:00+00:00,"{'units': 3384, 'nano': 500000000}","{'units': 3439, 'nano': 500000000}","{'units': 3378, 'nano': 0}","{'units': 3390, 'nano': 0}",756717,True,1
2025-04-25 00:00:00+00:00,"{'units': 3399, 'nano': 0}","{'units': 3424, 'nano': 500000000}","{'units': 3389, 'nano': 0}","{'units': 3416, 'nano': 500000000}",603494,True,1
2025-04-26 00:00:00+00:00,"{'units': 3424, 'nano': 0}","{'units': 3452, 'nano': 0}","{'units': 3418, 'nano': 500000000}","{'units': 3439, 'nano': 0}",192764,True,1
2025-04-27 00:00:00+00:00,"{'units': 3440, 'nano': 0}","{'units': 3455, 'nano': 0}","{'units': 3440, 'nano': 0}","{'units': 3445, 'nano': 0}",52318,True,1
2025-04-28 00:00:00+00:00,"{'units': 3445, 'nano': 0}","{'units': 3462, 'nano': 0}","{'units': 3392, 'nano': 500000000}","{'units': 3407, 'nano': 0}",714572,True,1
2025-04-29 00:00:00+00:00,"{'units': 3407, 'nano': 0}","{'units': 3419, 'nano': 0}","{'units': 3317, 'nano': 0}","{'units': 3357, 'nano': 0}",576775,True,1
2025-04-30 00:00:00+00:00,"{'units': 3357, 'nano': 0}","{'units': 3358, 'nano': 0}","{'units': 3309, 'nano': 0}","{'units': 3341, 'nano': 0}",682500,True,1
2025-05-02 00:00:00+00:00,"{'units': 3341, 'nano': 0}","{'units': 3348, 'nano': 500000000}","{'units': 3265, 'nano': 500000000}","{'units': 3283, 'nano': 500000000}",309149,True,1
2025-05-03 00:00:00+00:00,"{'units': 3283, 'nano': 500000000}","{'units': 3306, 'nano': 500000000}","{'units': 3281, 'nano': 0}","{'units': 3300, 'nano': 0}",43620,True,1
2025-05-04 00:00:00+00:00,"{'units': 3300, 'nano': 0}","{'units': 3368, 'nano': 0}","{'units': 3299, 'nano': 0}","{'units': 3315, 'nano': 0}",79137,True,1
2025-05-05 00:00:00+00:00,"{'units': 3321, 'nano': 500000000}","{'units': 3334, 'nano': 500000000}","{'units': 3200, 'nano': 0}","{'units': 3237, 'nano': 0}",848443,True,1
2025-05-06 00:00:00+00:00,"{'units': 3239, 'nano': 500000000}","{'units': 3266, 'nano': 500000000}","{'units': 3201, 'nano': 500000000}","{'units': 3238, 'nano': 500000000}",575476,True,1
