time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 90, 'nano': 160000000}","{'units': 90, 'nano': 880000000}","{'units': 88, 'nano': 600000000}","{'units': 88, 'nano': 840000000}",27214,True,1
2025-02-05 00:00:00+00:00,"{'units': 88, 'nano': 840000000}","{'units': 90, 'nano': 880000000}","{'units': 87, 'nano': 480000000}","{'units': 90, 'nano': 160000000}",39363,True,1
2025-02-06 00:00:00+00:00,"{'units': 89, 'nano': 900000000}","{'units': 91, 'nano': 720000000}","{'units': 89, 'nano': 700000000}","{'units': 90, 'nano': 240000000}",89599,True,1
2025-02-07 00:00:00+00:00,"{'units': 90, 'nano': 240000000}","{'units': 93, 'nano': 220000000}","{'units': 89, 'nano': 220000000}","{'units': 91, 'nano': 360000000}",184272,True,1
2025-02-10 00:00:00+00:00,"{'units': 92, 'nano': 60000000}","{'units': 94, 'nano': 720000000}","{'units': 90, 'nano': 900000000}","{'units': 91, 'nano': 80000000}",86285,True,1
2025-02-11 00:00:00+00:00,"{'units': 91, 'nano': 120000000}","{'units': 92, 'nano': 40000000}","{'units': 90, 'nano': 780000000}","{'units': 92, 'nano': 40000000}",27803,True,1
2025-02-12 00:00:00+00:00,"{'units': 92, 'nano': 660000000}","{'units': 93, 'nano': 680000000}","{'units': 88, 'nano': 900000000}","{'units': 93, 'nano': 160000000}",155914,True,1
2025-02-13 00:00:00+00:00,"{'units': 93, 'nano': 140000000}","{'units': 94, 'nano': 100000000}","{'units': 90, 'nano': 0}","{'units': 91, 'nano': 460000000}",55904,True,1
2025-02-14 00:00:00+00:00,"{'units': 91, 'nano': 780000000}","{'units': 93, 'nano': 940000000}","{'units': 90, 'nano': 680000000}","{'units': 91, 'nano': 460000000}",79344,True,1
2025-02-17 00:00:00+00:00,"{'units': 91, 'nano': 980000000}","{'units': 93, 'nano': 920000000}","{'units': 91, 'nano': 860000000}","{'units': 93, 'nano': 300000000}",81586,True,1
2025-02-18 00:00:00+00:00,"{'units': 93, 'nano': 840000000}","{'units': 99, 'nano': 460000000}","{'units': 93, 'nano': 0}","{'units': 94, 'nano': 140000000}",516375,True,1
2025-02-19 00:00:00+00:00,"{'units': 94, 'nano': 300000000}","{'units': 97, 'nano': 800000000}","{'units': 93, 'nano': 240000000}","{'units': 95, 'nano': 180000000}",189321,True,1
2025-02-20 00:00:00+00:00,"{'units': 95, 'nano': 40000000}","{'units': 95, 'nano': 880000000}","{'units': 94, 'nano': 120000000}","{'units': 94, 'nano': 900000000}",31646,True,1
2025-02-21 00:00:00+00:00,"{'units': 94, 'nano': 900000000}","{'units': 96, 'nano': 400000000}","{'units': 93, 'nano': 120000000}","{'units': 94, 'nano': 900000000}",63382,True,1
2025-02-24 00:00:00+00:00,"{'units': 95, 'nano': 60000000}","{'units': 98, 'nano': 320000000}","{'units': 95, 'nano': 60000000}","{'units': 96, 'nano': 480000000}",120354,True,1
2025-02-25 00:00:00+00:00,"{'units': 96, 'nano': 520000000}","{'units': 105, 'nano': 0}","{'units': 95, 'nano': 520000000}","{'units': 100, 'nano': 660000000}",337018,True,1
2025-02-26 00:00:00+00:00,"{'units': 101, 'nano': 700000000}","{'units': 102, 'nano': 120000000}","{'units': 95, 'nano': 540000000}","{'units': 96, 'nano': 40000000}",120444,True,1
2025-02-27 00:00:00+00:00,"{'units': 96, 'nano': 40000000}","{'units': 99, 'nano': 800000000}","{'units': 93, 'nano': 240000000}","{'units': 93, 'nano': 920000000}",112777,True,1
2025-02-28 00:00:00+00:00,"{'units': 94, 'nano': 0}","{'units': 101, 'nano': 660000000}","{'units': 93, 'nano': 400000000}","{'units': 96, 'nano': 640000000}",129271,True,1
2025-03-03 00:00:00+00:00,"{'units': 96, 'nano': 640000000}","{'units': 98, 'nano': 640000000}","{'units': 94, 'nano': 600000000}","{'units': 97, 'nano': 100000000}",37677,True,1
2025-03-04 00:00:00+00:00,"{'units': 97, 'nano': 960000000}","{'units': 99, 'nano': 0}","{'units': 97, 'nano': 520000000}","{'units': 98, 'nano': 20000000}",27996,True,1
2025-03-05 00:00:00+00:00,"{'units': 98, 'nano': 800000000}","{'units': 101, 'nano': 880000000}","{'units': 95, 'nano': 880000000}","{'units': 96, 'nano': 640000000}",85717,True,1
2025-03-06 00:00:00+00:00,"{'units': 98, 'nano': 500000000}","{'units': 104, 'nano': 480000000}","{'units': 97, 'nano': 620000000}","{'units': 100, 'nano': 540000000}",218455,True,1
2025-03-07 00:00:00+00:00,"{'units': 101, 'nano': 100000000}","{'units': 101, 'nano': 200000000}","{'units': 97, 'nano': 100000000}","{'units': 98, 'nano': 820000000}",49030,True,1
2025-03-10 00:00:00+00:00,"{'units': 98, 'nano': 900000000}","{'units': 101, 'nano': 0}","{'units': 97, 'nano': 220000000}","{'units': 97, 'nano': 880000000}",35586,True,1
2025-03-11 00:00:00+00:00,"{'units': 97, 'nano': 500000000}","{'units': 99, 'nano': 360000000}","{'units': 95, 'nano': 460000000}","{'units': 96, 'nano': 720000000}",54272,True,1
2025-03-12 00:00:00+00:00,"{'units': 96, 'nano': 640000000}","{'units': 97, 'nano': 660000000}","{'units': 94, 'nano': 620000000}","{'units': 95, 'nano': 240000000}",35007,True,1
