time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 4, 'nano': 235000000}","{'units': 4, 'nano': 350000000}","{'units': 4, 'nano': 215000000}","{'units': 4, 'nano': 260000000}",60375,True,1
2025-02-05 00:00:00+00:00,"{'units': 4, 'nano': 285000000}","{'units': 4, 'nano': 290000000}","{'units': 4, 'nano': 110000000}","{'units': 4, 'nano': 195000000}",47123,True,1
2025-02-06 00:00:00+00:00,"{'units': 4, 'nano': 280000000}","{'units': 4, 'nano': 375000000}","{'units': 4, 'nano': 205000000}","{'units': 4, 'nano': 260000000}",113238,True,1
2025-02-07 00:00:00+00:00,"{'units': 4, 'nano': 280000000}","{'units': 4, 'nano': 450000000}","{'units': 4, 'nano': 205000000}","{'units': 4, 'nano': 250000000}",131607,True,1
2025-02-10 00:00:00+00:00,"{'units': 4, 'nano': 300000000}","{'units': 4, 'nano': 335000000}","{'units': 4, 'nano': 245000000}","{'units': 4, 'nano': 270000000}",30437,True,1
2025-02-11 00:00:00+00:00,"{'units': 4, 'nano': 270000000}","{'units': 4, 'nano': 295000000}","{'units': 4, 'nano': 180000000}","{'units': 4, 'nano': 225000000}",35372,True,1
2025-02-12 00:00:00+00:00,"{'units': 4, 'nano': 245000000}","{'units': 4, 'nano': 300000000}","{'units': 4, 'nano': 150000000}","{'units': 4, 'nano': 170000000}",53710,True,1
2025-02-13 00:00:00+00:00,"{'units': 4, 'nano': 290000000}","{'units': 4, 'nano': 340000000}","{'units': 4, 'nano': 175000000}","{'units': 4, 'nano': 220000000}",66683,True,1
2025-02-14 00:00:00+00:00,"{'units': 4, 'nano': 290000000}","{'units': 4, 'nano': 570000000}","{'units': 4, 'nano': 235000000}","{'units': 4, 'nano': 320000000}",360410,True,1
2025-02-17 00:00:00+00:00,"{'units': 4, 'nano': 420000000}","{'units': 4, 'nano': 650000000}","{'units': 4, 'nano': 410000000}","{'units': 4, 'nano': 600000000}",197810,True,1
2025-02-18 00:00:00+00:00,"{'units': 4, 'nano': 595000000}","{'units': 4, 'nano': 795000000}","{'units': 4, 'nano': 505000000}","{'units': 4, 'nano': 560000000}",175875,True,1
2025-02-19 00:00:00+00:00,"{'units': 4, 'nano': 575000000}","{'units': 4, 'nano': 630000000}","{'units': 4, 'nano': 400000000}","{'units': 4, 'nano': 520000000}",70055,True,1
2025-02-20 00:00:00+00:00,"{'units': 4, 'nano': 550000000}","{'units': 4, 'nano': 625000000}","{'units': 4, 'nano': 525000000}","{'units': 4, 'nano': 545000000}",55209,True,1
2025-02-21 00:00:00+00:00,"{'units': 4, 'nano': 565000000}","{'units': 4, 'nano': 800000000}","{'units': 4, 'nano': 545000000}","{'units': 4, 'nano': 625000000}",71002,True,1
2025-02-24 00:00:00+00:00,"{'units': 4, 'nano': 655000000}","{'units': 4, 'nano': 750000000}","{'units': 4, 'nano': 595000000}","{'units': 4, 'nano': 650000000}",58614,True,1
2025-02-25 00:00:00+00:00,"{'units': 4, 'nano': 660000000}","{'units': 4, 'nano': 720000000}","{'units': 4, 'nano': 520000000}","{'units': 4, 'nano': 620000000}",74373,True,1
2025-02-26 00:00:00+00:00,"{'units': 4, 'nano': 675000000}","{'units': 4, 'nano': 715000000}","{'units': 4, 'nano': 450000000}","{'units': 4, 'nano': 570000000}",77278,True,1
2025-02-27 00:00:00+00:00,"{'units': 4, 'nano': 480000000}","{'units': 4, 'nano': 510000000}","{'units': 4, 'nano': 325000000}","{'units': 4, 'nano': 400000000}",60410,True,1
2025-02-28 00:00:00+00:00,"{'units': 4, 'nano': 400000000}","{'units': 4, 'nano': 430000000}","{'units': 4, 'nano': 195000000}","{'units': 4, 'nano': 315000000}",46961,True,1
2025-03-03 00:00:00+00:00,"{'units': 4, 'nano': 280000000}","{'units': 4, 'nano': 305000000}","{'units': 4, 'nano': 155000000}","{'units': 4, 'nano': 290000000}",32308,True,1
2025-03-04 00:00:00+00:00,"{'units': 4, 'nano': 305000000}","{'units': 4, 'nano': 415000000}","{'units': 4, 'nano': 265000000}","{'units': 4, 'nano': 300000000}",29298,True,1
2025-03-05 00:00:00+00:00,"{'units': 4, 'nano': 325000000}","{'units': 4, 'nano': 440000000}","{'units': 4, 'nano': 305000000}","{'units': 4, 'nano': 380000000}",31424,True,1
2025-03-06 00:00:00+00:00,"{'units': 4, 'nano': 420000000}","{'units': 4, 'nano': 625000000}","{'units': 4, 'nano': 375000000}","{'units': 4, 'nano': 450000000}",150730,True,1
2025-03-07 00:00:00+00:00,"{'units': 4, 'nano': 480000000}","{'units': 4, 'nano': 515000000}","{'units': 4, 'nano': 305000000}","{'units': 4, 'nano': 315000000}",31877,True,1
2025-03-10 00:00:00+00:00,"{'units': 4, 'nano': 375000000}","{'units': 4, 'nano': 470000000}","{'units': 4, 'nano': 300000000}","{'units': 4, 'nano': 330000000}",28745,True,1
2025-03-11 00:00:00+00:00,"{'units': 4, 'nano': 330000000}","{'units': 4, 'nano': 395000000}","{'units': 4, 'nano': 235000000}","{'units': 4, 'nano': 245000000}",32232,True,1
2025-03-12 00:00:00+00:00,"{'units': 4, 'nano': 245000000}","{'units': 4, 'nano': 270000000}","{'units': 4, 'nano': 160000000}","{'units': 4, 'nano': 180000000}",25628,True,1
2025-03-13 00:00:00+00:00,"{'units': 4, 'nano': 195000000}","{'units': 4, 'nano': 195000000}","{'units': 4, 'nano': 70000000}","{'units': 4, 'nano': 95000000}",18850,True,1
2025-03-14 00:00:00+00:00,"{'units': 4, 'nano': 95000000}","{'units': 4, 'nano': 240000000}","{'units': 4, 'nano': 95000000}","{'units': 4, 'nano': 220000000}",21606,True,1
2025-03-17 00:00:00+00:00,"{'units': 4, 'nano': 280000000}","{'units': 4, 'nano': 350000000}","{'units': 4, 'nano': 115000000}","{'units': 4, 'nano': 265000000}",44526,True,1
2025-03-18 00:00:00+00:00,"{'units': 4, 'nano': 280000000}","{'units': 4, 'nano': 305000000}","{'units': 4, 'nano': 210000000}","{'units': 4, 'nano': 220000000}",23568,True,1
2025-03-19 00:00:00+00:00,"{'units': 4, 'nano': 265000000}","{'units': 4, 'nano': 310000000}","{'units': 4, 'nano': 145000000}","{'units': 4, 'nano': 230000000}",29876,True,1
2025-03-20 00:00:00+00:00,"{'units': 4, 'nano': 270000000}","{'units': 4, 'nano': 295000000}","{'units': 4, 'nano': 225000000}","{'units': 4, 'nano': 245000000}",17465,True,1
2025-03-21 00:00:00+00:00,"{'units': 4, 'nano': 245000000}","{'units': 4, 'nano': 280000000}","{'units': 4, 'nano': 150000000}","{'units': 4, 'nano': 165000000}",16506,True,1
2025-03-24 00:00:00+00:00,"{'units': 4, 'nano': 190000000}","{'units': 4, 'nano': 230000000}","{'units': 4, 'nano': 120000000}","{'units': 4, 'nano': 185000000}",18008,True,1
2025-03-25 00:00:00+00:00,"{'units': 4, 'nano': 200000000}","{'units': 4, 'nano': 220000000}","{'units': 4, 'nano': 125000000}","{'units': 4, 'nano': 150000000}",9772,True,1
2025-03-26 00:00:00+00:00,"{'units': 4, 'nano': 180000000}","{'units': 4, 'nano': 300000000}","{'units': 4, 'nano': 130000000}","{'units': 4, 'nano': 185000000}",49970,True,1
2025-03-27 00:00:00+00:00,"{'units': 4, 'nano': 145000000}","{'units': 4, 'nano': 170000000}","{'units': 4, 'nano': 35000000}","{'units': 4, 'nano': 65000000}",30941,True,1
2025-03-28 00:00:00+00:00,"{'units': 4, 'nano': 35000000}","{'units': 4, 'nano': 50000000}","{'units': 3, 'nano': 900000000}","{'units': 3, 'nano': 980000000}",50772,True,1
2025-03-31 00:00:00+00:00,"{'units': 3, 'nano': 905000000}","{'units': 3, 'nano': 990000000}","{'units': 3, 'nano': 855000000}","{'units': 3, 'nano': 905000000}",42107,True,1
2025-04-01 00:00:00+00:00,"{'units': 3, 'nano': 950000000}","{'units': 4, 'nano': 110000000}","{'units': 3, 'nano': 880000000}","{'units': 3, 'nano': 970000000}",55728,True,1
2025-04-02 00:00:00+00:00,"{'units': 3, 'nano': 965000000}","{'units': 4, 'nano': 15000000}","{'units': 3, 'nano': 905000000}","{'units': 3, 'nano': 945000000}",55421,True,1
2025-04-03 00:00:00+00:00,"{'units': 3, 'nano': 945000000}","{'units': 4, 'nano': 70000000}","{'units': 3, 'nano': 805000000}","{'units': 3, 'nano': 830000000}",83383,True,1
2025-04-04 00:00:00+00:00,"{'units': 3, 'nano': 900000000}","{'units': 3, 'nano': 920000000}","{'units': 3, 'nano': 590000000}","{'units': 3, 'nano': 655000000}",81807,True,1
2025-04-07 00:00:00+00:00,"{'units': 3, 'nano': 635000000}","{'units': 3, 'nano': 645000000}","{'units': 3, 'nano': 380000000}","{'units': 3, 'nano': 575000000}",62989,True,1
2025-04-08 00:00:00+00:00,"{'units': 3, 'nano': 635000000}","{'units': 3, 'nano': 750000000}","{'units': 3, 'nano': 575000000}","{'units': 3, 'nano': 575000000}",52460,True,1
