time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 11, 'nano': 75000000}","{'units': 11, 'nano': 480000000}","{'units': 11, 'nano': 70000000}","{'units': 11, 'nano': 130000000}",13450,True,1
2025-02-05 00:00:00+00:00,"{'units': 11, 'nano': 130000000}","{'units': 11, 'nano': 150000000}","{'units': 10, 'nano': 850000000}","{'units': 11, 'nano': 0}",11142,True,1
2025-02-06 00:00:00+00:00,"{'units': 11, 'nano': 110000000}","{'units': 11, 'nano': 250000000}","{'units': 11, 'nano': 45000000}","{'units': 11, 'nano': 60000000}",7704,True,1
2025-02-07 00:00:00+00:00,"{'units': 11, 'nano': 185000000}","{'units': 11, 'nano': 185000000}","{'units': 10, 'nano': 920000000}","{'units': 10, 'nano': 950000000}",6474,True,1
2025-02-10 00:00:00+00:00,"{'units': 11, 'nano': 145000000}","{'units': 11, 'nano': 175000000}","{'units': 10, 'nano': 960000000}","{'units': 11, 'nano': 15000000}",7986,True,1
2025-02-11 00:00:00+00:00,"{'units': 10, 'nano': 950000000}","{'units': 11, 'nano': 70000000}","{'units': 10, 'nano': 885000000}","{'units': 10, 'nano': 955000000}",5949,True,1
2025-02-12 00:00:00+00:00,"{'units': 11, 'nano': 95000000}","{'units': 11, 'nano': 460000000}","{'units': 10, 'nano': 960000000}","{'units': 11, 'nano': 5000000}",40096,True,1
2025-02-13 00:00:00+00:00,"{'units': 11, 'nano': 585000000}","{'units': 11, 'nano': 890000000}","{'units': 11, 'nano': 100000000}","{'units': 11, 'nano': 240000000}",23201,True,1
2025-02-14 00:00:00+00:00,"{'units': 11, 'nano': 280000000}","{'units': 11, 'nano': 400000000}","{'units': 10, 'nano': 920000000}","{'units': 11, 'nano': 0}",23995,True,1
2025-02-17 00:00:00+00:00,"{'units': 11, 'nano': 265000000}","{'units': 11, 'nano': 320000000}","{'units': 11, 'nano': 55000000}","{'units': 11, 'nano': 225000000}",27779,True,1
2025-02-18 00:00:00+00:00,"{'units': 11, 'nano': 235000000}","{'units': 11, 'nano': 380000000}","{'units': 11, 'nano': 140000000}","{'units': 11, 'nano': 180000000}",23955,True,1
2025-02-19 00:00:00+00:00,"{'units': 11, 'nano': 205000000}","{'units': 11, 'nano': 345000000}","{'units': 11, 'nano': 100000000}","{'units': 11, 'nano': 220000000}",11283,True,1
2025-02-20 00:00:00+00:00,"{'units': 11, 'nano': 290000000}","{'units': 13, 'nano': 670000000}","{'units': 11, 'nano': 200000000}","{'units': 13, 'nano': 670000000}",465173,True,1
2025-02-21 00:00:00+00:00,"{'units': 14, 'nano': 350000000}","{'units': 15, 'nano': 0}","{'units': 14, 'nano': 165000000}","{'units': 15, 'nano': 0}",153339,True,1
