time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 87, 'nano': 950000000}","{'units': 90, 'nano': 450000000}","{'units': 84, 'nano': 900000000}","{'units': 85, 'nano': 700000000}",722243,True,1
2025-02-05 00:00:00+00:00,"{'units': 85, 'nano': 900000000}","{'units': 87, 'nano': 0}","{'units': 82, 'nano': 550000000}","{'units': 85, 'nano': 150000000}",679325,True,1
2025-02-06 00:00:00+00:00,"{'units': 86, 'nano': 0}","{'units': 87, 'nano': 0}","{'units': 85, 'nano': 100000000}","{'units': 85, 'nano': 600000000}",630053,True,1
2025-02-07 00:00:00+00:00,"{'units': 85, 'nano': 650000000}","{'units': 86, 'nano': 0}","{'units': 84, 'nano': 100000000}","{'units': 84, 'nano': 550000000}",400754,True,1
2025-02-10 00:00:00+00:00,"{'units': 85, 'nano': 600000000}","{'units': 86, 'nano': 950000000}","{'units': 84, 'nano': 650000000}","{'units': 86, 'nano': 400000000}",546163,True,1
2025-02-11 00:00:00+00:00,"{'units': 86, 'nano': 400000000}","{'units': 86, 'nano': 900000000}","{'units': 84, 'nano': 500000000}","{'units': 85, 'nano': 750000000}",554914,True,1
2025-02-12 00:00:00+00:00,"{'units': 86, 'nano': 700000000}","{'units': 89, 'nano': 850000000}","{'units': 85, 'nano': 0}","{'units': 85, 'nano': 500000000}",1104704,True,1
2025-02-13 00:00:00+00:00,"{'units': 88, 'nano': 150000000}","{'units': 89, 'nano': 800000000}","{'units': 85, 'nano': 300000000}","{'units': 88, 'nano': 50000000}",1058642,True,1
2025-02-14 00:00:00+00:00,"{'units': 89, 'nano': 0}","{'units': 94, 'nano': 600000000}","{'units': 86, 'nano': 750000000}","{'units': 91, 'nano': 950000000}",2445575,True,1
2025-02-17 00:00:00+00:00,"{'units': 92, 'nano': 500000000}","{'units': 104, 'nano': 0}","{'units': 92, 'nano': 500000000}","{'units': 100, 'nano': 0}",3803745,True,1
2025-02-18 00:00:00+00:00,"{'units': 100, 'nano': 50000000}","{'units': 101, 'nano': 950000000}","{'units': 96, 'nano': 500000000}","{'units': 98, 'nano': 200000000}",994004,True,1
2025-02-19 00:00:00+00:00,"{'units': 99, 'nano': 0}","{'units': 105, 'nano': 0}","{'units': 97, 'nano': 0}","{'units': 103, 'nano': 500000000}",1367598,True,1
2025-02-20 00:00:00+00:00,"{'units': 106, 'nano': 0}","{'units': 115, 'nano': 0}","{'units': 105, 'nano': 550000000}","{'units': 111, 'nano': 500000000}",3148705,True,1
2025-02-21 00:00:00+00:00,"{'units': 113, 'nano': 700000000}","{'units': 114, 'nano': 0}","{'units': 107, 'nano': 50000000}","{'units': 110, 'nano': 450000000}",1161699,True,1
2025-02-24 00:00:00+00:00,"{'units': 112, 'nano': 50000000}","{'units': 114, 'nano': 400000000}","{'units': 108, 'nano': 150000000}","{'units': 109, 'nano': 900000000}",1079532,True,1
2025-02-25 00:00:00+00:00,"{'units': 110, 'nano': 650000000}","{'units': 112, 'nano': 150000000}","{'units': 110, 'nano': 0}","{'units': 110, 'nano': 250000000}",655378,True,1
2025-02-26 00:00:00+00:00,"{'units': 110, 'nano': 800000000}","{'units': 111, 'nano': 0}","{'units': 104, 'nano': 250000000}","{'units': 109, 'nano': 150000000}",1223670,True,1
2025-02-27 00:00:00+00:00,"{'units': 108, 'nano': 0}","{'units': 108, 'nano': 350000000}","{'units': 102, 'nano': 200000000}","{'units': 106, 'nano': 0}",648708,True,1
2025-02-28 00:00:00+00:00,"{'units': 105, 'nano': 0}","{'units': 105, 'nano': 900000000}","{'units': 101, 'nano': 500000000}","{'units': 105, 'nano': 100000000}",423014,True,1
2025-03-03 00:00:00+00:00,"{'units': 105, 'nano': 100000000}","{'units': 105, 'nano': 100000000}","{'units': 101, 'nano': 500000000}","{'units': 102, 'nano': 100000000}",533027,True,1
2025-03-04 00:00:00+00:00,"{'units': 106, 'nano': 100000000}","{'units': 111, 'nano': 0}","{'units': 106, 'nano': 50000000}","{'units': 107, 'nano': 300000000}",1377894,True,1
