time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 17, 'nano': 710000000}","{'units': 17, 'nano': 710000000}","{'units': 17, 'nano': 70000000}","{'units': 17, 'nano': 270000000}",27522,True,1
2025-02-05 00:00:00+00:00,"{'units': 17, 'nano': 110000000}","{'units': 17, 'nano': 450000000}","{'units': 16, 'nano': 900000000}","{'units': 17, 'nano': 180000000}",12097,True,1
2025-02-06 00:00:00+00:00,"{'units': 17, 'nano': 180000000}","{'units': 17, 'nano': 430000000}","{'units': 17, 'nano': 0}","{'units': 17, 'nano': 60000000}",6650,True,1
2025-02-07 00:00:00+00:00,"{'units': 17, 'nano': 70000000}","{'units': 17, 'nano': 240000000}","{'units': 16, 'nano': 910000000}","{'units': 17, 'nano': 10000000}",4470,True,1
2025-02-10 00:00:00+00:00,"{'units': 17, 'nano': 160000000}","{'units': 17, 'nano': 250000000}","{'units': 17, 'nano': 0}","{'units': 17, 'nano': 100000000}",4026,True,1
2025-02-11 00:00:00+00:00,"{'units': 17, 'nano': 70000000}","{'units': 17, 'nano': 120000000}","{'units': 16, 'nano': 410000000}","{'units': 16, 'nano': 840000000}",10503,True,1
2025-02-12 00:00:00+00:00,"{'units': 16, 'nano': 960000000}","{'units': 17, 'nano': 480000000}","{'units': 16, 'nano': 840000000}","{'units': 16, 'nano': 990000000}",22259,True,1
2025-02-13 00:00:00+00:00,"{'units': 17, 'nano': 750000000}","{'units': 17, 'nano': 980000000}","{'units': 17, 'nano': 50000000}","{'units': 17, 'nano': 310000000}",9798,True,1
2025-02-14 00:00:00+00:00,"{'units': 17, 'nano': 450000000}","{'units': 17, 'nano': 510000000}","{'units': 16, 'nano': 960000000}","{'units': 17, 'nano': 130000000}",10069,True,1
2025-02-17 00:00:00+00:00,"{'units': 17, 'nano': 430000000}","{'units': 17, 'nano': 740000000}","{'units': 17, 'nano': 240000000}","{'units': 17, 'nano': 370000000}",13259,True,1
2025-02-18 00:00:00+00:00,"{'units': 17, 'nano': 400000000}","{'units': 17, 'nano': 510000000}","{'units': 17, 'nano': 100000000}","{'units': 17, 'nano': 160000000}",4185,True,1
2025-02-19 00:00:00+00:00,"{'units': 17, 'nano': 190000000}","{'units': 17, 'nano': 210000000}","{'units': 16, 'nano': 960000000}","{'units': 17, 'nano': 20000000}",2816,True,1
2025-02-20 00:00:00+00:00,"{'units': 17, 'nano': 110000000}","{'units': 17, 'nano': 880000000}","{'units': 17, 'nano': 90000000}","{'units': 17, 'nano': 380000000}",31605,True,1
2025-02-21 00:00:00+00:00,"{'units': 17, 'nano': 590000000}","{'units': 18, 'nano': 510000000}","{'units': 17, 'nano': 450000000}","{'units': 17, 'nano': 900000000}",42854,True,1
2025-02-24 00:00:00+00:00,"{'units': 18, 'nano': 150000000}","{'units': 19, 'nano': 50000000}","{'units': 18, 'nano': 40000000}","{'units': 18, 'nano': 780000000}",54692,True,1
2025-02-25 00:00:00+00:00,"{'units': 18, 'nano': 930000000}","{'units': 19, 'nano': 360000000}","{'units': 18, 'nano': 420000000}","{'units': 18, 'nano': 440000000}",16791,True,1
2025-02-26 00:00:00+00:00,"{'units': 18, 'nano': 750000000}","{'units': 19, 'nano': 260000000}","{'units': 18, 'nano': 550000000}","{'units': 18, 'nano': 860000000}",37317,True,1
2025-02-27 00:00:00+00:00,"{'units': 18, 'nano': 790000000}","{'units': 19, 'nano': 70000000}","{'units': 18, 'nano': 110000000}","{'units': 18, 'nano': 310000000}",8798,True,1
2025-02-28 00:00:00+00:00,"{'units': 18, 'nano': 460000000}","{'units': 18, 'nano': 500000000}","{'units': 17, 'nano': 420000000}","{'units': 18, 'nano': 40000000}",19994,True,1
2025-03-03 00:00:00+00:00,"{'units': 18, 'nano': 300000000}","{'units': 18, 'nano': 300000000}","{'units': 17, 'nano': 470000000}","{'units': 17, 'nano': 810000000}",8191,True,1
2025-03-04 00:00:00+00:00,"{'units': 18, 'nano': 10000000}","{'units': 18, 'nano': 450000000}","{'units': 18, 'nano': 0}","{'units': 18, 'nano': 410000000}",4661,True,1
2025-03-05 00:00:00+00:00,"{'units': 18, 'nano': 390000000}","{'units': 18, 'nano': 520000000}","{'units': 18, 'nano': 210000000}","{'units': 18, 'nano': 290000000}",3127,True,1
2025-03-06 00:00:00+00:00,"{'units': 18, 'nano': 180000000}","{'units': 18, 'nano': 490000000}","{'units': 17, 'nano': 820000000}","{'units': 17, 'nano': 870000000}",5200,True,1
2025-03-07 00:00:00+00:00,"{'units': 18, 'nano': 110000000}","{'units': 18, 'nano': 320000000}","{'units': 17, 'nano': 500000000}","{'units': 17, 'nano': 640000000}",5717,True,1
2025-03-10 00:00:00+00:00,"{'units': 17, 'nano': 820000000}","{'units': 18, 'nano': 290000000}","{'units': 17, 'nano': 810000000}","{'units': 18, 'nano': 140000000}",3165,True,1
2025-03-11 00:00:00+00:00,"{'units': 18, 'nano': 0}","{'units': 18, 'nano': 120000000}","{'units': 17, 'nano': 820000000}","{'units': 17, 'nano': 920000000}",2107,True,1
2025-03-12 00:00:00+00:00,"{'units': 17, 'nano': 770000000}","{'units': 17, 'nano': 870000000}","{'units': 17, 'nano': 500000000}","{'units': 17, 'nano': 610000000}",1842,True,1
2025-03-13 00:00:00+00:00,"{'units': 17, 'nano': 440000000}","{'units': 17, 'nano': 440000000}","{'units': 17, 'nano': 30000000}","{'units': 17, 'nano': 150000000}",3291,True,1
2025-03-14 00:00:00+00:00,"{'units': 17, 'nano': 270000000}","{'units': 18, 'nano': 380000000}","{'units': 17, 'nano': 270000000}","{'units': 18, 'nano': 280000000}",8128,True,1
2025-03-17 00:00:00+00:00,"{'units': 18, 'nano': 300000000}","{'units': 18, 'nano': 400000000}","{'units': 17, 'nano': 930000000}","{'units': 18, 'nano': 150000000}",5623,True,1
2025-03-18 00:00:00+00:00,"{'units': 18, 'nano': 300000000}","{'units': 18, 'nano': 690000000}","{'units': 18, 'nano': 0}","{'units': 18, 'nano': 130000000}",10244,True,1
2025-03-19 00:00:00+00:00,"{'units': 18, 'nano': 120000000}","{'units': 18, 'nano': 380000000}","{'units': 17, 'nano': 710000000}","{'units': 18, 'nano': 160000000}",5541,True,1
2025-03-20 00:00:00+00:00,"{'units': 18, 'nano': 300000000}","{'units': 18, 'nano': 500000000}","{'units': 18, 'nano': 110000000}","{'units': 18, 'nano': 120000000}",2949,True,1
2025-03-21 00:00:00+00:00,"{'units': 18, 'nano': 110000000}","{'units': 18, 'nano': 190000000}","{'units': 17, 'nano': 850000000}","{'units': 17, 'nano': 890000000}",1302,True,1
2025-03-24 00:00:00+00:00,"{'units': 17, 'nano': 860000000}","{'units': 17, 'nano': 900000000}","{'units': 17, 'nano': 710000000}","{'units': 17, 'nano': 850000000}",878,True,1
2025-03-25 00:00:00+00:00,"{'units': 17, 'nano': 800000000}","{'units': 18, 'nano': 80000000}","{'units': 17, 'nano': 500000000}","{'units': 17, 'nano': 710000000}",2190,True,1
2025-03-26 00:00:00+00:00,"{'units': 17, 'nano': 850000000}","{'units': 19, 'nano': 300000000}","{'units': 17, 'nano': 850000000}","{'units': 18, 'nano': 220000000}",59688,True,1
2025-03-27 00:00:00+00:00,"{'units': 18, 'nano': 220000000}","{'units': 18, 'nano': 220000000}","{'units': 17, 'nano': 110000000}","{'units': 17, 'nano': 110000000}",8740,True,1
2025-03-28 00:00:00+00:00,"{'units': 16, 'nano': 880000000}","{'units': 17, 'nano': 400000000}","{'units': 16, 'nano': 110000000}","{'units': 16, 'nano': 480000000}",16258,True,1
2025-03-31 00:00:00+00:00,"{'units': 16, 'nano': 730000000}","{'units': 17, 'nano': 70000000}","{'units': 15, 'nano': 890000000}","{'units': 16, 'nano': 690000000}",9445,True,1
2025-04-01 00:00:00+00:00,"{'units': 16, 'nano': 960000000}","{'units': 17, 'nano': 320000000}","{'units': 16, 'nano': 210000000}","{'units': 16, 'nano': 730000000}",6147,True,1
2025-04-02 00:00:00+00:00,"{'units': 16, 'nano': 660000000}","{'units': 16, 'nano': 720000000}","{'units': 16, 'nano': 330000000}","{'units': 16, 'nano': 640000000}",3490,True,1
2025-04-03 00:00:00+00:00,"{'units': 16, 'nano': 710000000}","{'units': 17, 'nano': 320000000}","{'units': 16, 'nano': 320000000}","{'units': 16, 'nano': 410000000}",14137,True,1
2025-04-04 00:00:00+00:00,"{'units': 16, 'nano': 710000000}","{'units': 16, 'nano': 710000000}","{'units': 15, 'nano': 220000000}","{'units': 15, 'nano': 220000000}",9397,True,1
