time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 404, 'nano': 0}","{'units': 410, 'nano': 0}","{'units': 392, 'nano': 500000000}","{'units': 398, 'nano': 50000000}",194606,True,1
2025-02-05 00:00:00+00:00,"{'units': 397, 'nano': 900000000}","{'units': 405, 'nano': 0}","{'units': 394, 'nano': 0}","{'units': 399, 'nano': 800000000}",94658,True,1
2025-02-06 00:00:00+00:00,"{'units': 400, 'nano': 0}","{'units': 413, 'nano': 850000000}","{'units': 396, 'nano': 0}","{'units': 400, 'nano': 150000000}",196440,True,1
2025-02-07 00:00:00+00:00,"{'units': 400, 'nano': 150000000}","{'units': 404, 'nano': 300000000}","{'units': 391, 'nano': 650000000}","{'units': 398, 'nano': 700000000}",57366,True,1
2025-02-10 00:00:00+00:00,"{'units': 398, 'nano': 700000000}","{'units': 403, 'nano': 350000000}","{'units': 398, 'nano': 500000000}","{'units': 399, 'nano': 0}",34507,True,1
2025-02-11 00:00:00+00:00,"{'units': 398, 'nano': 900000000}","{'units': 403, 'nano': 900000000}","{'units': 382, 'nano': 100000000}","{'units': 403, 'nano': 0}",94221,True,1
2025-02-12 00:00:00+00:00,"{'units': 403, 'nano': 0}","{'units': 405, 'nano': 100000000}","{'units': 398, 'nano': 50000000}","{'units': 402, 'nano': 0}",66809,True,1
2025-02-13 00:00:00+00:00,"{'units': 414, 'nano': 400000000}","{'units': 414, 'nano': 400000000}","{'units': 393, 'nano': 50000000}","{'units': 399, 'nano': 50000000}",118076,True,1
2025-02-14 00:00:00+00:00,"{'units': 403, 'nano': 450000000}","{'units': 403, 'nano': 450000000}","{'units': 395, 'nano': 0}","{'units': 396, 'nano': 750000000}",77330,True,1
2025-02-17 00:00:00+00:00,"{'units': 397, 'nano': 400000000}","{'units': 407, 'nano': 0}","{'units': 397, 'nano': 350000000}","{'units': 406, 'nano': 450000000}",120617,True,1
2025-02-18 00:00:00+00:00,"{'units': 406, 'nano': 500000000}","{'units': 501, 'nano': 0}","{'units': 406, 'nano': 500000000}","{'units': 443, 'nano': 400000000}",2220775,True,1
2025-02-19 00:00:00+00:00,"{'units': 453, 'nano': 0}","{'units': 496, 'nano': 200000000}","{'units': 453, 'nano': 0}","{'units': 465, 'nano': 0}",1699255,True,1
2025-02-20 00:00:00+00:00,"{'units': 470, 'nano': 0}","{'units': 480, 'nano': 0}","{'units': 444, 'nano': 0}","{'units': 461, 'nano': 200000000}",655100,True,1
2025-02-21 00:00:00+00:00,"{'units': 465, 'nano': 0}","{'units': 469, 'nano': 850000000}","{'units': 449, 'nano': 0}","{'units': 456, 'nano': 0}",309778,True,1
2025-02-24 00:00:00+00:00,"{'units': 456, 'nano': 0}","{'units': 462, 'nano': 900000000}","{'units': 438, 'nano': 600000000}","{'units': 445, 'nano': 300000000}",250975,True,1
2025-02-25 00:00:00+00:00,"{'units': 447, 'nano': 100000000}","{'units': 464, 'nano': 500000000}","{'units': 443, 'nano': 0}","{'units': 452, 'nano': 200000000}",346575,True,1
2025-02-26 00:00:00+00:00,"{'units': 452, 'nano': 400000000}","{'units': 463, 'nano': 0}","{'units': 429, 'nano': 0}","{'units': 448, 'nano': 650000000}",245227,True,1
2025-02-27 00:00:00+00:00,"{'units': 440, 'nano': 0}","{'units': 451, 'nano': 200000000}","{'units': 431, 'nano': 0}","{'units': 445, 'nano': 300000000}",140755,True,1
2025-02-28 00:00:00+00:00,"{'units': 443, 'nano': 300000000}","{'units': 445, 'nano': 0}","{'units': 430, 'nano': 0}","{'units': 434, 'nano': 0}",81508,True,1
2025-03-03 00:00:00+00:00,"{'units': 436, 'nano': 0}","{'units': 437, 'nano': 900000000}","{'units': 420, 'nano': 0}","{'units': 427, 'nano': 850000000}",79192,True,1
2025-03-04 00:00:00+00:00,"{'units': 428, 'nano': 250000000}","{'units': 448, 'nano': 0}","{'units': 428, 'nano': 250000000}","{'units': 444, 'nano': 300000000}",115665,True,1
2025-03-05 00:00:00+00:00,"{'units': 445, 'nano': 0}","{'units': 458, 'nano': 0}","{'units': 445, 'nano': 0}","{'units': 449, 'nano': 400000000}",104052,True,1
2025-03-06 00:00:00+00:00,"{'units': 449, 'nano': 400000000}","{'units': 453, 'nano': 550000000}","{'units': 436, 'nano': 0}","{'units': 442, 'nano': 500000000}",89056,True,1
2025-03-07 00:00:00+00:00,"{'units': 446, 'nano': 0}","{'units': 453, 'nano': 950000000}","{'units': 442, 'nano': 500000000}","{'units': 442, 'nano': 500000000}",126614,True,1
2025-03-10 00:00:00+00:00,"{'units': 444, 'nano': 0}","{'units': 453, 'nano': 0}","{'units': 444, 'nano': 0}","{'units': 446, 'nano': 600000000}",35936,True,1
2025-03-11 00:00:00+00:00,"{'units': 445, 'nano': 50000000}","{'units': 446, 'nano': 600000000}","{'units': 432, 'nano': 600000000}","{'units': 433, 'nano': 0}",89257,True,1
2025-03-12 00:00:00+00:00,"{'units': 433, 'nano': 0}","{'units': 437, 'nano': 800000000}","{'units': 421, 'nano': 0}","{'units': 428, 'nano': 150000000}",75386,True,1
2025-03-13 00:00:00+00:00,"{'units': 428, 'nano': 150000000}","{'units': 430, 'nano': 50000000}","{'units': 413, 'nano': 50000000}","{'units': 422, 'nano': 350000000}",97816,True,1
