time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 1, 'nano': 184800000}","{'units': 1, 'nano': 184800000}","{'units': 1, 'nano': 141800000}","{'units': 1, 'nano': 141800000}",14242,True,1
2025-02-05 00:00:00+00:00,"{'units': 1, 'nano': 141800000}","{'units': 1, 'nano': 162700000}","{'units': 1, 'nano': 108200000}","{'units': 1, 'nano': 148100000}",41006,True,1
2025-02-06 00:00:00+00:00,"{'units': 1, 'nano': 155100000}","{'units': 1, 'nano': 197500000}","{'units': 1, 'nano': 148700000}","{'units': 1, 'nano': 157600000}",14035,True,1
2025-02-07 00:00:00+00:00,"{'units': 1, 'nano': 158200000}","{'units': 1, 'nano': 174700000}","{'units': 1, 'nano': 130400000}","{'units': 1, 'nano': 134200000}",17166,True,1
2025-02-10 00:00:00+00:00,"{'units': 1, 'nano': 143000000}","{'units': 1, 'nano': 167100000}","{'units': 1, 'nano': 135400000}","{'units': 1, 'nano': 139200000}",25809,True,1
2025-02-11 00:00:00+00:00,"{'units': 1, 'nano': 139200000}","{'units': 1, 'nano': 162000000}","{'units': 1, 'nano': 139200000}","{'units': 1, 'nano': 157000000}",13991,True,1
2025-02-12 00:00:00+00:00,"{'units': 1, 'nano': 166500000}","{'units': 1, 'nano': 230400000}","{'units': 1, 'nano': 159500000}","{'units': 1, 'nano': 217100000}",133260,True,1
2025-02-13 00:00:00+00:00,"{'units': 1, 'nano': 225900000}","{'units': 1, 'nano': 238000000}","{'units': 1, 'nano': 189900000}","{'units': 1, 'nano': 195600000}",47977,True,1
2025-02-14 00:00:00+00:00,"{'units': 1, 'nano': 202500000}","{'units': 1, 'nano': 227800000}","{'units': 1, 'nano': 150600000}","{'units': 1, 'nano': 166500000}",134126,True,1
2025-02-17 00:00:00+00:00,"{'units': 1, 'nano': 208200000}","{'units': 1, 'nano': 272200000}","{'units': 1, 'nano': 198100000}","{'units': 1, 'nano': 212000000}",255406,True,1
2025-02-18 00:00:00+00:00,"{'units': 1, 'nano': 212000000}","{'units': 1, 'nano': 230400000}","{'units': 1, 'nano': 177200000}","{'units': 1, 'nano': 182300000}",56606,True,1
