time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 66, 'nano': 100000000}","{'units': 68, 'nano': 620000000}","{'units': 65, 'nano': 900000000}","{'units': 66, 'nano': 580000000}",708976,True,1
2025-02-05 00:00:00+00:00,"{'units': 65, 'nano': 600000000}","{'units': 65, 'nano': 800000000}","{'units': 63, 'nano': 0}","{'units': 65, 'nano': 320000000}",987003,True,1
2025-02-06 00:00:00+00:00,"{'units': 66, 'nano': 0}","{'units': 66, 'nano': 720000000}","{'units': 64, 'nano': 540000000}","{'units': 65, 'nano': 240000000}",179843,True,1
2025-02-07 00:00:00+00:00,"{'units': 65, 'nano': 480000000}","{'units': 65, 'nano': 860000000}","{'units': 65, 'nano': 20000000}","{'units': 65, 'nano': 60000000}",64256,True,1
2025-02-10 00:00:00+00:00,"{'units': 66, 'nano': 880000000}","{'units': 67, 'nano': 40000000}","{'units': 65, 'nano': 500000000}","{'units': 65, 'nano': 960000000}",113762,True,1
2025-02-11 00:00:00+00:00,"{'units': 65, 'nano': 960000000}","{'units': 65, 'nano': 960000000}","{'units': 64, 'nano': 520000000}","{'units': 65, 'nano': 340000000}",372145,True,1
2025-02-12 00:00:00+00:00,"{'units': 65, 'nano': 900000000}","{'units': 66, 'nano': 960000000}","{'units': 64, 'nano': 740000000}","{'units': 64, 'nano': 780000000}",271483,True,1
2025-02-13 00:00:00+00:00,"{'units': 69, 'nano': 60000000}","{'units': 72, 'nano': 880000000}","{'units': 66, 'nano': 860000000}","{'units': 68, 'nano': 380000000}",1542666,True,1
2025-02-14 00:00:00+00:00,"{'units': 69, 'nano': 700000000}","{'units': 72, 'nano': 740000000}","{'units': 66, 'nano': 560000000}","{'units': 68, 'nano': 100000000}",1404653,True,1
2025-02-17 00:00:00+00:00,"{'units': 69, 'nano': 800000000}","{'units': 71, 'nano': 400000000}","{'units': 69, 'nano': 560000000}","{'units': 71, 'nano': 0}",422364,True,1
2025-02-18 00:00:00+00:00,"{'units': 71, 'nano': 0}","{'units': 72, 'nano': 0}","{'units': 69, 'nano': 220000000}","{'units': 69, 'nano': 800000000}",301361,True,1
2025-02-19 00:00:00+00:00,"{'units': 71, 'nano': 400000000}","{'units': 71, 'nano': 400000000}","{'units': 68, 'nano': 220000000}","{'units': 69, 'nano': 600000000}",161682,True,1
2025-02-20 00:00:00+00:00,"{'units': 69, 'nano': 860000000}","{'units': 70, 'nano': 780000000}","{'units': 69, 'nano': 420000000}","{'units': 69, 'nano': 600000000}",120659,True,1
2025-02-21 00:00:00+00:00,"{'units': 69, 'nano': 600000000}","{'units': 69, 'nano': 900000000}","{'units': 69, 'nano': 40000000}","{'units': 69, 'nano': 580000000}",82317,True,1
2025-02-24 00:00:00+00:00,"{'units': 69, 'nano': 760000000}","{'units': 70, 'nano': 520000000}","{'units': 69, 'nano': 40000000}","{'units': 69, 'nano': 100000000}",110443,True,1
2025-02-25 00:00:00+00:00,"{'units': 70, 'nano': 500000000}","{'units': 73, 'nano': 360000000}","{'units': 70, 'nano': 340000000}","{'units': 70, 'nano': 600000000}",1086632,True,1
2025-02-26 00:00:00+00:00,"{'units': 70, 'nano': 600000000}","{'units': 71, 'nano': 500000000}","{'units': 67, 'nano': 240000000}","{'units': 69, 'nano': 160000000}",449228,True,1
2025-02-27 00:00:00+00:00,"{'units': 68, 'nano': 680000000}","{'units': 69, 'nano': 680000000}","{'units': 67, 'nano': 840000000}","{'units': 69, 'nano': 500000000}",262120,True,1
2025-02-28 00:00:00+00:00,"{'units': 69, 'nano': 300000000}","{'units': 70, 'nano': 40000000}","{'units': 67, 'nano': 960000000}","{'units': 68, 'nano': 960000000}",138587,True,1
2025-03-03 00:00:00+00:00,"{'units': 67, 'nano': 760000000}","{'units': 68, 'nano': 960000000}","{'units': 66, 'nano': 620000000}","{'units': 67, 'nano': 480000000}",144904,True,1
2025-03-04 00:00:00+00:00,"{'units': 68, 'nano': 940000000}","{'units': 69, 'nano': 920000000}","{'units': 68, 'nano': 540000000}","{'units': 68, 'nano': 880000000}",102791,True,1
2025-03-05 00:00:00+00:00,"{'units': 68, 'nano': 600000000}","{'units': 70, 'nano': 180000000}","{'units': 68, 'nano': 600000000}","{'units': 69, 'nano': 720000000}",126266,True,1
2025-03-06 00:00:00+00:00,"{'units': 70, 'nano': 980000000}","{'units': 70, 'nano': 980000000}","{'units': 68, 'nano': 60000000}","{'units': 68, 'nano': 660000000}",183427,True,1
2025-03-07 00:00:00+00:00,"{'units': 68, 'nano': 140000000}","{'units': 70, 'nano': 200000000}","{'units': 68, 'nano': 0}","{'units': 68, 'nano': 340000000}",170406,True,1
2025-03-10 00:00:00+00:00,"{'units': 68, 'nano': 400000000}","{'units': 69, 'nano': 560000000}","{'units': 68, 'nano': 240000000}","{'units': 68, 'nano': 240000000}",75148,True,1
2025-03-11 00:00:00+00:00,"{'units': 68, 'nano': 200000000}","{'units': 68, 'nano': 560000000}","{'units': 67, 'nano': 540000000}","{'units': 67, 'nano': 540000000}",113747,True,1
2025-03-12 00:00:00+00:00,"{'units': 67, 'nano': 480000000}","{'units': 67, 'nano': 660000000}","{'units': 66, 'nano': 220000000}","{'units': 66, 'nano': 480000000}",101956,True,1
2025-03-13 00:00:00+00:00,"{'units': 66, 'nano': 200000000}","{'units': 66, 'nano': 200000000}","{'units': 64, 'nano': 800000000}","{'units': 65, 'nano': 140000000}",191869,True,1
2025-03-14 00:00:00+00:00,"{'units': 65, 'nano': 820000000}","{'units': 66, 'nano': 120000000}","{'units': 64, 'nano': 60000000}","{'units': 65, 'nano': 700000000}",122070,True,1
2025-03-17 00:00:00+00:00,"{'units': 67, 'nano': 520000000}","{'units': 71, 'nano': 660000000}","{'units': 66, 'nano': 480000000}","{'units': 71, 'nano': 660000000}",765182,True,1
2025-03-18 00:00:00+00:00,"{'units': 71, 'nano': 680000000}","{'units': 71, 'nano': 920000000}","{'units': 70, 'nano': 280000000}","{'units': 70, 'nano': 320000000}",392883,True,1
2025-03-19 00:00:00+00:00,"{'units': 70, 'nano': 220000000}","{'units': 71, 'nano': 500000000}","{'units': 68, 'nano': 800000000}","{'units': 71, 'nano': 340000000}",225084,True,1
2025-03-20 00:00:00+00:00,"{'units': 71, 'nano': 980000000}","{'units': 77, 'nano': 500000000}","{'units': 71, 'nano': 380000000}","{'units': 75, 'nano': 800000000}",2069114,True,1
2025-03-21 00:00:00+00:00,"{'units': 76, 'nano': 280000000}","{'units': 76, 'nano': 880000000}","{'units': 74, 'nano': 540000000}","{'units': 74, 'nano': 920000000}",657219,True,1
2025-03-24 00:00:00+00:00,"{'units': 71, 'nano': 240000000}","{'units': 73, 'nano': 760000000}","{'units': 71, 'nano': 80000000}","{'units': 72, 'nano': 300000000}",1721775,True,1
2025-03-25 00:00:00+00:00,"{'units': 71, 'nano': 800000000}","{'units': 74, 'nano': 60000000}","{'units': 70, 'nano': 0}","{'units': 72, 'nano': 140000000}",571482,True,1
2025-03-26 00:00:00+00:00,"{'units': 72, 'nano': 160000000}","{'units': 73, 'nano': 140000000}","{'units': 71, 'nano': 220000000}","{'units': 71, 'nano': 240000000}",241624,True,1
2025-03-27 00:00:00+00:00,"{'units': 71, 'nano': 0}","{'units': 71, 'nano': 0}","{'units': 67, 'nano': 0}","{'units': 68, 'nano': 480000000}",470730,True,1
2025-03-28 00:00:00+00:00,"{'units': 67, 'nano': 800000000}","{'units': 69, 'nano': 80000000}","{'units': 66, 'nano': 0}","{'units': 66, 'nano': 540000000}",246543,True,1
2025-03-31 00:00:00+00:00,"{'units': 67, 'nano': 140000000}","{'units': 68, 'nano': 860000000}","{'units': 64, 'nano': 920000000}","{'units': 68, 'nano': 840000000}",368384,True,1
2025-04-01 00:00:00+00:00,"{'units': 69, 'nano': 140000000}","{'units': 71, 'nano': 840000000}","{'units': 68, 'nano': 220000000}","{'units': 68, 'nano': 900000000}",170829,True,1
2025-04-02 00:00:00+00:00,"{'units': 67, 'nano': 500000000}","{'units': 68, 'nano': 360000000}","{'units': 66, 'nano': 220000000}","{'units': 66, 'nano': 600000000}",269078,True,1
2025-04-03 00:00:00+00:00,"{'units': 68, 'nano': 120000000}","{'units': 68, 'nano': 120000000}","{'units': 64, 'nano': 940000000}","{'units': 65, 'nano': 260000000}",179684,True,1
2025-04-04 00:00:00+00:00,"{'units': 66, 'nano': 20000000}","{'units': 66, 'nano': 420000000}","{'units': 60, 'nano': 280000000}","{'units': 61, 'nano': 220000000}",359231,True,1
2025-04-07 00:00:00+00:00,"{'units': 58, 'nano': 500000000}","{'units': 59, 'nano': 500000000}","{'units': 55, 'nano': 0}","{'units': 57, 'nano': 880000000}",596360,True,1
2025-04-08 00:00:00+00:00,"{'units': 59, 'nano': 200000000}","{'units': 59, 'nano': 680000000}","{'units': 57, 'nano': 380000000}","{'units': 57, 'nano': 580000000}",207367,True,1
2025-04-09 00:00:00+00:00,"{'units': 57, 'nano': 100000000}","{'units': 57, 'nano': 100000000}","{'units': 53, 'nano': 660000000}","{'units': 54, 'nano': 720000000}",347930,True,1
2025-04-10 00:00:00+00:00,"{'units': 61, 'nano': 800000000}","{'units': 61, 'nano': 800000000}","{'units': 55, 'nano': 740000000}","{'units': 55, 'nano': 900000000}",426928,True,1
2025-04-11 00:00:00+00:00,"{'units': 58, 'nano': 100000000}","{'units': 58, 'nano': 100000000}","{'units': 56, 'nano': 800000000}","{'units': 57, 'nano': 80000000}",95526,True,1
2025-04-14 00:00:00+00:00,"{'units': 57, 'nano': 420000000}","{'units': 59, 'nano': 200000000}","{'units': 56, 'nano': 840000000}","{'units': 57, 'nano': 760000000}",71225,True,1
2025-04-15 00:00:00+00:00,"{'units': 57, 'nano': 640000000}","{'units': 58, 'nano': 0}","{'units': 56, 'nano': 800000000}","{'units': 57, 'nano': 120000000}",60267,True,1
2025-04-16 00:00:00+00:00,"{'units': 57, 'nano': 120000000}","{'units': 59, 'nano': 460000000}","{'units': 56, 'nano': 980000000}","{'units': 58, 'nano': 960000000}",111167,True,1
2025-04-17 00:00:00+00:00,"{'units': 59, 'nano': 560000000}","{'units': 59, 'nano': 560000000}","{'units': 58, 'nano': 520000000}","{'units': 58, 'nano': 980000000}",76253,True,1
2025-04-18 00:00:00+00:00,"{'units': 58, 'nano': 280000000}","{'units': 62, 'nano': 300000000}","{'units': 58, 'nano': 40000000}","{'units': 60, 'nano': 960000000}",799129,True,1
2025-04-21 00:00:00+00:00,"{'units': 61, 'nano': 200000000}","{'units': 63, 'nano': 700000000}","{'units': 61, 'nano': 0}","{'units': 63, 'nano': 100000000}",195983,True,1
2025-04-22 00:00:00+00:00,"{'units': 63, 'nano': 380000000}","{'units': 64, 'nano': 680000000}","{'units': 61, 'nano': 600000000}","{'units': 63, 'nano': 300000000}",237982,True,1
2025-04-23 00:00:00+00:00,"{'units': 62, 'nano': 900000000}","{'units': 63, 'nano': 0}","{'units': 61, 'nano': 620000000}","{'units': 62, 'nano': 20000000}",44795,True,1
2025-04-24 00:00:00+00:00,"{'units': 62, 'nano': 300000000}","{'units': 64, 'nano': 560000000}","{'units': 61, 'nano': 800000000}","{'units': 63, 'nano': 240000000}",326350,True,1
2025-04-25 00:00:00+00:00,"{'units': 63, 'nano': 900000000}","{'units': 64, 'nano': 580000000}","{'units': 63, 'nano': 260000000}","{'units': 63, 'nano': 980000000}",87457,True,1
2025-04-28 00:00:00+00:00,"{'units': 63, 'nano': 980000000}","{'units': 64, 'nano': 880000000}","{'units': 62, 'nano': 120000000}","{'units': 63, 'nano': 0}",101120,True,1
2025-04-29 00:00:00+00:00,"{'units': 62, 'nano': 780000000}","{'units': 62, 'nano': 780000000}","{'units': 60, 'nano': 600000000}","{'units': 61, 'nano': 580000000}",103083,True,1
2025-04-30 00:00:00+00:00,"{'units': 60, 'nano': 220000000}","{'units': 60, 'nano': 980000000}","{'units': 59, 'nano': 760000000}","{'units': 60, 'nano': 380000000}",66454,True,1
2025-05-02 00:00:00+00:00,"{'units': 59, 'nano': 980000000}","{'units': 59, 'nano': 980000000}","{'units': 58, 'nano': 300000000}","{'units': 58, 'nano': 480000000}",205210,True,1
2025-05-05 00:00:00+00:00,"{'units': 58, 'nano': 480000000}","{'units': 58, 'nano': 480000000}","{'units': 55, 'nano': 680000000}","{'units': 56, 'nano': 200000000}",90960,True,1
2025-05-06 00:00:00+00:00,"{'units': 56, 'nano': 500000000}","{'units': 58, 'nano': 200000000}","{'units': 56, 'nano': 0}","{'units': 57, 'nano': 700000000}",54810,True,1
2025-05-07 00:00:00+00:00,"{'units': 57, 'nano': 600000000}","{'units': 59, 'nano': 0}","{'units': 56, 'nano': 880000000}","{'units': 57, 'nano': 480000000}",68197,True,1
2025-05-08 00:00:00+00:00,"{'units': 58, 'nano': 120000000}","{'units': 58, 'nano': 940000000}","{'units': 57, 'nano': 880000000}","{'units': 58, 'nano': 300000000}",27673,True,1
