time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 150, 'nano': 800000000}","{'units': 152, 'nano': 0}","{'units': 142, 'nano': 200000000}","{'units': 144, 'nano': 800000000}",1093129,True,1
2025-02-05 00:00:00+00:00,"{'units': 146, 'nano': 0}","{'units': 152, 'nano': 700000000}","{'units': 141, 'nano': 500000000}","{'units': 151, 'nano': 200000000}",2003502,True,1
2025-02-06 00:00:00+00:00,"{'units': 152, 'nano': 400000000}","{'units': 156, 'nano': 0}","{'units': 150, 'nano': 300000000}","{'units': 151, 'nano': 300000000}",1169974,True,1
2025-02-07 00:00:00+00:00,"{'units': 152, 'nano': 300000000}","{'units': 154, 'nano': 600000000}","{'units': 147, 'nano': 800000000}","{'units': 149, 'nano': 600000000}",630441,True,1
2025-02-08 00:00:00+00:00,"{'units': 149, 'nano': 600000000}","{'units': 149, 'nano': 900000000}","{'units': 149, 'nano': 0}","{'units': 149, 'nano': 500000000}",11760,True,1
2025-02-09 00:00:00+00:00,"{'units': 150, 'nano': 600000000}","{'units': 151, 'nano': 900000000}","{'units': 149, 'nano': 200000000}","{'units': 151, 'nano': 900000000}",79189,True,1
2025-02-10 00:00:00+00:00,"{'units': 153, 'nano': 0}","{'units': 156, 'nano': 800000000}","{'units': 149, 'nano': 500000000}","{'units': 152, 'nano': 200000000}",2195243,True,1
2025-02-11 00:00:00+00:00,"{'units': 153, 'nano': 600000000}","{'units': 155, 'nano': 800000000}","{'units': 151, 'nano': 0}","{'units': 154, 'nano': 600000000}",932998,True,1
2025-02-12 00:00:00+00:00,"{'units': 154, 'nano': 800000000}","{'units': 168, 'nano': 600000000}","{'units': 151, 'nano': 900000000}","{'units': 168, 'nano': 600000000}",3985232,True,1
2025-02-13 00:00:00+00:00,"{'units': 168, 'nano': 600000000}","{'units': 188, 'nano': 600000000}","{'units': 168, 'nano': 600000000}","{'units': 186, 'nano': 400000000}",6042310,True,1
2025-02-14 00:00:00+00:00,"{'units': 187, 'nano': 100000000}","{'units': 230, 'nano': 800000000}","{'units': 186, 'nano': 500000000}","{'units': 216, 'nano': 0}",12582211,True,1
2025-02-15 00:00:00+00:00,"{'units': 217, 'nano': 100000000}","{'units': 219, 'nano': 900000000}","{'units': 214, 'nano': 400000000}","{'units': 216, 'nano': 700000000}",367462,True,1
2025-02-16 00:00:00+00:00,"{'units': 218, 'nano': 900000000}","{'units': 222, 'nano': 500000000}","{'units': 216, 'nano': 700000000}","{'units': 222, 'nano': 500000000}",1209208,True,1
2025-02-17 00:00:00+00:00,"{'units': 224, 'nano': 600000000}","{'units': 269, 'nano': 300000000}","{'units': 222, 'nano': 500000000}","{'units': 269, 'nano': 300000000}",12781041,True,1
2025-02-18 00:00:00+00:00,"{'units': 269, 'nano': 300000000}","{'units': 294, 'nano': 800000000}","{'units': 246, 'nano': 0}","{'units': 257, 'nano': 400000000}",20306637,True,1
2025-02-19 00:00:00+00:00,"{'units': 265, 'nano': 0}","{'units': 275, 'nano': 600000000}","{'units': 255, 'nano': 300000000}","{'units': 269, 'nano': 400000000}",7896585,True,1
2025-02-20 00:00:00+00:00,"{'units': 271, 'nano': 600000000}","{'units': 271, 'nano': 600000000}","{'units': 241, 'nano': 400000000}","{'units': 249, 'nano': 200000000}",6756399,True,1
2025-02-21 00:00:00+00:00,"{'units': 249, 'nano': 0}","{'units': 262, 'nano': 0}","{'units': 230, 'nano': 300000000}","{'units': 257, 'nano': 0}",9197580,True,1
2025-02-22 00:00:00+00:00,"{'units': 257, 'nano': 900000000}","{'units': 265, 'nano': 400000000}","{'units': 257, 'nano': 900000000}","{'units': 265, 'nano': 400000000}",1133170,True,1
2025-02-23 00:00:00+00:00,"{'units': 265, 'nano': 400000000}","{'units': 265, 'nano': 400000000}","{'units': 255, 'nano': 0}","{'units': 265, 'nano': 400000000}",1608007,True,1
2025-02-24 00:00:00+00:00,"{'units': 265, 'nano': 500000000}","{'units': 306, 'nano': 0}","{'units': 265, 'nano': 500000000}","{'units': 300, 'nano': 700000000}",17766464,True,1
2025-02-25 00:00:00+00:00,"{'units': 301, 'nano': 0}","{'units': 333, 'nano': 0}","{'units': 301, 'nano': 0}","{'units': 320, 'nano': 700000000}",16676219,True,1
2025-02-26 00:00:00+00:00,"{'units': 324, 'nano': 900000000}","{'units': 341, 'nano': 0}","{'units': 290, 'nano': 900000000}","{'units': 299, 'nano': 600000000}",9531023,True,1
2025-02-27 00:00:00+00:00,"{'units': 300, 'nano': 0}","{'units': 314, 'nano': 0}","{'units': 278, 'nano': 700000000}","{'units': 283, 'nano': 0}",11780184,True,1
2025-02-28 00:00:00+00:00,"{'units': 282, 'nano': 100000000}","{'units': 310, 'nano': 0}","{'units': 270, 'nano': 900000000}","{'units': 304, 'nano': 0}",11238082,True,1
2025-03-01 00:00:00+00:00,"{'units': 305, 'nano': 0}","{'units': 312, 'nano': 0}","{'units': 298, 'nano': 0}","{'units': 303, 'nano': 600000000}",1722701,True,1
2025-03-02 00:00:00+00:00,"{'units': 304, 'nano': 0}","{'units': 310, 'nano': 0}","{'units': 294, 'nano': 100000000}","{'units': 294, 'nano': 100000000}",1908819,True,1
2025-03-03 00:00:00+00:00,"{'units': 293, 'nano': 400000000}","{'units': 307, 'nano': 500000000}","{'units': 263, 'nano': 500000000}","{'units': 293, 'nano': 300000000}",16602615,True,1
2025-03-04 00:00:00+00:00,"{'units': 300, 'nano': 100000000}","{'units': 318, 'nano': 700000000}","{'units': 295, 'nano': 600000000}","{'units': 312, 'nano': 100000000}",13564950,True,1
2025-03-05 00:00:00+00:00,"{'units': 312, 'nano': 100000000}","{'units': 315, 'nano': 0}","{'units': 291, 'nano': 100000000}","{'units': 293, 'nano': 900000000}",7112182,True,1
2025-03-06 00:00:00+00:00,"{'units': 293, 'nano': 700000000}","{'units': 303, 'nano': 200000000}","{'units': 281, 'nano': 0}","{'units': 297, 'nano': 500000000}",3473140,True,1
2025-03-07 00:00:00+00:00,"{'units': 297, 'nano': 0}","{'units': 305, 'nano': 0}","{'units': 285, 'nano': 100000000}","{'units': 293, 'nano': 800000000}",5719617,True,1
2025-03-08 00:00:00+00:00,"{'units': 297, 'nano': 100000000}","{'units': 299, 'nano': 500000000}","{'units': 293, 'nano': 800000000}","{'units': 294, 'nano': 500000000}",129333,True,1
2025-03-09 00:00:00+00:00,"{'units': 302, 'nano': 0}","{'units': 302, 'nano': 0}","{'units': 294, 'nano': 800000000}","{'units': 301, 'nano': 300000000}",293801,True,1
2025-03-10 00:00:00+00:00,"{'units': 300, 'nano': 200000000}","{'units': 303, 'nano': 100000000}","{'units': 295, 'nano': 400000000}","{'units': 297, 'nano': 700000000}",1990114,True,1
2025-03-11 00:00:00+00:00,"{'units': 296, 'nano': 900000000}","{'units': 302, 'nano': 500000000}","{'units': 289, 'nano': 0}","{'units': 294, 'nano': 700000000}",3178891,True,1
2025-03-12 00:00:00+00:00,"{'units': 295, 'nano': 800000000}","{'units': 304, 'nano': 400000000}","{'units': 285, 'nano': 0}","{'units': 294, 'nano': 100000000}",4693507,True,1
2025-03-13 00:00:00+00:00,"{'units': 292, 'nano': 700000000}","{'units': 302, 'nano': 800000000}","{'units': 283, 'nano': 0}","{'units': 292, 'nano': 500000000}",5173621,True,1
2025-03-14 00:00:00+00:00,"{'units': 291, 'nano': 0}","{'units': 298, 'nano': 800000000}","{'units': 287, 'nano': 700000000}","{'units': 294, 'nano': 800000000}",2244896,True,1
2025-03-15 00:00:00+00:00,"{'units': 296, 'nano': 800000000}","{'units': 296, 'nano': 800000000}","{'units': 294, 'nano': 600000000}","{'units': 294, 'nano': 900000000}",173847,True,1
2025-03-16 00:00:00+00:00,"{'units': 294, 'nano': 300000000}","{'units': 303, 'nano': 500000000}","{'units': 294, 'nano': 200000000}","{'units': 303, 'nano': 0}",1573366,True,1
2025-03-17 00:00:00+00:00,"{'units': 303, 'nano': 700000000}","{'units': 316, 'nano': 500000000}","{'units': 297, 'nano': 0}","{'units': 315, 'nano': 500000000}",6934222,True,1
2025-03-18 00:00:00+00:00,"{'units': 316, 'nano': 500000000}","{'units': 334, 'nano': 400000000}","{'units': 298, 'nano': 0}","{'units': 301, 'nano': 0}",18546471,True,1
2025-03-19 00:00:00+00:00,"{'units': 303, 'nano': 900000000}","{'units': 321, 'nano': 700000000}","{'units': 303, 'nano': 100000000}","{'units': 315, 'nano': 0}",5756375,True,1
2025-03-20 00:00:00+00:00,"{'units': 316, 'nano': 500000000}","{'units': 318, 'nano': 900000000}","{'units': 309, 'nano': 0}","{'units': 313, 'nano': 200000000}",3179803,True,1
2025-03-21 00:00:00+00:00,"{'units': 313, 'nano': 300000000}","{'units': 315, 'nano': 400000000}","{'units': 306, 'nano': 0}","{'units': 309, 'nano': 0}",1717766,True,1
2025-03-22 00:00:00+00:00,"{'units': 313, 'nano': 300000000}","{'units': 317, 'nano': 0}","{'units': 309, 'nano': 100000000}","{'units': 309, 'nano': 500000000}",173792,True,1
2025-03-23 00:00:00+00:00,"{'units': 310, 'nano': 500000000}","{'units': 315, 'nano': 0}","{'units': 309, 'nano': 100000000}","{'units': 312, 'nano': 800000000}",529364,True,1
2025-03-24 00:00:00+00:00,"{'units': 312, 'nano': 400000000}","{'units': 314, 'nano': 400000000}","{'units': 303, 'nano': 0}","{'units': 306, 'nano': 300000000}",2342877,True,1
2025-03-25 00:00:00+00:00,"{'units': 307, 'nano': 200000000}","{'units': 311, 'nano': 900000000}","{'units': 299, 'nano': 0}","{'units': 311, 'nano': 600000000}",2352093,True,1
2025-03-26 00:00:00+00:00,"{'units': 311, 'nano': 900000000}","{'units': 314, 'nano': 0}","{'units': 301, 'nano': 200000000}","{'units': 303, 'nano': 700000000}",1646986,True,1
2025-03-27 00:00:00+00:00,"{'units': 304, 'nano': 0}","{'units': 304, 'nano': 700000000}","{'units': 271, 'nano': 200000000}","{'units': 272, 'nano': 300000000}",4334188,True,1
2025-03-28 00:00:00+00:00,"{'units': 273, 'nano': 800000000}","{'units': 281, 'nano': 500000000}","{'units': 223, 'nano': 500000000}","{'units': 236, 'nano': 300000000}",11911249,True,1
2025-03-29 00:00:00+00:00,"{'units': 236, 'nano': 300000000}","{'units': 242, 'nano': 900000000}","{'units': 229, 'nano': 400000000}","{'units': 229, 'nano': 400000000}",483744,True,1
2025-03-30 00:00:00+00:00,"{'units': 229, 'nano': 400000000}","{'units': 232, 'nano': 900000000}","{'units': 229, 'nano': 400000000}","{'units': 229, 'nano': 400000000}",174980,True,1
2025-03-31 00:00:00+00:00,"{'units': 224, 'nano': 500000000}","{'units': 257, 'nano': 300000000}","{'units': 215, 'nano': 300000000}","{'units': 257, 'nano': 0}",7699192,True,1
2025-04-01 00:00:00+00:00,"{'units': 259, 'nano': 0}","{'units': 275, 'nano': 0}","{'units': 236, 'nano': 0}","{'units': 238, 'nano': 100000000}",9186724,True,1
2025-04-02 00:00:00+00:00,"{'units': 238, 'nano': 0}","{'units': 256, 'nano': 900000000}","{'units': 233, 'nano': 100000000}","{'units': 252, 'nano': 900000000}",5170339,True,1
2025-04-03 00:00:00+00:00,"{'units': 258, 'nano': 0}","{'units': 268, 'nano': 0}","{'units': 239, 'nano': 400000000}","{'units': 260, 'nano': 500000000}",5877624,True,1
2025-04-04 00:00:00+00:00,"{'units': 261, 'nano': 100000000}","{'units': 268, 'nano': 700000000}","{'units': 244, 'nano': 500000000}","{'units': 249, 'nano': 600000000}",3913615,True,1
2025-04-05 00:00:00+00:00,"{'units': 247, 'nano': 300000000}","{'units': 249, 'nano': 100000000}","{'units': 240, 'nano': 400000000}","{'units': 243, 'nano': 0}",454501,True,1
2025-04-06 00:00:00+00:00,"{'units': 242, 'nano': 600000000}","{'units': 255, 'nano': 200000000}","{'units': 242, 'nano': 600000000}","{'units': 252, 'nano': 200000000}",731666,True,1
2025-04-07 00:00:00+00:00,"{'units': 249, 'nano': 800000000}","{'units': 251, 'nano': 300000000}","{'units': 230, 'nano': 0}","{'units': 235, 'nano': 600000000}",3911540,True,1
2025-04-08 00:00:00+00:00,"{'units': 240, 'nano': 0}","{'units': 248, 'nano': 0}","{'units': 213, 'nano': 700000000}","{'units': 213, 'nano': 700000000}",3133637,True,1
2025-04-09 00:00:00+00:00,"{'units': 214, 'nano': 700000000}","{'units': 219, 'nano': 200000000}","{'units': 180, 'nano': 0}","{'units': 212, 'nano': 200000000}",10765634,True,1
2025-04-10 00:00:00+00:00,"{'units': 212, 'nano': 200000000}","{'units': 224, 'nano': 900000000}","{'units': 198, 'nano': 100000000}","{'units': 213, 'nano': 500000000}",5453421,True,1
2025-04-11 00:00:00+00:00,"{'units': 213, 'nano': 500000000}","{'units': 241, 'nano': 800000000}","{'units': 209, 'nano': 200000000}","{'units': 235, 'nano': 700000000}",6279706,True,1
2025-04-12 00:00:00+00:00,"{'units': 236, 'nano': 900000000}","{'units': 241, 'nano': 700000000}","{'units': 231, 'nano': 100000000}","{'units': 235, 'nano': 200000000}",1199647,True,1
2025-04-13 00:00:00+00:00,"{'units': 235, 'nano': 0}","{'units': 241, 'nano': 700000000}","{'units': 234, 'nano': 200000000}","{'units': 239, 'nano': 900000000}",730881,True,1
2025-04-14 00:00:00+00:00,"{'units': 238, 'nano': 0}","{'units': 248, 'nano': 0}","{'units': 223, 'nano': 300000000}","{'units': 229, 'nano': 100000000}",2789891,True,1
2025-04-15 00:00:00+00:00,"{'units': 229, 'nano': 800000000}","{'units': 238, 'nano': 700000000}","{'units': 224, 'nano': 300000000}","{'units': 234, 'nano': 800000000}",1952736,True,1
2025-04-16 00:00:00+00:00,"{'units': 234, 'nano': 200000000}","{'units': 241, 'nano': 600000000}","{'units': 230, 'nano': 0}","{'units': 235, 'nano': 400000000}",2051911,True,1
2025-04-17 00:00:00+00:00,"{'units': 235, 'nano': 900000000}","{'units': 251, 'nano': 500000000}","{'units': 235, 'nano': 800000000}","{'units': 250, 'nano': 800000000}",3588983,True,1
