time,open,high,low,close,volume,is_complete,candle_source
2025-02-19 00:00:00+00:00,"{'units': 0, 'nano': 76000000}","{'units': 0, 'nano': 112000000}","{'units': 0, 'nano': 48000000}","{'units': 0, 'nano': 102400000}",94322909,True,1
2025-02-20 00:00:00+00:00,"{'units': 0, 'nano': 102400000}","{'units': 0, 'nano': 126200000}","{'units': 0, 'nano': 99200000}","{'units': 0, 'nano': 123000000}",122302300,True,1
2025-02-21 00:00:00+00:00,"{'units': 0, 'nano': 124000000}","{'units': 0, 'nano': 154000000}","{'units': 0, 'nano': 124000000}","{'units': 0, 'nano': 154000000}",230405065,True,1
2025-02-24 00:00:00+00:00,"{'units': 0, 'nano': 154500000}","{'units': 0, 'nano': 210000000}","{'units': 0, 'nano': 154500000}","{'units': 0, 'nano': 210000000}",283139815,True,1
2025-02-25 00:00:00+00:00,"{'units': 0, 'nano': 214900000}","{'units': 0, 'nano': 294000000}","{'units': 0, 'nano': 188100000}","{'units': 0, 'nano': 294000000}",284820583,True,1
2025-02-26 00:00:00+00:00,"{'units': 0, 'nano': 294800000}","{'units': 0, 'nano': 333900000}","{'units': 0, 'nano': 244400000}","{'units': 0, 'nano': 260000000}",221366693,True,1
2025-02-27 00:00:00+00:00,"{'units': 0, 'nano': 253000000}","{'units': 0, 'nano': 288800000}","{'units': 0, 'nano': 168000000}","{'units': 0, 'nano': 259000000}",574681976,True,1
2025-02-28 00:00:00+00:00,"{'units': 0, 'nano': 280000000}","{'units': 0, 'nano': 281000000}","{'units': 0, 'nano': 210300000}","{'units': 0, 'nano': 243300000}",71182993,True,1
2025-03-03 00:00:00+00:00,"{'units': 0, 'nano': 243300000}","{'units': 0, 'nano': 248400000}","{'units': 0, 'nano': 167300000}","{'units': 0, 'nano': 172200000}",274454199,True,1
2025-03-04 00:00:00+00:00,"{'units': 0, 'nano': 171700000}","{'units': 0, 'nano': 195600000}","{'units': 0, 'nano': 142000000}","{'units': 0, 'nano': 192100000}",155376647,True,1
2025-03-05 00:00:00+00:00,"{'units': 0, 'nano': 187000000}","{'units': 0, 'nano': 196900000}","{'units': 0, 'nano': 173500000}","{'units': 0, 'nano': 185800000}",38542194,True,1
2025-03-06 00:00:00+00:00,"{'units': 0, 'nano': 189000000}","{'units': 0, 'nano': 189600000}","{'units': 0, 'nano': 170900000}","{'units': 0, 'nano': 187000000}",23780504,True,1
2025-03-07 00:00:00+00:00,"{'units': 0, 'nano': 187000000}","{'units': 0, 'nano': 250800000}","{'units': 0, 'nano': 181800000}","{'units': 0, 'nano': 205200000}",148783223,True,1
2025-03-10 00:00:00+00:00,"{'units': 0, 'nano': 207200000}","{'units': 0, 'nano': 224200000}","{'units': 0, 'nano': 205200000}","{'units': 0, 'nano': 210100000}",30225513,True,1
2025-03-11 00:00:00+00:00,"{'units': 0, 'nano': 216800000}","{'units': 0, 'nano': 219500000}","{'units': 0, 'nano': 207700000}","{'units': 0, 'nano': 216000000}",23643733,True,1
2025-03-12 00:00:00+00:00,"{'units': 0, 'nano': 219500000}","{'units': 0, 'nano': 219500000}","{'units': 0, 'nano': 199600000}","{'units': 0, 'nano': 208900000}",29513304,True,1
2025-03-13 00:00:00+00:00,"{'units': 0, 'nano': 206000000}","{'units': 0, 'nano': 209400000}","{'units': 0, 'nano': 190000000}","{'units': 0, 'nano': 200000000}",33576148,True,1
2025-03-14 00:00:00+00:00,"{'units': 0, 'nano': 197700000}","{'units': 0, 'nano': 204100000}","{'units': 0, 'nano': 186500000}","{'units': 0, 'nano': 195000000}",27774669,True,1
2025-03-17 00:00:00+00:00,"{'units': 0, 'nano': 203700000}","{'units': 0, 'nano': 203700000}","{'units': 0, 'nano': 180000000}","{'units': 0, 'nano': 185900000}",29266639,True,1
2025-03-18 00:00:00+00:00,"{'units': 0, 'nano': 194900000}","{'units': 0, 'nano': 194900000}","{'units': 0, 'nano': 163100000}","{'units': 0, 'nano': 178000000}",51757202,True,1
