time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 3037, 'nano': 200000000}","{'units': 3056, 'nano': 800000000}","{'units': 2992, 'nano': 800000000}","{'units': 3000, 'nano': 600000000}",2577579,True,1
2025-02-05 00:00:00+00:00,"{'units': 3003, 'nano': 0}","{'units': 3086, 'nano': 0}","{'units': 2982, 'nano': 600000000}","{'units': 3079, 'nano': 800000000}",5044981,True,1
2025-02-06 00:00:00+00:00,"{'units': 3079, 'nano': 800000000}","{'units': 3135, 'nano': 0}","{'units': 3079, 'nano': 800000000}","{'units': 3103, 'nano': 0}",4287456,True,1
2025-02-07 00:00:00+00:00,"{'units': 3107, 'nano': 400000000}","{'units': 3123, 'nano': 0}","{'units': 3098, 'nano': 0}","{'units': 3105, 'nano': 0}",2279699,True,1
2025-02-10 00:00:00+00:00,"{'units': 3122, 'nano': 0}","{'units': 3188, 'nano': 400000000}","{'units': 3116, 'nano': 800000000}","{'units': 3143, 'nano': 800000000}",5373376,True,1
2025-02-11 00:00:00+00:00,"{'units': 3155, 'nano': 0}","{'units': 3179, 'nano': 400000000}","{'units': 3145, 'nano': 0}","{'units': 3176, 'nano': 0}",3027856,True,1
2025-02-12 00:00:00+00:00,"{'units': 3180, 'nano': 0}","{'units': 3400, 'nano': 0}","{'units': 3121, 'nano': 200000000}","{'units': 3373, 'nano': 200000000}",11440493,True,1
2025-02-13 00:00:00+00:00,"{'units': 3399, 'nano': 0}","{'units': 3454, 'nano': 600000000}","{'units': 3281, 'nano': 0}","{'units': 3328, 'nano': 0}",8467324,True,1
2025-02-14 00:00:00+00:00,"{'units': 3550, 'nano': 0}","{'units': 3550, 'nano': 0}","{'units': 3300, 'nano': 200000000}","{'units': 3364, 'nano': 400000000}",9009016,True,1
2025-02-17 00:00:00+00:00,"{'units': 3412, 'nano': 0}","{'units': 3528, 'nano': 600000000}","{'units': 3407, 'nano': 0}","{'units': 3492, 'nano': 0}",7299395,True,1
2025-02-18 00:00:00+00:00,"{'units': 3502, 'nano': 600000000}","{'units': 3513, 'nano': 400000000}","{'units': 3370, 'nano': 0}","{'units': 3390, 'nano': 600000000}",6430115,True,1
2025-02-19 00:00:00+00:00,"{'units': 3415, 'nano': 0}","{'units': 3469, 'nano': 800000000}","{'units': 3382, 'nano': 0}","{'units': 3455, 'nano': 0}",3513605,True,1
2025-02-20 00:00:00+00:00,"{'units': 3461, 'nano': 600000000}","{'units': 3478, 'nano': 400000000}","{'units': 3420, 'nano': 0}","{'units': 3436, 'nano': 600000000}",2535378,True,1
2025-02-21 00:00:00+00:00,"{'units': 3439, 'nano': 600000000}","{'units': 3459, 'nano': 400000000}","{'units': 3392, 'nano': 800000000}","{'units': 3425, 'nano': 0}",2372617,True,1
2025-02-24 00:00:00+00:00,"{'units': 3437, 'nano': 200000000}","{'units': 3455, 'nano': 0}","{'units': 3403, 'nano': 800000000}","{'units': 3452, 'nano': 0}",1947018,True,1
2025-02-25 00:00:00+00:00,"{'units': 3456, 'nano': 200000000}","{'units': 3487, 'nano': 600000000}","{'units': 3428, 'nano': 0}","{'units': 3434, 'nano': 600000000}",2584423,True,1
2025-02-26 00:00:00+00:00,"{'units': 3442, 'nano': 400000000}","{'units': 3455, 'nano': 0}","{'units': 3292, 'nano': 0}","{'units': 3324, 'nano': 800000000}",4009962,True,1
2025-02-27 00:00:00+00:00,"{'units': 3324, 'nano': 800000000}","{'units': 3358, 'nano': 600000000}","{'units': 3235, 'nano': 0}","{'units': 3241, 'nano': 600000000}",4258925,True,1
2025-02-28 00:00:00+00:00,"{'units': 3238, 'nano': 0}","{'units': 3338, 'nano': 800000000}","{'units': 3180, 'nano': 800000000}","{'units': 3287, 'nano': 600000000}",6590703,True,1
2025-03-01 00:00:00+00:00,"{'units': 3308, 'nano': 800000000}","{'units': 3313, 'nano': 0}","{'units': 3296, 'nano': 800000000}","{'units': 3303, 'nano': 0}",88273,True,1
2025-03-02 00:00:00+00:00,"{'units': 3290, 'nano': 0}","{'units': 3292, 'nano': 800000000}","{'units': 3269, 'nano': 0}","{'units': 3277, 'nano': 0}",217202,True,1
2025-03-03 00:00:00+00:00,"{'units': 3271, 'nano': 600000000}","{'units': 3271, 'nano': 600000000}","{'units': 3185, 'nano': 200000000}","{'units': 3215, 'nano': 200000000}",3454537,True,1
2025-03-04 00:00:00+00:00,"{'units': 3229, 'nano': 800000000}","{'units': 3416, 'nano': 0}","{'units': 3223, 'nano': 0}","{'units': 3383, 'nano': 200000000}",4585936,True,1
2025-03-05 00:00:00+00:00,"{'units': 3378, 'nano': 600000000}","{'units': 3442, 'nano': 800000000}","{'units': 3320, 'nano': 0}","{'units': 3327, 'nano': 600000000}",4332986,True,1
2025-03-06 00:00:00+00:00,"{'units': 3333, 'nano': 800000000}","{'units': 3390, 'nano': 200000000}","{'units': 3333, 'nano': 800000000}","{'units': 3368, 'nano': 200000000}",2914308,True,1
2025-03-07 00:00:00+00:00,"{'units': 3371, 'nano': 0}","{'units': 3472, 'nano': 600000000}","{'units': 3331, 'nano': 200000000}","{'units': 3414, 'nano': 800000000}",6945105,True,1
2025-03-10 00:00:00+00:00,"{'units': 3424, 'nano': 0}","{'units': 3455, 'nano': 0}","{'units': 3393, 'nano': 800000000}","{'units': 3422, 'nano': 600000000}",2718188,True,1
2025-03-11 00:00:00+00:00,"{'units': 3428, 'nano': 800000000}","{'units': 3451, 'nano': 0}","{'units': 3386, 'nano': 0}","{'units': 3419, 'nano': 800000000}",3267959,True,1
2025-03-12 00:00:00+00:00,"{'units': 3428, 'nano': 0}","{'units': 3438, 'nano': 800000000}","{'units': 3390, 'nano': 0}","{'units': 3417, 'nano': 200000000}",2439156,True,1
2025-03-13 00:00:00+00:00,"{'units': 3422, 'nano': 200000000}","{'units': 3433, 'nano': 800000000}","{'units': 3319, 'nano': 600000000}","{'units': 3374, 'nano': 200000000}",5686390,True,1
2025-03-14 00:00:00+00:00,"{'units': 3374, 'nano': 800000000}","{'units': 3448, 'nano': 600000000}","{'units': 3345, 'nano': 600000000}","{'units': 3440, 'nano': 400000000}",3145114,True,1
2025-03-15 00:00:00+00:00,"{'units': 3438, 'nano': 200000000}","{'units': 3448, 'nano': 0}","{'units': 3438, 'nano': 0}","{'units': 3445, 'nano': 200000000}",114578,True,1
2025-03-16 00:00:00+00:00,"{'units': 3446, 'nano': 600000000}","{'units': 3496, 'nano': 0}","{'units': 3446, 'nano': 400000000}","{'units': 3492, 'nano': 0}",486421,True,1
