time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 47, 'nano': 900000000}","{'units': 48, 'nano': 360000000}","{'units': 47, 'nano': 200000000}","{'units': 47, 'nano': 580000000}",2573256,True,1
2025-02-05 00:00:00+00:00,"{'units': 47, 'nano': 400000000}","{'units': 48, 'nano': 180000000}","{'units': 46, 'nano': 600000000}","{'units': 47, 'nano': 880000000}",4336453,True,1
2025-02-06 00:00:00+00:00,"{'units': 47, 'nano': 940000000}","{'units': 48, 'nano': 800000000}","{'units': 47, 'nano': 500000000}","{'units': 47, 'nano': 740000000}",4185244,True,1
2025-02-07 00:00:00+00:00,"{'units': 48, 'nano': 100000000}","{'units': 48, 'nano': 100000000}","{'units': 47, 'nano': 60000000}","{'units': 47, 'nano': 320000000}",2968382,True,1
2025-02-10 00:00:00+00:00,"{'units': 48, 'nano': 0}","{'units': 48, 'nano': 60000000}","{'units': 46, 'nano': 700000000}","{'units': 46, 'nano': 920000000}",4152102,True,1
2025-02-11 00:00:00+00:00,"{'units': 47, 'nano': 200000000}","{'units': 47, 'nano': 800000000}","{'units': 47, 'nano': 0}","{'units': 47, 'nano': 360000000}",4687372,True,1
2025-02-12 00:00:00+00:00,"{'units': 47, 'nano': 560000000}","{'units': 49, 'nano': 480000000}","{'units': 47, 'nano': 280000000}","{'units': 48, 'nano': 800000000}",21357777,True,1
2025-02-13 00:00:00+00:00,"{'units': 49, 'nano': 300000000}","{'units': 49, 'nano': 400000000}","{'units': 48, 'nano': 20000000}","{'units': 48, 'nano': 280000000}",6511610,True,1
2025-02-14 00:00:00+00:00,"{'units': 48, 'nano': 800000000}","{'units': 49, 'nano': 680000000}","{'units': 47, 'nano': 440000000}","{'units': 48, 'nano': 0}",10761702,True,1
2025-02-17 00:00:00+00:00,"{'units': 48, 'nano': 820000000}","{'units': 52, 'nano': 360000000}","{'units': 48, 'nano': 500000000}","{'units': 52, 'nano': 80000000}",42419910,True,1
2025-02-18 00:00:00+00:00,"{'units': 51, 'nano': 300000000}","{'units': 51, 'nano': 300000000}","{'units': 47, 'nano': 420000000}","{'units': 49, 'nano': 380000000}",14672953,True,1
2025-02-19 00:00:00+00:00,"{'units': 49, 'nano': 720000000}","{'units': 51, 'nano': 0}","{'units': 49, 'nano': 60000000}","{'units': 50, 'nano': 700000000}",9024678,True,1
2025-02-20 00:00:00+00:00,"{'units': 50, 'nano': 980000000}","{'units': 52, 'nano': 260000000}","{'units': 49, 'nano': 700000000}","{'units': 50, 'nano': 40000000}",12910719,True,1
2025-02-21 00:00:00+00:00,"{'units': 50, 'nano': 460000000}","{'units': 51, 'nano': 200000000}","{'units': 49, 'nano': 760000000}","{'units': 50, 'nano': 600000000}",5156908,True,1
2025-02-24 00:00:00+00:00,"{'units': 51, 'nano': 120000000}","{'units': 52, 'nano': 0}","{'units': 50, 'nano': 580000000}","{'units': 51, 'nano': 780000000}",8196531,True,1
2025-02-25 00:00:00+00:00,"{'units': 52, 'nano': 0}","{'units': 57, 'nano': 900000000}","{'units': 51, 'nano': 800000000}","{'units': 57, 'nano': 800000000}",74126454,True,1
2025-02-26 00:00:00+00:00,"{'units': 57, 'nano': 800000000}","{'units': 61, 'nano': 380000000}","{'units': 55, 'nano': 0}","{'units': 55, 'nano': 400000000}",64664232,True,1
2025-02-27 00:00:00+00:00,"{'units': 55, 'nano': 920000000}","{'units': 61, 'nano': 680000000}","{'units': 55, 'nano': 800000000}","{'units': 58, 'nano': 380000000}",90447257,True,1
2025-02-28 00:00:00+00:00,"{'units': 58, 'nano': 840000000}","{'units': 61, 'nano': 400000000}","{'units': 58, 'nano': 100000000}","{'units': 59, 'nano': 500000000}",61570754,True,1
2025-03-03 00:00:00+00:00,"{'units': 59, 'nano': 0}","{'units': 59, 'nano': 280000000}","{'units': 56, 'nano': 100000000}","{'units': 57, 'nano': 220000000}",23187561,True,1
2025-03-04 00:00:00+00:00,"{'units': 58, 'nano': 220000000}","{'units': 60, 'nano': 360000000}","{'units': 57, 'nano': 500000000}","{'units': 58, 'nano': 320000000}",26054929,True,1
2025-03-05 00:00:00+00:00,"{'units': 57, 'nano': 940000000}","{'units': 59, 'nano': 260000000}","{'units': 57, 'nano': 0}","{'units': 57, 'nano': 260000000}",12652297,True,1
2025-03-06 00:00:00+00:00,"{'units': 57, 'nano': 480000000}","{'units': 58, 'nano': 40000000}","{'units': 55, 'nano': 80000000}","{'units': 56, 'nano': 500000000}",9527475,True,1
2025-03-07 00:00:00+00:00,"{'units': 56, 'nano': 880000000}","{'units': 58, 'nano': 0}","{'units': 55, 'nano': 20000000}","{'units': 56, 'nano': 20000000}",9718923,True,1
2025-03-10 00:00:00+00:00,"{'units': 56, 'nano': 360000000}","{'units': 56, 'nano': 860000000}","{'units': 55, 'nano': 400000000}","{'units': 55, 'nano': 720000000}",4007523,True,1
2025-03-11 00:00:00+00:00,"{'units': 55, 'nano': 500000000}","{'units': 56, 'nano': 80000000}","{'units': 55, 'nano': 20000000}","{'units': 55, 'nano': 240000000}",6490260,True,1
2025-03-12 00:00:00+00:00,"{'units': 55, 'nano': 200000000}","{'units': 55, 'nano': 760000000}","{'units': 53, 'nano': 500000000}","{'units': 53, 'nano': 620000000}",7235340,True,1
2025-03-13 00:00:00+00:00,"{'units': 53, 'nano': 140000000}","{'units': 55, 'nano': 260000000}","{'units': 52, 'nano': 360000000}","{'units': 55, 'nano': 80000000}",11895323,True,1
2025-03-14 00:00:00+00:00,"{'units': 54, 'nano': 600000000}","{'units': 56, 'nano': 240000000}","{'units': 53, 'nano': 900000000}","{'units': 55, 'nano': 740000000}",9807008,True,1
2025-03-17 00:00:00+00:00,"{'units': 56, 'nano': 600000000}","{'units': 57, 'nano': 280000000}","{'units': 55, 'nano': 700000000}","{'units': 56, 'nano': 460000000}",6742525,True,1
2025-03-18 00:00:00+00:00,"{'units': 56, 'nano': 640000000}","{'units': 56, 'nano': 740000000}","{'units': 54, 'nano': 880000000}","{'units': 55, 'nano': 480000000}",7247082,True,1
2025-03-19 00:00:00+00:00,"{'units': 55, 'nano': 300000000}","{'units': 56, 'nano': 200000000}","{'units': 54, 'nano': 380000000}","{'units': 56, 'nano': 0}",5063678,True,1
2025-03-20 00:00:00+00:00,"{'units': 56, 'nano': 960000000}","{'units': 56, 'nano': 960000000}","{'units': 54, 'nano': 520000000}","{'units': 55, 'nano': 440000000}",5136514,True,1
2025-03-21 00:00:00+00:00,"{'units': 55, 'nano': 220000000}","{'units': 55, 'nano': 980000000}","{'units': 54, 'nano': 800000000}","{'units': 55, 'nano': 20000000}",4153501,True,1
2025-03-24 00:00:00+00:00,"{'units': 55, 'nano': 20000000}","{'units': 55, 'nano': 440000000}","{'units': 53, 'nano': 200000000}","{'units': 53, 'nano': 480000000}",3675412,True,1
2025-03-25 00:00:00+00:00,"{'units': 53, 'nano': 500000000}","{'units': 55, 'nano': 0}","{'units': 53, 'nano': 340000000}","{'units': 54, 'nano': 20000000}",3540790,True,1
2025-03-26 00:00:00+00:00,"{'units': 54, 'nano': 100000000}","{'units': 54, 'nano': 500000000}","{'units': 52, 'nano': 680000000}","{'units': 52, 'nano': 980000000}",3712191,True,1
2025-03-27 00:00:00+00:00,"{'units': 52, 'nano': 980000000}","{'units': 52, 'nano': 980000000}","{'units': 50, 'nano': 840000000}","{'units': 51, 'nano': 0}",5728532,True,1
2025-03-28 00:00:00+00:00,"{'units': 50, 'nano': 160000000}","{'units': 51, 'nano': 400000000}","{'units': 49, 'nano': 60000000}","{'units': 49, 'nano': 240000000}",6724232,True,1
2025-03-31 00:00:00+00:00,"{'units': 48, 'nano': 100000000}","{'units': 50, 'nano': 500000000}","{'units': 44, 'nano': 800000000}","{'units': 47, 'nano': 660000000}",17642357,True,1
2025-04-01 00:00:00+00:00,"{'units': 47, 'nano': 340000000}","{'units': 49, 'nano': 380000000}","{'units': 46, 'nano': 420000000}","{'units': 46, 'nano': 820000000}",9417717,True,1
2025-04-02 00:00:00+00:00,"{'units': 46, 'nano': 820000000}","{'units': 48, 'nano': 360000000}","{'units': 46, 'nano': 680000000}","{'units': 47, 'nano': 400000000}",5346908,True,1
