ticker,date,date_ym,date_raw,title,text,url,source_page
AKRN,2026-02-04,2026-02,04.02.26,"""Акрон"" разместил биржевые облигации на 1,5 млрд юаней","Эмитент реализовал по открытой подписке 1,5 млн. облигаций серии БО-002Р-02 номинальной стоимостью 1000 юаней каждая",https://bonds.finam.ru/news/item/-akron-razmestil-birzhevye-obligatsii-na-1-5-mlrd-yuaney/,https://www.finam.ru/quote/moex/akrn/publications/
AKRN,2026-01-29,2026-01,29.01.26,"Ставка 1-го купона по облигациям ""Акрона"" на 1,5 млрд юаней составит 6,8% годовых","Первоначально ориентир по ставке 1-го купона находился в диапазоне 7,25-7,50% годовых",https://bonds.finam.ru/news/item/stavka-1-go-kupona-po-obligatsiam-akrona-na-1-5-mlrd-yuaney-sostavit-6-8-godovykh/,https://www.finam.ru/quote/moex/akrn/publications/
AKRN,2026-01-26,2026-01,26.01.26,"В 2026 году рост производства ""Акрона"" продолжится","Компания может нарастить производство до 9,4 млн тонн",https://www.finam.ru/publications/item/v-2026-godu-rost-proizvodstva-akrona-prodolzhitsya-20260126-1850/,https://www.finam.ru/quote/moex/akrn/publications/
AKRN,2026-01-26,2026-01,26.01.26,Товарный выпуск основной продукции “Акрона” за 2025 год вырос на 7%,Выпуск минеральных удобрений вырос на 5%,https://www.finam.ru/publications/item/tovarnyy-vypusk-osnovnoy-produktsii-akrona-za-2025-god-vyros-na-7-20260126-1211/,https://www.finam.ru/quote/moex/akrn/publications/
AKRN,2026-01-22,2026-01,22.01.26,"""Акрон"" 28 января проведет сбор заявок на облигации объемом от 1 млрд юаней","Ориентир ставки 1-го купона находится в диапазоне 7,25-7,50% годовых",https://bonds.finam.ru/news/item/-akron-28-yanvarya-provedet-sbor-zayavok-na-obligatsii-obemom-ot-1-mlrd-yuaney/,https://www.finam.ru/quote/moex/akrn/publications/
AKRN,2026-01-20,2026-01,20.01.26,"Рынок сползает вниз, в числе фаворитов дня – «Селигдар», «Акрон» и «НОВАТЭК»",«Селигдару» помогает новый виток ралли золота,https://www.finam.ru/publications/item/rynok-spolzaet-vniz-v-chisle-favoritov-dnya-seligdar-akron-i-novatek-20260120-1940/,https://www.finam.ru/quote/moex/akrn/publications/
AKRN,2026-01-20,2026-01,20.01.26,Правительство включило «Акрон» в перечень экономически значимых организаций,"Статус ЭЗО дает право контролирующим акционерам перевести в российскую юрисдикцию акции и доли компании, принадлежащие иностранным инвесторам из недружественных государств",https://www.finam.ru/publications/item/pravitelstvo-vklyuchilo-akron-v-perechen-ekonomicheski-znachimykh-organizatsiy-20260120-1837/,https://www.finam.ru/quote/moex/akrn/publications/
AKRN,2026-01-13,2026-01,13.01.26,"""Акрон"" сильно зависит от конъюнктуры - цен на удобрения","Ликвидность акций низкая, поэтому они могут годами торговаться в боковике",https://www.finam.ru/publications/item/akron-silno-zavisit-ot-konyunktury-tsen-na-udobreniya-20260113-1215/,https://www.finam.ru/quote/moex/akrn/publications/
AKRN,2025-12-30,2025-12,30.12.25,Предновогодняя эйфория,Инвесторы хватаются за любой позитив,https://www.finam.ru/publications/item/prednovogodnyaya-eyforiya-20251230-1434/,https://www.finam.ru/quote/moex/akrn/publications/
AKRN,2025-12-30,2025-12,30.12.25,Выпуск и экспорт удобрений в 2025 году уверенно растут,Российские производители удобрений в 2025 году нарастили экспорт и производство на фоне новых санкций ЕС,https://www.finam.ru/publications/item/vypusk-i-eksport-udobreniy-v-2025-godu-uverenno-rastut-20251230-1139/,https://www.finam.ru/quote/moex/akrn/publications/
AKRN,2025-12-22,2025-12,22.12.25,Облигации «Акрона» — удобряем портфель валютой,"Аналитики ""Финама"" отмечают, что юаневые выпуски ""Акрона"" остаются одним из лучших форматов среди надежных промышленных эмитентов для долгосрочного валютного портфеля",https://www.finam.ru/publications/item/obligatsii-akrona--udobryaem-portfel-valyutoy-20251222-1700/,https://www.finam.ru/quote/moex/akrn/publications/
AKRN,2025-12-18,2025-12,18.12.25,Рынок замер в ожидании решения Банка России по ставке,"Нет сомнений в снижении ставки, вопрос лишь в шаге",https://www.finam.ru/publications/item/rynok-zamer-v-ozhidanii-resheniya-banka-rossii-po-stavke-20251218-2051/,https://www.finam.ru/quote/moex/akrn/publications/
AKRN,2025-12-18,2025-12,18.12.25,Российская индустрия минудобрений по итогам 2025 года выходит на новый исторический максимум,"Экспорт увеличится на 7% в годовом выражении, до 45 млн тонн",https://www.finam.ru/publications/item/rossiyskaya-industriya-minudobreniy-po-itogam-2025-goda-vykhodit-na-novyy-istoricheskiy-maksimum-20251218-1940/,https://www.finam.ru/quote/moex/akrn/publications/
AKRN,2025-12-15,2025-12,15.12.25,Конкуренция в импорте удобрений в 2026 году усилится,Стоимость ценных бумаг российских производителей удобрений на этом фоне в ближайшие месяцы может оказаться под давлением,https://www.finam.ru/publications/item/konkurentsiya-v-importe-udobreniy-v-2026-godu-usilitsya-20251215-1425/,https://www.finam.ru/quote/moex/akrn/publications/
AKRN,2025-12-09,2025-12,09.12.25,Нефть и геополитический фактор давят на российский рынок акций,"Индексы снижаются на 0,28%",https://www.finam.ru/publications/item/neft-i-geopoliticheskiy-faktor-davyat-na-rossiyskiy-rynok-aktsiy-20251209-1020/,https://www.finam.ru/quote/moex/akrn/publications/
AKRN,2025-12-09,2025-12,09.12.25,«Базис» завершит прием заявок на участие в IPO - основные события 9 декабря,"«Сбер» представит результаты за 11 месяцев, стартует двухдневное заседание ФРС",https://www.finam.ru/publications/item/aktsionery-nkkhp-i-permenergosbyta-primut-reshenie-po-dividendam-osnovnye-sobytiya-9-dekabrya-20251209-0900/,https://www.finam.ru/quote/moex/akrn/publications/
AKRN,2025-12-09,2025-12,09.12.25,9 декабря закроется реестр для получения дивидендов от «Акрона»,Ранее акционеры «Акрона» утвердили дивиденды за 9 месяцев в 189 рублей на акцию,https://www.finam.ru/publications/item/9-dekabrya-zakroetsya-reestr-dlya-polucheniya-dividendov-ot-akrona-20251209-0200/,https://www.finam.ru/quote/moex/akrn/publications/
AKRN,2025-12-08,2025-12,08.12.25,Геополитика толкает рынок вверх,"Поддержку оказывает ожидание встречи лидеров Великобритании, Франции, Германии и Украины, что рынок расценивают как шаг к снижению напряженности",https://www.finam.ru/publications/item/geopolitika-tolkaet-rynok-vverkh-20251208-1225/,https://www.finam.ru/quote/moex/akrn/publications/
AKRN,2025-12-08,2025-12,08.12.25,Акционеры «Ренессанс Страхования» решат вопрос дивидендов - основные события 8 декабря,Вступает в силу решение ЦБ о снятии ограничений на перевод средств за рубеж для граждан РФ и дружественных стран,https://www.finam.ru/publications/item/aktsionery-renessans-strakhovaniya-progolosuyut-po-dividendam-osnovnye-sobytiya-8-dekabrya-20251208-0900/,https://www.finam.ru/quote/moex/akrn/publications/
AKRN,2025-12-08,2025-12,08.12.25,8 декабря последний день для покупки акций «Акрона» под дивиденд,Ранее акционеры «Акрона» утвердили дивиденды за 9 месяцев в 189 рублей на акцию,https://www.finam.ru/publications/item/8-dekabrya-posledniy-den-dlya-pokupki-aktsiy-akrona-pod-dividend-20251208-0555/,https://www.finam.ru/quote/moex/akrn/publications/
AKRN,2025-12-03,2025-12,03.12.25,Акционеры «Акрона» утвердили дивиденды за 9 месяцев в 189 рублей на акцию,Закрытие дивидендного реестра назначено на 9 декабря,https://www.finam.ru/publications/item/aktsionery-akrona-utverdili-dividendy-za-9-mesyatsev-v-189-rubley-na-aktsiyu-20251203-1555/,https://www.finam.ru/quote/moex/akrn/publications/
AKRN,2025-11-28,2025-11,28.11.25,"Бумаги ""Акрона"" переоценены относительно сектора","С форвардным EV/EBITDA 2025П 8,4х “Акрон” остается одной из самых дорогих компаний российского сектора металлов и добычи",https://www.finam.ru/publications/item/bumagi-akrona-pereotseneny-otnositelno-sektora-20251128-1605/,https://www.finam.ru/quote/moex/akrn/publications/
AKRN,2025-11-28,2025-11,28.11.25,Структура новостей для “Акрона” остается позитивной,Акции способны закрепиться выше 18500–19000 рублей в краткосрочной перспективе,https://www.finam.ru/publications/item/struktura-novostey-dlya-akrona-ostaetsya-pozitivnoy-20251128-1514/,https://www.finam.ru/quote/moex/akrn/publications/
AKRN,2025-11-28,2025-11,28.11.25,"Позитив вернулся на рынок, но надолго ли",Сегодня поддержку оказывает встреча Владимира Путина с премьер-министром Венгрии Виктором Орбаном,https://www.finam.ru/publications/item/pozitiv-vernulsya-na-rynok-no-nadolgo-li-20251128-1506/,https://www.finam.ru/quote/moex/akrn/publications/
