ticker,date,date_ym,date_raw,title,text,url,source_page
APTK,2026-02-03,2026-02,03.02.26,Рынок вновь готов обманываться,Участники торгов надеются получить позитивные новости по обсуждению украинского вопроса,https://www.finam.ru/publications/item/rynok-vnov-gotov-obmanyvatsya-20260203-2055/,https://www.finam.ru/quote/moex/aptk/publications/
APTK,2026-02-03,2026-02,03.02.26,"Акции и облигации «Аптечной сети 36,6» выросли на 4% после снятия ареста со счетов и активов компании",Арбитражный суд Москвы отменил обеспечительные меры в отношении четырех юридических лиц фармритейлера,https://www.finam.ru/publications/item/aktsii-i-obligatsii-aptechnoy-seti-366-vyrosli-na-4-posle-snyatiya-aresta-so-schetov-i-aktivov-kompanii-20260203-1527/,https://www.finam.ru/quote/moex/aptk/publications/
APTK,2025-09-09,2025-09,09.09.25,"Прибыль «Аптечной сети 36,6» по МСФО за 1 полугодие 2025 года сократилась на треть",Выручка в январе-июне выросла на 23%,https://www.finam.ru/publications/item/pribyl-aptechnoy-seti-366-po-msfo-za-1-polugodie-2025-goda-sokratilas-na-tret-20250909-1722/,https://www.finam.ru/quote/moex/aptk/publications/
APTK,2025-07-11,2025-07,11.07.25,Закрытие дивидендных реестров ВТБ и «МТС-Банка» - основные события 11 июля,"Последний день торгуются с дивидендами акции НМТП, «Башнефти» и «Элемента»",https://www.finam.ru/publications/item/zakrytie-dividendnykh-reestrov-vtb-i-mts-banka-osnovnye-sobytiya-11-iyulya-20250711-0900/,https://www.finam.ru/quote/moex/aptk/publications/
APTK,2025-07-11,2025-07,11.07.25,"СД «Аптечная сеть 36,6» 11 июля изберет председателя совета","Кроме того, будет утверждаться план работы совета директоров компании",https://www.finam.ru/publications/item/sd-aptechnaya-set-366-11-iyulya-izberet-predsedatelya-soveta-20250711-0451/,https://www.finam.ru/quote/moex/aptk/publications/
APTK,2025-07-01,2025-07,01.07.25,"“Аптечная сеть 36,6” оставила акционеров без дивидендов-2024",Прибыль по итогам 2024 финансового года компания решила не распределять в связи с ее отсутствием,https://www.finam.ru/publications/item/aptechnaya-set-366-ostavila-aktsionerov-bez-dividendov-2024-20250701-1553/,https://www.finam.ru/quote/moex/aptk/publications/
APTK,2025-06-27,2025-06,27.06.25,ГОСА «Сургутнефтегаза» Х5 и других - основные события 27 июня,"Акции ""ТНС энерго Кубань"" последний день торгуются с дивидендами",https://www.finam.ru/publications/item/gosa-surgutneftegaza-kh5-i-drugikh-osnovnye-sobytiya-27-iyunya-20250627-0900/,https://www.finam.ru/quote/moex/aptk/publications/
APTK,2025-06-27,2025-06,27.06.25,"“Аптечная сеть 36,6” созывает ГОСА по вопросу дивидендов на 27 июня","Совет директоров “Аптечной сети 36,6” рекомендовал акционерам не распределять прибыль по итогам 2024 финансового года",https://www.finam.ru/publications/item/aptechnaya-set-366-sozyvaet-gosa-po-voprosu-dividendov-na-27-iyunya-20250627-0354/,https://www.finam.ru/quote/moex/aptk/publications/
APTK,2025-06-03,2025-06,03.06.25,Дивидендная отсечка в акциях «ЛУКОЙЛа» - основные события 3 июня,В Бразилии начнется XI парламентский форум стран БРИКС,https://www.finam.ru/publications/item/dividendnaya-otsechka-v-aktsiyakh-lukoyla-osnovnye-sobytiya-3-iyunya-20250603-0900/,https://www.finam.ru/quote/moex/aptk/publications/
APTK,2025-06-03,2025-06,03.06.25,"3 июня определятся лица, допущенные до участия в ГОСА “Аптечной сети 36,6”",На повестке вопрос по дивидендам,https://www.finam.ru/publications/item/3-iyunya-opredelyatsya-litsa-dopushchennye-do-uchastiya-v-gosa-aptechnoy-seti-366-20250603-0056/,https://www.finam.ru/quote/moex/aptk/publications/
