ticker,date,date_ym,date_raw,title,text,url,source_page
BLNG,2025-12-12,2025-12,12.12.25,Рынок сделал шаг назад,Покупательные настроения улетучились,https://www.finam.ru/publications/item/rynok-sdelal-shag-nazad-20251212-2041/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2025-06-25,2025-06,25.06.25,ГОСА “Белона” по дивидендам пройдет 25 июня,Совет директоров “Белона” ранее рекомендовал годовому заседанию общего собрания акционеров компании принять решение не выплачивать дивиденды-2024,https://www.finam.ru/publications/item/gosa-belona-po-dividendam-proydet-25-iyunya-20250625-0909/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2025-06-25,2025-06,25.06.25,"ГОСА ""Газпром нефти"" по дивидендам - основные события 25 июня",Мосбиржа проведет День акционера,https://www.finam.ru/publications/item/gosa-gazprom-nefti-po-dividendam-osnovnye-sobytiya-25-iyunya-20250625-0900/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2025-06-02,2025-06,02.06.25,2 июня закроется реестр акционеров для участия в ГОСА “Белона” по дивидендам,Совет директоров “Белона” ранее рекомендовал годовому заседанию общего собрания акционеров компании принять решение не выплачивать дивиденды-2024,https://www.finam.ru/publications/item/2-iyunya-zakroetsya-reestr-aktsionerov-dlya-uchastiya-v-gosa-belona-po-dividendam-20250602-0910/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2025-06-02,2025-06,02.06.25,«Астра» отчитается за квартал - основные события 2 июня,"Акции ""ЛУКОЙЛа"" последний день торгуются с дивидендами",https://www.finam.ru/publications/item/astra-otchitaetsya-za-kvartal-osnovnye-sobytiya-2-iyunya-20250602-0900/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2025-05-20,2025-05,20.05.25,Совет директоров “Белона” рекомендовал не выплачивать дивиденды-2024,ГОСА по дивидендам пройдет 25 июня,https://www.finam.ru/publications/item/sovet-direktorov-belona-rekomendoval-ne-vyplachivat-dividendy-2024-20250520-0906/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2024-11-29,2024-11,29.11.24,"Отчетность «Аэрофлота», собрание акционеров Henderson по дивидендам – основные события 29 ноября",Закрывается дивидендный реестр «МД Медикал Груп»,https://www.finam.ru/publications/item/otchetnost-aeroflota-vosa-henderson-po-dividendam-osnovnye-sobytiya-29-noyabrya-20241129-0900/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2024-09-26,2024-09,26.09.24,Запуск торгов акциями “Хэдхантера” - основные события 26 сентября,Также Мосбиржа прекратит торги акциями Solidcore,https://www.finam.ru/publications/item/zapusk-torgov-aktsiyami-khedkhantera-osnovnye-sobytiya-26-sentyabrya-20240926-0900/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2024-09-26,2024-09,26.09.24,"26 сентября - дата ВОСА ""Белона""",Акционеры досрочно прекратят полномочия единоличного исполнительного органа ОАО “Белон”,https://www.finam.ru/publications/item/26-sentyabrya-data-vosa-belona-20240926-0634/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2024-08-30,2024-08,30.08.24,Белон ОАО - Внеочередное общее собрание,,https://www.finam.ru/publications/item/belon-oao-vneocherednoe-obshchee-sobranie-20240830-0218/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2024-08-28,2024-08,28.08.24,Белон ОАО - Внеочередное общее собрание,,https://www.finam.ru/publications/item/belon-oao-vneocherednoe-obshchee-sobranie-20240828-0213/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2024-08-21,2024-08,21.08.24,Белон ОАО - Внеочередное общее собрание,,https://www.finam.ru/publications/item/belon-oao-vneocherednoe-obshchee-sobranie-20240821-0220/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2024-06-21,2024-06,21.06.24,Белон ОАО - Годовое общее собрание акционеров - ИТОГИ,,https://www.finam.ru/publications/item/belon-oao-godovoe-obshchee-sobranie-aktsionerov-itogi-20240621-0215/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2024-06-20,2024-06,20.06.24,Белон ОАО - Годовое общее собрание акционеров - ИТОГИ,,https://www.finam.ru/publications/item/belon-oao-godovoe-obshchee-sobranie-aktsionerov-itogi-20240620-0210/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2024-06-18,2024-06,18.06.24,"ГОСА «Россети Сибирь», МКПАО «ЮМГ» и ряда других компаний - основные события 18 июня","Кроме того, заканчивается срок предложения по выкупу акций МТС у нерезидентов",https://www.finam.ru/publications/item/gosa-rosseti-sibir-mkpao-yumg-i-ryada-drugikh-kompaniy-osnovnye-sobytiya-18-iyunya-20240618-0900/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2024-06-18,2024-06,18.06.24,Акционеры «Белона» 18 июня примут решение по дивидендам за 2023 год,Ранее совет директоров рекомендовал не выплачивать дивиденды по обыкновенным акциям,https://www.finam.ru/publications/item/aktsionery-belona-18-iyunya-primut-reshenie-po-dividendam-za-2023-god-20240618-0414/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2024-05-25,2024-05,25.05.24,Белон ОАО - Годовое общее собрание акционеров,,https://www.finam.ru/publications/item/belon-oao-godovoe-obshchee-sobranie-aktsionerov-20240525-0219/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2024-05-18,2024-05,18.05.24,Белон ОАО - Годовое общее собрание акционеров,,https://www.finam.ru/publications/item/belon-oao-godovoe-obshchee-sobranie-aktsionerov-20240518-0212/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2024-05-17,2024-05,17.05.24,Белон ОАО - Информация,,https://www.finam.ru/publications/item/belon-oao-informatsiya-20240517-1615/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2024-05-17,2024-05,17.05.24,Белон ОАО - Годовое общее собрание акционеров,,https://www.finam.ru/publications/item/belon-oao-godovoe-obshchee-sobranie-aktsionerov-20240517-0216/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2024-02-03,2024-02,03.02.24,Белон ОАО - Годовое общее собрание акционеров,,https://www.finam.ru/publications/item/belon-oao-godovoe-obshchee-sobranie-aktsionerov-20240203-0203/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2023-06-23,2023-06,23.06.23,"ОАО ""Белон"" - ""Годовое общее собрание акционеров"" ИТОГИ",,https://www.finam.ru/publications/item/oao-belon---godovoe-obshchee-sobranie-aktsionerov--20230623-182113/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2023-06-22,2023-06,22.06.23,"Годовое общее собрание акционеров ""Белона""",,https://www.finam.ru/publications/item/godovoe-obshchee-sobranie-aktsionerov-belona-20230622-0200/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2023-06-21,2023-06,21.06.23,"События предстоящего дня: акционеры ""Мосэнерго"" распределят прибыль","Этот же вопрос будет обсуждаться и на ГОСА ""Русолово""",https://www.finam.ru/publications/item/sobytiya-predstoyashchego-dnya-aktsionery-mosenergo-raspredelyat-pribyl-20230621-2100/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2023-06-05,2023-06,05.06.23,"ОАО ""Белон"" - ""Годовое общее собрание акционеров""",,https://www.finam.ru/publications/item/oao-belon---godovoe-obshchee-sobranie-aktsionerov--20230605-190754/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2023-05-30,2023-05,30.05.23,"ОАО ""Белон"" - ""Годовое общее собрание акционеров""",,https://www.finam.ru/publications/item/oao-belon---godovoe-obshchee-sobranie-aktsionerov--20230530-153639/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2023-05-29,2023-05,29.05.23,"Закрытие реестра акционеров ""Белона"" для участия в ГОСА",,https://www.finam.ru/publications/item/zakrytie-reestra-aktsionerov-belona-dlya-uchastiya-v-gosa-20230529-0205/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2023-05-26,2023-05,26.05.23,События предстоящих дней: пройдут ГОСА ТГК-14 и «Росбанка»,"Кроме того, состоятся заседания советов директоров «Россетей» и «Мечела»",https://www.finam.ru/publications/item/sobytiya-predstoyashchikh-dney-proydut-gosa-tgk-14-i-rosbanka-20230526-2100/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2023-05-19,2023-05,19.05.23,"ОАО ""Белон"" - ""Информация""",,https://www.finam.ru/publications/item/oao-belon---informatsia--20230519-175206/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2023-05-19,2023-05,19.05.23,"ОАО ""Белон"" - ""Годовое общее собрание акционеров""",,https://www.finam.ru/publications/item/oao-belon---godovoe-obshchee-sobranie-aktsionerov--20230519-174930/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2023-05-18,2023-05,18.05.23,"Заседание совета директоров ""Белона""",,https://www.finam.ru/publications/item/zasedanie-soveta-direktorov-belona-20230518-0824/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2023-05-17,2023-05,17.05.23,События предстоящего дня: «Сбер» опубликует отчет по МСФО,Также завтра на повестке годовое общее собрание акционеров «Распадской»,https://www.finam.ru/publications/item/sobytiya-predstoyashchego-dnya-sber-opublikuet-otchet-po-msfo-20230517-2100/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2023-02-09,2023-02,09.02.23,"Новые ""звезды"" российского рынка. Можно ли заработать на акциях второго и третьего эшелонов",Эксперты призывают инвесторов быть осторожными,https://www.finam.ru/publications/item/novye-zvezdy-rossiyskogo-rynka-mozhno-li-zarabotat-na-aktsiyakh-vtorogo-i-tretego-eshelonov-20230209-1655/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2023-02-08,2023-02,08.02.23,"Российский рынок нырнул вниз на заявлениях Белоусова, во втором и третьем эшелонах продолжается ралли","Похоже начали реализовываться тревожные ожидания, возникшие после сообщений о «дыре в бюджете», которую необходимо чем-то восполнять",https://www.finam.ru/publications/item/rossiyskiy-rynok-nyrnul-vniz-na-zayavleniyakh-belousova-vo-vtorom-i-tretem-eshelonakh-prodolzhaetsya-ralli-20230208-1451/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2023-02-08,2023-02,08.02.23,"Мосбиржа третий раз повысила границу ценового коридора акций ""Белона""","Бумаги дорожают на 87,69%",https://www.finam.ru/publications/item/mosbirzha-tretiy-raz-povysila-granitsu-tsenovogo-koridora-aktsiy-belona-20230208-1400/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2023-02-07,2023-02,07.02.23,"ОАО ""Белон"" -  ""Внеочередное общее собрание"" ИТОГИ",,https://www.finam.ru/publications/item/oao-belon---vneocherednoe-obshchee-sobranie-itogi--20230207-130658/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2023-02-06,2023-02,06.02.23,"6 февраля пройдет внеочередное общее собрание акционеров ""Белона""",Акционеры рассмотрят образование единоличного исполнительного органа - генерального директора ОАО «Белон»,https://www.finam.ru/publications/item/vneocherednoe-obshchee-sobranie-aktsionerov-belona-20230206-0730/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2023-02-03,2023-02,03.02.23,"События предстоящих дней: заседание совета директоров ""Норникеля""",И еще инвесторов ожидает публикация операционных результатов «Матери и дитя» за 4 квартал 2022 года,https://www.finam.ru/publications/item/sobytiya-predstoyashchikh-dney-zasedanie-soveta-direktorov-nornikelya-20230203-2100/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2023-02-01,2023-02,01.02.23,"ОАО ""Белон"" - ""Годовое общее собрание акционеров""",,https://www.finam.ru/publications/item/oao-belon---godovoe-obshchee-sobranie-aktsionerov--20230201-181239/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2023-01-13,2023-01,13.01.23,"ОАО ""Белон"" -  ""Внеочередное общее собрание""",,https://www.finam.ru/publications/item/oao-belon---vneocherednoe-obshchee-sobranie--20230113-145332/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2022-12-14,2022-12,14.12.22,"ОАО ""Белон"" -  Внеочередное общее собрание",,https://www.finam.ru/publications/item/oao-belon---vneocherednoe-obshchee-sobranie-20221214-125832/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2022-12-13,2022-12,13.12.22,"Закрытие реестра акционеров ""Белона"" для участия в ВОСА",,https://www.finam.ru/publications/item/zakrytie-reestra-aktsionerov-belona-dlya-uchastiya-v-vosa-20221213-0832/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2022-12-12,2022-12,12.12.22,"События предстоящего дня: заседания СД «Норникеля», «РУСАЛа», «Россетей», «Юнипро»","Состоится закрытие реестра акционеров ""Белона"" для участия в ВОСА",https://www.finam.ru/publications/item/sobytiya-predstoyashchego-dnya-zasedaniya-sd-nornikelya-rusala-rossetey-yunipro-20221212-2100/,https://www.finam.ru/quote/moex/blng/publications/
BLNG,2022-12-05,2022-12,05.12.22,"ОАО ""Белон"" -  Внеочередное общее собрание",,https://www.finam.ru/publications/item/oao-belon---vneocherednoe-obshchee-sobranie--20221205-142915/,https://www.finam.ru/quote/moex/blng/publications/
