ticker,date,date_ym,date_raw,title,text,url,source_page
CBOM,2026-02-04,2026-02,04.02.26,Краткосрочные идеи на российском рынке: новые претенденты на добавление в портфель,Определяющими для рынка остаются переговоры о мирном урегулировании,https://www.finam.ru/publications/item/kratkosrochnye-idei-na-rossiyskom-rynke-novye-pretendenty-na-dobavlenie-v-portfel-20260204-1210/,https://www.finam.ru/quote/moex/cbom/publications/
CBOM,2026-01-20,2026-01,20.01.26,Без серьезных монетарных новостей выйти из стагнации будет трудно,"Рынок остается в “боковике”, ожидая хоть какого-нибудь ощутимого движения к завершению геополитического конфликта",https://www.finam.ru/publications/item/bez-sereznykh-monetarnykh-novostey-vyyti-iz-stagnatsii-budet-trudno-20260120-1630/,https://www.finam.ru/quote/moex/cbom/publications/
CBOM,2026-01-12,2026-01,12.01.26,Российский банковский сектор - на что обратить внимание в 2026 году,"Учитывая заявленную ЦБ стратегию медленного смягчения ДКП, разумно делать ставку на банки с устойчивым положением по капиталу",https://www.finam.ru/publications/item/rossiyskiy-bankovskiy-sektor-na-chto-obratit-vnimanie-v-2026-godu-20260112-1240/,https://www.finam.ru/quote/moex/cbom/publications/
CBOM,2025-12-24,2025-12,24.12.25,Чистая прибыль банковского сектора России в ноябре увеличилась на 27%,При этом основная прибыль снизилась на 21%,https://www.finam.ru/publications/item/chistaya-pribyl-bankovskogo-sektora-rossii-v-noyabre-uvelichilas-na-27-20251224-1240/,https://www.finam.ru/quote/moex/cbom/publications/
CBOM,2025-12-23,2025-12,23.12.25,Объем выданных автокредитов в январе-ноябре 2025 года снизился на 34%,Наибольшие объемы автокредитования зафиксированы в Москве,https://www.finam.ru/publications/item/obem-vydannykh-avtokreditov-v-yanvare-noyabre-2025-goda-snizilsya-na-34-20251223-1323/,https://www.finam.ru/quote/moex/cbom/publications/
CBOM,2025-12-23,2025-12,23.12.25,Бури в стаканах,Рынок облигаций (ВДО – в особенности) в понедельник снова обвалился. Проблемы с предоставлением денег заемщикам могут быть и у банков,https://www.finam.ru/publications/item/rynok-vdo-buri-v-stakanakh-20251223-0955/,https://www.finam.ru/quote/moex/cbom/publications/
CBOM,2025-12-16,2025-12,16.12.25,Поток геополитических новостей вынуждает соблюдать осторожность,Инвесторы слишком остро реагируют даже малозначительные новости,https://www.finam.ru/publications/item/potok-geopoliticheskikh-novostey-vynuzhdaet-soblyudat-ostorozhnost-20251216-1734/,https://www.finam.ru/quote/moex/cbom/publications/
CBOM,2025-12-12,2025-12,12.12.25,Банковский сектор ждет смягчения политики ЦБ,"Текущая ставка дает возможность наращивать прибыль только ""Сберу"" и ""Т-Банку""",https://www.finam.ru/publications/item/bankovskiy-sektor-zhdet-smyagcheniya-politiki-tsb-20251212-1300/,https://www.finam.ru/quote/moex/cbom/publications/
CBOM,2025-12-10,2025-12,10.12.25,Холодный декабрь не мешает рынку расти,Индекс МосБиржи может сохранить позитивную динамику до конца года,https://www.finam.ru/publications/item/kholodnyy-dekabr-ne-meshaet-rynku-rasti-20251210-2058/,https://www.finam.ru/quote/moex/cbom/publications/
CBOM,2025-12-10,2025-12,10.12.25,"«ВУШ Холдинг» стал фаворитом дня на рынке, в аутсайдерах - МКБ",Данные по инфляции не повлияли на ход торгов,https://www.finam.ru/publications/item/vush-kholding-stal-favoritom-dnya-na-rynke-v-autsayderakh-mkb-20251210-1939/,https://www.finam.ru/quote/moex/cbom/publications/
CBOM,2025-12-09,2025-12,09.12.25,"Российский рынок умеренно снизился, в лидерах роста акции «Норникеля»",Нефть падает на фоне сохраняющихся опасений переизбытка предложения,https://www.finam.ru/publications/item/rossiyskiy-rynok-umerenno-snizilsya-v-liderakh-rosta-aktsii-nornikelya-20251209-1928/,https://www.finam.ru/quote/moex/cbom/publications/
