ticker,date,date_ym,date_raw,title,text,url,source_page
CHMK,2026-01-23,2026-01,23.01.26,Минэнерго поддержало предоставление 138 угольщикам рассрочки по уплате НДПИ,В настоящее время Минэнерго совместно с Минфином дорабатывает проект постановления,https://www.finam.ru/publications/item/minenergo-podderzhalo-predostavlenie-138-ugolshchikam-rassrochki-po-uplate-ndpi-20260123-2035/,https://www.finam.ru/quote/moex/chmk/publications/
CHMK,2026-01-22,2026-01,22.01.26,Власти России готовы поддержать угольщиков,Речь идет о предоставлении налоговой рассрочки по уплате НДПИ и страховых взносов,https://www.finam.ru/publications/item/vlasti-rossii-gotovy-podderzhat-ugolshchikov-20260122-2044/,https://www.finam.ru/quote/moex/chmk/publications/
CHMK,2026-01-20,2026-01,20.01.26,ЧМК представил линейку новых высокотехнологичных рельсов,"Среди них - рельсы для скоростных магистралей (до 400 км/ч), сохраняющие прочность при -60°C",https://www.finam.ru/publications/item/chmk-predstavil-lineyku-novykh-vysokotekhnologichnykh-relsov-20260120-1036/,https://www.finam.ru/quote/moex/chmk/publications/
CHMK,2026-01-12,2026-01,12.01.26,"Взгляд на акции ""Мечела"" остается негативным","Компания может стать привлекательной либо при обесценении рубля до уровня свыше 110 руб. за доллар, либо при росте цен на уголь более чем на 100%",https://www.finam.ru/publications/item/vzglyad-na-aktsii-mechela-ostaetsya-negativnyy-20260112-1430/,https://www.finam.ru/quote/moex/chmk/publications/
CHMK,2025-12-30,2025-12,30.12.25,"130 предприятий угольной отрасли получили отсрочку платежей на 37,7 млрд рублей",В настоящее время государство рассматривает заявки от УЛК и Челябинского металлургического комбината,https://www.finam.ru/publications/item/130-predpriyatiy-poluchili-otsrochku-platezhey-na-377-mlrd-rubley-20251230-1615/,https://www.finam.ru/quote/moex/chmk/publications/
CHMK,2025-10-13,2025-10,13.10.25,Минфин предоставит металлургам отсрочку уплаты акциза на сталь и НДПИ на руду до 1 декабря,Необходимость такой поддержки выявлена при проведении анализа финансового состояния предприятий и сложившейся правоприменительной практики,https://www.finam.ru/publications/item/minfin-predostavit-metallurgam-otsrochku-uplaty-aktsiza-na-stal-i-ndpi-na-rudu-do-1-dekabrya-20251013-1106/,https://www.finam.ru/quote/moex/chmk/publications/
CHMK,2025-08-27,2025-08,27.08.25,Отчетность «Полюса» и ЮГК – основные события 27 августа,Также совет директоров «Полюса» озвучит рекомендации по дивидендам за 1 полугодие,https://www.finam.ru/publications/item/otchetnost-polyusa-i-yugk-osnovnye-sobytiya-27-avgusta-20250827-0900/,https://www.finam.ru/quote/moex/chmk/publications/
CHMK,2025-08-27,2025-08,27.08.25,Совет директоров ЧМК 27 августа рассмотрит бюджет на 2025 год,В повестке будут 4 вопроса,https://www.finam.ru/publications/item/sovet-direktorov-chmk-27-avgusta-rassmotrit-byudzhet-na-2025-god-20250827-0713/,https://www.finam.ru/quote/moex/chmk/publications/
CHMK,2025-08-12,2025-08,12.08.25,"Отчеты “Аэрофлота”, “Промомеда”, “Диасофта”, МГКЛ - основные события 12 августа",Также сегодня истекает срок торговой сделки США и Китая,https://www.finam.ru/publications/item/otchety-aeroflota-promomeda-diasofta-mgkl-osnovnye-sobytiya-12-avgusta-20250812-0900/,https://www.finam.ru/quote/moex/chmk/publications/
CHMK,2025-08-12,2025-08,12.08.25,12 августа совет директоров ЧМК изберет своего председателя,На повестке заседания есть и другие вопросы,https://www.finam.ru/publications/item/12-avgusta-sovet-direktorov-chmk-izberet-svoego-predsedatelya-20250812-0815/,https://www.finam.ru/quote/moex/chmk/publications/
