ticker,date,date_ym,date_raw,title,text,url,source_page
DVEC,2025-06-24,2025-06,24.06.25,Дивиденды «ФосАгро» и МТС – основные события 24 июня,Совет директоров «Газпрома» рассмотрит вопросы о перспективах развития системы газоснабжения и газификации субъектов России до 2030 года,https://www.finam.ru/publications/item/dividendy-fosagro-i-mts-osnovnye-sobytiya-24-iyunya-20250624-0900/,https://www.finam.ru/quote/moex/dvec/publications/
DVEC,2025-06-09,2025-06,09.06.25,Акционеры ДЭК утвердили первые в истории компании дивиденды,"ДЭК выплатит дивиденды в 0,1666772938 рубля на акцию по результатам 2024 года",https://www.finam.ru/publications/item/aktsionery-dek-utverdili-pervye-v-istorii-kompanii-dividendy-20250609-1141/,https://www.finam.ru/quote/moex/dvec/publications/
DVEC,2025-06-05,2025-06,05.06.25,"Отчетность «Системы» за 1 квартал, заседание ЕЦБ по ставке – основные события 5 июня",Акции «Арендата» последний день торгуются с дивидендами,https://www.finam.ru/publications/item/otchetnost-sistemy-za-1-kvartal-zasedanie-etsb-po-stavke-osnovnye-sobytiya-5-iyunya-20250605-0900/,https://www.finam.ru/quote/moex/dvec/publications/
DVEC,2025-06-05,2025-06,05.06.25,Акционеры ДЭК проведут годовое собрание 5 июня,"В повестке будет шесть вопросов, в том числе о дивидендах за 2024 год",https://www.finam.ru/publications/item/aktsionery-dek-provedut-godovoe-sobranie-5-iyunya-20250605-0655/,https://www.finam.ru/quote/moex/dvec/publications/
DVEC,2024-09-09,2024-09,09.09.24,«СПБ биржа» c 9 сентября допустила к торгам еще 85 акций российских эмитентов,"В некотировальную часть списка ценных бумаг, допущенных к торгам, вошли, в частности, акции ""Абрау-Дюрсо"", ""СмартТехГрупп"" и ДЭК",https://www.finam.ru/publications/item/spb-birzha-c-9-sentyabrya-dopustila-k-torgam-eshche-85-aktsiy-rossiyskikh-emitentov-20240909-1040/,https://www.finam.ru/quote/moex/dvec/publications/
DVEC,2024-09-04,2024-09,04.09.24,Индекс МосБиржи предпринимает попытки отскока,"Вполне возможно, что индекс Мосбиржи очень близок к «основному дну»",https://www.finam.ru/publications/item/indeks-mosbirzhi-predprinimaet-popytki-otskoka-20240904-1009/,https://www.finam.ru/quote/moex/dvec/publications/
DVEC,2024-08-29,2024-08,29.08.24,ДЭК ПАО - Внеочередное общее собрание,,https://www.finam.ru/publications/item/dek-pao-vneocherednoe-obshchee-sobranie-20240829-0218/,https://www.finam.ru/quote/moex/dvec/publications/
DVEC,2024-08-23,2024-08,23.08.24,Вероятность локального отскока рынка усиливается,Индекс МосБиржи снижался восемь сессий подряд - поводом для роста может послужить коррекция на нефтяном рынке,https://www.finam.ru/publications/item/veroyatnost-lokalnogo-otskoka-usilivaetsya-20240823-2009/,https://www.finam.ru/quote/moex/dvec/publications/
DVEC,2024-08-13,2024-08,13.08.24,Рынок не смог определиться с направлением движения,"Давление оказало ослабление рубля, вызванное нарушением равновесия спроса и предложения на валюту",https://www.finam.ru/publications/item/rynok-ne-smog-opredelitsya-s-napravleniem-dvizheniya-20240813-2019/,https://www.finam.ru/quote/moex/dvec/publications/
DVEC,2024-07-19,2024-07,19.07.24,Рекордная жара. Как чувствуют себя акции электроэнергетиков?,Какие перспективы у российского и мирового сектора электроэнергетики и во что вложиться инвестору?,https://www.finam.ru/publications/item/rekordnaya-zhara-kak-chuvstvuyut-sebya-aktsii-elektroenergetikov-20240719-1718/,https://www.finam.ru/quote/moex/dvec/publications/
DVEC,2024-07-02,2024-07,02.07.24,ДЭК ПАО - Годовое общее собрание акционеров - ИТОГИ,,https://www.finam.ru/publications/item/dek-pao-godovoe-obshchee-sobranie-aktsionerov-itogi-20240702-0214/,https://www.finam.ru/quote/moex/dvec/publications/
DVEC,2024-06-06,2024-06,06.06.24,ДЭК ПАО - Годовое общее собрание акционеров,,https://www.finam.ru/publications/item/dek-pao-godovoe-obshchee-sobranie-aktsionerov-20240606-0219/,https://www.finam.ru/quote/moex/dvec/publications/
DVEC,2024-06-05,2024-06,05.06.24,"Локомотивами роста сегодня стали бумаги ""второго эшелона""","Позитивное движение в бумагах ""второго эшелона"" часто становится предвестником начала снижения на рынке",https://www.finam.ru/publications/item/lokomotivami-rosta-segodnya-stali-bumagi-vtorogo-eshelona-20240605-2000/,https://www.finam.ru/quote/moex/dvec/publications/
DVEC,2024-06-03,2024-06,03.06.24,ДЭК ПАО - Годовое общее собрание акционеров,,https://www.finam.ru/publications/item/dek-pao-godovoe-obshchee-sobranie-aktsionerov-20240603-0206/,https://www.finam.ru/quote/moex/dvec/publications/
DVEC,2024-05-24,2024-05,24.05.24,ДЭК ПАО - Годовое общее собрание акционеров,,https://www.finam.ru/publications/item/dek-pao-godovoe-obshchee-sobranie-aktsionerov-20240524-0215/,https://www.finam.ru/quote/moex/dvec/publications/
DVEC,2024-04-26,2024-04,26.04.24,ДЭК ПАО - Информация,,https://www.finam.ru/publications/item/dek-pao-informatsiya-20240426-1803/,https://www.finam.ru/quote/moex/dvec/publications/
DVEC,2023-07-27,2023-07,27.07.23,"Чистая прибыль ДЭК в 1 полугодии достигла 1,87 млрд рублей","Общая выручка компании выросла до 81,27 млрд рублей",https://www.finam.ru/publications/item/chistaya-pribyl-dek-v-1-polugodii-dostigla-187-mlrd-rubley-20230727-0833/,https://www.finam.ru/quote/moex/dvec/publications/
DVEC,2023-05-31,2023-05,31.05.23,"ПАО ""ДЭК"" - ""Годовое общее собрание акционеров"" ИТОГИ",,https://www.finam.ru/publications/item/pao-dek---godovoe-obshchee-sobranie-aktsionerov-itogi-20230531-114123/,https://www.finam.ru/quote/moex/dvec/publications/
DVEC,2023-05-30,2023-05,30.05.23,"Акционеры ""ДЭК"" приняли решение не выплачивать дивиденды",Речь идет о выплатах за 2022 год,https://www.finam.ru/publications/item/aktsionery-dek-prinyali-reshenie-ne-vyplachivat-dividendy-20230530-1210/,https://www.finam.ru/quote/moex/dvec/publications/
DVEC,2023-05-04,2023-05,04.05.23,"ПАО ""ДЭК"" - ""Годовое общее собрание акционеров""",,https://www.finam.ru/publications/item/pao-dek---godovoe-obshchee-sobranie-aktsionerov--20230504-095234/,https://www.finam.ru/quote/moex/dvec/publications/
DVEC,2023-05-03,2023-05,03.05.23,"ПАО ""ДЭК"" - ""Годовое общее собрание акционеров""",,https://www.finam.ru/publications/item/pao-dek---godovoe-obshchee-sobranie-aktsionerov--20230503-120109/,https://www.finam.ru/quote/moex/dvec/publications/
DVEC,2023-04-25,2023-04,25.04.23,"ПАО ""ДЭК"" - ""Информация""",,https://www.finam.ru/publications/item/pao-dek---informatsia--20230425-111232/,https://www.finam.ru/quote/moex/dvec/publications/
DVEC,2023-04-25,2023-04,25.04.23,"ПАО ""ДЭК"" - ""Годовое общее собрание акционеров""",,https://www.finam.ru/publications/item/pao-dek---godovoe-obshchee-sobranie-aktsionerov--20230425-110541/,https://www.finam.ru/quote/moex/dvec/publications/
DVEC,2023-04-13,2023-04,13.04.23,На старте торгов покупают бумаги металлургов,Основные покупки - в бумагах ТМК и «Мечела»,https://www.finam.ru/publications/item/na-starte-torgov-pokupayut-bumagi-metallurgov-20230413-1012/,https://www.finam.ru/quote/moex/dvec/publications/
DVEC,2023-04-05,2023-04,05.04.23,Разделение без «подарков» - планы властей по «РусГидро» вызвали ралли в акциях электроэнергетики,Разделение компании предполагается в рамках перехода Дальнего Востока в ценовую зону энергорынка,https://www.finam.ru/publications/item/razdelenie-bez-podarkov---plany-vlastey-po-rusgidro-vyzyvali-ralli-v-aktsiyakh-elektroenergetiki-20230405-1817/,https://www.finam.ru/quote/moex/dvec/publications/
DVEC,2023-04-05,2023-04,05.04.23,Компании электроэнергетики растут на новостях об очередных реформах в отрасли,"К активному росту перешли бумаги ДЭК, «РусГидро», ТГК-1 и «Россетей»",https://www.finam.ru/publications/item/kompanii-elektroenergetiki-rastut-na-novostyakh-ob-ocherednykh-reformakh-v-otrasli-20230405-1148/,https://www.finam.ru/quote/moex/dvec/publications/
DVEC,2023-02-28,2023-02,28.02.23,"Мосбиржа с 17 марта включит в базу расчета основного индекса расписки ""Русагро""","Бумаги «Детского мира» покинут индекс МосБиржи, индекс РТС, индекс средней и малой капитализации, индекс акций широкого рынка и отраслевой индекс потребительского сектора",https://www.finam.ru/publications/item/mosbirzha-s-17-marta-vklyuchit-v-bazu-rascheta-osnovnogo-indeksa-raspiski-ros-agro-20230228-0957/,https://www.finam.ru/quote/moex/dvec/publications/
DVEC,2023-02-14,2023-02,14.02.23,Геополитика утянула российский рынок вниз,Нефть падает после публикации данных по инфляции в США,https://www.finam.ru/publications/item/geopolitika-utyanula-rossiyskiy-rynok-vniz-20230214-2046/,https://www.finam.ru/quote/moex/dvec/publications/
