ticker,date,date_ym,date_raw,title,text,url,source_page
FESH,2026-02-03,2026-02,03.02.26,Где искать потенциал в портовом секторе?,"Акции НМТП могут представлять интерес, а котировки ДВМП безыдейно топчутся",https://www.finam.ru/publications/item/gde-iskat-potentsial-v-portovom-sektore-20260203-0955/,https://www.finam.ru/quote/moex/fesh/publications/
FESH,2025-12-19,2025-12,19.12.25,"""Калининградский морской торговый порт"" перешел под управление группы FESCO","В июне FESCO приобрела компанию-оператора ""Калининградского морского рыбного порта"" - АО ""СИТИ Групп""",https://www.finam.ru/publications/item/kaliningradskiy-morskoy-torgovyy-port-pereshel-pod-upravlenie-gruppy-fesco-20251219-1507/,https://www.finam.ru/quote/moex/fesh/publications/
FESH,2025-12-04,2025-12,04.12.25,FESCO отправила первую партию пшеницы из Красноярского края во Вьетнам,Общий вес превысил 2 тыс. тонн,https://www.finam.ru/publications/item/fesco-otpravila-pervuyu-partiyu-pshenitsy-iz-krasnoyarskogo-kraya-vo-vetnam-20251204-1212/,https://www.finam.ru/quote/moex/fesh/publications/
FESH,2025-11-27,2025-11,27.11.25,FESCO организовала первый прямой железнодорожный сервис из Китая в Петербург,Маршрут занимает 15 суток,https://www.finam.ru/publications/item/fesco-organizovala-pervyy-pryamoy-zheleznodorozhnyy-servis-iz-kitaya-v-peterburg-20251127-1318/,https://www.finam.ru/quote/moex/fesh/publications/
FESH,2025-11-22,2025-11,22.11.25,Стоит ли вкладываться в мемные акции,Цена таких бумаг быстро подскакивает из-за действий толпы розничных инвесторов,https://www.finam.ru/publications/item/stoit-li-vkladyvatsya-v-memnye-aktsii-20251122-1500/,https://www.finam.ru/quote/moex/fesh/publications/
FESH,2025-11-17,2025-11,17.11.25,"""Роснефть"" определится с дивидендами - основные события 17 ноября",17 ноября также станет последним днем для сделок частных инвесторов NanduQ,https://www.finam.ru/publications/item/rosneft-opredelitsya-s-dividendami-osnovnye-sobytiya-17-noyabrya-20251117-0900/,https://www.finam.ru/quote/moex/fesh/publications/
FESH,2025-11-17,2025-11,17.11.25,17 ноября ДВПМ проведет заседание совета директоров,Его повестка состоит из 2 вопросов,https://www.finam.ru/publications/item/17-noyabrya-dvpm-provedet-zasedanie-soveta-direktorov-20251117-0745/,https://www.finam.ru/quote/moex/fesh/publications/
FESH,2025-11-11,2025-11,11.11.25,FESCO поставила второй контейнеровоз на линию между Санкт-Петербургом и Калининградом,Постановка второго судна увеличит суммарную контейнерную вместимость линии и повысит частоту отправок до двух раз в неделю,https://www.finam.ru/publications/item/fesco-postavila-vtoroy-konteynerovoz-na-liniyu-mezhdu-sankt-peterburgom-i-kaliningradom-20251111-1112/,https://www.finam.ru/quote/moex/fesh/publications/
FESH,2025-11-07,2025-11,07.11.25,"Рынок восстанавливает потери, но «ЛУКОЙЛ» остается аутсайдером дня",Отдельные корпоративные истории выступили драйверами пятничного роста,https://www.finam.ru/publications/item/rynok-vosstanavlivaet-poteri-no-lukoyl-ostaetsya-autsayderom-dnya-20251107-1521/,https://www.finam.ru/quote/moex/fesh/publications/
FESH,2025-11-06,2025-11,06.11.25,Российский рынок ждет новых драйверов,"Индекс МосБиржи совершил попытку восстановления, но снова перешел к снижению",https://www.finam.ru/publications/item/rossiyskiy-rynok-zhdet-novykh-drayverov-20251106-1440/,https://www.finam.ru/quote/moex/fesh/publications/
FESH,2025-11-06,2025-11,06.11.25,"ТМХ отказался от покупки доли ""Росатома"" в ГК ""Дело""",«Росатом» ведет переговоры о создании международного холдинга на базе FESCO,https://www.finam.ru/publications/item/transmashkholding-i-rosatom-otkazalis-ot-sdelki-po-pokupke-doli-v-gk-delo-20251106-0931/,https://www.finam.ru/quote/moex/fesh/publications/
FESH,2025-10-28,2025-10,28.10.25,"Контейнерный рынок России, по данным FESCO, сократился за 9 месяцев на 5,4%","В сентябре показатель упал на 6,3%",https://www.finam.ru/publications/item/konteynernyy-rynok-rossii-po-dannym-fesco-sokratilsya-za-9-mesyatsev-na-54-20251028-1425/,https://www.finam.ru/quote/moex/fesh/publications/
FESH,2025-10-23,2025-10,23.10.25,"Рынок топчется у поддержки, вся надежда на ЦБ",В нефти тем временем сегодня ралли на санкционных новостях,https://www.finam.ru/publications/item/rynok-topchetsya-u-podderzhki-vsya-nadezhda-na-tsb-20251023-1459/,https://www.finam.ru/quote/moex/fesh/publications/
FESH,2025-10-23,2025-10,23.10.25,В новый пакет санкций ЕС вошли «Полюс» и 117 судов,"Под санкции также попал ""АвтоВАЗ""",https://www.finam.ru/publications/item/v-novyy-paket-sanktsiy-es-voshli-polyus-i-117-sudov-20251023-1250/,https://www.finam.ru/quote/moex/fesh/publications/
FESH,2025-10-22,2025-10,22.10.25,Вопрос дивидендов ДВМП остается открытым,"Чистая прибыль компании за полугодие выглядит слишком скромно, чтобы ожидать выплат",https://www.finam.ru/publications/item/vopros-dividendov-dvmp-ostaetsya-otkrytym-20251022-1905/,https://www.finam.ru/quote/moex/fesh/publications/
FESH,2025-10-21,2025-10,21.10.25,"ДВМП - корабль без курса, акции НМТП выглядят интереснее",Отсутствие дивидендов ДВМП убивает инвестиционную привлекательность компании,https://www.finam.ru/publications/item/dvmp-korabl-bez-kursa-aktsii-nmtp-vyglyadyat-interesnee-20251021-1330/,https://www.finam.ru/quote/moex/fesh/publications/
FESH,2025-10-20,2025-10,20.10.25,FESCO увеличила перевозки по линии Индия-ОАЭ-Новороссийск на 9% с начала года,"В структуре перевозок импортные отправки составили 7,5 тысячи TEU, экспортные - 5 тысяч TEU",https://www.finam.ru/publications/item/fesco-uvelichila-perevozki-po-linii-indiya-oae-novorossiysk-na-9-s-nachala-goda-20251020-1408/,https://www.finam.ru/quote/moex/fesh/publications/
FESH,2025-10-20,2025-10,20.10.25,FESCO взяла в управление торговый порт и морское пароходство на Камчатке,Активы торгового порта и морского пароходства Камчатки были национализированы в июне 2025 года по иску Генпрокуратуры,https://www.finam.ru/publications/item/fesco-vzyala-v-upravlenie-torgovyy-port-i-morskoe-parokhodstvo-na-kamchatke-20251020-1025/,https://www.finam.ru/quote/moex/fesh/publications/
FESH,2025-10-15,2025-10,15.10.25,"FESCO расширила перевозки между Санкт-Петербургом и Калининградом за 9 месяцев в 2,2 раза","Компания перевезла 26,5 тысячи двадцатифутовых контейнеров",https://www.finam.ru/publications/item/fesco-rasshirila-perevozki-mezhdu-sankt-peterburgom-i-kaliningradom-za-9-mesyatsev-v-22-raza-20251015-1244/,https://www.finam.ru/quote/moex/fesh/publications/
FESH,2025-10-14,2025-10,14.10.25,"Контейнерные перевозки FESCO между Китаем, Индией и Санкт-Петербургом выросли за 9 месяцев на 16%",Группа перевезла 62 тысячи двадцатифутовых контейнеров,https://www.finam.ru/publications/item/konteynernye-perevozki-fesco-mezhdu-kitaem-indiey-i-sankt-peterburgom-vyrosli-za-9-mesyatsev-na-16-20251014-1011/,https://www.finam.ru/quote/moex/fesh/publications/
FESH,2025-10-12,2025-10,12.10.25,"В конце недели инвесторы раскупают ""Селигдар"" и продают ""Башнефть""",Акции «Башнефти» выглядят слабее рынка на фоне скромных дивидендных перспектив и общей слабости сектора,https://www.finam.ru/publications/item/v-kontse-nedeli-investory-raskupayut-seligdar-i-prodayut-bashneft-20251012-1933/,https://www.finam.ru/quote/moex/fesh/publications/
FESH,2025-09-30,2025-09,30.09.25,"Контейнерный рынок России за 8 месяцев 2025 года сократился на 5,3%",Совокупный экспорт увеличился на 7% г/г,https://www.finam.ru/publications/item/konteynernyy-rynok-rossii-za-8-mesyatsev-2025-goda-sokratilsya-na-53-20250930-1511/,https://www.finam.ru/quote/moex/fesh/publications/
FESH,2025-09-30,2025-09,30.09.25,Иван Радченко назначен управляющим директором ВМТП,ИО управляющего директора ВМТП Дмитрий Паньков продолжит курировать портовый дивизион FESCO в качестве заместителя гендиректора группы,https://www.finam.ru/publications/item/ivan-radchenko-naznachen-upravlyayushchim-direktorom-vmtp-20250930-1318/,https://www.finam.ru/quote/moex/fesh/publications/
FESH,2025-09-22,2025-09,22.09.25,Финансовая статистика ДВМП в ближайшие кварталы улучшится,Бумаги привлекательны в долгосрочной перспективе,https://www.finam.ru/publications/item/finansovaya-statistika-dvmp-v-blizhayshie-kvartaly-uluchshitsya-20250922-1350/,https://www.finam.ru/quote/moex/fesh/publications/
FESH,2025-09-16,2025-09,16.09.25,Улучшение показателей ДВМП начнется не раньше 2026 года,Ставка ЦБ снижается медленно и действует на экономику с лагом,https://www.finam.ru/publications/item/uluchshenie-pokazateley-dvmp-nachnetsya-ne-ranshe-2026-goda-20250916-1050/,https://www.finam.ru/quote/moex/fesh/publications/
FESH,2025-09-10,2025-09,10.09.25,Санкционные ожидания вышли на первый план,Снижение рубля и рост цен на нефть поддерживают акции экспортеров,https://www.finam.ru/publications/item/sanktsionnye-ozhidaniya-vyshli-na-pervyy-plan-20250910-1433/,https://www.finam.ru/quote/moex/fesh/publications/
FESH,2025-09-05,2025-09,05.09.25,FESCO и Softline начнут совместно развивать цифровые решения для логистики,Компании рассмотрят возможность применения продуктов Softline в операционной деятельности FESCO,https://www.finam.ru/publications/item/fesco-i-softline-nachnut-sovmestno-razvivat-tsifrovye-resheniya-dlya-logistiki-20250905-0901/,https://www.finam.ru/quote/moex/fesh/publications/
FESH,2025-08-30,2025-08,30.08.25,"ДВМП увеличил чистый убыток по РБСУ за 1 полугодие на 6,5%","Выручка снизилась на 21,7%",https://www.finam.ru/publications/item/dvmp-uvelichil-chistyy-ubytok-po-rbsu-za-1-polugodie-na-65-20250830-1017/,https://www.finam.ru/quote/moex/fesh/publications/
FESH,2025-08-29,2025-08,29.08.25,Выручка FESCO по МСФО в 1 полугодии выросла на 12%,Чистая прибыль снизилась на 60%,https://www.finam.ru/publications/item/vyruchka-fesco-po-msfo-v-1-polugodii-vyrosla-na-12-20250829-1715/,https://www.finam.ru/quote/moex/fesh/publications/
FESH,2025-08-04,2025-08,04.08.25,Контейнерные перевозки FESCO между Турцией и Новороссийском выросли в 1 полугодии на 22%,"Было перевезено по маршруту свыше 11,5 тысячи TEU",https://www.finam.ru/publications/item/konteynernye-perevozki-fesco-mezhdu-turtsiey-i-novorossiyskom-vyrosli-v-1-polugodii-na-22-20250804-1135/,https://www.finam.ru/quote/moex/fesh/publications/
