ticker,date,date_ym,date_raw,title,text,url,source_page
GAZP,,,12:28,«Газпром» третий день подряд обновляет февральские суточные рекорды поставок газа в России,"Российским потребителям 3 февраля поставлено 1817,8 млн кубометров газа",https://www.finam.ru/publications/item/gazprom-tretiy-den-podryad-obnovlyaet-fevralskie-sutochnye-rekordy-postavok-gaza-v-rossii-20260205-1228/,https://www.finam.ru/quote/moex/gazp/publications/
GAZP,,,09:00,"В ОАЭ продолжатся переговоры, ""Газпром"" назначит дату ГОСА - основные события 5 февраля",«Мать и дитя» и «Делимобиль» опубликуют операционные результаты за 2025 год,https://www.finam.ru/publications/item/v-oae-prodolzhatsya-peregovory-gazprom-naznachit-datu-gosa-osnovnye-sobytiya-5-fevralya-20260205-0900/,https://www.finam.ru/quote/moex/gazp/publications/
GAZP,,,07:30,"Совет директоров «Газпрома» 5 февраля обсудит вопросы, связанные с проведением ГОСА",Также будут рассмотрены предложения по выдвижению кандидатов в Ревизионную комиссию компании,https://www.finam.ru/publications/item/sovet-direktorov-gazproma-5-fevralya-obsudit-voprosy-svyazannye-s-provedeniem-gosa-20260205-0730/,https://www.finam.ru/quote/moex/gazp/publications/
GAZP,2026-02-04,2026-02,04.02.26,Активность физлиц на бирже почти удвоилась,Интерес к инвестициям сохраняется даже при высокой геополитической неопределенности,https://www.finam.ru/publications/item/aktivnost-fizlits-na-birzhe-pochti-udvoilas-20260204-1320/,https://www.finam.ru/quote/moex/gazp/publications/
GAZP,2026-02-04,2026-02,04.02.26,«Газпром» второй день подряд обновляет февральские суточные рекорды поставок газа в России,"Российским потребителям 2 февраля было поставлено 1799,9 млн кубометров газа",https://www.finam.ru/publications/item/gazprom-vtoroy-den-podryad-obnovlyaet-fevralskie-sutochnye-rekordy-postavok-gaza-v-rossii-20260204-1225/,https://www.finam.ru/quote/moex/gazp/publications/
GAZP,2026-02-04,2026-02,04.02.26,"Обмен СПГ ""Газпрома"" и ""НОВАТЭКа"" для газификации Камчатского края нейтрален для компаний",В 2020 году Камчатка столкнулась с дефицитом природного газа на месторождениях,https://www.finam.ru/publications/item/obmen-spg-gazproma-i-novateka-dlya-gazifikatsii-kamchatskogo-kraya-neytralen-dlya-kompaniy-20260204-1118/,https://www.finam.ru/quote/moex/gazp/publications/
GAZP,2026-02-04,2026-02,04.02.26,"«Газпром» поднялся на второе место в «народном портфеле» Мосбиржи, потеснив «ЛУКОЙЛ»",Лидерство сохраняет «Сбербанк»,https://www.finam.ru/publications/item/gazprom-podnyalsya-na-vtoroe-mesto-v-narodnom-portfele-mosbirzhi-potesniv-lukoyl-20260204-1030/,https://www.finam.ru/quote/moex/gazp/publications/
GAZP,2026-02-03,2026-02,03.02.26,Конкуренция на мировом газовом рынке обостряется,"""Газпрому"" и особенно ""НОВАТЭКу"" теперь предстоит работать в условиях обострившейся конкуренции на мировом газовом рынке",https://www.finam.ru/publications/item/konkurentsiya-na-mirovom-gazovom-rynke-obostryaetsya-20260203-1720/,https://www.finam.ru/quote/moex/gazp/publications/
GAZP,2026-02-03,2026-02,03.02.26,"Главы ""Газпрома"" и CNPC обсудили «дальневосточный» маршрут поставок российского газа в Китай",Реализация проекта идет по утвержденному графику,https://www.finam.ru/publications/item/glavy-gazproma-i-cnpc-obsudili-dalnevostochnyy-marshrut-postavok-rossiyskogo-gaza-v-kitay-20260203-1452/,https://www.finam.ru/quote/moex/gazp/publications/
GAZP,2026-02-03,2026-02,03.02.26,Нефтегаз ― ищем интересные идеи в непростой конъюнктуре,"Аналитики ""Финама"" считают ""Газпром"" фаворитом среди газовых компаний",https://www.finam.ru/publications/item/neftegaz--ishchem-interesnye-idei-v-neprostoy-konyunkture-20260203-1230/,https://www.finam.ru/quote/moex/gazp/publications/
