ticker,date,date_ym,date_raw,title,text,url,source_page
GRNT,2024-07-02,2024-07,02.07.24,ГИТ ПАО - Годовое общее собрание акционеров - ОТМЕНА,,https://www.finam.ru/publications/item/git-pao-godovoe-obshchee-sobranie-aktsionerov-otmena-20240702-0228/,https://www.finam.ru/quote/moex/grnt/publications/
GRNT,2024-06-05,2024-06,05.06.24,ГИТ ПАО - Годовое общее собрание акционеров,,https://www.finam.ru/publications/item/git-pao-godovoe-obshchee-sobranie-aktsionerov-20240605-0232/,https://www.finam.ru/quote/moex/grnt/publications/
GRNT,2024-06-04,2024-06,04.06.24,ГИТ ПАО - Годовое общее собрание акционеров,,https://www.finam.ru/publications/item/git-pao-godovoe-obshchee-sobranie-aktsionerov-20240604-0220/,https://www.finam.ru/quote/moex/grnt/publications/
GRNT,2024-05-24,2024-05,24.05.24,ГИТ ПАО - Информация,,https://www.finam.ru/publications/item/git-pao-informatsiya-20240524-1214/,https://www.finam.ru/quote/moex/grnt/publications/
GRNT,2024-05-24,2024-05,24.05.24,ГИТ ПАО - Годовое общее собрание акционеров,,https://www.finam.ru/publications/item/git-pao-godovoe-obshchee-sobranie-aktsionerov-20240524-0217/,https://www.finam.ru/quote/moex/grnt/publications/
GRNT,2023-06-30,2023-06,30.06.23,"ПАО ""ГИТ"" - ""Годовое общее собрание акционеров""",,https://www.finam.ru/publications/item/pao-git---godovoe-obshchee-sobranie-aktsionerov--20230630-130046/,https://www.finam.ru/quote/moex/grnt/publications/
GRNT,2023-06-29,2023-06,29.06.23,"ПАО ""ГИТ"" - ""Годовое общее собрание акционеров"" ОТМЕНА",,https://www.finam.ru/publications/item/pao-git---godovoe-obshchee-sobranie-aktsionerov-otmena-20230629-135621/,https://www.finam.ru/quote/moex/grnt/publications/
GRNT,2023-06-07,2023-06,07.06.23,"ПАО ""ГИТ"" - ""Годовое общее собрание акционеров""",,https://www.finam.ru/publications/item/pao-git---godovoe-obshchee-sobranie-aktsionerov--20230607-103820/,https://www.finam.ru/quote/moex/grnt/publications/
GRNT,2023-06-06,2023-06,06.06.23,"ПАО ""ГИТ"" - ""Годовое общее собрание акционеров""",,https://www.finam.ru/publications/item/pao-git---godovoe-obshchee-sobranie-aktsionerov--20230606-130736/,https://www.finam.ru/quote/moex/grnt/publications/
GRNT,2023-05-29,2023-05,29.05.23,"ПАО ""ГИТ"" - ""Информация""",,https://www.finam.ru/publications/item/pao-git---informatsia--20230529-170519/,https://www.finam.ru/quote/moex/grnt/publications/
GRNT,2023-05-29,2023-05,29.05.23,"ПАО ""ГИТ"" - ""Годовое общее собрание акционеров""",,https://www.finam.ru/publications/item/pao-git---godovoe-obshchee-sobranie-aktsionerov--20230529-121538/,https://www.finam.ru/quote/moex/grnt/publications/
GRNT,2022-08-02,2022-08,02.08.22,"ПАО ""ГИТ"" -""Годовое общее собрание акционеров"" ИТОГИ",,https://www.finam.ru/publications/item/pao-git---godovoe-obshchee-sobranie-aktsionerov-itogi--20220802-105811/,https://www.finam.ru/quote/moex/grnt/publications/
GRNT,2022-07-05,2022-07,05.07.22,"ПАО ""ГИТ"" -""Годовое общее собрание акционеров""",,https://www.finam.ru/publications/item/pao-git---godovoe-obshchee-sobranie-aktsionerov--20220705-183820/,https://www.finam.ru/quote/moex/grnt/publications/
GRNT,2022-07-05,2022-07,05.07.22,"ПАО ""ГИТ"" -""Годовое общее собрание акционеров""",,https://www.finam.ru/publications/item/pao-git---godovoe-obshchee-sobranie-aktsionerov--20220705-104645/,https://www.finam.ru/quote/moex/grnt/publications/
GRNT,2021-08-03,2021-08,03.08.21,"ПАО ""ГИТ"" -  ""Оферта - предложение о выкупе""",,https://www.finam.ru/publications/item/pao-git-oferta-predlozhenie-o-vykupe-20210803-190333/,https://www.finam.ru/quote/moex/grnt/publications/
GRNT,2021-07-14,2021-07,14.07.21,"ПАО ""ГИТ"" -  ""Оферта - предложение о выкупе""",,https://www.finam.ru/publications/item/pao-git-oferta-predlozhenie-o-vykupe-20210714-174356/,https://www.finam.ru/quote/moex/grnt/publications/
GRNT,2021-06-08,2021-06,08.06.21,"ПАО ""ГИТ"" - ""Годовое общее собрание акционеров""",,https://www.finam.ru/publications/item/pao-git-godovoe-obshee-sobranie-akcionerov-20210608-173944/,https://www.finam.ru/quote/moex/grnt/publications/
GRNT,2021-06-04,2021-06,04.06.21,"ПАО ""ГИТ"" - ""Годовое общее собрание акционеров""",,https://www.finam.ru/publications/item/pao-git-godovoe-obshee-sobranie-akcionerov-20210604-15072/,https://www.finam.ru/quote/moex/grnt/publications/
GRNT,2021-06-01,2021-06,01.06.21,"ПАО ""ГИТ"" - ""Иное событие""",,https://www.finam.ru/publications/item/pao-git-inoe-sobytie-20210601-125736/,https://www.finam.ru/quote/moex/grnt/publications/
GRNT,2021-05-26,2021-05,26.05.21,"ПАО ""ГИТ"" -  ""Оферта - предложение о выкупе""",,https://www.finam.ru/publications/item/pao-git-oferta-predlozhenie-o-vykupe-20210526-172133/,https://www.finam.ru/quote/moex/grnt/publications/
GRNT,2021-05-26,2021-05,26.05.21,"ПАО ""ГИТ"" -  ""Оферта - предложение о выкупе""",,https://www.finam.ru/publications/item/pao-git-oferta-predlozhenie-o-vykupe-20210526-170256/,https://www.finam.ru/quote/moex/grnt/publications/
GRNT,2021-05-26,2021-05,26.05.21,"ПАО ""ГИТ"" -  Внеочередное общее собрание - ИТОГИ",,https://www.finam.ru/publications/item/pao-git-vneocherednoe-obshee-sobranie-itogi-20210526-161348/,https://www.finam.ru/quote/moex/grnt/publications/
GRNT,2021-05-24,2021-05,24.05.21,"ПАО ""ГИТ"" - ""Годовое общее собрание акционеров""",,https://www.finam.ru/publications/item/pao-git-godovoe-obshee-sobranie-akcionerov-20210524-164747/,https://www.finam.ru/quote/moex/grnt/publications/
