ticker,date,date_ym,date_raw,title,text,url,source_page
IRAO,2026-01-31,2026-01,31.01.26,Какие эмитенты близки к «тёмным» фабрикам,Минпромторг поручил госкорпорациям разработать план перевода предприятий в режим автоматизации и работы без присутствия человека,https://www.finam.ru/publications/item/kakie-emitenty-blizki-k-tyomnym-fabrikam-20260131-1300/,https://www.finam.ru/quote/moex/irao/publications/
IRAO,2026-01-27,2026-01,27.01.26,Рост золотодобытчиков сменился ралли в энергетике,В топе лидеров сегодня также угольщики,https://www.finam.ru/publications/item/rost-zolotodobytchikov-smenilsya-ralli-v-energetike-20260127-1450/,https://www.finam.ru/quote/moex/irao/publications/
IRAO,2026-01-27,2026-01,27.01.26,Развитие ИИ способствует увеличению выработки электроэнергии,"""Интер РАО"" выглядит одним из ключевых бенефициаров благодаря диверсифицированной генерации, высокой доле внутреннего рынка и минимальной зависимости от экспорта электроэнергии",https://www.finam.ru/publications/item/razvitie-ii-sposobstvuet-uvelicheniyu-vyrabotki-elektroenergii-20260127-1317/,https://www.finam.ru/quote/moex/irao/publications/
IRAO,2026-01-27,2026-01,27.01.26,Доходность по однолетним и десятилетним ОФЗ сравнялась. О чем это говорит,"Доходность коротких облигаций за последнюю неделю выросла с 13,7 до 14,1%",https://www.finam.ru/publications/item/dokhodnost-po-odnoletnim-i-desyatiletnim-ofz-sravnyalas-o-chem-eto-govorit-20260127-0910/,https://www.finam.ru/quote/moex/irao/publications/
IRAO,2026-01-24,2026-01,24.01.26,"Компании - ""кубышки"". Интересны ли сейчас акции ""Сургутнефтегаза"" и ""Интер РАО""","Деньги у них есть, но делиться не торопятся",https://www.finam.ru/publications/item/kompanii-kubyshki-interesny-li-seychas-aktsii-surgutneftegaza-i-inter-rao-20260124-1600/,https://www.finam.ru/quote/moex/irao/publications/
IRAO,2026-01-23,2026-01,23.01.26,"Рынок подбирается к уровню 2800 пунктов, в лидерах «Фикс Прайс» и золотодобытчики","Цены драгметаллов продолжают обновлять рекорды, что способствует росту акций «профильных» компаний",https://www.finam.ru/publications/item/rynok-podbiraetsya-k-urovnyu-2800-punktov-v-liderakh-fiks-prays-i-zolotodobytchiki-20260123-1940/,https://www.finam.ru/quote/moex/irao/publications/
IRAO,2026-01-22,2026-01,22.01.26,Выбор качественных дивидендных активов сужается,Ожидаемая динамика прибылей на 2026 год по рынку не вдохновляет,https://www.finam.ru/publications/item/vybor-kachestvennykh-dividendnykh-aktivov-suzhaetsya-20260122-1210/,https://www.finam.ru/quote/moex/irao/publications/
IRAO,2026-01-20,2026-01,20.01.26,"Рост ""Интер РАО"" — попытка рынка вернуть акции к справедливой оценке","Несмотря на дисконт, дальнейший рост котировок ограничен из-за большого капекса и не выдающейся дивдоходности",https://www.finam.ru/publications/item/rost-inter-rao--popytka-rynka-vernut-aktsii-k-spravedlivoy-otsenke-20260120-1240/,https://www.finam.ru/quote/moex/irao/publications/
IRAO,2026-01-17,2026-01,17.01.26,«РусГидро» и «Мосэнерго» вновь вышли в лидеры роста по итогам субботних торгов,"Индекс МосБиржи вырос на 0,15%",https://www.finam.ru/publications/item/rusgidro-i-mosenergo-vnov-vyshli-v-lidery-rosta-po-itogam-subbotnikh-torgov-20260117-1958/,https://www.finam.ru/quote/moex/irao/publications/
IRAO,2026-01-17,2026-01,17.01.26,"Рынок в субботу подрастает, приближаясь к 2750 пунктам",Позитив наблюдается на фоне ожидания очередных переговоров по российско-украинскому конфликту,https://www.finam.ru/publications/item/rynok-v-subbotu-podrastaet-priblizhayas-k-2750-punktam-20260117-1020/,https://www.finam.ru/quote/moex/irao/publications/
IRAO,2026-01-16,2026-01,16.01.26,Рынок остался в уверенном плюсе после данных по инфляции,В лидерах акции электроэнергетиков,https://www.finam.ru/publications/item/rynok-ostalsya-v-uverennom-plyuse-posle-dannykh-po-inflyatsii-20260116-1941/,https://www.finam.ru/quote/moex/irao/publications/
IRAO,2026-01-16,2026-01,16.01.26,Акции энергокомпаний растут на дивидендных надеждах,"Кроме того, в пятницу поступили сообщения СМИ о проведении переговоров между Китаем и Россией после прекращения поставок электроэнергии в КНР с 1 января текущего года",https://www.finam.ru/publications/item/aktsii-energokompaniy-rastut-na-dividendnykh-nadezhdakh-20260116-1836/,https://www.finam.ru/quote/moex/irao/publications/
IRAO,2026-01-16,2026-01,16.01.26,Российский рынок растет во главе с акциями энергетических компаний,Бумаги «ВУШ Холдинга» падают почти на 2% после резкого роста днем ранее,https://www.finam.ru/publications/item/rossiyskiy-rynok-rastet-vo-glave-s-aktsiyami-energeticheskikh-kompaniy-20260116-0820/,https://www.finam.ru/quote/moex/irao/publications/
IRAO,2026-01-15,2026-01,15.01.26,Динамика выработки не так важна для энергетических компаний,Основной фактор — способность генерировать свободные денежные потоки и готовность направлять их на дивиденды,https://www.finam.ru/publications/item/dinamika-vyrabotki-ne-tak-vazhna-dlya-energeticheskikh-kompaniy-20260115-1430/,https://www.finam.ru/quote/moex/irao/publications/
IRAO,2026-01-14,2026-01,14.01.26,Лучшие акции с дивидендами в России,Кто станет лидером по доходности в 2026 году?,https://www.finam.ru/publications/item/luchshie-aktsii-s-dividendami-v-rossii-20260114-1700/,https://www.finam.ru/quote/moex/irao/publications/
IRAO,2026-01-14,2026-01,14.01.26,Смогут ли аутсайдеры 2025 стать лидерами 2026 года,Выводы пока неутешительные,https://www.finam.ru/publications/item/smogut-li-autsaydery-2025-stat-liderami-2026-goda-20260114-1400/,https://www.finam.ru/quote/moex/irao/publications/
IRAO,2026-01-14,2026-01,14.01.26,Качественные акции на 2026 год,Даже в сложных условиях можно и нужно отбирать качественные бумаги,https://www.finam.ru/publications/item/kachestvennye-bumagi-na-2026-god-20260114-1300/,https://www.finam.ru/quote/moex/irao/publications/
IRAO,2026-01-13,2026-01,13.01.26,Структура «Интер РАО» выставила обязательную оферту по выкупу акций «Саратовэнерго»,"Цена оферты - 0,517 рубля за «обычку» и 0,408 рубля за «префы»",https://www.finam.ru/publications/item/struktura-inter-rao-vystavila-obyazatelnuyu-ofertu-po-vykupu-aktsiy-saratovenergo-20260113-1643/,https://www.finam.ru/quote/moex/irao/publications/
IRAO,2026-01-13,2026-01,13.01.26,Последний день для покупки акций «ЕвроТранса» под дивиденд - основные события 13 января,Также совет директоров «ЛУКОЙЛа» рассмотрит итоги за 2025 год,https://www.finam.ru/publications/item/posledniy-den-dlya-pokupki-aktsiy-evrotransa-pod-dividend-osnovnye-sobytiya-13-yanvarya-20260113-0900/,https://www.finam.ru/quote/moex/irao/publications/
