ticker,date,date_ym,date_raw,title,text,url,source_page
KMAZ,2026-02-04,2026-02,04.02.26,"""КАМАЗ"" 10 февраля проведет сбор заявок на облигации объемом 3 млрд рублей","""КАМАЗ"" планирует 10 февраля с 11:00 до 15:00 мск провести сбор заявок на биржевые облигации серий БО-П20 и БО-П21",https://bonds.finam.ru/news/item/-kamaz-10-fevralya-provedet-sbor-zayavok-na-obligatsii-obemom-3-mlrd-rubley/,https://www.finam.ru/quote/moex/kmaz/publications/
KMAZ,2026-02-03,2026-02,03.02.26,"""КАМАЗ"" растет  без видимых причин",Причиной роста могли стать спекулятивные игры,https://www.finam.ru/publications/item/kamaz-rastet-bez-vidimykh-prichin-20260203-1948/,https://www.finam.ru/quote/moex/kmaz/publications/
KMAZ,2026-01-31,2026-01,31.01.26,Какие эмитенты близки к «тёмным» фабрикам,Минпромторг поручил госкорпорациям разработать план перевода предприятий в режим автоматизации и работы без присутствия человека,https://www.finam.ru/publications/item/kakie-emitenty-blizki-k-tyomnym-fabrikam-20260131-1300/,https://www.finam.ru/quote/moex/kmaz/publications/
KMAZ,2026-01-19,2026-01,19.01.26,Акционеры «Европлана» изберут новый совет директоров - основные события 19 января,Совет директоров «КАМАЗа» назначит члена правления,https://www.finam.ru/publications/item/aktsionery-evroplana-izberut-novyy-sovet-direktorov-osnovnye-sobytiya-19-yanvarya-20260119-0900/,https://www.finam.ru/quote/moex/kmaz/publications/
KMAZ,2026-01-19,2026-01,19.01.26,Совет директоров «КАМАЗа» назначит члена правления,Также будет определен количественный состав правления,https://www.finam.ru/publications/item/sovet-direktorov-kamaza-naznachit-chlena-pravleniya-20260119-0736/,https://www.finam.ru/quote/moex/kmaz/publications/
KMAZ,2025-12-23,2025-12,23.12.25,Объем выданных автокредитов в январе-ноябре 2025 года снизился на 34%,Наибольшие объемы автокредитования зафиксированы в Москве,https://www.finam.ru/publications/item/obem-vydannykh-avtokreditov-v-yanvare-noyabre-2025-goda-snizilsya-na-34-20251223-1323/,https://www.finam.ru/quote/moex/kmaz/publications/
KMAZ,2025-12-22,2025-12,22.12.25,Ключевой технологией для транспортной системы России определены беспилотные системы,Правительство утвердило Концепцию научно-технологического развития транспортного комплекса России на период до 2035 года,https://www.finam.ru/publications/item/klyuchevoy-tekhnologiey-dlya-transportnoy-sistemy-rossii-opredeleny-bespilotnye-sistemy-20251222-1644/,https://www.finam.ru/quote/moex/kmaz/publications/
KMAZ,2025-12-12,2025-12,12.12.25,«КАМАЗ» объявил о старте предпродаж электромобилей «Атом»,Старт предпродаж приурочен к производственному достижению,https://www.finam.ru/publications/item/kamaz-obyavil-o-starte-predprodazh-elektromobiley-atom-20251212-1720/,https://www.finam.ru/quote/moex/kmaz/publications/
KMAZ,2025-12-12,2025-12,12.12.25,"День инвестора «Интер РАО», публикация отчета «Аэрофлота» за ноябрь – основные события 12 декабря","Последний день с дивидендами торгуются акции «Европлана», «Займера»",https://www.finam.ru/publications/item/den-investora-inter-rao-publikatsiya-otcheta-aeroflota-za-noyabr-osnovnye-sobytiya-12-dekabrya-20251212-0900/,https://www.finam.ru/quote/moex/kmaz/publications/
KMAZ,2025-12-12,2025-12,12.12.25,"12 декабря СД ""КАМАЗа"" утвердит программу развития до 2030 года",И обсудит бизнес-план на 2026 год,https://www.finam.ru/publications/item/12-dekabrya-sd-kamaza-utverdit-programmu-razvitiya-do-2030-goda-20251212-0346/,https://www.finam.ru/quote/moex/kmaz/publications/
