ticker,date,date_ym,date_raw,title,text,url,source_page
LIFE,2026-01-25,2026-01,25.01.26,Реестр для участия в повторном годовом собрании акционеров «Фармсинтеза» закрывается 25 января,Собрание пройдет 19 февраля,https://www.finam.ru/publications/item/reestr-dlya-uchastiya-v-povtorom-godovom-sobranii-aktsionerov-farmsinteza-zakryvaetsya-25-yanvarya-20260125-0711/,https://www.finam.ru/quote/moex/life/publications/
LIFE,2026-01-18,2026-01,18.01.26,В отсутствие новостей российский рынок предпочитает расти,Инвесторы надеются на прогресс в переговорном треке по урегулированию российско-украинского конфликта,https://www.finam.ru/publications/item/v-otsutstvie-novostey-rossiyskiy-rynok-predpochitaet-rasti-20260118-1944/,https://www.finam.ru/quote/moex/life/publications/
LIFE,2026-01-15,2026-01,15.01.26,Рынок всколыхнулся на анонсе выступления Путина,"Инвесторы настроены осторожно, двигаясь за немногочисленными макроэкономическими и корпоративными новостями",https://www.finam.ru/publications/item/rynok-vskolykhnulsya-na-anonse-vystupleniya-putina-20260115-1441/,https://www.finam.ru/quote/moex/life/publications/
LIFE,2026-01-15,2026-01,15.01.26,Совет директоров «Фармсинтеза» рекомендовал не выплачивать дивиденды за 2024 год,"Совет рекомендовал разместить 1,1 млрд дополнительных акций по открытой подписке",https://www.finam.ru/publications/item/sovet-direktorov-farmsinteza-rekomendoval-ne-vyplachivat-dividendy-za-2024-god-20260115-1144/,https://www.finam.ru/quote/moex/life/publications/
LIFE,2026-01-14,2026-01,14.01.26,Месячный отчет ОПЕК – основные события 14 января,Росстат опубликует данные о инфляции с начала 2026 года – они будут учитывать вклад повышения НДС и утильсбора,https://www.finam.ru/publications/item/mesyachnyy-otchet-opek-osnovnye-sobytiya-14-yanvarya-20260114-0900/,https://www.finam.ru/quote/moex/life/publications/
LIFE,2026-01-14,2026-01,14.01.26,14 января совет директоров «Фармсинтеза» обсудит дивиденды за 2024 год,Также в повестку заседания включен вопрос увеличения уставного капитала,https://www.finam.ru/publications/item/14-yanvarya-sovet-direktorov-farmsinteza-obsudit-dividendy-za-2024-god-20260114-0505/,https://www.finam.ru/quote/moex/life/publications/
LIFE,2026-01-11,2026-01,11.01.26,Минпромторг разработает новый механизм поддержки российских фармкомпаний,Обсуждается компенсация расходов на проведение последней фазы клинических исследований оригинальных лекарств,https://www.finam.ru/publications/item/minpromtorg-razrabotaet-novyy-mekhanizm-podderzhki-rossiyskikh-farmkompaniy-20260111-1730/,https://www.finam.ru/quote/moex/life/publications/
LIFE,2025-12-30,2025-12,30.12.25,"Рынок подрос на последних торгах декабря, но снизился на 4% за год",Индекс МосБиржи во вторник прибавляет 1%,https://www.finam.ru/publications/item/rynok-podros-na-poslednikh-torgakh-dekabrya-no-snizilsya-na-4za-god-20251230-1934/,https://www.finam.ru/quote/moex/life/publications/
LIFE,2025-12-29,2025-12,29.12.25,Рынок колеблется на противоречивых геополитических новостях,Индекс МосБиржи пытается выбраться из «красной» зоны,https://www.finam.ru/publications/item/rynok-kolebletsya-na-protivorechivykh-geopoliticheskikh-novostyakh-20251229-1934/,https://www.finam.ru/quote/moex/life/publications/
LIFE,2025-12-29,2025-12,29.12.25,Инвесторы вспомнили про фарму. Что будет с акциями в 2026 году?,Акции «Фармсинтеза» в момента росли на 9% на фоне общего интереса к сектору,https://www.finam.ru/publications/item/investory-vspomnili-pro-farmu-chto-budet-s-aktsiyami-v-2026-godu-20251229-1823/,https://www.finam.ru/quote/moex/life/publications/
LIFE,2025-11-26,2025-11,26.11.25,"Выручка «Фармсинтеза» по РСБУ упала за 9 месяцев на 18,3%","Чистый убыток оказался на уровне 121,211 млн рублей",https://www.finam.ru/publications/item/vyruchka-farmsinteza-po-rsbu-upala-za-9-mesyatsev-na-183-20251126-1706/,https://www.finam.ru/quote/moex/life/publications/
LIFE,2025-10-02,2025-10,02.10.25,Какие акции обгонят индекс в ближайшие 5-10 лет,"Внимание смещается с традиционных секторов на компании, которые определят структуру российского рынка через 5-10 лет — IT и здравоохранение",https://www.finam.ru/publications/item/kakie-aktsii-obgonyat-indeks-v-blizhayshie-5-10-let-20251002-1543/,https://www.finam.ru/quote/moex/life/publications/
LIFE,2025-09-25,2025-09,25.09.25,"Коррекция в бумагах ""Фармсинтеза"" может продолжиться","""Дно"" еще не достигнуто",https://www.finam.ru/publications/item/korrektsiya-v-bumagakh-farmsinteza-mozhet-prodolzhitsya-20250925-1437/,https://www.finam.ru/quote/moex/life/publications/
LIFE,2025-07-01,2025-07,01.07.25,ГОСА “Фармсинтеза” по вопросу дивидендов-2024 не состоялось,Основание - отсутствие кворума,https://www.finam.ru/publications/item/gosa-farmsinteza-po-voprosu-dividendov-2024-ne-sostoyalos-20250701-1631/,https://www.finam.ru/quote/moex/life/publications/
LIFE,2025-06-30,2025-06,30.06.25,"Финальное решение по дивидендам ""Сбера"" - основные события 30 июня","Помимо ""Сбербанка"", свои решения по дивидендным выплатам представят с два десятка компаний",https://www.finam.ru/publications/item/finalnoe-reshenie-po-dividendam-sbera-osnovnye-sobytiya-30-iyunya-20250630-0900/,https://www.finam.ru/quote/moex/life/publications/
LIFE,2025-06-30,2025-06,30.06.25,ГОСА «Фармсинтеза» по вопросу выплаты дивидендов-2024 пройдет 30 июня,Совет директоров ранее дал рекомендацию не платить дивиденды,https://www.finam.ru/publications/item/gosa-farmsinteza-po-voprosy-vyplaty-dividendov-2024-proydet-30-iyunya-20250630-0527/,https://www.finam.ru/quote/moex/life/publications/
LIFE,2025-06-06,2025-06,06.06.25,Заседание ЦБ по ставке - основные события 6 июня,"На утренней и вечерней торговых сессиях ""Мосбиржи"" станут доступны еще 8 бумаг",https://www.finam.ru/publications/item/dividendy-severstali-za-1-kvartal-osnovnye-sobytiya-6-iyunya-20250606-0900/,https://www.finam.ru/quote/moex/life/publications/
LIFE,2025-06-06,2025-06,06.06.25,Реестр акционеров «Фармсинтеза» для участия в ГОСА закрывается 6 июня,ГОСА по вопросу выплаты дивидендов за 2024 год пройдет 30 июня,https://www.finam.ru/publications/item/reestr-aktsionerov-farmsinteza-dlya-uchastiya-v-gosa-zakryvaetsya-6-iyunya-20250606-0641/,https://www.finam.ru/quote/moex/life/publications/
LIFE,2025-06-03,2025-06,03.06.25,Совет директоров «Фармсинтеза» рекомендовал увеличить уставный капитал путем допэмиссии акций,"Компания планирует выпустить дополнительные 1,1 млрд акций",https://www.finam.ru/publications/item/sovet-direktorov-farmsinteza-rekomendoval-uvelichit-ustavnyy-kapital-putem-dopemissii-aktsii-20250603-1533/,https://www.finam.ru/quote/moex/life/publications/
LIFE,2025-06-02,2025-06,02.06.25,«Астра» отчитается за квартал - основные события 2 июня,"Акции ""ЛУКОЙЛа"" последний день торгуются с дивидендами",https://www.finam.ru/publications/item/astra-otchitaetsya-za-kvartal-osnovnye-sobytiya-2-iyunya-20250602-0900/,https://www.finam.ru/quote/moex/life/publications/
