ticker,date,date_ym,date_raw,title,text,url,source_page
LSRG,,,18:26,Паника в акциях девелоперов преувеличена,Продажи в бумагах обусловлены спекулятивными факторами,https://www.finam.ru/publications/item/panika-v-aktsiyakh-developerov-vyglyadit-preuvelichennoy-20260205-1824/,https://www.finam.ru/quote/moex/lsrg/publications/
LSRG,,,17:40,Повторят ли другие девелоперы судьбу «Самолета»,"Cитуация на рынке недвижимости выглядит тяжелой, но не катастрофичной",https://www.finam.ru/publications/item/povtoryat-li-drugie-developery-sudbu-samoleta-20260205-1739/,https://www.finam.ru/quote/moex/lsrg/publications/
LSRG,,,16:50,Как дела с долгом у публичных девелоперов?,Сектору очень поможет снижение ставки в район 12-13%,https://www.finam.ru/publications/item/kak-dela-s-dolgom-u-publichnykh-developerov-20260205-1650/,https://www.finam.ru/quote/moex/lsrg/publications/
LSRG,2026-01-22,2026-01,22.01.26,Строительный бум в России - что будет с ценами на жилье в 2026 году?,И акции каких застройщиков стоит держать в своих портфелях?,https://www.finam.ru/publications/item/stroitelnyy-bum-v-rossii-chto-budet-s-tsenami-na-zhile-v-2026-godu-20260122-1743/,https://www.finam.ru/quote/moex/lsrg/publications/
LSRG,2026-01-21,2026-01,21.01.26,"Рынок игнорирует пока инфляцию, все внимание снова сместилось на переговоры",Благодаря геополитическим надеждам снова достаточно ощутимо укрепился рубль,https://www.finam.ru/publications/item/rynok-ignoriruet-poka-inflyatsiyu-vse-vnimanie-snova-smestilos-na-peregovory-20260121-2101/,https://www.finam.ru/quote/moex/lsrg/publications/
LSRG,2026-01-21,2026-01,21.01.26,"Если ЛСР решит платить дивиденды, то скорее остановится на традиционных 78 рублях за акцию","Акции ЛСР можно рассмотреть к покупке под снижение ключевой ставки, а дивиденды, в случае выплаты, станут приятным бонусом",https://www.finam.ru/publications/item/esli-lsr-reshit-platit-dividendy-to-skoree-ostanovitsya-na-traditsionnykh-78-rublyakh-za-aktsiyu-20260121-1858/,https://www.finam.ru/quote/moex/lsrg/publications/
LSRG,2026-01-21,2026-01,21.01.26,Можно рассчитывать на уверенные финансовые результаты ЛСР,Группа представила сильные операционные результаты за четвертый квартал и весь 2025 год,https://www.finam.ru/publications/item/mozhno-rasschityvat-na-uverennye-finansovye-rezultaty-lsr-20260121-1825/,https://www.finam.ru/quote/moex/lsrg/publications/
LSRG,2026-01-21,2026-01,21.01.26,Продажи ЛСР в 2025 году увеличились до 191 млрд рублей,Объем продаж составил 689 тыс. кв. метров,https://www.finam.ru/publications/item/prodazhi-lsr-v-2025-godu-uvelichilis-do-191-mlrd-rubley-20260121-1559/,https://www.finam.ru/quote/moex/lsrg/publications/
LSRG,2026-01-12,2026-01,12.01.26,Какие компании могут восстановиться с низкой базы в 2026 году,Котировки в 2025 году пострадали не просто так. За обвалом стоят реальные проблемы бизнеса и финансовые риски,https://www.finam.ru/publications/item/kakie-kompanii-mogut-vosstanovitsya-s-nizkoy-bazy-v-2026-godu-20260112-1300/,https://www.finam.ru/quote/moex/lsrg/publications/
LSRG,2025-12-25,2025-12,25.12.25,"Рынку не удается перейти к росту, акции застройщиков в лидерах падения","Бумаги «Абрау-Дюрсо» взлетели на 4,5%, а SFI рухнули на 47% после дивгэпа",https://www.finam.ru/publications/item/rynku-ne-udaetsya-pereyti-k-rostu-aktsii-zastroyshchikov-v-liderakh-padeniya-20251225-1014/,https://www.finam.ru/quote/moex/lsrg/publications/
