ticker,date,date_ym,date_raw,title,text,url,source_page
MAGN,2026-02-04,2026-02,04.02.26,Краткосрочные идеи на российском рынке: новые претенденты на добавление в портфель,Определяющими для рынка остаются переговоры о мирном урегулировании,https://www.finam.ru/publications/item/kratkosrochnye-idei-na-rossiyskom-rynke-novye-pretendenty-na-dobavlenie-v-portfel-20260204-1210/,https://www.finam.ru/quote/moex/magn/publications/
MAGN,2026-02-03,2026-02,03.02.26,"Новый план по стабилизации сектора металлургии наиболее позитивен для ММК и ""Мечела""",Самой эффективной будет мера ввести обязательную уплату акциза для импортеров,https://www.finam.ru/publications/item/novyy-plan-po-stabilizatsii-sektora-metallurgii-naibolee-pozitiven-dlya-mmk-i-mechela-20260203-1220/,https://www.finam.ru/quote/moex/magn/publications/
MAGN,2026-02-02,2026-02,02.02.26,Бизнес представит Мантурову новый план поддержки металлургов,"Предложения подготовили “Северсталь”, НЛМК, ММК, Evraz и другие",https://www.finam.ru/publications/item/biznes-predstavit-manturovu-novyy-plan-podderzhki-metallurgov-20260202-1027/,https://www.finam.ru/quote/moex/magn/publications/
MAGN,2026-01-29,2026-01,29.01.26,"Рынок завис возле 2800 пунктов, акции золотодобытчиков резко упали",В лидерах роста оказались представители сектора черной металлургии,https://www.finam.ru/publications/item/rynok-zavis-vozle-2800-punktov-aktsii-zolotodobytchikov-rezko-upali-20260129-1928/,https://www.finam.ru/quote/moex/magn/publications/
MAGN,2026-01-26,2026-01,26.01.26,ММК увеличил выпуск оцинкованных труб в 2025 году до рекордных 18 тыс. тонн,"Показатель превзошел предыдущий максимум от 2024 года на 3,4%",https://www.finam.ru/publications/item/mmk-uvelichil-vypusk-otsinkovannykh-trub-v-2025-godu-do-rekordnykh-18-tys-tonn-20260126-1318/,https://www.finam.ru/quote/moex/magn/publications/
MAGN,2026-01-19,2026-01,19.01.26,Дивидендов ММК за 2026 год ждать не стоит,"Они возможны только за 4 квартал, если ситуация в экономике РФ начнет улучшаться",https://www.finam.ru/publications/item/dividendov-mmk-za-2026-god-zhdat-ne-stoit-20260119-1630/,https://www.finam.ru/quote/moex/magn/publications/
MAGN,2026-01-19,2026-01,19.01.26,Акции ММК готовы к восстановлению,Ожидаемое снижение ключевой ставки в 2026 году может оживить спрос на сталь,https://www.finam.ru/publications/item/aktsii-mmk-gotovy-k-vosstanovleniyu-20260119-1528/,https://www.finam.ru/quote/moex/magn/publications/
MAGN,2026-01-12,2026-01,12.01.26,Какие компании могут восстановиться с низкой базы в 2026 году,Котировки в 2025 году пострадали не просто так. За обвалом стоят реальные проблемы бизнеса и финансовые риски,https://www.finam.ru/publications/item/kakie-kompanii-mogut-vosstanovitsya-s-nizkoy-bazy-v-2026-godu-20260112-1300/,https://www.finam.ru/quote/moex/magn/publications/
MAGN,2026-01-01,2026-01,01.01.26,Что год грядущий готовит металлургам?,Ряды участников рынка заметно поредеют,https://www.finam.ru/publications/item/chto-god-gryadushchiy-gotovit-metallurgam-20260101-1300/,https://www.finam.ru/quote/moex/magn/publications/
MAGN,2025-12-25,2025-12,25.12.25,Станет ли 2026 год успешным для металлургов?,"Экспорт растет, дивиденды и спрос — под вопросом",https://www.finam.ru/publications/item/stanet-li-2026-god-uspeshnym-dlya-metallurgov-20251225-1613/,https://www.finam.ru/quote/moex/magn/publications/
MAGN,2025-12-25,2025-12,25.12.25,"ММК до 2029 года инвестирует в цифровые проекты 2,6 млрд рублей","Ожидаемый экономический эффект составляет 3,1 млрд рублей",https://www.finam.ru/publications/item/mmk-do-2029-goda-investiruet-v-tsifrovye-proekty-26-mlrd-rubley-20251225-1333/,https://www.finam.ru/quote/moex/magn/publications/
MAGN,2025-12-17,2025-12,17.12.25,Металлурги не получили отсрочку по уплате акциза на сталь после 1 декабря,"Соответствующих инициатив не было, заявили в Минфине",https://www.finam.ru/publications/item/metallurgi-ne-poluchili-otsrochku-po-uplate-aktsiza-na-stal-posle-1-dekabrya-20251217-1448/,https://www.finam.ru/quote/moex/magn/publications/
MAGN,2025-12-17,2025-12,17.12.25,Чистая прибыль ММК может вырасти вместе с ценами на экспортные слябы,Самодостаточность компании в сырье снижает зависимость от колебаний цен на рынке,https://www.finam.ru/publications/item/chistaya-pribyl-mmk-mozhet-vyrasti-vmeste-s-tsenami-na-eksportnye-slyaby-20251217-1331/,https://www.finam.ru/quote/moex/magn/publications/
MAGN,2025-12-02,2025-12,02.12.25,Рынок РФ вновь может столкнуться с серьезной волатильностью из-за геополитики,Актуальный состав портфеля для текущей ситуации на рынке,https://www.finam.ru/publications/item/rynok-rf-vnov-mozhet-stolknutsya-s-sereznoy-volatilnostyu-iz-za-geopoliticheskoy-neopredelennosti-20251202-1829/,https://www.finam.ru/quote/moex/magn/publications/
