ticker,date,date_ym,date_raw,title,text,url,source_page
MGNT,2026-02-04,2026-02,04.02.26,За кулисами финансовой отчётности,"Кто из эмитентов выстрелит, а кто не оправдает ожиданий",https://www.finam.ru/publications/item/za-kulisami-finansovoy-otchyotnosti-20260204-1100/,https://www.finam.ru/quote/moex/mgnt/publications/
MGNT,2026-01-29,2026-01,29.01.26,"""Магнит"" установил ставку очередных купонов по облигациям серии БО-004P-03","Выпуск номинальным объемом 30 млрд. рублей был размещен в 2023 году с погашением в 2028 году. Ставка квартального купона на 12-й купонный период составляет 9,20% годовых",https://bonds.finam.ru/news/item/-magnit-ustanovil-stavku-ocherednykh-kuponov-po-obligatsiam-serii-bo-004p-03/,https://www.finam.ru/quote/moex/mgnt/publications/
MGNT,2026-01-28,2026-01,28.01.26,"21 идея аналитиков «Финама», принесшая высокую доходность","Среди компаний, заслуживающих внимания, аналитики выделили АПРИ, ""Ленэнерго"", “Т-Технологии”, МТС, “Яндекс”, “Полюс”",https://www.finam.ru/publications/item/21-ideya-analitikov-finama-prinesshikh-vysokuyu-dokhodnost-20260128-1711/,https://www.finam.ru/quote/moex/mgnt/publications/
MGNT,2026-01-27,2026-01,27.01.26,"Почему интерес к акциям ""Магнита"" может вырасти","Есть один нюанс, который инвестсообщество проглядело",https://www.finam.ru/publications/item/pochemu-interes-k-aktsiyam-magnita-mozhet-vyrasti-20260127-1645/,https://www.finam.ru/quote/moex/mgnt/publications/
MGNT,2026-01-27,2026-01,27.01.26,"""Магнит"" теряет статус ""защитного"" актива","Долгосрочному инвестору рационально дождаться либо подтвержденного слома нисходящего тренда, либо явного улучшения финансовых показателей компании",https://www.finam.ru/publications/item/magnit-teryaet-status-zashchitnogo-aktiva-20260127-1615/,https://www.finam.ru/quote/moex/mgnt/publications/
MGNT,2026-01-21,2026-01,21.01.26,"Обратный сплит будет нейтрален для акций ""Фикс Прайса""","Техническое «укрупнение» бумаг вполне оправдано для компании, так как сейчас номинал одной акции составляет около 0,6 рублей",https://www.finam.ru/publications/item/obratnyy-split-budet-neytralen-dlya-aktsiy-fiks-praysa-20260121-0952/,https://www.finam.ru/quote/moex/mgnt/publications/
MGNT,2026-01-21,2026-01,21.01.26,Геополитика больше не ускоряет рынок вниз,Но и рост без конкретных триггеров маловероятен,https://www.finam.ru/publications/item/geopolitika-bolshe-ne-uskoryaet-rynok-vniz-20260121-0900/,https://www.finam.ru/quote/moex/mgnt/publications/
MGNT,2026-01-21,2026-01,21.01.26,Быки рвутся в бой на дипломатическом позитиве,Но им мешают внешние риски,https://www.finam.ru/publications/item/byki-rvutsya-v-boy-na-diplomaticheskom-pozitive-20260121-0814/,https://www.finam.ru/quote/moex/mgnt/publications/
MGNT,2026-01-20,2026-01,20.01.26,"Рынок сползает вниз, в числе фаворитов дня – «Селигдар», «Акрон» и «НОВАТЭК»",«Селигдару» помогает новый виток ралли золота,https://www.finam.ru/publications/item/rynok-spolzaet-vniz-v-chisle-favoritov-dnya-seligdar-akron-i-novatek-20260120-1940/,https://www.finam.ru/quote/moex/mgnt/publications/
MGNT,2026-01-20,2026-01,20.01.26,"""Магнит"" растет на 5% без новостей","Явных драйверов для подъема нет, но компания активно диверсифицируется",https://www.finam.ru/publications/item/magnit-rastet-na-5-bez-novostey-20260120-1740/,https://www.finam.ru/quote/moex/mgnt/publications/
MGNT,2026-01-19,2026-01,19.01.26,"Стоит ли сейчас покупать акции ""Магнита""","Пока бумага находится в ""боковике""",https://www.finam.ru/publications/item/stoit-li-seychas-pokupat-aktsii-magnita-20260119-1338/,https://www.finam.ru/quote/moex/mgnt/publications/
