ticker,date,date_ym,date_raw,title,text,url,source_page
MRKC,2026-01-19,2026-01,19.01.26,Акционеры «Европлана» изберут новый совет директоров - основные события 19 января,Совет директоров «КАМАЗа» назначит члена правления,https://www.finam.ru/publications/item/aktsionery-evroplana-izberut-novyy-sovet-direktorov-osnovnye-sobytiya-19-yanvarya-20260119-0900/,https://www.finam.ru/quote/moex/mrkc/publications/
MRKC,2026-01-19,2026-01,19.01.26,СД «Россети Центр» на заседании 19 января утвердит политику инновационного развития,Совет директоров также одобрит политику в области энергосбережения и повышения энергетической эффективности,https://www.finam.ru/publications/item/sd-rosseti-tsentr-na-zasedanii-19-yanvarya-utverdit-politiku-innovatsionnogo-razvitiya-20260119-0433/,https://www.finam.ru/quote/moex/mrkc/publications/
MRKC,2025-12-29,2025-12,29.12.25,Что такое делеверидж и как на нем заработать,На какие акции обратить внимание,https://www.finam.ru/publications/item/chto-takoe-deleveridzh-i-kak-na-nem-zarabotat-20251229-1300/,https://www.finam.ru/quote/moex/mrkc/publications/
MRKC,2025-11-26,2025-11,26.11.25,"Доходы ""Россети Центр"" растут быстрее инфляции","Текущий тренд улучшения маржи, снижение процентных расходов и восстановление прибыли формируют умеренный потенциал роста",https://www.finam.ru/publications/item/dokhody-rosseti-tsentr-rastut-bystree-inflyatsii-20251126-1716/,https://www.finam.ru/quote/moex/mrkc/publications/
MRKC,2025-11-26,2025-11,26.11.25,Рынок дрейфует в «красном» в ожидании новостей по переговорам,Рубль в среду продолжает укрепляться,https://www.finam.ru/publications/item/rynok-dreyfuet-v-krasnom-v-ozhidanii-novostey-po-peregovoram-20251126-1454/,https://www.finam.ru/quote/moex/mrkc/publications/
MRKC,2025-11-26,2025-11,26.11.25,"Чистая прибыль «Россети Центр» по МСФО за 9 месяцев выросла до 9,4 млрд рублей","Выручка увеличилась до 107,7 млрд рублей",https://www.finam.ru/publications/item/chistaya-pribyl-rosseti-tsentr-po-msfo-za-9-mesyatsev-vyrosla-do-94-mlrd-rubley-20251126-1017/,https://www.finam.ru/quote/moex/mrkc/publications/
MRKC,2025-11-20,2025-11,20.11.25,Рынок колеблется в ожидании новых сигналов,"Инвесторы не спешат закрывать длинные позиции, но на дальнейшие покупки пока не решаются",https://www.finam.ru/publications/item/rynok-kolebletsya-v-ozhidanii-novykh-signalov-20251120-1446/,https://www.finam.ru/quote/moex/mrkc/publications/
MRKC,2025-11-19,2025-11,19.11.25,ИИ и аналитики назвали лидеров роста на год - мнения разошлись,В поисках высокой доходности - следовать за искусственным интеллектом или экспертами?,https://www.finam.ru/publications/item/ii-i-analitiki-nazvali-liderov-rosta-na-god-mneniya-razoshlis-20251119-1855/,https://www.finam.ru/quote/moex/mrkc/publications/
MRKC,2025-11-07,2025-11,07.11.25,"Риски растут, но идеи в акциях еще остались",Некоторые сектора сейчас лучше полностью обходить стороной,https://www.finam.ru/publications/item/riski-rastut-no-idei-v-aktsiyakh-eshche-ostalis-20251107-1200/,https://www.finam.ru/quote/moex/mrkc/publications/
MRKC,2025-10-29,2025-10,29.10.25,"Чистая прибыль «Россети Центр» по РСБУ за 9 месяцев выросла на 23,8%","Выручка увеличилась на 12,3%",https://www.finam.ru/publications/item/chistaya-pribyl-rosseti-tsentr-po-rsbu-za-9-mesyatsev-vyrosla-na-238-20251029-1506/,https://www.finam.ru/quote/moex/mrkc/publications/
