ticker,date,date_ym,date_raw,title,text,url,source_page
MRKP,2026-01-17,2026-01,17.01.26,"Рынок в субботу подрастает, приближаясь к 2750 пунктам",Позитив наблюдается на фоне ожидания очередных переговоров по российско-украинскому конфликту,https://www.finam.ru/publications/item/rynok-v-subbotu-podrastaet-priblizhayas-k-2750-punktam-20260117-1020/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-12-29,2025-12,29.12.25,Что такое делеверидж и как на нем заработать,На какие акции обратить внимание,https://www.finam.ru/publications/item/chto-takoe-deleveridzh-i-kak-na-nem-zarabotat-20251229-1300/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-12-06,2025-12,06.12.25,Акции сектора электроэнергетики вновь в лидерах на субботних торгах «СПБ Биржи»,"Акции «Россети Центр и Приволжье» растут более чем на 7%, «Интер РАО» - на 6%",https://www.finam.ru/publications/item/aktsii-sektora-elektroenergetiki-vnov-v-liderakh-na-subbotnikh-torgakh-spb-birzhi-20251206-2138/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-12-05,2025-12,05.12.25,На чем растут электроэнергетики,Инвесторы ждут дивиденды?,https://www.finam.ru/publications/item/na-chem-rastut-elektroenergetiki-20251205-1350/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-11-27,2025-11,27.11.25,Топ дивидендных акций на 2026 год,Лидеры с лучшей доходностью по секторам,https://www.finam.ru/publications/item/top-dividendnykh-aktsiy-na-2026-god-20251127-1400/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-11-26,2025-11,26.11.25,Рынок дрейфует в «красном» в ожидании новостей по переговорам,Рубль в среду продолжает укрепляться,https://www.finam.ru/publications/item/rynok-dreyfuet-v-krasnom-v-ozhidanii-novostey-po-peregovoram-20251126-1454/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-11-26,2025-11,26.11.25,"Чистая прибыль «Россетей Центр и Приволжье» по МСФО выросла в 3 квартале на 10,7%","Выручка при этом составила 39,86 млрд рублей",https://www.finam.ru/publications/item/chistaya-pribyl-rossetey-tsentr-i-privolzhe-po-msfo-vyrosla-v-3-kvartale-na-107-20251126-1038/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-11-11,2025-11,11.11.25,Интересные дивидендные акции на 15-20 лет,На длительном горизонте выбор надо делать в пользу лидеров секторов,https://www.finam.ru/publications/item/interesnye-dividendny-bumagi-na-15-20-let-20251111-1930/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-11-07,2025-11,07.11.25,"Риски растут, но идеи в акциях еще остались",Некоторые сектора сейчас лучше полностью обходить стороной,https://www.finam.ru/publications/item/riski-rastut-no-idei-v-aktsiyakh-eshche-ostalis-20251107-1200/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-11-06,2025-11,06.11.25,Топ дивидендных акций на сложном рынке,Стабильные дивидендные фишки сейчас на вес золота,https://www.finam.ru/publications/item/top-dividendnykh-aktsiy-na-slozhnom-rynke-20251106-0926/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-11-04,2025-11,04.11.25,Возможности российского рынка,Какие компании с невысокой долговой нагрузкой продолжают генерировать прибыль,https://www.finam.ru/publications/item/vozmozhnosti-rossiyskogo-rynka-20251104-1012/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-11-03,2025-11,03.11.25,Топ дивидендных акций на ноябрь,Суммарные выплаты в период до конца года могут составить 480 млрд рублей,https://www.finam.ru/publications/item/top-dividendnykh-aktsiy-na-noyabr-20251103-1030/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-10-29,2025-10,29.10.25,"«Россети Центр и Приволжье» увеличила прибыль по РСБУ за 9 месяцев на 21,1%","Выручка в отчетном периоде выросла на 12,8%",https://www.finam.ru/publications/item/rosseti-tsentr-i-privolzhe-uvelichila-pribyl-po-rsbu-za-9-mesyatsev-na-211-20251029-1511/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-10-29,2025-10,29.10.25,Дивиденды Минэнерго пойдут на модернизацию сетей,Отрасли не хватает длинных денег при ограниченном тарифе и высокой стоимости заимствований,https://www.finam.ru/publications/item/dividendy-minenergo-poydut-na-modernizatsiyu-setey-20251029-1215/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-10-22,2025-10,22.10.25,Какие акции вырастут независимо от геополитики и ставки?,"Пока рынок лихорадит, можно подумать о фундаментально качественных акциях",https://www.finam.ru/publications/item/kakie-aktsii-vyrastut-nezavisimo-ot-geopolitiki-i-stavki-20251022-1325/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-10-21,2025-10,21.10.25,Какие акции сейчас обладают высоким потенциалом роста,"Интересны бумаги ""Сбера"" и ВТБ",https://www.finam.ru/publications/item/kakie-aktsii-seychas-obladayut-vysokim-potentsialom-rosta-20251021-1715/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-10-16,2025-10,16.10.25,Энергетика на валидоле. К каким акциям можно присмотреться,Массового запрета на выплату дивидендов не будет,https://www.finam.ru/publications/item/energetika-na-validole-k-kakim-aktsiyam-mozhno-prismotretsya-20251016-1945/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-10-16,2025-10,16.10.25,Основная проблема электроэнергетики — большие инвестиционные бюджеты,Стоит это учитывать в принятии решений,https://www.finam.ru/publications/item/osnovnaya-problema-elektroenergetiki--bolshie-investitsionnye-byudzhety-20251016-1230/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-10-15,2025-10,15.10.25,Рынок завершает день позитивно с мощным ралли электроэнергетиков,Данные о замедлении инфляции не повлияли на торги,https://www.finam.ru/publications/item/rynok-zavershaet-den-pozitivno-s-moshchnym-ralli-elektroenergetikov-20251015-1926/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-10-15,2025-10,15.10.25,"Рынок взбодрился, в акциях энергетиков - феерия",Инициатива Минэнерго не будет реализована,https://www.finam.ru/publications/item/rynok-vzbodrilsya-v-aktsiyakh-energetikov-feeriya-20251015-1449/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-10-15,2025-10,15.10.25,Акции российских энергетических компаний рванули вверх,Минэнерго не планирует законодательно закреплять направление их дивидендов на инвестиции,https://www.finam.ru/publications/item/aktsii-rossiyskikh-energeticheskikh-kompaniy-rvanuli-vverkh-20251015-1312/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-10-13,2025-10,13.10.25,Энергетика перестает быть рыночной отраслью,Что теперь делать акционерам?,https://www.finam.ru/publications/item/energetika-perestaet-byt-rynochnoy-otraslyu-20251013-2000/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-10-11,2025-10,11.10.25,Российский рынок сократил потери по итогам субботних торгов,"Индекс МосБиржи опустился на 0,38%",https://www.finam.ru/publications/item/rossiyskiy-rynok-sokratil-poteri-po-itogam-subbotnikh-torgov-20251011-1938/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-10-11,2025-10,11.10.25,"Поводов для беспокойства все больше – проблемы «ПИКа», ЮГК и энергетиков",Рынок штормит,https://www.finam.ru/publications/item/povodov-dlya-bespokoystva-vse-bolshe-problemy-pika-yugk-i-energetikov-20251011-1403/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-10-10,2025-10,10.10.25,"Провал, еще провал. В пятницу под удар попали энергетики",Инициатива Минэнерго испугала инвесторов,https://www.finam.ru/publications/item/proval-eshche-proval-v-pyatnitsu-pod-udar-popali-energetiki-20251010-2117/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-10-10,2025-10,10.10.25,"На рынке уныние, в аутсайдерах дня – акции электроэнергетиков и «ПИКа»",Индекс МосБиржи падает на 2%,https://www.finam.ru/publications/item/na-rynke-unynie-v-autsayderakh-dnya-aktsii-elektroenergetikov-i-pika-20251010-1936/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-10-10,2025-10,10.10.25,Рынок застрял в минусе,Инвесторы не видят идей для покупок,https://www.finam.ru/publications/item/rynok-zastryal-v-minuse-20251010-1422/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-09-26,2025-09,26.09.25,Какие акции защитят от текущей турбулентности,"Рынок волатилен, но ситуация не видится ухудшающейся",https://www.finam.ru/publications/item/zashchitnye-aktivy-na-tekushchem-rynke-20250926-1841/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-09-26,2025-09,26.09.25,Перспективы коммунальных компаний улучшились,В фокусе — сетевые компании,https://www.finam.ru/publications/item/perspektivy-kommunalnykh-kompaniy-uluchshilis-20250926-1522/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-09-25,2025-09,25.09.25,Какие акции могут быть интересны для покупки,"В первую очередь ожидается рост бумаг ""Газпрома"", ""НОВАТЭКа"", ""СПБ-Биржи"" и ""Аэрофлота""",https://www.finam.ru/publications/item/na-kakie-aktsii-stoit-obratit-vnimanie-20250925-1220/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-09-06,2025-09,06.09.25,"Хлеб, свет и медицина - бумаги, которым не страшна геополитика","Бумаги, ориентированные на внутренний рынок, дают большую предсказуемость и финансовую безопасность",https://www.finam.ru/publications/item/khleb-svet-i-meditsina-bumagi-kotorym-ne-strashna-geopolitika-20250906-1300/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-08-27,2025-08,27.08.25,"Выручка «Россети Центр и Приволжье» по МСФО выросла в 1 полугодии на 12,2%","Прибыль также продемонстрировала рост, составив 11,986 млрд рублей",https://www.finam.ru/publications/item/vyruchka-rosseti-tsentr-i-privolzhe-po-msfo-vyrosla-v-1-polugodii-na-122-20250827-1118/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-07-30,2025-07,30.07.25,Чистая прибыль «Россети Центр и Приволжье» по РСБУ за 1 полугодие 2025 года выросла на 23%,Выручка компании в отчетном периоде увеличилась на 11%,https://www.finam.ru/publications/item/chistaya-pribyl-rosseti-tsentr-i-privolzhe-po-rsbu-za-1-polugodie-2025-goda-vyrosla-na-23-20250730-1114/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-07-08,2025-07,08.07.25,Самые доходные акции в июле,"Внимание на компании, которые смогут увеличить прибыль в 2025 году и показать дивиденд за этот год выше, чем за минувший",https://www.finam.ru/publications/item/samye-dokhodnye-aktsii-v-iyule-20250708-1541/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-07-06,2025-07,06.07.25,Дешевый рынок в ожидании разворота: главные идеи на 2 полугодие,Какие бумаги стоит держать инвесторам в портфеле?,https://www.finam.ru/publications/item/deshevyy-rynok-v-ozhidanii-razvorota-glavnye-idei-na-2-polugodie-20250706-1230/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-07-03,2025-07,03.07.25,ЖКХ подорожало. Можно ли на этом заработать,Какие акции стоит добавить в портфель?,https://www.finam.ru/publications/item/zhkkh-podorozhal-mozhno-li-na-etom-zarabotat-20250703-1820/,https://www.finam.ru/quote/moex/mrkp/publications/
MRKP,2025-07-01,2025-07,01.07.25,Рост прибыли ВТБ не помог акциям банка,Индексы не могут определиться с направлением,https://www.finam.ru/publications/item/rynok-pereshel-k-snizheniyu-rost-pribyli-vtb-ne-pomog-aktsiyam-banka-20250701-1024/,https://www.finam.ru/quote/moex/mrkp/publications/
