ticker,date,date_ym,date_raw,title,text,url,source_page
MRKS,2025-12-12,2025-12,12.12.25,"День инвестора «Интер РАО», публикация отчета «Аэрофлота» за ноябрь – основные события 12 декабря","Последний день с дивидендами торгуются акции «Европлана», «Займера»",https://www.finam.ru/publications/item/den-investora-inter-rao-publikatsiya-otcheta-aeroflota-za-noyabr-osnovnye-sobytiya-12-dekabrya-20251212-0900/,https://www.finam.ru/quote/moex/mrks/publications/
MRKS,2025-12-12,2025-12,12.12.25,Совет директоров «Россети Сибирь» 12 декабря обсудит утверждение плана реализации мероприятий до 2030 года,Также планируется рассмотрение бизнес-плана группы за 1 полугодие,https://www.finam.ru/publications/item/sovet-direktorov-rosseti-sibir-12-dekabrya-obsudit-utverzhdenie-plana-realizatsii-meropriyatiy-do-2030-goda-20251212-0713/,https://www.finam.ru/quote/moex/mrks/publications/
MRKS,2025-08-27,2025-08,27.08.25,"«Россети Сибирь» сократили чистый убыток по МСФО в 1 полугодии до 391,3 млн рублей","Выручка выросла до 60,33 млрд рублей",https://www.finam.ru/publications/item/rosseti-sibir-sokratili-chistyy-ubytok-po-msfo-v-1-polugodii-do-3913-mln-rubley-20250827-0903/,https://www.finam.ru/quote/moex/mrks/publications/
MRKS,2025-07-17,2025-07,17.07.25,“Россети Сибирь” 17 июля изберут председателя совета директоров,Еще на повестке - вопрос о кредитном плане на 3 квартал 2025 года,https://www.finam.ru/publications/item/sber-29-iyulya-opublikuet-otchetnost-po-msfo-za-1-polugodie-20250729-0455/,https://www.finam.ru/quote/moex/mrks/publications/
MRKS,2025-07-16,2025-07,16.07.25,Х5 отчитается за 2 квартал - основные события 15 июля,"Акции ""Транснефти"", ""ЕвроТранса"", ""Т-Технологий"" и ""Сургутнефтегаза"" последний день торгуются с дивидендами",https://www.finam.ru/publications/item/kh5-otchitaetsya-za-2-kvartal-osnovnye-sobytiya-15-iyulya-20250716-0900/,https://www.finam.ru/quote/moex/mrks/publications/
MRKS,2025-07-07,2025-07,07.07.25,Мосбиржа с 16 июля переводит акции «Россети Сибирь» в третий уровень листинга,Акции переводятся из второго уровня,https://www.finam.ru/publications/item/mosbirzha-s-16-iyulya-perevodit-aktsii-rosseti-sibir-v-tretiy-uroven-listinga-20250707-1843/,https://www.finam.ru/quote/moex/mrks/publications/
MRKS,2025-07-02,2025-07,02.07.25,Акционеры «Россети Сибирь» приняли решение не платить дивиденды-2024,"За это решение было отдано 99,9851% голосов акционеров",https://www.finam.ru/publications/item/aktsionery-rosseti-sibir-prinyali-reshenie-ne-platit-dividendy-2024-20250702-0904/,https://www.finam.ru/quote/moex/mrks/publications/
MRKS,2025-06-30,2025-06,30.06.25,"Финальное решение по дивидендам ""Сбера"" - основные события 30 июня","Помимо ""Сбербанка"", свои решения по дивидендным выплатам представят с два десятка компаний",https://www.finam.ru/publications/item/finalnoe-reshenie-po-dividendam-sbera-osnovnye-sobytiya-30-iyunya-20250630-0900/,https://www.finam.ru/quote/moex/mrks/publications/
MRKS,2025-06-30,2025-06,30.06.25,ГОСА по вопросу дивидендов “Россети Сибирь” созывается на 30 июня,Дата закрытия реестра - 6 июня,https://www.finam.ru/publications/item/gosa-voprosu-dividendov-rosseti-sibir-sozyvaetsya-na-30-iyunya-20250630-0013/,https://www.finam.ru/quote/moex/mrks/publications/
MRKS,2025-06-06,2025-06,06.06.25,Заседание ЦБ по ставке - основные события 6 июня,"На утренней и вечерней торговых сессиях ""Мосбиржи"" станут доступны еще 8 бумаг",https://www.finam.ru/publications/item/dividendy-severstali-za-1-kvartal-osnovnye-sobytiya-6-iyunya-20250606-0900/,https://www.finam.ru/quote/moex/mrks/publications/
MRKS,2025-06-06,2025-06,06.06.25,Дата закрытия реестра акционеров “Россети Сибирь” - 6 июня,ГОСА вопросу дивидендов компании созывается на 30 июня,https://www.finam.ru/publications/item/data-zakrytiya-reestra-aktsionerov-rosseti-sibir-6-iyunya-20250606-0524/,https://www.finam.ru/quote/moex/mrks/publications/
MRKS,2025-06-05,2025-06,05.06.25,Заряжены на дивиденды. Топ акций энергетиков,Дивидендный блэкаут? Только не в секторе электроэнергетиков,https://www.finam.ru/publications/item/zaryazheny-na-dividendy-top-aktsiy-energetikov-20250605-1730/,https://www.finam.ru/quote/moex/mrks/publications/
MRKS,2025-05-30,2025-05,30.05.25,“Россети Сибирь” могут не заплатить своим акционерам дивиденды-2024,ГОСА по этому вопросу созывается на 30 июня,https://www.finam.ru/publications/item/rosseti-sibir-mogut-ne-zaplatit-svoim-aktsioneram-dividendy-2024-20250530-1310/,https://www.finam.ru/quote/moex/mrks/publications/
MRKS,2025-05-30,2025-05,30.05.25,"Отчеты по МСФО представят ВТБ, SFI, ""Интер РАО"" и ""Аэрофлот"" - основные события 30 мая","Также отчетность может опубликовать ""Газпром""",https://www.finam.ru/publications/item/gazprom-mozhet-opublikovat-otchet-za-1-kvartal-osnovnye-sobytiya-30-maya-20250530-0900/,https://www.finam.ru/quote/moex/mrks/publications/
MRKS,2025-05-30,2025-05,30.05.25,Совет директоров «Россети Сибирь» 30 мая обсудит бизнес-план на 2025 год,Также планируется обсудить утверждение прогнозных показателей на период 2026–2029 гг.,https://www.finam.ru/publications/item/sovet-direktorov-rosseti-sibir-30-maya-obsudit-biznes-plan-na-2025-god-20250530-0351/,https://www.finam.ru/quote/moex/mrks/publications/
MRKS,2025-05-20,2025-05,20.05.25,“Россети Сибирь” по итогам 3 месяцев нарастили выручку на 60%,Показатель EBITDA вырос на 13%,https://www.finam.ru/publications/item/rosseti-sibir-po-itogam-3-mesyatsev-narastili-vyruchku-na-60-20250520-1734/,https://www.finam.ru/quote/moex/mrks/publications/
MRKS,2025-04-28,2025-04,28.04.25,Чистая прибыль «Россети Сибирь» по РСБУ за 1 квартал 2025 года выросла на 73%,"Выручка в отчетном периоде увеличилась на 60,5%",https://www.finam.ru/publications/item/chistaya-pribyl-rosseti-sibir-po-rsbu-za-1-kvartal-2025-goda-vyrosla-na-73-20250428-1107/,https://www.finam.ru/quote/moex/mrks/publications/
MRKS,2025-04-23,2025-04,23.04.25,Рост числа участников на дополнительных торгах увеличит доходы МосБиржи,"Допуск акций десяти новых эмитентов к утренним, вечерним и выходным торгам расширяет временной доступ для инвесторов и повышает гибкость сделок",https://www.finam.ru/publications/item/rost-chisla-uchastnikov-na-dopolnitelnykh-torgakh-uvelichit-dokhody-mosbirzhi-20250423-1804/,https://www.finam.ru/quote/moex/mrks/publications/
MRKS,2025-04-23,2025-04,23.04.25,"Мосбиржа расширила список акций на утренней, вечерней сессиях и по выходным",Общее число акций на торгах по выходным с 26 апреля достигнет 100,https://www.finam.ru/publications/item/mosbirzha-rasshirila-spisok-aktsiy-na-utrenney-vecherney-sessiyakh-i-po-vykhodnym-20250423-1455/,https://www.finam.ru/quote/moex/mrks/publications/
MRKS,2025-04-16,2025-04,16.04.25,X5 отчитается за 1 квартал - основные события 16 апреля,Минфин РФ проведет аукционы по размещению ОФЗ 26242 и 26248,https://www.finam.ru/publications/item/x5-otchitaetsya-za-1-kvartal-osnovnye-sobytiya-16-aprelya-20250416-0900/,https://www.finam.ru/quote/moex/mrks/publications/
MRKS,2025-04-16,2025-04,16.04.25,"Совет директоров ""Россети Сибирь"" проведет заседание 16 апреля",СД утвердит кредитный план компании на 2 квартал,https://www.finam.ru/publications/item/sovet-direktorov-rosseti-sibir-provedet-zasedanie-16-aprelya-20250416-0710/,https://www.finam.ru/quote/moex/mrks/publications/
MRKS,2025-03-28,2025-03,28.03.25,Совет директоров «Россетей Сибирь» 28 марта обсудит вопрос избрания генерального директора,Также будет обсуждаться вопрос о назначении исполняющего обязанности генерального директора,https://www.finam.ru/publications/item/sovet-direktorov-rossetey-sibir-28-marta-obsudit-vopros-izbraniya-generalnogo-direktora-20250328-0711/,https://www.finam.ru/quote/moex/mrks/publications/
MRKS,2025-03-14,2025-03,14.03.25,Чистый убыток «Россетей Сибирь» по МСФО упал в 2024 году в три раза,"Выручка при этом оказалась на уровне 77,61 млрд рублей",https://www.finam.ru/publications/item/chistyy-ubytok-rossetey-sibir-po-msfo-upal-v-2024-godu-v-tri-raza-20250314-0912/,https://www.finam.ru/quote/moex/mrks/publications/
MRKS,2025-03-14,2025-03,14.03.25,"Чистый убыток «Россетей Сибирь» по РСБУ снизился в 2024 году на 4,5%","Выручка при этом увеличилась до 77,88 млрд рублей",https://www.finam.ru/publications/item/chistyy-ubytok-rossetey-sibir-po-rsbu-snizilsya-v-2024-godu-na-45-20250314-0907/,https://www.finam.ru/quote/moex/mrks/publications/
