ticker,date,date_ym,date_raw,title,text,url,source_page
MRKU,2025-12-29,2025-12,29.12.25,Что такое делеверидж и как на нем заработать,На какие акции обратить внимание,https://www.finam.ru/publications/item/chto-takoe-deleveridzh-i-kak-na-nem-zarabotat-20251229-1300/,https://www.finam.ru/quote/moex/mrku/publications/
MRKU,2025-11-28,2025-11,28.11.25,“Россети Урал” по итогам 9 месяцев увеличили выручку почти на 10%,"Прибыль за период составила 9 126,7 млн рублей",https://www.finam.ru/publications/item/rosseti-ural-po-itogam-9-mesyatsev-snizili-vyruchku-pochti-na-10-20251128-0834/,https://www.finam.ru/quote/moex/mrku/publications/
MRKU,2025-10-30,2025-10,30.10.25,"“Россети Урал” за 9 месяцев сократили чистую прибыль по РСБУ на 4 083,2 млн рублей","Выручку от реализации продукции выросла на 9,2%",https://www.finam.ru/publications/item/rosseti-ural-za-9-mesyatsev-sokratili-chistuyu-pribyl-po-rsub-na-4-0832-mln-rubley-20251030-0849/,https://www.finam.ru/quote/moex/mrku/publications/
MRKU,2025-10-22,2025-10,22.10.25,"""Россети Урал"" досрочно погасили облигации объемом 7 млрд рублей","ПАО ""Россети Урал"" досрочно погасило 3 000 000 облигаций серии БО-03 и 4 000 000 облигаций серии БО-04",https://bonds.finam.ru/news/item/-rosseti-ural-dosrochno-pogasili-obligatsii-obemom-7-mlrd-rubley/,https://www.finam.ru/quote/moex/mrku/publications/
MRKU,2025-10-15,2025-10,15.10.25,Акции российских энергетических компаний рванули вверх,Минэнерго не планирует законодательно закреплять направление их дивидендов на инвестиции,https://www.finam.ru/publications/item/aktsii-rossiyskikh-energeticheskikh-kompaniy-rvanuli-vverkh-20251015-1312/,https://www.finam.ru/quote/moex/mrku/publications/
MRKU,2025-10-07,2025-10,07.10.25,"""Россети Урал"" досрочно погасят облигации объемом 7 млрд рублей","ПАО ""Россети Урал"" приняло решение досрочно погасить биржевые облигации серий БО-03 и БО-04",https://bonds.finam.ru/news/item/-rosseti-ural-dosrochno-pogasyat-obligatsii-obemom-7-mlrd-rubley/,https://www.finam.ru/quote/moex/mrku/publications/
MRKU,2025-09-23,2025-09,23.09.25,«Россети Урал» прекратит участие в ОГК-2,"Будет отчуждено 185 тыс. 595 акций, или 0,00014% уставного капитала ОГК-2",https://www.finam.ru/publications/item/rosseti-ural-prekratit-uchastie-v-ogk-2-20250923-1005/,https://www.finam.ru/quote/moex/mrku/publications/
MRKU,2025-08-28,2025-08,28.08.25,"Выручка «Россети Урал» по МСФО выросла в 1 полугодии на 7,2%","Чистая прибыль при этом упала в 1,8 раза",https://www.finam.ru/publications/item/vyruchka-rosseti-ural-po-msfo-vyrosla-v-1-polugodii-na-72-20250828-1358/,https://www.finam.ru/quote/moex/mrku/publications/
MRKU,2025-08-08,2025-08,08.08.25,Истекает крайний срок Трампа для России – основные события 8 августа,"Кроме того, «РусАгро» проведет повторное ГОСА",https://www.finam.ru/publications/item/istekaet-krayniy-srok-trampa-dlya-rossii-osnovnye-sobytiya-8-avgusta-20250808-0900/,https://www.finam.ru/quote/moex/mrku/publications/
MRKU,2025-08-08,2025-08,08.08.25,Заседание совета директоров «Россети Урал» пройдет 8 августа,Планируется рассмотреть вопрос признания независимым члена совета директоров общества,https://www.finam.ru/publications/item/zasedanie-soveta-direktorov-rosseti-ural-proydet-8-avgusta-20250808-0417/,https://www.finam.ru/quote/moex/mrku/publications/
MRKU,2025-07-30,2025-07,30.07.25,"Чистая прибыль «Россети Урал» по РСБУ в 1 полугодии 2025 года снизилась в 2,3 раза","Выручка в январе-июне выросла на 6,5%",https://www.finam.ru/publications/item/chistaya-pribyl-rosseti-ural-po-rsbu-v-1-polugodii-2025-goda-snizilas-v-23-raza-20250730-1222/,https://www.finam.ru/quote/moex/mrku/publications/
MRKU,2025-07-21,2025-07,21.07.25,«Северсталь» отчитается за 1 полугодие - основные события 21 июля,«Лензолото» и «М.видео» закроют реестры акционеров для участия в ВОСА,https://www.finam.ru/publications/item/evroplan-otchitaetsya-za-1-polugodie-osnovnye-sobytiya-21-iyulya-20250721-0900/,https://www.finam.ru/quote/moex/mrku/publications/
MRKU,2025-07-21,2025-07,21.07.25,Совет директоров «Россети Урал» 21 июля рассмотрит программу реновации сетевых объектов,В повестке будут 5 вопросов,https://www.finam.ru/publications/item/sovet-direktorov-rosseti-ural-21-iyulya-rassmotrit-programmu-renovatsii-setevykh-obektov-20250721-0658/,https://www.finam.ru/quote/moex/mrku/publications/
