ticker,date,date_ym,date_raw,title,text,url,source_page
MRKV,2026-01-23,2026-01,23.01.26,Дивидендный заряд – идеи в электроэнергетике,Будут ли дивиденды от «дочек» ГЭХ в 2026 году и когда «РусГидро» вернется к практике распределения прибыли?,https://www.finam.ru/publications/item/dividendnyy-zaryad-idei-v-elektroenergetike-20260123-1740/,https://www.finam.ru/quote/moex/mrkv/publications/
MRKV,2025-12-30,2025-12,30.12.25,Год несбывшихся прогнозов,"За 2025 год индекс МосБиржи упал на 4%, рубль существенно окреп",https://www.finam.ru/publications/item/god-nesbyvshikhsya-prognozov-20251230-2044/,https://www.finam.ru/quote/moex/mrkv/publications/
MRKV,2025-12-23,2025-12,23.12.25,"""Россети Волга"" разместили биржевые облигации на 2,5 млрд рублей","Эмитент реализовал по открытой подписке 2,5 млн. облигаций серии 001Р-01 номинальной стоимостью 1000 рублей каждая",https://bonds.finam.ru/news/item/-rosseti-volga-razmestili-birzhevye-obligatsii-na-2-5-mlrd-rubley/,https://www.finam.ru/quote/moex/mrkv/publications/
MRKV,2025-12-19,2025-12,19.12.25,"Значение спреда по облигациям ""Россети Волга"" объемом 2,5 млрд рублей составит 1,5% годовых",Первоначальный ориентир спреда - не более 175 б.п.,https://bonds.finam.ru/news/item/znachenie-spreda-po-obligatsiam-rosseti-volga-obemom-2-5-mlrd-rubley-sostavit-1-5-godovykh/,https://www.finam.ru/quote/moex/mrkv/publications/
MRKV,2025-12-01,2025-12,01.12.25,"""Россети Волга"" 18 декабря проведет сбор заявок на облигации объемом 2,5 млрд рублей",Купонный доход по облигациям определяется как сумма доходов за каждый день купонного периода исходя из ключевой ставки Банка России + спред,https://bonds.finam.ru/news/item/-rosseti-volga-18-dekabrya-provedet-sbor-zayavok-na-obligatsii-obemom-2-5-mlrd-rubley/,https://www.finam.ru/quote/moex/mrkv/publications/
MRKV,2025-11-26,2025-11,26.11.25,"Прибыль ""Россети Волга"" по МСФО за 9 месяцев 2025 года выросла в 2,8 раза",Выручка за отчетный период увеличилась на 54%,https://www.finam.ru/publications/item/pribyl-rosseti-volga-po-msfo-za-9-mesyatsev-2025-goda-vyrosla-v-28-raza-20251126-1442/,https://www.finam.ru/quote/moex/mrkv/publications/
MRKV,2025-10-29,2025-10,29.10.25,"Чистая прибыль «Россети Волга» по РСБУ за 9 месяцев увеличилась до 7,2 млрд рублей",Котировки «Россети Волга» усилили рост после публикации отчета,https://www.finam.ru/publications/item/chistaya-pribyl-rosseti-volga-po-rsbu-za-9-mesyatsev-uvelichilas-do-72-mlrd-rubley-20251029-1622/,https://www.finam.ru/quote/moex/mrkv/publications/
MRKV,2025-10-21,2025-10,21.10.25,Какие акции сейчас обладают высоким потенциалом роста,"Интересны бумаги ""Сбера"" и ВТБ",https://www.finam.ru/publications/item/kakie-aktsii-seychas-obladayut-vysokim-potentsialom-rosta-20251021-1715/,https://www.finam.ru/quote/moex/mrkv/publications/
MRKV,2025-10-06,2025-10,06.10.25,"Растет интерес к дивидендным и защитным акциям — в энергетике, сырье и IT",На рынке усиливается дифференциация,https://www.finam.ru/publications/item/na-rynke-usilivaetsya-differentsiatsiya-20251006-0900/,https://www.finam.ru/quote/moex/mrkv/publications/
MRKV,2025-08-29,2025-08,29.08.25,Акции X5 войдут в базу расчета индекса МосБиржи с 19 сентября,"При этом бумаги «Астры», «РусГидро» и «Россетей» исключат из базы расчета индекса МосБиржи",https://www.finam.ru/publications/item/aktsii-x5-voydut-v-bazu-rascheta-indeksa-mosbirzhi-s-19-sentyabrya-20250829-0927/,https://www.finam.ru/quote/moex/mrkv/publications/
