ticker,date,date_ym,date_raw,title,text,url,source_page
MRKZ,2025-12-12,2025-12,12.12.25,В Ломбардный список ЦБ РФ включены 59 выпусков облигаций,"Банк России также принял решение об исключении из Ломбардного списка облигаций ряда эмитентов, ограничивающих раскрытие информации",https://bonds.finam.ru/news/item/v-lombardnyy-spisok-tsb-rf-vkliucheny-59-vypuskov-obligatsiy/,https://www.finam.ru/quote/moex/mrkz/publications/
MRKZ,2025-11-24,2025-11,24.11.25,"Выручка «Россети Северо-Запад» по МСФО за 9 месяцев выросла до 57,15 млрд рублей","Чистая прибыль увеличилась до 2,1 млрд рублей",https://www.finam.ru/publications/item/vyruchka-rosseti-severo-zapad-po-msfo-za-9-mesyatsev-vyrosla-do-5715-mlrd-rubley-20251124-1210/,https://www.finam.ru/quote/moex/mrkz/publications/
MRKZ,2025-10-28,2025-10,28.10.25,"Чистая прибыль «Россети Северо-Запад» по РСБУ упала за 9 месяцев в 2,6 раза","Выручка увеличилась на 33,9%",https://www.finam.ru/publications/item/chistaya-pribyl-rosseti-severo-zapad-po-rsbu-upala-za-9-mesyatsev-v-26-raza-20251028-1449/,https://www.finam.ru/quote/moex/mrkz/publications/
MRKZ,2025-10-13,2025-10,13.10.25,Энергетика перестает быть рыночной отраслью,Что теперь делать акционерам?,https://www.finam.ru/publications/item/energetika-perestaet-byt-rynochnoy-otraslyu-20251013-2000/,https://www.finam.ru/quote/moex/mrkz/publications/
MRKZ,2025-08-27,2025-08,27.08.25,"Чистая прибыль «Россетей Северо-Запад» по МСФО за 1 полугодие снизилась до 1,75 млрд рублей","Выручка увеличилась до 38,23 млрд рублей",https://www.finam.ru/publications/item/chistaya-pribyl-rossetey-severo-zapad-po-msfo-za-1-polugodie-snizilas-do-175-mlrd-rubley-20250827-1030/,https://www.finam.ru/quote/moex/mrkz/publications/
MRKZ,2025-07-29,2025-07,29.07.25,"Чистая прибыль «Россетей Северо-Запад» по РСБУ сократилась в 1 полугодии в 3,15 раза","В тот же период за 2024 год чистая прибыль составила 921,465 млн рублей против 2 901,069 млн рублей за 2023 год",https://www.finam.ru/publications/item/chistaya-pribyl-rossetey-severo-zapad-po-rsbu-sokratilas-v-1-polugodii-v-315-raza-20250729-1640/,https://www.finam.ru/quote/moex/mrkz/publications/
MRKZ,2025-06-19,2025-06,19.06.25,ГОСА «Россети Северо-Запад» по вопросу дивидендов пройдет 19 июня,Ранее совет директоров компании рекомендовал не выплачивать дивиденды,https://www.finam.ru/publications/item/vosa-rosseti-severo-zapad-po-voprosu-dividendov-proydet-19-iyunya-20250619-0429/,https://www.finam.ru/quote/moex/mrkz/publications/
MRKZ,2025-06-05,2025-06,05.06.25,"""Россети Северо-Запад"" разместили биржевые облигации на 5 млрд рублей",Компания разместила по открытой подписке 5 млн. облигаций серии 001P-01 номинальной стоимостью 1000 рублей каждая,https://bonds.finam.ru/news/item/-rosseti-severo-zapad-razmestili-birzhevye-obligatsii-na-5-mlrd-rubley/,https://www.finam.ru/quote/moex/mrkz/publications/
MRKZ,2025-06-03,2025-06,03.06.25,"Ставка 1-го купона по облигациям ""Россети Северо-Запад"" на 5 млрд рублей составит 22,9% годовых","Первоначальнй ориентир по ставке 1-го купона - значение ключевой ставки Банка России (действующее на конец рабочего дня, предшествующего дате открытия книги заявок) + премия не выше 2,50%",https://bonds.finam.ru/news/item/stavka-1-go-kupona-po-obligatsiam-rosseti-severo-zapad-na-5-mlrd-rubley-sostavit-22-9-godovykh/,https://www.finam.ru/quote/moex/mrkz/publications/
MRKZ,2025-05-30,2025-05,30.05.25,Три новых размещения облигаций на пике цикла повышения ставок ЦБ,"Возможно, именно сейчас инвесторам предоставляется возможность зафиксировать высокий уровень доходности",https://www.finam.ru/publications/item/tri-novykh-razmeshcheniya-obligatsiy-na-pike-tsikla-povysheniya-stavok-tsb-20250530-1305/,https://www.finam.ru/quote/moex/mrkz/publications/
MRKZ,2025-05-25,2025-05,25.05.25,Реестр акционеров «Россети Северо-Запад» для участия в ВОСА закрывается 25 мая,ВОСА по вопросу распределения прибыли пройдет 19 июня,https://www.finam.ru/publications/item/reestr-aktsionerov-rosseti-severo-zapad-dlya-uchastiya-v-vosa-zakryvaetsya-25-maya-20250525-0611/,https://www.finam.ru/quote/moex/mrkz/publications/
MRKZ,2025-05-21,2025-05,21.05.25,"Рынок ждет решения ""Газпрома"" по дивидендам - основные события 21 мая","«РусАгро», ЦИАН, МТС, «МТС-Банк» отчитаются по МСФО за 1 квартал",https://www.finam.ru/publications/item/sd-gazproma-obsudit-dividendy-osnovnye-sobytiya-21-maya-20250521-0900/,https://www.finam.ru/quote/moex/mrkz/publications/
MRKZ,2025-05-21,2025-05,21.05.25,21 мая СД «Россети Севро-Запада» утвердит кредитный план на 2025 год,В повестке также вопрос об оценке эффективности системы управления рисками за 2024 год,https://www.finam.ru/publications/item/21-maya-sd-rosseti-sevro-zapada-utverdit-kreditnyy-plan-na-2025-god-20250521-0648/,https://www.finam.ru/quote/moex/mrkz/publications/
MRKZ,2025-05-20,2025-05,20.05.25,"""СПБ Биржа"" расширит до 108 список ценных бумаг, доступных на торгах в выходные дни",С 23 мая будут добавлены еще шесть компаний,https://www.finam.ru/publications/item/spb-birzha-rasshirit-do-108-spisok-tsennykh-bumag-dostupnykh-na-torgakh-v-vykhodnye-dni-20250520-1924/,https://www.finam.ru/quote/moex/mrkz/publications/
MRKZ,2025-05-17,2025-05,17.05.25,Рынок и рубль выдержали «стамбульский стресс» – обзор событий недели,"Российская валюту успешно сопротивляется негативу, оставаясь в районе 80-81 за доллар на межбанке",https://www.finam.ru/publications/item/rynok-i-rubl-vyderzhali-stambulskiy-stress-obzor-sobytiy-nedeli-20250517-1256/,https://www.finam.ru/quote/moex/mrkz/publications/
MRKZ,2025-05-16,2025-05,16.05.25,Совет директоров «Россети Северо-Запад» рекомендовал не выплачивать дивиденды-2024,При этом было принято решение провести ВОСА 19 июня,https://www.finam.ru/publications/item/sovet-direktorov-rosseti-severo-zapad-rekomendoval-ne-vyplachivat-dividendy-2024-20250516-1322/,https://www.finam.ru/quote/moex/mrkz/publications/
