ticker,date,date_ym,date_raw,title,text,url,source_page
MSNG,2026-02-02,2026-02,02.02.26,Геополитика решает все,Отсутствие конкретики в украинском вопросе лишает инвесторов уверенности,https://www.finam.ru/publications/item/geopolitika-reshaet-vse-20260202-2058/,https://www.finam.ru/quote/moex/msng/publications/
MSNG,2026-01-30,2026-01,30.01.26,"Рынок снижается на фоне «ценопада» в акциях металлургов, «выстрелили» бумаги ТГК-1",Рынок почти не показал изменений по итогам недели,https://www.finam.ru/publications/item/rynok-snizhaetsya-na-fone-tsenopada-v-aktsiyakh-metallurgov-vystrelili-bumagi-tgk-1-20260130-1940/,https://www.finam.ru/quote/moex/msng/publications/
MSNG,2026-01-28,2026-01,28.01.26,«Мосэнерго» в 2025 году снизило выработку электроэнергии на 2%,"Отпуск тепловой энергии с коллекторов ТЭЦ, районных и квартальных тепловых станций «Мосэнерго» сократился на 5,6%",https://www.finam.ru/publications/item/mosenergo-v-2025-godu-snizilo-vyrabotku-elektroenergii-na-2-20260128-1634/,https://www.finam.ru/quote/moex/msng/publications/
MSNG,2026-01-26,2026-01,26.01.26,Акции «Мосэнерго» можно держать в портфеле долгосрочно,Вероятность возобновления выплаты дивидендов будет увеличиваться в 2026 году,https://www.finam.ru/publications/item/aktsii-mosenergo-mozhno-derzhat-v-portfele-dolgosrochno-20260126-1515/,https://www.finam.ru/quote/moex/msng/publications/
MSNG,2026-01-25,2026-01,25.01.26,В шаге от 2800. В ожидании второго этапа переговоров рынок может пойти выше,"По итогам торгов индекс МосБиржи прибавил 0,58% и достиг 2793,49 пункта",https://www.finam.ru/publications/item/v-shage-ot-2800-v-ozhidanii-vtorogo-etapa-peregovorov-rynok-mozhet-poyti-vyshe-20260125-1929/,https://www.finam.ru/quote/moex/msng/publications/
MSNG,2026-01-23,2026-01,23.01.26,"Рынок подбирается к уровню 2800 пунктов, в лидерах «Фикс Прайс» и золотодобытчики","Цены драгметаллов продолжают обновлять рекорды, что способствует росту акций «профильных» компаний",https://www.finam.ru/publications/item/rynok-podbiraetsya-k-urovnyu-2800-punktov-v-liderakh-fiks-prays-i-zolotodobytchiki-20260123-1940/,https://www.finam.ru/quote/moex/msng/publications/
MSNG,2026-01-23,2026-01,23.01.26,Дивидендный заряд – идеи в электроэнергетике,Будут ли дивиденды от «дочек» ГЭХ в 2026 году и когда «РусГидро» вернется к практике распределения прибыли?,https://www.finam.ru/publications/item/dividendnyy-zaryad-idei-v-elektroenergetike-20260123-1740/,https://www.finam.ru/quote/moex/msng/publications/
MSNG,2026-01-23,2026-01,23.01.26,Укрепляющийся рубль мешает расти акциям российских экспортеров,"Рубль растет не столько на ожидании урегулирования ситуации вокруг Украины, сколько на продажах валюты, которая не была реализована на новогодних каникулах",https://www.finam.ru/publications/item/ukreplyayushchiysya-rubl-meshaet-rasti-aktsiyam-rossiyskikh-eksporterov-20260123-0945/,https://www.finam.ru/quote/moex/msng/publications/
MSNG,2026-01-20,2026-01,20.01.26,"Ралли в акциях «Мосэнерго» затихает, сегодня возможна коррекция",Бумага сильно выросла на рекомендации совета директоров выплатить дивиденды,https://www.finam.ru/publications/item/ralli-v-aktsiyakh-mosenergo-zatikhaet-segodnya-vozmozhna-korrektsiya-20260120-0952/,https://www.finam.ru/quote/moex/msng/publications/
MSNG,2026-01-19,2026-01,19.01.26,"Включать акции ""Мосэнерго"" в среднесрочные портфели нет смысла",Спекулятивной игре на повышение способствовали новости о рекомендации совета директоров выплатить дивиденды,https://www.finam.ru/publications/item/vklyuchat-aktsii-mosenergo-v-srednesrochnye-portfeli-net-smysla-20260119-1000/,https://www.finam.ru/quote/moex/msng/publications/
MSNG,2026-01-19,2026-01,19.01.26,Гренландия и Иран - точки роста российского рынка,Для России появился потенциал для более гибкой дипломатии,https://www.finam.ru/publications/item/grenlandiya-i-iran-tochki-rosta-rossiyskogo-rynka-20260119-0940/,https://www.finam.ru/quote/moex/msng/publications/
MSNG,2026-01-18,2026-01,18.01.26,В отсутствие новостей российский рынок предпочитает расти,Инвесторы надеются на прогресс в переговорном треке по урегулированию российско-украинского конфликта,https://www.finam.ru/publications/item/v-otsutstvie-novostey-rossiyskiy-rynok-predpochitaet-rasti-20260118-1944/,https://www.finam.ru/quote/moex/msng/publications/
MSNG,2026-01-18,2026-01,18.01.26,"Акция ""Мосэнерго"" фундаментально недооценена рынком",Как и весь энергетический сектор,https://www.finam.ru/publications/item/aktsiya-mosenergofundamentalno-nedootsenena-rynkom-20260118-1742/,https://www.finam.ru/quote/moex/msng/publications/
MSNG,2026-01-17,2026-01,17.01.26,«РусГидро» и «Мосэнерго» вновь вышли в лидеры роста по итогам субботних торгов,"Индекс МосБиржи вырос на 0,15%",https://www.finam.ru/publications/item/rusgidro-i-mosenergo-vnov-vyshli-v-lidery-rosta-po-itogam-subbotnikh-torgov-20260117-1958/,https://www.finam.ru/quote/moex/msng/publications/
MSNG,2026-01-16,2026-01,16.01.26,Рынок завершает неделю позитивно,Каких-то новых прорывных драйверов не появилось – рынок снова растет лишь на словесных интервенциях политиков,https://www.finam.ru/publications/item/rynok-zavershaet-nedelyu-pozitivno-20260116-2122/,https://www.finam.ru/quote/moex/msng/publications/
MSNG,2026-01-16,2026-01,16.01.26,Рынок остался в уверенном плюсе после данных по инфляции,В лидерах акции электроэнергетиков,https://www.finam.ru/publications/item/rynok-ostalsya-v-uverennom-plyuse-posle-dannykh-po-inflyatsii-20260116-1941/,https://www.finam.ru/quote/moex/msng/publications/
MSNG,2026-01-16,2026-01,16.01.26,Акции энергокомпаний растут на дивидендных надеждах,"Кроме того, в пятницу поступили сообщения СМИ о проведении переговоров между Китаем и Россией после прекращения поставок электроэнергии в КНР с 1 января текущего года",https://www.finam.ru/publications/item/aktsii-energokompaniy-rastut-na-dividendnykh-nadezhdakh-20260116-1836/,https://www.finam.ru/quote/moex/msng/publications/
MSNG,2026-01-16,2026-01,16.01.26,Дивиденды «Мосэнерго». Вторая попытка,Успешное завершение голосования может стать триггером и для ТГК-1,https://www.finam.ru/publications/item/dividendy-mosenergo-vtoraya-popytka-20260116-1600/,https://www.finam.ru/quote/moex/msng/publications/
MSNG,2026-01-16,2026-01,16.01.26,"Рубль укрепляется, рынок слабо растет в ожидании новостей","К 10:10 мск индексы повышаются на 0,33%",https://www.finam.ru/publications/item/rubl-ukreplyaetsya-rynok-slabo-rastet-v-ozhidanii-novostey-20260116-1018/,https://www.finam.ru/quote/moex/msng/publications/
MSNG,2026-01-16,2026-01,16.01.26,"Золото и акции ""Полюса"" стоит продолжать держать","Спекулятивно сейчас ""шорты"" по ним выглядят предпочтительно, хотя и рискованно",https://www.finam.ru/publications/item/zoloto-i-aktsii-polyusa-stoit-prodolzhat-derzhat-20260116-0950/,https://www.finam.ru/quote/moex/msng/publications/
MSNG,2026-01-16,2026-01,16.01.26,"Покупатель на рынке РФ есть, но он стал крайне избирательным","Рынок готов покупать, но конкретику",https://www.finam.ru/publications/item/pokupatel-na-rynke-rf-est-no-on-stal-krayne-izbiratelnym-20260116-0900/,https://www.finam.ru/quote/moex/msng/publications/
MSNG,2026-01-16,2026-01,16.01.26,Российский рынок растет во главе с акциями энергетических компаний,Бумаги «ВУШ Холдинга» падают почти на 2% после резкого роста днем ранее,https://www.finam.ru/publications/item/rossiyskiy-rynok-rastet-vo-glave-s-aktsiyami-energeticheskikh-kompaniy-20260116-0820/,https://www.finam.ru/quote/moex/msng/publications/
