ticker,date,date_ym,date_raw,title,text,url,source_page
MSTT,2025-07-07,2025-07,07.07.25,Ипотека для молодёжи может стать доступнее уже к концу июля,Удешевлению ипотеки поспособствует ожидаемое снижение ставки ЦБ РФ,https://www.finam.ru/publications/item/ipoteka-dlya-molodyozhi-mozhet-stat-dostupnee-uzhe-k-kontsu-iyulya-20250707-1520/,https://www.finam.ru/quote/moex/mstt/publications/
MSTT,2025-06-30,2025-06,30.06.25,"Финальное решение по дивидендам ""Сбера"" - основные события 30 июня","Помимо ""Сбербанка"", свои решения по дивидендным выплатам представят с два десятка компаний",https://www.finam.ru/publications/item/finalnoe-reshenie-po-dividendam-sbera-osnovnye-sobytiya-30-iyunya-20250630-0900/,https://www.finam.ru/quote/moex/mstt/publications/
MSTT,2025-06-30,2025-06,30.06.25,ГОСА “Мостотреста” по дивидендам-2024 назначено на 30 июня,Дата закрытия реестра - 5 июня,https://www.finam.ru/publications/item/gosa-mostotresta-po-dividendam-2024-naznacheno-na-30-iyunya-20250630-0446/,https://www.finam.ru/quote/moex/mstt/publications/
MSTT,2025-06-05,2025-06,05.06.25,"Отчетность «Системы» за 1 квартал, заседание ЕЦБ по ставке – основные события 5 июня",Акции «Арендата» последний день торгуются с дивидендами,https://www.finam.ru/publications/item/otchetnost-sistemy-za-1-kvartal-zasedanie-etsb-po-stavke-osnovnye-sobytiya-5-iyunya-20250605-0900/,https://www.finam.ru/quote/moex/mstt/publications/
MSTT,2025-06-05,2025-06,05.06.25,Дата закрытия реестра акционеров для участия в ГОСА “Мостотреста” - 5 июня,Совет директоров рекомендовал не выплачивать дивиденды,https://www.finam.ru/publications/item/data-zakrytiya-reestra-aktsionerov-dlya-uchastiya-v-gosa-mostotresta-5-iyunya-20250605-0748/,https://www.finam.ru/quote/moex/mstt/publications/
MSTT,2025-05-26,2025-05,26.05.25,"СД ""Мостотреста"" рекомендует не выплачивать дивиденды-2024",Годовое собрание акционеров назначено на 30 июня,https://www.finam.ru/publications/item/mostotrest-rekomenduet-ne-vyplachivat-dividendy-2024-20250526-1540/,https://www.finam.ru/quote/moex/mstt/publications/
MSTT,2025-05-23,2025-05,23.05.25,Квартальный отчет «Совкомфлота» – основные события 23 мая,12 эмитентов проведут заседания советов директоров по вопросу дивидендов,https://www.finam.ru/publications/item/kvartalnyy-otchet-sovkomflota-osnovnye-sobytiya-23-maya-20250523-0900/,https://www.finam.ru/quote/moex/mstt/publications/
MSTT,2025-05-13,2025-05,13.05.25,К чему приведет отмена комиссий банками для застройщиков,Это может увеличить их прибыль,https://www.finam.ru/publications/item/k-chemu-privedet-otmena-komissiy-bankami-dlya-zastroyshchikov-20250513-1040/,https://www.finam.ru/quote/moex/mstt/publications/
MSTT,2024-08-29,2024-08,29.08.24,"“Мостотрест” в 1 полугодии увеличил чистый убыток в 2,5 раза","Выручка за период, напротив, подросла",https://www.finam.ru/publications/item/mostotrest-v-1-polugodii-uvelichil-chistyy-ubytok-v-25-raza-20240829-1028/,https://www.finam.ru/quote/moex/mstt/publications/
MSTT,2024-07-31,2024-07,31.07.24,"Чистый убыток «Мостотреста» за 1 полугодие 2024 года по РСБУ составил 160,87 млн рублей","Выручка выросла на 2,4%",https://www.finam.ru/publications/item/chistyy-ubytok-mostotresta-za-1-polugodie-2024-goda-po-rsbu-sostavil-16087-mln-rubley-20240731-1519/,https://www.finam.ru/quote/moex/mstt/publications/
