ticker,date,date_ym,date_raw,title,text,url,source_page
MTLR,2026-02-03,2026-02,03.02.26,"Новый план по стабилизации сектора металлургии наиболее позитивен для ММК и ""Мечела""",Самой эффективной будет мера ввести обязательную уплату акциза для импортеров,https://www.finam.ru/publications/item/novyy-plan-po-stabilizatsii-sektora-metallurgii-naibolee-pozitiven-dlya-mmk-i-mechela-20260203-1220/,https://www.finam.ru/quote/moex/mtlr/publications/
MTLR,2026-01-29,2026-01,29.01.26,Российские власти проработают дополнительные меры поддержки угольной отрасли,Акции угольщиков растут сильнее рынка,https://www.finam.ru/publications/item/rossiyskie-vlasti-prorabotayut-dopolnitelnye-mery-podderzhki-ugolnoy-otrasli-20260129-1723/,https://www.finam.ru/quote/moex/mtlr/publications/
MTLR,2026-01-27,2026-01,27.01.26,Инвестировать в акции «Распадской» и «Мечела» пока не стоит,Рассрочка по НДПИ не решит проблемы компаний сектора,https://www.finam.ru/publications/item/investirovat-v-aktsii-raspadskoy-i-mechela-poka-ne-stoit-20260127-1705/,https://www.finam.ru/quote/moex/mtlr/publications/
MTLR,2026-01-27,2026-01,27.01.26,Рост золотодобытчиков сменился ралли в энергетике,В топе лидеров сегодня также угольщики,https://www.finam.ru/publications/item/rost-zolotodobytchikov-smenilsya-ralli-v-energetike-20260127-1450/,https://www.finam.ru/quote/moex/mtlr/publications/
MTLR,2026-01-26,2026-01,26.01.26,"Отсрочка по уплате НДПИ для угольщиков недостаточна для восстановления ""Мечела"" и ""Распадской""","Предоставленная мера поддержки Минфина и Минэнерго будет иметь ограниченный эффект, компании все равно останутся убыточными",https://www.finam.ru/publications/item/otsrochka-po-uplate-ndpi-dlya-ugolshchikov-nedostatochna-dlya-vosstanovleniya-mechela-i-raspadskoy-20260126-1100/,https://www.finam.ru/quote/moex/mtlr/publications/
MTLR,2026-01-23,2026-01,23.01.26,Минэнерго поддержало предоставление 138 угольщикам рассрочки по уплате НДПИ,В настоящее время Минэнерго совместно с Минфином дорабатывает проект постановления,https://www.finam.ru/publications/item/minenergo-podderzhalo-predostavlenie-138-ugolshchikam-rassrochki-po-uplate-ndpi-20260123-2035/,https://www.finam.ru/quote/moex/mtlr/publications/
MTLR,2026-01-22,2026-01,22.01.26,Власти России готовы поддержать угольщиков,Речь идет о предоставлении налоговой рассрочки по уплате НДПИ и страховых взносов,https://www.finam.ru/publications/item/vlasti-rossii-gotovy-podderzhat-ugolshchikov-20260122-2044/,https://www.finam.ru/quote/moex/mtlr/publications/
MTLR,2026-01-20,2026-01,20.01.26,ЧМК представил линейку новых высокотехнологичных рельсов,"Среди них - рельсы для скоростных магистралей (до 400 км/ч), сохраняющие прочность при -60°C",https://www.finam.ru/publications/item/chmk-predstavil-lineyku-novykh-vysokotekhnologichnykh-relsov-20260120-1036/,https://www.finam.ru/quote/moex/mtlr/publications/
MTLR,2026-01-13,2026-01,13.01.26,Сокращение инвестпрограммы РЖД почувствуют многие отрасли,Металлургические предприятия столкнутся с возможным ужесточением закупочной политики РЖД,https://www.finam.ru/publications/item/sokrashchenie-investprogrammy-rzhd-pochuvstvuyut-mnogie-otrasli-20260113-1300/,https://www.finam.ru/quote/moex/mtlr/publications/
MTLR,2026-01-12,2026-01,12.01.26,"Взгляд на акции ""Мечела"" остается негативным","Компания может стать привлекательной либо при обесценении рубля до уровня свыше 110 руб. за доллар, либо при росте цен на уголь более чем на 100%",https://www.finam.ru/publications/item/vzglyad-na-aktsii-mechela-ostaetsya-negativnyy-20260112-1430/,https://www.finam.ru/quote/moex/mtlr/publications/
