ticker,date,date_ym,date_raw,title,text,url,source_page
MTSS,,,17:18,"""МТС"" увеличил объем размещения облигаций до 20 млрд рублей",Финальный ориентир спреда к ключевой ставке Банка России по облигациям установлен на уровне 175 б.п.,https://bonds.finam.ru/news/item/05022026--mts-uvelichil-obem-razmeshchenia-obligatsiy-do-20-mlrd-rubley/,https://www.finam.ru/quote/moex/mtss/publications/
MTSS,2026-02-04,2026-02,04.02.26,"""МТС"" 5 февраля проведет сбор заявок на облигации объемом от 10 млрд рублей",Купонный доход на срок до оферты определяется как сумма доходов за каждый день купонного периода исходя из ключевой ставки Банка России + спред,https://bonds.finam.ru/news/item/-mts-5-fevralya-provedet-sbor-zayavok-na-obligatsii-obemom-ot-10-mlrd-rubley/,https://www.finam.ru/quote/moex/mtss/publications/
MTSS,2026-02-04,2026-02,04.02.26,Краткосрочные идеи на российском рынке: новые претенденты на добавление в портфель,Определяющими для рынка остаются переговоры о мирном урегулировании,https://www.finam.ru/publications/item/kratkosrochnye-idei-na-rossiyskom-rynke-novye-pretendenty-na-dobavlenie-v-portfel-20260204-1210/,https://www.finam.ru/quote/moex/mtss/publications/
MTSS,2026-02-04,2026-02,04.02.26,За кулисами финансовой отчётности,"Кто из эмитентов выстрелит, а кто не оправдает ожиданий",https://www.finam.ru/publications/item/za-kulisami-finansovoy-otchyotnosti-20260204-1100/,https://www.finam.ru/quote/moex/mtss/publications/
MTSS,2026-02-02,2026-02,02.02.26,Февраль на российском рынке акций. Какие компании покупать и почему,"Сюрпризы от ЦБ возможны, но главным фактором для рынка останется геополитика",https://www.finam.ru/publications/item/fevral-na-rossiyskom-rynke-aktsiy-kakie-kompanii-pokupat-i-pochemu-20260202-1500/,https://www.finam.ru/quote/moex/mtss/publications/
MTSS,2026-01-28,2026-01,28.01.26,"21 идея аналитиков «Финама», принесшая высокую доходность","Среди компаний, заслуживающих внимания, аналитики выделили АПРИ, ""Ленэнерго"", “Т-Технологии”, МТС, “Яндекс”, “Полюс”",https://www.finam.ru/publications/item/21-ideya-analitikov-finama-prinesshikh-vysokuyu-dokhodnost-20260128-1711/,https://www.finam.ru/quote/moex/mtss/publications/
MTSS,2026-01-26,2026-01,26.01.26,"МТС повышает тарифы на 15,6% для 18 млн клиентов, нарушив соглашение с ФАС",ФАС дала МТС 2 дня на ответ,https://www.finam.ru/publications/item/mts-povyshaet-tarify-na-156-dlya-18-mln-klientov-narushiv-soglashenie-s-fas-20260126-1058/,https://www.finam.ru/quote/moex/mtss/publications/
MTSS,2026-01-25,2026-01,25.01.26,Три портфеля разной степени толерантности к рискам,Ожидания более сдержанной позиции регулятора в решении по ставке 19 февраля оказывают давление на рынок,https://www.finam.ru/publications/item/tri-portfelya-raznoy-stepeni-tolerantnosti-k-riskam-20260125-1600/,https://www.finam.ru/quote/moex/mtss/publications/
MTSS,2026-01-22,2026-01,22.01.26,Выбор качественных дивидендных активов сужается,Ожидаемая динамика прибылей на 2026 год по рынку не вдохновляет,https://www.finam.ru/publications/item/vybor-kachestvennykh-dividendnykh-aktivov-suzhaetsya-20260122-1210/,https://www.finam.ru/quote/moex/mtss/publications/
MTSS,2026-01-21,2026-01,21.01.26,Почему 5G пока не меняет инвестиционный кейс МТС,"Финансово запуск 5G в 2026 году для МТС — это скорее рост инвестпрограммы, чем драйвер прибыли",https://www.finam.ru/publications/item/pochemu-5g-poka-ne-menyaet-investitsionnyy-keys-mts-20260121-1605/,https://www.finam.ru/quote/moex/mtss/publications/
MTSS,2026-01-20,2026-01,20.01.26,"МосБиржа зарегистрировала программу облигаций ""МТС"" объемом 350 млрд рублей",Программе присвоен регистрационный номер 4-04715-A-003P-02E,https://bonds.finam.ru/news/item/mosbirzha-zaregistrirovala-programmu-obligatsiy-mts-obemom-350-mlrd-rubley/,https://www.finam.ru/quote/moex/mtss/publications/
MTSS,2026-01-19,2026-01,19.01.26,МТС готовит дочек к IPO - пора ли покупать акции?,Ожидаемая дивидендная доходность МТС выглядит очень привлекательной и уже предполагает более высокий процент чем по надежным облигациям,https://www.finam.ru/publications/item/mts-gotovit-dochek-k-ipo-pora-li-pokupat-aktsii-20260119-1951/,https://www.finam.ru/quote/moex/mtss/publications/
MTSS,2026-01-19,2026-01,19.01.26,Хит-парад доходности: «золотые» акции,"Finam.ru подготовил обзор, в котором рассказал, в какие акции вложиться инвестору",https://www.finam.ru/publications/item/khit-parad-dokhodnosti-zolotye-aktsii-20260119-1741/,https://www.finam.ru/quote/moex/mtss/publications/
MTSS,2026-01-18,2026-01,18.01.26,"Акция ""Мосэнерго"" фундаментально недооценена рынком",Как и весь энергетический сектор,https://www.finam.ru/publications/item/aktsiya-mosenergofundamentalno-nedootsenena-rynkom-20260118-1742/,https://www.finam.ru/quote/moex/mtss/publications/
MTSS,2026-01-16,2026-01,16.01.26,МТС предстоит дождаться более благоприятного окна для IPO сегмента AdTech,"База у бизнеса сильная, но рынок пока не готов платить за рос",https://www.finam.ru/publications/item/mts-predstoit-dozhdatsya-bolee-blagopriyatnogo-okna-dlya-ipo-segmenta-adtech-20260116-1543/,https://www.finam.ru/quote/moex/mtss/publications/
MTSS,2026-01-14,2026-01,14.01.26,Лучшие акции с дивидендами в России,Кто станет лидером по доходности в 2026 году?,https://www.finam.ru/publications/item/luchshie-aktsii-s-dividendami-v-rossii-20260114-1700/,https://www.finam.ru/quote/moex/mtss/publications/
MTSS,2026-01-14,2026-01,14.01.26,Российские акции с перспективой роста в 2026 году,"Если ключевая ставка опустится до 12-13% к концу года, то привлекательность акций существенно возрастет",https://www.finam.ru/publications/item/rossiyskie-aktsii-s-perspektivoy-rosta-v-2026-godu-20260114-1438/,https://www.finam.ru/quote/moex/mtss/publications/
MTSS,2026-01-11,2026-01,11.01.26,Спрос на специалистов по искусственному интеллекту в России опережает темпы роста самого ИИ-рынка,Среди претендентов на ИИ-позиции лишь один из четырех обладает практическими навыками,https://www.finam.ru/publications/item/spros-na-spetsialistov-po-iskusstvennomu-intellektu-v-rossii-operezhaet-tempy-rosta-samogo-ii-rynka-20260111-1241/,https://www.finam.ru/quote/moex/mtss/publications/
MTSS,2026-01-09,2026-01,09.01.26,Как отреагировали акции ретейлеров на данные о падении продаж электроники,Бумаги демонстрируют неоднозначную динамику,https://www.finam.ru/publications/item/kak-otreagirovali-aktsii-reteylerov-na-dannye-o-padenii-prodazh-elektroniki-20260109-1610/,https://www.finam.ru/quote/moex/mtss/publications/
MTSS,2026-01-07,2026-01,07.01.26,Какие компании могут показать высокую дивидендную доходность в 2026 году,"В виде дивидендов могут распределить 3,6 трлн рублей",https://www.finam.ru/publications/item/kakie-kompanii-mogut-pokazat-vysokuyu-dividendnuyu-dokhodnost-v-2026-godu-20260107-1100/,https://www.finam.ru/quote/moex/mtss/publications/
