ticker,date,date_ym,date_raw,title,text,url,source_page
MVID,2026-02-04,2026-02,04.02.26,За кулисами финансовой отчётности,"Кто из эмитентов выстрелит, а кто не оправдает ожиданий",https://www.finam.ru/publications/item/za-kulisami-finansovoy-otchyotnosti-20260204-1100/,https://www.finam.ru/quote/moex/mvid/publications/
MVID,2026-02-03,2026-02,03.02.26,"""М.видео"" начала продавать автомобили LADA и ""Москвич""",В настоящее время на маркетплейсе представлены 13 различных брендов автомобилей,https://www.finam.ru/publications/item/mvideo-nachala-prodavat-avtomobili-lada-i-moskvich-20260203-1223/,https://www.finam.ru/quote/moex/mvid/publications/
MVID,2026-01-29,2026-01,29.01.26,"Развитие маркетплейса может улучшить настроения в ""М.Видео"" в 2026 году","Импульс от маркетплейса поддержал ""М.Видео"", но для устойчивого роста нужны улучшения в финансах",https://www.finam.ru/publications/item/razvitie-marketpleysa-mozhet-uluchshit-nastroeniya-v-mvideo-v-2026-godu-20260129-1559/,https://www.finam.ru/quote/moex/mvid/publications/
MVID,2026-01-29,2026-01,29.01.26,"Продажи мебели онлайн позволят ""М.Видео"" нарастить доходы",Средства на развитие нового бизнеса компания сможет привлечь благодаря проходящим дополнительным эмиссиям акций,https://www.finam.ru/publications/item/prodazhi-mebeli-onlayn-pozvolyat-mvideo-narastit-dokhody-20260129-1540/,https://www.finam.ru/quote/moex/mvid/publications/
MVID,2026-01-29,2026-01,29.01.26,Индекс МосБиржи вышел на годовые максимумы,Рубль перешел к укреплению,https://www.finam.ru/publications/item/indeks-mosbirzhi-vyshel-na-godovye-maksimumy-20260129-1502/,https://www.finam.ru/quote/moex/mvid/publications/
MVID,2026-01-29,2026-01,29.01.26,"Акции ""М.Видео"" взлетели на 8% на фоне запуска продаж мебели","На текущий момент в категории ""Мебель"" на маркетплейсе представлено более 30 тысяч различных товаров",https://www.finam.ru/publications/item/aktsii-mvideo-vzleteli-na-8-na-fone-zapuska-prodazh-mebeli-20260129-1105/,https://www.finam.ru/quote/moex/mvid/publications/
MVID,2026-01-22,2026-01,22.01.26,"У ЦБ появился повод задуматься над целесообразностью снижения ""ключа"" в феврале",Минфин заранее предупреждал о росте инфляции из-за повышения НДС,https://www.finam.ru/publications/item/u-tsb-poyavilsya-povod-zadumatsya-nad-tselesoobraznostyu-snizheniya-klyucha-v-fevrale-20260122-1010/,https://www.finam.ru/quote/moex/mvid/publications/
MVID,2026-01-22,2026-01,22.01.26,На рынке вновь короткое ралли,Четверг начинается с хрупкого оптимизма,https://www.finam.ru/publications/item/na-rynke-vnov-korotkoe-ralli-20260122-0900/,https://www.finam.ru/quote/moex/mvid/publications/
MVID,2026-01-20,2026-01,20.01.26,"Финансовая динамика ""М.Видео"" последних кварталов выглядит неоднородно, но улучшается",Акции сейчас торгуются вблизи 80 рублей и по-прежнему закладывают консервативный сценарий,https://www.finam.ru/publications/item/finansovaya-dinamika-mvideo-poslednikh-kvartalov-vyglyadit-neodnorodno-no-uluchshaetsya-20260120-1420/,https://www.finam.ru/quote/moex/mvid/publications/
MVID,2026-01-19,2026-01,19.01.26,Какие акции интересны в потребительском секторе,Негативная конъюнктура у сырьевиков вновь вызывает интерес к данным компаниям,https://www.finam.ru/publications/item/kakie-aktsii-interesny-v-potrebitelskom-sektore-20260119-1738/,https://www.finam.ru/quote/moex/mvid/publications/
