ticker,date,date_ym,date_raw,title,text,url,source_page
NKHP,2025-12-10,2025-12,10.12.25,Акционеры НКХП утвердили дивиденды за 9 месяцев в 9 рублей на акцию,Последним днем для покупки акций НКХП под дивиденд в режиме Т+1 станет 18 декабря,https://www.finam.ru/publications/item/aktsionery-nkkhp-utverdili-dividendy-za-9-mesyatsev-v-9-rubley-na-aktsiyu-20251210-1612/,https://www.finam.ru/quote/moex/nkhp/publications/
NKHP,2025-12-09,2025-12,09.12.25,«Базис» завершит прием заявок на участие в IPO - основные события 9 декабря,"«Сбер» представит результаты за 11 месяцев, стартует двухдневное заседание ФРС",https://www.finam.ru/publications/item/aktsionery-nkkhp-i-permenergosbyta-primut-reshenie-po-dividendam-osnovnye-sobytiya-9-dekabrya-20251209-0900/,https://www.finam.ru/quote/moex/nkhp/publications/
NKHP,2025-12-09,2025-12,09.12.25,Акционеры НКХП 9 декабря примут решение по дивидендам за 9 месяцев,Ранее совет директоров рекомендовал выплатить дивиденды в размере 9 рублей на акцию,https://www.finam.ru/publications/item/aktsionery-nkkhp-9-dekabrya-primut-reshenie-po-dividendam-za-9-mesyatsev-20251209-0418/,https://www.finam.ru/quote/moex/nkhp/publications/
NKHP,2025-12-01,2025-12,01.12.25,"""Аэрофлот"" отчитается за квартал - основные события 1 декабря","Акционеры ""Циан"" примут решение по дивидендам",https://www.finam.ru/publications/item/aeroflot-otchitaetsya-za-kvartal-osnovnye-sobytiya-1-dekabrya-20251201-0900/,https://www.finam.ru/quote/moex/nkhp/publications/
NKHP,2025-12-01,2025-12,01.12.25,1 декабря пройдет заседание совета директоров НКХП,Совет директоров НКХП утвердит бюджет на 2026 год,https://www.finam.ru/publications/item/1-dekabrya-proydet-zasedanie-soveta-direktorov-nkkhp-20251201-0622/,https://www.finam.ru/quote/moex/nkhp/publications/
NKHP,2025-11-26,2025-11,26.11.25,Акции НКХП упали на 5% после заявлений Рябкова о «зерновой сделке»,"Рябков заявил, что время «зерновой сделки» ушло",https://www.finam.ru/publications/item/aktsii-nkkhp-upali-na-5-posle-zayavleniy-ryabkova-o-zernovoy-sdelki-20251126-1522/,https://www.finam.ru/quote/moex/nkhp/publications/
NKHP,2025-11-25,2025-11,25.11.25,"Чистая прибыль НКХП по РСБУ упала за 9 месяцев на 60,3%","Выручка при этом уменьшилась на 49,2%",https://www.finam.ru/publications/item/chistaya-pribyl-nkkhp-po-rsbu-upala-za-9-mesyatsev-na-603-20251125-1622/,https://www.finam.ru/quote/moex/nkhp/publications/
NKHP,2025-11-24,2025-11,24.11.25,"Индекс МосБиржи замедлил рост, но остается выше 2700 пунктов",Бумаги НКХП растут на 15% на ожиданиях возобновления «зерновой сделки» в Черном море,https://www.finam.ru/publications/item/indeks-mosbirzhi-zamedlil-rost-no-ostaetsya-vyshe-2700-punktov-20251124-1015/,https://www.finam.ru/quote/moex/nkhp/publications/
NKHP,2025-11-17,2025-11,17.11.25,Зимний дивидендный сезон. Лидеры по доходности,Какие акции стоит приобретать в расчете на дивиденды,https://www.finam.ru/publications/item/zimniy-dividendnyy-sezon-lidery-po-dokhodnosti-20251117-1629/,https://www.finam.ru/quote/moex/nkhp/publications/
NKHP,2025-11-17,2025-11,17.11.25,Закрытие реестра акционеров НКХП для участия в ВОСА состоится 17 ноября,ВОСА по вопросу выплаты дивидендов пройдет 9 декабря,https://www.finam.ru/publications/item/zakrytie-reestra-aktsionerov-nkkhp-dlya-uchastiya-v-vosa-sostoitsya-17-noyabrya-20251117-0329/,https://www.finam.ru/quote/moex/nkhp/publications/
NKHP,2025-11-10,2025-11,10.11.25,Совет директоров НКХП рекомендовал дивиденды за 9 месяцев в 9 рублей на акцию,ВОСА по данному вопросу пройдет 9 декабря,https://www.finam.ru/publications/item/sovet-direktorov-nkkhp-rekomendoval-dividendy-za-9-mesyatsev-v-9-rubley-na-aktsiyu-20251110-1557/,https://www.finam.ru/quote/moex/nkhp/publications/
NKHP,2025-11-06,2025-11,06.11.25,"Заседания советов директоров «РУСАЛа», «Эл5-Энерго», НКХП, «Полюса» и «Диасофта»  – основные события 6 ноября","Кроме того, ЦБ огласит объемы покупки/продажи валюты в ноябре",https://www.finam.ru/publications/item/sovety-direktorov-rusala-i-nkkhp-dadut-rekomendatsii-vosa-osnovnye-sobytiya-6-noyabrya-20251106-0900/,https://www.finam.ru/quote/moex/nkhp/publications/
NKHP,2025-11-06,2025-11,06.11.25,Совет директоров НКХП даст 6 ноября рекомендации по дивидендам за 9 месяцев 2025 года,"Кроме того, будут обсуждаться вопросы, связанные с проведением ВОСА",https://www.finam.ru/publications/item/sovet-direktorov-nkkhp-dast-6-noyabrya-rekomendatsii-po-dividendam-za-9-mesyatsev-2025-goda-20251106-0349/,https://www.finam.ru/quote/moex/nkhp/publications/
NKHP,2025-10-10,2025-10,10.10.25,Последний день для покупки акций “Газпром нефти” и “Полюса” под дивиденд - основные события 10 октября,В Осло вручат Нобелевскую премию мира,https://www.finam.ru/publications/item/posledniy-den-dlya-pokupki-aktsiy-gazprom-nefti-i-polyusa-pod-dividend-osnovnye-sobytiya-10-oktyabrya-20251010-0900/,https://www.finam.ru/quote/moex/nkhp/publications/
NKHP,2025-10-10,2025-10,10.10.25,Дата дивидендной отсечки у НКХП - 10 октября,"Размер полугодовых дивидендов - 6,54 рубля на акцию",https://www.finam.ru/publications/item/data-dividendnoy-otsechki-u-nkkhp-10-oktyabrya-20250930-1543/,https://www.finam.ru/quote/moex/nkhp/publications/
NKHP,2025-10-09,2025-10,09.10.25,«Сбер» отчитается по РСБУ за 9 месяцев – основные события 9 октября,В Сочи продолжает работу форум «Финополис 2025»,https://www.finam.ru/publications/item/sber-otchitaetsya-po-rsbu-za-9-mesyatsev-osnovnye-sobytiya-9-oktyabrya-20251009-0900/,https://www.finam.ru/quote/moex/nkhp/publications/
NKHP,2025-10-09,2025-10,09.10.25,"Последний день для покупки бумаг НКХП для тех, кто хочет получить дивиденды - 9 октября","НКХП выплатит акционерам дивиденды за 6 месяцев 2025 года. Их размер - 6,54 рубля на акцию",https://www.finam.ru/publications/item/posledniy-den-dlya-pokupki-bumag-knkhp-dlya-tekh-kto-khochet-poluchit-dividendy-9-oktyabrya-20251009-0549/,https://www.finam.ru/quote/moex/nkhp/publications/
NKHP,2025-09-30,2025-09,30.09.25,"НКХП выплатит акционерам дивиденды за 6 месяцев - 6,54 рубля на акцию",Дата отсечки - 10 октября,https://www.finam.ru/publications/item/nkkhp-vyplatit-aktsioneram-dividendy-za-6-mesyatsev-654-rublya-na-aktsiyu-20250930-1541/,https://www.finam.ru/quote/moex/nkhp/publications/
NKHP,2025-09-29,2025-09,29.09.25,Акционеры «Газпром нефти» примут решение по дивидендам - основные события 29 сентября,Акционеры «Эталона» примут решение о проведении SPO,https://www.finam.ru/publications/item/aktsionery-gazprom-nefti-primut-reshenie-po-dividendam-osnovnye-sobytiya-29-sentyabrya-20250929-0900/,https://www.finam.ru/quote/moex/nkhp/publications/
NKHP,2025-09-29,2025-09,29.09.25,Внеочередное общее собрание акционеров НКХП пройдет 29 сентября,Закрытие реестра для участия в ВОСА - 6 сентября,https://www.finam.ru/publications/item/vneocherednoe-obshchee-sobranie-aktsionerov-nkkhp-proydet-29-sentyabrya-20250929-0657/,https://www.finam.ru/quote/moex/nkhp/publications/
NKHP,2025-09-06,2025-09,06.09.25,Закрытие реестра акционеров НКХП для участия в ВОСА - 6 сентября,Внеочередное общее собрание акционеров пройдет 29 сентября,https://www.finam.ru/publications/item/zakrytie-reestra-aktsionerov-nkkhp-dlya-uchastiya-v-vosa-6-sentyabrya-20250906-0758/,https://www.finam.ru/quote/moex/nkhp/publications/
NKHP,2025-08-29,2025-08,29.08.25,"Совет директоров НКХП рекомендовал промежуточные дивиденды в размере 6,54 рубля",Внеочередное общее собрание акционеров по этому вопросу пройдет 29 сентября,https://www.finam.ru/publications/item/sovet-direktorov-nkkhp-rekomendoval-promezhutochnye-dividendy-v-razmere-654-rublya-20250829-1542/,https://www.finam.ru/quote/moex/nkhp/publications/
NKHP,2025-08-26,2025-08,26.08.25,“Газпром” созывает заседание совета директоров - основные события 26 августа,Также совет директоров НКХП утвердит рекомендацию акционерам по размеру дивидендов за 6 месяцев,https://www.finam.ru/publications/item/gazprom-sozyvaet-zasedanie-soveta-direktorov-osnovnye-sobytiy-26-avgusta-20250826-0900/,https://www.finam.ru/quote/moex/nkhp/publications/
