ticker,date,date_ym,date_raw,title,text,url,source_page
PMSB,2025-12-09,2025-12,09.12.25,«Базис» завершит прием заявок на участие в IPO - основные события 9 декабря,"«Сбер» представит результаты за 11 месяцев, стартует двухдневное заседание ФРС",https://www.finam.ru/publications/item/aktsionery-nkkhp-i-permenergosbyta-primut-reshenie-po-dividendam-osnovnye-sobytiya-9-dekabrya-20251209-0900/,https://www.finam.ru/quote/moex/pmsb/publications/
PMSB,2025-12-09,2025-12,09.12.25,Акционеры «Пермэнергосбыта» 9 декабря проголосуют по дивидендам за 9 месяцев 2025 года,Ранее совет директоров рекомендовал выплатить дивиденды в размере 26 рублей на каждый тип акций,https://www.finam.ru/publications/item/aktsionery-permenergosbyta-9-dekabrya-progolosuyut-po-dividendam-za-9-mesyatsev-2025-goda-20251209-0239/,https://www.finam.ru/quote/moex/pmsb/publications/
PMSB,2025-11-19,2025-11,19.11.25,ИИ и аналитики назвали лидеров роста на год - мнения разошлись,В поисках высокой доходности - следовать за искусственным интеллектом или экспертами?,https://www.finam.ru/publications/item/ii-i-analitiki-nazvali-liderov-rosta-na-god-mneniya-razoshlis-20251119-1855/,https://www.finam.ru/quote/moex/pmsb/publications/
PMSB,2025-11-17,2025-11,17.11.25,Зимний дивидендный сезон. Лидеры по доходности,Какие акции стоит приобретать в расчете на дивиденды,https://www.finam.ru/publications/item/zimniy-dividendnyy-sezon-lidery-po-dokhodnosti-20251117-1629/,https://www.finam.ru/quote/moex/pmsb/publications/
PMSB,2025-11-15,2025-11,15.11.25,Реестр акционеров «Пермэнергосбыта» для участия в ВОСА закрывается 15 ноября,ВОСА по вопросу выплаты дивидендов за 9 месяцев 2025 года состоится 9 декабря,https://www.finam.ru/publications/item/reestr-aktsionerov-permenergosbyta-dlya-uchastiya-v-vosa-zakryvaetsya-15-noyabrya-20251115-0421/,https://www.finam.ru/quote/moex/pmsb/publications/
PMSB,2025-11-13,2025-11,13.11.25,Российский рынок игнорирует негативный фон,"Снижение темпов инфляции поддерживает ожидания, что Банк России продолжит снижение ключевой ставки",https://www.finam.ru/publications/item/rossiyskiy-rynok-ignoriruet-negativnyy-fon-20251113-1900/,https://www.finam.ru/quote/moex/pmsb/publications/
PMSB,2025-11-13,2025-11,13.11.25,Совет директоров «Пермэнергосбыт» рекомендовал выплатить дивиденды в 26 рублей на каждый тип акций,Рекомендовано установить 21 декабря в качестве даты закрытия дивидендного реестра,https://www.finam.ru/publications/item/sovet-direktorov-permenergosbyt-rekomendoval-vyplatit-dividendy-v-26-rubley-na-kazhdyy-tip-aktsiy-20251113-0929/,https://www.finam.ru/quote/moex/pmsb/publications/
PMSB,2025-10-01,2025-10,01.10.25,Покупка акций энергосбыта - это как депозит на 3 года без возможности снятия денег,"Для маленького капитала там есть хорошая, растущая дивидендная доходность",https://www.finam.ru/publications/item/pokupka-aktsiy-energosbyta-eto-kak-depozit-na-3-goda-bez-vozmozhnosti-snyatiya-deneg-20251001-1250/,https://www.finam.ru/quote/moex/pmsb/publications/
PMSB,2025-05-19,2025-05,19.05.25,Путин и Трамп проведут телефонный разговор - основные события 19 мая,«Софтлайн» объявит основные неаудированные финансовые показатели компании за 1 квартал,https://www.finam.ru/publications/item/softlayn-otchitaet-za-kvartal-osnovnye-sobytiya-19-maya-20250519-0900/,https://www.finam.ru/quote/moex/pmsb/publications/
PMSB,2025-05-19,2025-05,19.05.25,19 мая “Пермэнергосбыт” проведет годовое собрание акционеров,На повестке вопросы о дивидендах-2024 и избрание членов совета директоров,https://www.finam.ru/publications/item/19-maya-permenergosbyt-provedet-godovoe-sobranie-aktsionerov-20250519-0703/,https://www.finam.ru/quote/moex/pmsb/publications/
