ticker,date,date_ym,date_raw,title,text,url,source_page
RASP,2026-01-29,2026-01,29.01.26,Российские власти проработают дополнительные меры поддержки угольной отрасли,Акции угольщиков растут сильнее рынка,https://www.finam.ru/publications/item/rossiyskie-vlasti-prorabotayut-dopolnitelnye-mery-podderzhki-ugolnoy-otrasli-20260129-1723/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2026-01-27,2026-01,27.01.26,Инвестировать в акции «Распадской» и «Мечела» пока не стоит,Рассрочка по НДПИ не решит проблемы компаний сектора,https://www.finam.ru/publications/item/investirovat-v-aktsii-raspadskoy-i-mechela-poka-ne-stoit-20260127-1705/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2026-01-27,2026-01,27.01.26,Рост золотодобытчиков сменился ралли в энергетике,В топе лидеров сегодня также угольщики,https://www.finam.ru/publications/item/rost-zolotodobytchikov-smenilsya-ralli-v-energetike-20260127-1450/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2026-01-26,2026-01,26.01.26,"Отсрочка по уплате НДПИ для угольщиков недостаточна для восстановления ""Мечела"" и ""Распадской""","Предоставленная мера поддержки Минфина и Минэнерго будет иметь ограниченный эффект, компании все равно останутся убыточными",https://www.finam.ru/publications/item/otsrochka-po-uplate-ndpi-dlya-ugolshchikov-nedostatochna-dlya-vosstanovleniya-mechela-i-raspadskoy-20260126-1100/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2026-01-23,2026-01,23.01.26,Минэнерго поддержало предоставление 138 угольщикам рассрочки по уплате НДПИ,В настоящее время Минэнерго совместно с Минфином дорабатывает проект постановления,https://www.finam.ru/publications/item/minenergo-podderzhalo-predostavlenie-138-ugolshchikam-rassrochki-po-uplate-ndpi-20260123-2035/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2026-01-22,2026-01,22.01.26,Власти России готовы поддержать угольщиков,Речь идет о предоставлении налоговой рассрочки по уплате НДПИ и страховых взносов,https://www.finam.ru/publications/item/vlasti-rossii-gotovy-podderzhat-ugolshchikov-20260122-2044/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2025-12-18,2025-12,18.12.25,"Акции ""Распадской"" и ""Мечела"" не подходят для долгосрочных инвесторов",Российская угольная отрасль продолжает испытывать трудности,https://www.finam.ru/publications/item/aktsii-raspadskoy-i-mechela-ne-podkhodyat-dlya-dolgosrochnykh-investorov-20251218-1930/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2025-12-17,2025-12,17.12.25,Минфин не обсуждает дополнительные меры поддержки угольщиков,Имеющиеся меры в виде отсрочки уплаты НДПИ и страховых взносов сохраняются,https://www.finam.ru/publications/item/minfin-ne-obsuzhdaet-dopolnitelnye-mery-podderzhki-ugolshchikov-20251217-1424/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2025-12-15,2025-12,15.12.25,Путин поручил правительству провести мониторинг состояния угольных компаний,Кабмин должен предоставить первый доклад по итогам работы до 1 февраля 2026 год,https://www.finam.ru/publications/item/putin-poruchil-pravitelstvu-provesti-monitoring-sostoyaniya-ugolnykh-kompaniy-20251215-1956/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2025-12-14,2025-12,14.12.25,"""Распадская"" сохраняет дивидендную паузу с 2022 года","Возобновление выплат возможно лишь после выполнения двух условий: вхождение ""Распадской"" в контур ПАО ""Евраз"" и разворот нисходящего тренда на угольном рынке",https://www.finam.ru/publications/item/raspadskaya-sokhranyaet-dividendnuyu-pauzu-s-2022-goda-20251214-1500/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2025-12-12,2025-12,12.12.25,Рынок сделал шаг назад,Покупательные настроения улетучились,https://www.finam.ru/publications/item/rynok-sdelal-shag-nazad-20251212-2041/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2025-12-12,2025-12,12.12.25,Правительство продлило до 28 февраля отсрочку уплаты налогов и страховых взносов для угольщиков,Также до 28 февраля к угольным компаниям не будут применяться взыскания по налоговым задолженностям и задолженностям по страховым взносам при условии,https://www.finam.ru/publications/item/pravitelstvo-prodlilo-do-28-fevralya-otsrochku-uplaty-nalogov-i-strakhovykh-vznosov-dlya-ugolshchikov-20251212-1708/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2025-12-12,2025-12,12.12.25,Минэнерго и угольные компании обсудили перспективы отрасли,Основной темой стала реализация мер поддержки угледобывающих предприятий,https://www.finam.ru/publications/item/minenergo-i-ugolnye-kompanii-obsudili-perspektivy-otrasli-20251212-1050/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2025-12-12,2025-12,12.12.25,"Результаты IPO ""Дом.РФ"" и ""Базиса"" не вдохновляют новых эмитентов","Сразу несколько компаний подали сигналы, что приостанавливают подготовку к IPO",https://www.finam.ru/publications/item/rezultaty-ipo-domrf-i-bazisa-ne-vdokhnovlyayut-novykh-emitentov-20251212-0920/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2025-12-06,2025-12,06.12.25,«Евраз» должен быть оценен немного дешевле НЛМК,ПАО «Евраз» занял бы третье место среди компаний стальной четверки по абсолютной величине финансовых показателей,https://www.finam.ru/publications/item/evraz-dolzhen-byt-otsenen-nemnogo-deshevle-nlmk-20251206-1100/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2025-12-03,2025-12,03.12.25,"Отсрочка от уплаты НДПИ до конца февраля высвободит около $8 млн ""Распадской"" и $5 млн ""Мечелу""","Это позволит компаниям временно оптимизировать финансовые показатели, чтобы преодолеть отраслевой кризис",https://www.finam.ru/publications/item/otsrochka-ot-uplaty-ndpi-do-kontsa-fevralya-vysvobodit-okolo-8-mln-raspadskoy-i-5-mln-mechelu-20251203-1050/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2025-12-02,2025-12,02.12.25,Минфин и Минэнерго подготовили предложения по продлению поддержки угольных компаний,Ранее власти предоставили всем угольным предприятиям до 1 декабря отсрочку по НДПИ и страховым взносам,https://www.finam.ru/publications/item/minfin-i-minenergo-podgotovili-predlozheniya-po-prodleniyu-podderzhki-ugolnykh-kompaniy-20251202-1612/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2025-11-27,2025-11,27.11.25,Быстрых итогов переговоров не будет - рынок осторожен,Инвесторы ждут новых триггеров от геополитики и комментариев по ставке,https://www.finam.ru/publications/item/bystrykh-itogov-peregovorov-ne-budet-rynok-ostorozhen-20251127-0900/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2025-11-26,2025-11,26.11.25,"""Распадская"" может вернуться к дивидендам после стабилизации ситуация в угольной отрасли","Финансовые результаты улучшатся в будущем, но первый шаг на пути к статусу дивидендной бумаги сделан",https://www.finam.ru/publications/item/raspadskaya-mozhet-vernutsya-k-dividendam-posle-stabilizatsii-situatsiya-v-ugolnoy-otrasli-20251126-1532/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2025-11-26,2025-11,26.11.25,"""Распадская"" остается убыточной","Смена юрисдикции открывает путь для будущих дивидендов, но компания сможет вернуться к выплатам лишь когда ситуация в угольной отрасли стабилизируется",https://www.finam.ru/publications/item/raspadskaya-ostaetsya-ubytochnoy-20251126-1130/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2025-11-26,2025-11,26.11.25,О дивидендах «Мечела» речи не идет,Повышение котировок является чисто спекулятивным и не имеющим никаких фундаментальных оснований,https://www.finam.ru/publications/item/o-dividendakh-mechela-rechi-ne-idet-20251126-0942/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2025-11-26,2025-11,26.11.25,"Сильный отчет ""Мосбиржи"" за 3 квартал может придать импульс к росту акций","Если же фактические результаты окажутся хуже ожиданий, это может оказать давление на котировки акций биржи",https://www.finam.ru/publications/item/silnyy-otchet-mosbirzhi-za-3-kvartal-mozhet-pridat-impuls-k-rostu-20251126-0913/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2025-11-25,2025-11,25.11.25,"Путин разрешил перевести 93,2% акций «Распадской» с Evraz PLC на «Евраз Качканарский ГОК»","Кроме того, Путин одобрил приобретение «Евразом Качканарский ГОК» 51% акций ЗАО «Тимир»",https://www.finam.ru/publications/item/putin-razreshil-perevesti-s-evraz-plc-na-evraz-kachkanarskiy-gok-932-aktsiy-raspadskoy-20251125-2122/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2025-11-25,2025-11,25.11.25,Новости о переговорах провоцируют рыночную неопределенность,"Во вторник инвесторы продолжат следить за потоком геополитических новостей, касающихся урегулирования украинского конфликта",https://www.finam.ru/publications/item/geopolitika-provotsiruet-rynochnuyu-neopredelennost-20251125-0910/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2025-11-10,2025-11,10.11.25,Что будет с ценами на уголь в следующем году,Аналитики «Финама» отмечают проблески оптимизма для российских угольных компаний,https://www.finam.ru/publications/item/chto-budet-s-tsenami-na-ugol-v-sleduyushchem-godu-20251110-1715/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2025-11-07,2025-11,07.11.25,"Две истории провалов - ""Мечел"" и ""Распадская""","Любая инвестидея тут упирается в цену на коксующийся уголь, стоимость денег и крепкий рубль",https://www.finam.ru/publications/item/dve-istorii-provalov-mechel-i-raspadskaya-20251107-1100/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2025-11-06,2025-11,06.11.25,"Ростехнадзор приостановил добычу угля на одной из шахт ""Распадской""",Акции компании сейчас снижаются почти на 1%,https://www.finam.ru/publications/item/rostekhnadzor-priostanovil-dobychu-uglya-na-odnoy-iz-shakht-raspadskoy-20251106-1221/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2025-10-19,2025-10,19.10.25,"Воскресные торги открылись ростом - в лидерах ""СПБ-Биржа"", ""Сегежа"", Аэрофлот",Рынок продолжает отыгрывать результаты телефонных переговоров между президентами России и США,https://www.finam.ru/publications/item/voskresnye-torgi-otkrylis-rostom-v-liderakh-spb-birzha-segezha-aeroflot-20251019-1026/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2025-10-15,2025-10,15.10.25,"Экспорт угля из России за 9 месяцев, по данным Минэнерго, вырос на 5,5%",При этом объемы добычи остались на уровне 2024 года,https://www.finam.ru/publications/item/eksport-uglya-iz-rossii-za-9-mesyatsev-po-dannym-minenergo-vyros-na-55-20251015-1538/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2025-10-13,2025-10,13.10.25,"Вложения в акции ""Распадской"" позволяют хеджировать инфляционные риски",Однако с учетом ухудшения финансовых прогнозов  возможность выплаты дивидендов компанией по итогам 2025 и 2026 годов пока маловероятна,https://www.finam.ru/publications/item/vlozheniya-v-aktsii-raspadskoy-pozvolyayut-khedzhirovat-inflyatsionnye-riski-20251013-1640/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2025-10-09,2025-10,09.10.25,"Металлурги и угольщики могут получить передышку, но временную",Главным позитивным фактором для обеих отраслей будет ослабление рубля,https://www.finam.ru/publications/item/metallurgi-i-ugolshchiki-mogut-poluchit-peredyshku-no-vremennuyu-20251009-1200/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2025-08-31,2025-08,31.08.25,Последние летние торги рынок закрыл с уверенным плюсом,"Индекс МосБиржи все-таки смог закрепиться выше 2900 пунктов, что дает надежды на позитивное начало осени",https://www.finam.ru/publications/item/poslednie-letnie-torgi-rynok-zakryl-s-uverennym-plyusom-20250831-1920/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2025-08-29,2025-08,29.08.25,Может ли кризис в угольной отрасли стать возможностью для покупки,Абсолютно все играет против российских производителей коксующегося угля,https://www.finam.ru/publications/item/mozhet-li-krizis-v-ugolnoy-otrasli-stat-vozmozhnostyu-dlya-pokupki-20250829-1015/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2025-08-18,2025-08,18.08.25,"""Распадская"" - ситуация на рынке коксующегося угля остается тяжелой",Компания представила слабые операционные и финансовые результаты,https://www.finam.ru/publications/item/raspadskaya-situatsiya-na-rynke-koksuyushchegosya-uglya-ostaetsya-tyazheloy-20250818-1752/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2025-08-18,2025-08,18.08.25,"Результаты ""Распадской"" восстановятся при нормализации курса рубля и умеренном удорожании угля",Это позволит восстановить добычу и продажи,https://www.finam.ru/publications/item/rezultaty-raspadskoy-vosstanovyatsya-pri-normalizatsii-kursa-rublya-i-umerennom-udorozhanii-uglya-20250818-1225/,https://www.finam.ru/quote/moex/rasp/publications/
RASP,2025-08-15,2025-08,15.08.25,Российский рынок вырос в ожидании саммита на Аляске,Курс рубля незначительно упал в преддверии встречи Путина и Трампа,https://www.finam.ru/publications/item/rossiyskiy-rynok-vyros-v-ozhidanii-sammita-na-alyaske-20250815-1918/,https://www.finam.ru/quote/moex/rasp/publications/
