ticker,date,date_ym,date_raw,title,text,url,source_page
RBCM,2026-01-29,2026-01,29.01.26,Повторный аукцион по продаже “Домодедово” - основные события 29 января,Также сегодня День инвестора у “Самолета”,https://www.finam.ru/publications/item/povtornyy-auktsion-po-prodazhe-domodedovo-osnovnye-sobytiya-29-yanvarya-20260129-0900/,https://www.finam.ru/quote/moex/rbcm/publications/
RBCM,2026-01-29,2026-01,29.01.26,СД РБК 29 январе утвердит изменения в инвестстратегии на 2025-2026 годы,На повестке всего два вопроса,https://www.finam.ru/publications/item/sd-rbk-29-yanvare-utverdit-izmeneniya-v-investstrategii-na-2025-2026-gody-20260129-0455/,https://www.finam.ru/quote/moex/rbcm/publications/
RBCM,2024-09-09,2024-09,09.09.24,"""Яндекс"" определится с дивидендами - основные события 9 сентября",Тема дивидендов сегодня будет актуальна и для акционеров компании “Мать и дитя”,https://www.finam.ru/publications/item/yandeks-opredelitsya-s-dividendami-osnovnye-sobytiya-9-sentyabrya-20240909-0900/,https://www.finam.ru/quote/moex/rbcm/publications/
RBCM,2024-09-09,2024-09,09.09.24,Совет директоров РБК 9 сентября досрочно прекратит полномочия гендиректора,В данный момент этот пост занимает Николай Молибог,https://www.finam.ru/publications/item/sovet-direktorov-rbk-9-sentyabrya-dosrochno-prekratit-polnomochiya-gendirektora-20240909-0142/,https://www.finam.ru/quote/moex/rbcm/publications/
RBCM,2024-08-07,2024-08,07.08.24,РБК ПАО - Годовое общее собрание акционеров - ИТОГИ,,https://www.finam.ru/publications/item/rbk-pao-godovoe-obshchee-sobranie-aktsionerov-itogi-20240807-0215/,https://www.finam.ru/quote/moex/rbcm/publications/
RBCM,2024-07-12,2024-07,12.07.24,РБК ПАО - Годовое общее собрание акционеров,,https://www.finam.ru/publications/item/rbk-pao-godovoe-obshchee-sobranie-aktsionerov-20240712-0214/,https://www.finam.ru/quote/moex/rbcm/publications/
RBCM,2024-07-12,2024-07,12.07.24,РБК ПАО - Годовое общее собрание акционеров,,https://www.finam.ru/publications/item/rbk-pao-godovoe-obshchee-sobranie-aktsionerov-20240712-0213/,https://www.finam.ru/quote/moex/rbcm/publications/
RBCM,2024-07-02,2024-07,02.07.24,РБК ПАО - Годовое общее собрание акционеров - ОТМЕНА,,https://www.finam.ru/publications/item/rbk-pao-godovoe-obshchee-sobranie-aktsionerov-otmena-20240702-0230/,https://www.finam.ru/quote/moex/rbcm/publications/
RBCM,2024-06-26,2024-06,26.06.24,Минфин предложит инвесторам два выпуска ОФЗ – основные события 26 июня,"Кроме того, акционеры «Газпром нефти», «Башнефти» и «РуссНефти» проголосуют по дивидендам",https://www.finam.ru/publications/item/minfin-predlozhit-investoram-dva-vypuska-ofz-osnovnye-sobytiya-26-iyunya-20240626-0900/,https://www.finam.ru/quote/moex/rbcm/publications/
RBCM,2024-06-26,2024-06,26.06.24,Совет директоров РБК 26 июня обсудит избрание нового гендиректора,На сегодняшний день данную должность занимает Молибог Николай,https://www.finam.ru/publications/item/sovet-direktorov-rbk-26-iyunya-obsudit-izbranie-novogo-gendirektora-20240626-0450/,https://www.finam.ru/quote/moex/rbcm/publications/
RBCM,2024-06-04,2024-06,04.06.24,РБК ПАО - Годовое общее собрание акционеров,,https://www.finam.ru/publications/item/rbk-pao-godovoe-obshchee-sobranie-aktsionerov-20240604-0219/,https://www.finam.ru/quote/moex/rbcm/publications/
RBCM,2024-06-01,2024-06,01.06.24,РБК ПАО - Годовое общее собрание акционеров,,https://www.finam.ru/publications/item/rbk-pao-godovoe-obshchee-sobranie-aktsionerov-20240601-0213/,https://www.finam.ru/quote/moex/rbcm/publications/
RBCM,2024-05-27,2024-05,27.05.24,РБК ПАО - Информация,,https://www.finam.ru/publications/item/rbk-pao-informatsiya-20240527-1520/,https://www.finam.ru/quote/moex/rbcm/publications/
RBCM,2024-05-25,2024-05,25.05.24,РБК ПАО - Годовое общее собрание акционеров,,https://www.finam.ru/publications/item/rbk-pao-godovoe-obshchee-sobranie-aktsionerov-20240525-0212/,https://www.finam.ru/quote/moex/rbcm/publications/
RBCM,2024-04-20,2024-04,20.04.24,РБК ПАО - Внеочередное общее собрание - ИТОГИ,,https://www.finam.ru/publications/item/rbk-pao-vneocherednoe-obshchee-sobranie-itogi-20240420-0212/,https://www.finam.ru/quote/moex/rbcm/publications/
RBCM,2024-03-27,2024-03,27.03.24,РБК ПАО - Внеочередное общее собрание,,https://www.finam.ru/publications/item/rbk-pao-vneocherednoe-obshchee-sobranie-20240327-0215/,https://www.finam.ru/quote/moex/rbcm/publications/
RBCM,2024-03-20,2024-03,20.03.24,РБК ПАО - Внеочередное общее собрание,,https://www.finam.ru/publications/item/rbk-pao-vneocherednoe-obshchee-sobranie-20240320-0212/,https://www.finam.ru/quote/moex/rbcm/publications/
RBCM,2023-07-05,2023-07,05.07.23,Кирилл Лукашук назначен заместителем генерального директора РБК,"Кроме того, он займет должность председателя совета директоров рейтингового агентства НКР",https://www.finam.ru/publications/item/kirill-lukashuk-naznachen-zamestitelem-generalnogo-direktora-rbk-20230705-1036/,https://www.finam.ru/quote/moex/rbcm/publications/
RBCM,2023-06-29,2023-06,29.06.23,Годовое общее собрание акционеров РБК,,https://www.finam.ru/publications/item/godovoe-obshchee-sobranie-aktsionerov-rbk-20230629-0016/,https://www.finam.ru/quote/moex/rbcm/publications/
RBCM,2023-06-28,2023-06,28.06.23,"События предстоящего дня: ГОСА «РусАгро», «Ленты», En+ обсудят дивиденды","Еще завтра состоятся заседания СД «Мосбиржи», «Детского мира», «Роснефти»",https://www.finam.ru/publications/item/sobytiya-predstoyashchego-dnya-gosa-rusagro-lenty-en-obsudyat-dividendy-20230628-2100/,https://www.finam.ru/quote/moex/rbcm/publications/
RBCM,2023-06-06,2023-06,06.06.23,"ПАО ""ГК РБК"" - ""Годовое общее собрание акционеров""",,https://www.finam.ru/publications/item/pao-gk-rbk---godovoe-obshchee-sobranie-aktsionerov--20230606-134649/,https://www.finam.ru/quote/moex/rbcm/publications/
