ticker,date,date_ym,date_raw,title,text,url,source_page
ROLO,2026-01-30,2026-01,30.01.26,«Русолово» внедрило постоянную систему водоотлива на руднике «Молодежный»,Новая схема внедрена в связи с увеличением глубины добычи,https://www.finam.ru/publications/item/rusolovo-vnedrilo-postoyannuyu-sistemy-vodootliva-na-rudnike-molodezhnyy-20260130-1128/,https://www.finam.ru/quote/moex/rolo/publications/
ROLO,2026-01-28,2026-01,28.01.26,«Русолово» — появилась идея?,"Компания никогда не была интересна рынку, но при текущих ценах на олово ROLO выходит на прибыль",https://www.finam.ru/publications/item/rusolovo--poyavilas-ideya-20260128-1545/,https://www.finam.ru/quote/moex/rolo/publications/
ROLO,2026-01-27,2026-01,27.01.26,"""Русолово"" - потрясающе неэффективная компания",Положительный финансовый результат для компании большая редкость,https://www.finam.ru/publications/item/rusolovo-potryasayushche-neeffektivnaya-kompaniya-20260127-1300/,https://www.finam.ru/quote/moex/rolo/publications/
ROLO,2026-01-23,2026-01,23.01.26,Рынки позитивно реагируют на снижение геополитических рисков,Дональд Трамп изменил свою позицию по поводу предложенных тарифов в отношении европейских стран и объявил о рамочном соглашении с НАТО по Гренландии,https://www.finam.ru/publications/item/rynki-pozitivno-reagiruyut-na-snizhenie-geopoliticheskikh-riskov-20260123-1207/,https://www.finam.ru/quote/moex/rolo/publications/
ROLO,2025-12-26,2025-12,26.12.25,"""Русолово"" завершило модернизацию фабрики, увеличив добычу олова на 122 тонны",Компания расширила фронт гравитационного обогащения на фабрике Солнечный,https://www.finam.ru/publications/item/rusolovo-zavershilo-modernizatsiyu-fabriki-uvelichiv-dobychu-olova-na-122-tonny-20251226-1337/,https://www.finam.ru/quote/moex/rolo/publications/
ROLO,2025-08-29,2025-08,29.08.25,"Чистый убыток «Русолово» по МСФО в 1 полугодии вырос до 2,88 млрд рублей","Выручка «Русолово» выросла до 4,47 млрд рублей",https://www.finam.ru/publications/item/chistyy-ubytok-rusolovo-po-msfo-v-1-polugodii-vyros-do-288-mlrd-rubley-20250829-0858/,https://www.finam.ru/quote/moex/rolo/publications/
ROLO,2025-07-14,2025-07,14.07.25,Заявления Трампа по украинскому конфликту разогнали российский рынок,Индекс МосБиржи вернулся выше 2700 пунктов по итогам основной торговой сессии понедельника,https://www.finam.ru/publications/item/zayavleniya-trampa-po-ukrainskomu-konfliktu-razognali-rossiyskiy-rynok-20250714-1903/,https://www.finam.ru/quote/moex/rolo/publications/
ROLO,2025-07-14,2025-07,14.07.25,«Русолово» увеличило производство олова в концентрате в 1 полугодии на 41%,Производство меди в концентрате выросло на 29%,https://www.finam.ru/publications/item/rusolovo-uvelichilo-proizvodstvo-olova-v-kontsentrate-v-1-polugodii-na-41-20250714-1451/,https://www.finam.ru/quote/moex/rolo/publications/
ROLO,2025-05-16,2025-05,16.05.25,"Переговоры в Стамбуле, новая попытка – основные события 16 мая",Сегодня будут опубликованы результаты «Совкомбанка» и «Банка «Санкт-Петербург» за 1 квартал,https://www.finam.ru/publications/item/peregovory-mezhdu-rossiey-i-ukrainoy-v-stambule-osnovnye-sobytiya-16-maya-20250516-0900/,https://www.finam.ru/quote/moex/rolo/publications/
ROLO,2025-05-16,2025-05,16.05.25,Совет директоров “Русолово” 16 мая изберет председателя,Также совет определит статус независимого директора компании и сформирует ее комитеты,https://www.finam.ru/publications/item/sovet-direktorov-rusolovo-16-maya-izberet-predsedatelya-20250516-0057/,https://www.finam.ru/quote/moex/rolo/publications/
