ticker,date,date_ym,date_raw,title,text,url,source_page
SNGS,2026-02-03,2026-02,03.02.26,Нефтегаз ― ищем интересные идеи в непростой конъюнктуре,"Аналитики ""Финама"" считают ""Газпром"" фаворитом среди газовых компаний",https://www.finam.ru/publications/item/neftegaz--ishchem-interesnye-idei-v-neprostoy-konyunkture-20260203-1230/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2026-01-28,2026-01,28.01.26,Нефть и металлы помогают российскому рынку удержаться в плюсе,Геополитическое затишье не дает инвесторам определиться с направлением движения,https://www.finam.ru/publications/item/neft-i-metally-pomogayut-rossiyskomu-rynku-uderzhatsya-v-plyuse-20260128-2037/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2026-01-28,2026-01,28.01.26,Эскалация конфликта в Иране ударит по мировому экспорту нефти,В фокусе безопасность движения по Ормузскому проливу,https://www.finam.ru/publications/item/eskalatsiya-konflikta-v-irane-udarit-po-mirovomu-eksportu-nefti-20260128-1120/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2026-01-24,2026-01,24.01.26,"Компании - ""кубышки"". Интересны ли сейчас акции ""Сургутнефтегаза"" и ""Интер РАО""","Деньги у них есть, но делиться не торопятся",https://www.finam.ru/publications/item/kompanii-kubyshki-interesny-li-seychas-aktsii-surgutneftegaza-i-inter-rao-20260124-1600/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2026-01-19,2026-01,19.01.26,"""Префы"" ""Сургутнефтегаза"" хороши на перспективу укрепления доллара",При курсе доллара по 85–87 рублей дивидендная доходность акций относительно текущей цены может быть выше 10-11%,https://www.finam.ru/publications/item/prefy-surgutneftegaza-khoroshi-na-perspektivu-ukrepleniya-dollara-20260119-1350/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2026-01-16,2026-01,16.01.26,Новый подход к формированию портфеля,"В современных реалиях инвесторы вынуждены выбирать инструменты, которые дадут меньше риска",https://www.finam.ru/publications/item/novyy-podkhod-k-formirovaniyu-portfelya-20260116-1300/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2026-01-15,2026-01,15.01.26,Как за год изменился топ компаний по капитализации,В наступившем году самый быстрый рост может продемонстрировать Ozon,https://www.finam.ru/publications/item/kak-za-god-izmenilsya-top-kompaniy-po-kapitalizatsii-20260115-1300/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2026-01-14,2026-01,14.01.26,Лучшие акции с дивидендами в России,Кто станет лидером по доходности в 2026 году?,https://www.finam.ru/publications/item/luchshie-aktsii-s-dividendami-v-rossii-20260114-1700/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2026-01-14,2026-01,14.01.26,Дешевые российские акции с перспективой роста в 2026 году,"Период жесткой ДКП привел к накоплению кредитных рисков в отдельных сегментах, что диктует необходимость фокуса на качественных именах",https://www.finam.ru/publications/item/deshevye-rossiyskie-aktsii-s-perspektivoy-rosta-v-2026-godu-20260114-1530/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2026-01-14,2026-01,14.01.26,Рынок растет в ожидании очередных переговоров,Даже намека на урегулирование российско-украинского конфликта хватает для роста,https://www.finam.ru/publications/item/rynok-rastet-v-ozhidanii-ocherednykh-peregovorov-20260114-1424/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2026-01-14,2026-01,14.01.26,Качественные акции на 2026 год,Даже в сложных условиях можно и нужно отбирать качественные бумаги,https://www.finam.ru/publications/item/kachestvennye-bumagi-na-2026-god-20260114-1300/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2026-01-13,2026-01,13.01.26,Нефтянка сейчас вызывает опасения,Крепкий рубль и цена на нефть марки Urals давят на маржинальность компаний сектора,https://www.finam.ru/publications/item/neftyanka-seychas-vyzyvaet-opaseniya-20260113-1116/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2026-01-12,2026-01,12.01.26,Нефтяной рынок. Обрушат ли США мировые цены?,Finam.ru вместе с экспертами решил разобраться в перспективах нефтяного рынка и собрать прогнозы по акциям российских нефтяников,https://www.finam.ru/publications/item/neftyanoy-rynok-obrushat-li-ssha-mirovye-tseny-20260112-1708/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2026-01-10,2026-01,10.01.26,Инфляционные ожидания 2026: победит ли Набиуллина?,"Статистика уже фиксирует победу над инфляцией, в то время как рынок и люди еще живут старыми страхами",https://www.finam.ru/publications/item/u-banka-rossii-poyavilis-realnye-kozyri-v-borbe-s-inflyatsiey-20260110-1240/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2026-01-03,2026-01,03.01.26,Российские акции – пять причин для полета на Луну,В каких случаях возможен рост рынка на 50-100%,https://www.finam.ru/publications/item/rossiyskie-aktsii-pyat-prichin-dlya-poleta-na-lunu-20260103-1541/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2025-12-30,2025-12,30.12.25,Год несбывшихся прогнозов,"За 2025 год индекс МосБиржи упал на 4%, рубль существенно окреп",https://www.finam.ru/publications/item/god-nesbyvshikhsya-prognozov-20251230-2044/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2025-12-29,2025-12,29.12.25,Стоит ли сейчас покупать «префы» «Сургутнефтегаза»,В акции сейчас складывает довольно хорошая картина,https://www.finam.ru/publications/item/stoit-li-seychas-pokupat-prefy-surgutneftegaz-20251229-1240/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2025-12-26,2025-12,26.12.25,Каким будет фондовый рынок в 2026 году,В грядущем году рост индекса МосБиржи может составить от 30 до 70%,https://www.finam.ru/publications/item/kakim-budet-fondovyy-rynok-v-2026-godu-20251226-1450/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2025-12-25,2025-12,25.12.25,Отсутствие прогресса в геополитике заставляет инвесторов занять выжидательную позицию,"До появления четких сигналов на мировой арене спрос продолжит фокусироваться либо на чувствительных к ставке бумагах, либо на бумагах с понятным потенциалом роста",https://www.finam.ru/publications/item/otsutstvie-progressa-v-geopolitike-zastavlyaet-investorov-zanyat-vyzhidatelnuyu-pozitsiyu-20251225-0930/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2025-12-25,2025-12,25.12.25,"Акционеры ""Т-Техно"" и ""ЕвроТранса"" проголосуют по дивидендам - основные события 25 декабря",Западные биржи тем временем закрыты по случаю празднования Рождества,https://www.finam.ru/publications/item/aktsionery-t-tekhno-i-evrotransa-progolosuyut-po-dividendam-osnovnye-sobytiya-25-dekabrya-20251225-0900/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2025-12-24,2025-12,24.12.25,Рост рынка откладывается до января,Индекс МосБиржи продолжает топтаться на месте в отсутствие значимых новостей,https://www.finam.ru/publications/item/rost-rynka-otkladyvaetsya-do-yanvarya-20251224-2124/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2025-12-24,2025-12,24.12.25,"Акции «Сургутнефтегаза» вырвались в лидеры, бумаги «М.видео» упали на 4%","Российский рынок по итогам основной сессии слегка снизился, инвесторы предпочитают не рисковать в преддверии длинных новогодних праздников",https://www.finam.ru/publications/item/aktsii-surgutneftegaza-vyrvalis-v-lidery-bumagi-mvideo-upali-na-4-20251224-1928/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2025-12-24,2025-12,24.12.25,Голубые фишки. Прогноз по ценам на 2026 год,"Какие акции сохранят любовь инвесторов и останутся в ""Народном портфеле""?",https://www.finam.ru/publications/item/golubye-fishki-prognoz-po-tsenam-na-2026-god-20251224-1905/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2025-12-24,2025-12,24.12.25,"Восстановление цен на металлы позитивно для инвестиционного кейса ""РУСАЛа""","На фоне роста цен на палладий и другие металлы возможно возвращения ""Норникеля"" к дивидендам в  2026 году, что должно поддержать финрезультаты ""РУСАЛа""",https://www.finam.ru/publications/item/vosstanovlenie-tsen-na-metally-pozitivno-dlya-investitsionnogo-keysa-rusala-20251224-1600/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2025-12-23,2025-12,23.12.25,Итоги года начинающего инвестора: победы и поражения,"Записки начинающего инвестора, часть 12",https://www.finam.ru/publications/item/itogi-goda-nachinayushchego-investora-pobedy-i-porazheniya-20251223-1336/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2025-12-18,2025-12,18.12.25,Лучшие акции на случай ослабления рубля,В 2026 году ослабление рубля выглядит весьма вероятным,https://www.finam.ru/publications/item/luchshie-aktsii-na-sluchay-oslableniya-rublya-20251218-1010/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2025-12-18,2025-12,18.12.25,Встречать пятницу в шортах страшно,"Инвесторы надеются, что ЦБ может снизить ставку более чем на ожидаемые всеми 0,5 п.п.",https://www.finam.ru/publications/item/vstrechat-pyatnitsu-v-shortakh-strashno-20251218-0942/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2025-12-17,2025-12,17.12.25,"Сильный рубль не даст ""Сургутнефтегазу"" поднять дивиденд по ""префам""","В 2026 году ситуация должна улучшиться при курсе на уровне 90,5 рублей за доллар",https://www.finam.ru/publications/item/silnyy-rubl-ne-dast-surgutneftegazu-podnyat-dividend-po-prefam-20251217-1626/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2025-12-17,2025-12,17.12.25,"Даже в непростых условиях ""АЛРОСА"" не отказывается от дивидендов","Акции ""АЛРОСА"" сохраняют потенциал восстановления от многолетних минимумов",https://www.finam.ru/publications/item/dazhe-v-neprostykh-usloviyakh-alrosa-ne-otkazyvaetsya-ot-dividendov-20251217-1523/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2025-12-16,2025-12,16.12.25,"Станут ли ""префы"" ""Сургутнефтегаза"" лучшей дивидендной историей","Акции ""Сбербанка"" или ""Транснефти"" дают меньшую, но более предсказуемую дивидендную доходность",https://www.finam.ru/publications/item/staneut-li-prefy-surgutneftegaza-luchshey-dividendnoy-istoriey-20251216-1423/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2025-12-16,2025-12,16.12.25,"""Норникель"" менее всех подвержен санкционному давлению",Без его продукции миру будет обойтись архисложно,https://www.finam.ru/publications/item/nornikel-menee-vsekh-podverzhen-sanktsionnomu-davleniyu-20251216-1021/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2025-12-11,2025-12,11.12.25,Риторика регулятора на заседании в декабре обещает быть мягкой,Имеет смысл осторожно начать спекулятивно прикупать акции «под ставку»,https://www.finam.ru/publications/item/ritorika-regulyatora-na-zasedanii-v-dekabre-obeshchaet-byt-myagkoy-20251211-1020/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2025-12-05,2025-12,05.12.25,Инвесторы не теряют надежды. Рынок растет,На следующей неделе восстановление может продолжиться,https://www.finam.ru/publications/item/investory-ne-teryayut-nadezhdy-rynok-rastet-20251205-2122/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2025-11-27,2025-11,27.11.25,Топ дивидендных акций на 2026 год,Лидеры с лучшей доходностью по секторам,https://www.finam.ru/publications/item/top-dividendnykh-aktsiy-na-2026-god-20251127-1400/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2025-11-25,2025-11,25.11.25,"""Сургутнефтегаз"" в 3 квартале мог вернуться к прибыли","Взгляд аналитиков ""Финама"" на обыкновенные и привилегированные акции также остаётся положительным",https://www.finam.ru/publications/item/surgutneftegaz-v-3-kvartale-mog-vernutsya-k-pribyli-20251125-1346/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2025-11-24,2025-11,24.11.25,От печали до радости. Как защитить портфель на время переговоров по Украине,Политика снова правит рынком. Можно ли заработать в условиях эмоциональных качелей?,https://www.finam.ru/publications/item/ot-pechali-do-radosti-kak-zashchitit-portfel-na-vremya-peregovorov-po-ukraine-20251124-1717/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2025-11-21,2025-11,21.11.25,"Дивиденды ""ЛУКОЙЛа"" не стали позитивом для акций нефтяника","Следование дивидендной политике может говорить о том, что ущерб от санкций оказался умеренным",https://www.finam.ru/publications/item/dividendy-lukoyla-ne-stali-pozitivom-dlya-aktsiy-neftyanika-20251121-1527/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2025-11-17,2025-11,17.11.25,"""ПИК"" порадовал инвесторов, но для роста рынку не хватает драйверов","Котировки ""ПИКа"" лидируют на новости об отказе от обратного сплита акций и пересмотре дивидендной политики",https://www.finam.ru/publications/item/pik-poradoval-investorov-no-dlya-rosta-rynku-ne-khvataet-drayverov-20251117-1525/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2025-11-14,2025-11,14.11.25,Гид для частных инвесторов - формируем портфель на 2026 год,Какие активы успеть купить в ноябре-декабре,https://www.finam.ru/publications/item/gid-dlya-chastnykh-investorov-formiruem-portfel-na-2026-god-20251114-1816/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2025-11-13,2025-11,13.11.25,Золотодобытчики тянут рынок наверх,"Компании могут быть интересным активом, если цена золота не упадет",https://www.finam.ru/publications/item/zolotodobytchiki-tyanut-rynok-naverkh-20251113-1504/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2025-11-13,2025-11,13.11.25,К концу года или начала следующего рубль ждет постепенная девальвация,Свою роль сыграет снижение ключевой ставки Банка России и огромный бюджетный дефицит,https://www.finam.ru/publications/item/k-kontsu-goda-ili-nachala-sleduyushchego-rubl-zhdet-postepennaya-devalvatsiya-20251113-1340/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2025-11-12,2025-11,12.11.25,«Обычки» «Сургутнефтегаза» резко выросли в отсутствие новостей,При этом «префы» «Сургутнефтегаза» падают в районе 1%,https://www.finam.ru/publications/item/obychki-surgutneftegaza-rezko-vyrosli-v-otsutstvii-novostey-20251112-1635/,https://www.finam.ru/quote/moex/sngs/publications/
SNGS,2025-11-12,2025-11,12.11.25,Высокий дисконт на нефть Urals долго не продлится,Вскоре последует достаточно быстрая нормализация,https://www.finam.ru/publications/item/vysokiy-diskont-na-neft-urals-dolgo-ne-prodlitsya-20251112-1100/,https://www.finam.ru/quote/moex/sngs/publications/
