ticker,date,date_ym,date_raw,title,text,url,source_page
SVCB,2026-02-04,2026-02,04.02.26,Каковы результаты российских банков по РСБУ?,"Аналитики следят за РСБУ, чтобы оценить вероятность выплаты дивидендов",https://www.finam.ru/publications/item/kakovy-rezultaty-rossiyskikh-bankov-po-rsbu-20260204-1855/,https://www.finam.ru/quote/moex/svcb/publications/
SVCB,2026-02-03,2026-02,03.02.26,"ЦБ сохраняет прогноз прибыли банков в 2026 году на уровне 3,1-3,6 трлн рублей",При этом регулятор не исключает небольшой корректировки прогноза,https://www.finam.ru/publications/item/tsb-sokhranyaet-prognoz-pribyli-bankov-v-2026-godu-na-urovne-31-36-trln-rubley-20260203-1434/,https://www.finam.ru/quote/moex/svcb/publications/
SVCB,2026-02-03,2026-02,03.02.26,"В 2025 году чистая прибыль российских банков сократилась до 3,5 трлн рублей",В декабре прибыль банков упала на 55%,https://www.finam.ru/publications/item/v-2025-godu-chistaya-pribyl-rossiyskikh-bankov-sokratilas-do-35-trln-rubley-20260203-1211/,https://www.finam.ru/quote/moex/svcb/publications/
SVCB,2026-01-13,2026-01,13.01.26,Инвесторы сохраняют осторожность в ожидании данных по инфляции,Ожидания в отношении дальнейшей траектории денежно-кредитной политики Банка России могут быть скорректированы,https://www.finam.ru/publications/item/investory-sokhranyayut-ostorozhnost-v-ozhidanii-dannykh-po-inflyatsii-20260113-1915/,https://www.finam.ru/quote/moex/svcb/publications/
SVCB,2026-01-13,2026-01,13.01.26,Рынок пока слабо реагирует на рост нефти,"Индекс МосБиржи снижается, но акции нефтяных компаний в топе лидеров роста",https://www.finam.ru/publications/item/rynok-poka-slabo-reagiruet-na-rost-nefti-20260113-1449/,https://www.finam.ru/quote/moex/svcb/publications/
SVCB,2026-01-13,2026-01,13.01.26,"Акции ""Совкомбанка"" падают в ожидании присоединения ""Витабанка""","Для ""Совкомбанка"" приобретение новых профильных бизнесов означает диверсификацию портфеля",https://www.finam.ru/publications/item/aktsii-sovkombanka-padayut-v-ozhidanii-prisoedineniya-vitabanka-20260113-1310/,https://www.finam.ru/quote/moex/svcb/publications/
SVCB,2026-01-12,2026-01,12.01.26,Российский банковский сектор - на что обратить внимание в 2026 году,"Учитывая заявленную ЦБ стратегию медленного смягчения ДКП, разумно делать ставку на банки с устойчивым положением по капиталу",https://www.finam.ru/publications/item/rossiyskiy-bankovskiy-sektor-na-chto-obratit-vnimanie-v-2026-godu-20260112-1240/,https://www.finam.ru/quote/moex/svcb/publications/
SVCB,2026-01-04,2026-01,04.01.26,По каким приметам торгуют частные инвесторы на фондовом рынке?,На примере акций «Совкомбанка»,https://www.finam.ru/publications/item/po-kakim-primetam-torguyut-chastnye-investory-na-fondovom-rynke-20260104-1230/,https://www.finam.ru/quote/moex/svcb/publications/
SVCB,2025-12-17,2025-12,17.12.25,Финрезультаты ряда российских банков улучшатся в 2026 году на фоне снижения ставки ЦБ,"Фаворитами в секторе, по оценкам аналитиков «Эйлер», являются «Сбер» и «Т-Технологии»",https://www.finam.ru/publications/item/finrezultaty-ryada-rossiyskikh-bankov-uluchshatsya-v-2026-godu-na-fone-snizheniya-stavki-tsb-20251217-1543/,https://www.finam.ru/quote/moex/svcb/publications/
SVCB,2025-12-17,2025-12,17.12.25,Лучшие акции под снижение ставки в 2026,"С очень высокой вероятностью ЦБ 19 декабря снизит ставку на 0,5 п.п. или на 1 п.п. и продолжит делать это в 2026 году",https://www.finam.ru/publications/item/luchshie-aktsii-pod-snizhenie-stavki-v-2026-20251217-1020/,https://www.finam.ru/quote/moex/svcb/publications/
