ticker,date,date_ym,date_raw,title,text,url,source_page
TGKJ,2025-10-17,2025-10,17.10.25,"«Газпром» обсудит Восточную программу, пройдут переговоры Трампа и Зеленского - основные события 17 октября","Кроме того, акционеры ОГК-2 проголосуют по дивидендам",https://www.finam.ru/publications/item/gazprom-obsudit-vostochnuyu-programmu-proydut-peregovory-trampa-i-zelenskogo-osnovnye-sobytiya-17-oktyabrya-20251017-0900/,https://www.finam.ru/quote/moex/tgkj/publications/
TGKJ,2025-10-17,2025-10,17.10.25,Совет директоров “Форвард Энерго” 17 октября проведет заседание,Он утвердит инвестиционный проект компании,https://www.finam.ru/publications/item/sovet-direktorov-forvard-energo-17-oktyabrya-provedet-zasedanie-20251017-0858/,https://www.finam.ru/quote/moex/tgkj/publications/
TGKJ,2025-09-26,2025-09,26.09.25,"Выработка электроэнергии у «Форвард энерго» снизилась в 1 полугодии на 2,1%",Отпуск тепловой энергии в сеть также снизился,https://www.finam.ru/publications/item/vyrabotka-elektroenergii-u-forvard-energo-snizilas-v-1-polugodii-na-21-20250926-1300/,https://www.finam.ru/quote/moex/tgkj/publications/
TGKJ,2025-07-03,2025-07,03.07.25,Акционеры «Форвард Энерго» не получат дивиденды за 2024 год,Также был избран совет директоров в количестве 9 человек,https://www.finam.ru/publications/item/aktsionery-forvard-energo-ne-poluchat-dividendy-za-2024-god-20250703-1933/,https://www.finam.ru/quote/moex/tgkj/publications/
TGKJ,2025-06-30,2025-06,30.06.25,"Финальное решение по дивидендам ""Сбера"" - основные события 30 июня","Помимо ""Сбербанка"", свои решения по дивидендным выплатам представят с два десятка компаний",https://www.finam.ru/publications/item/finalnoe-reshenie-po-dividendam-sbera-osnovnye-sobytiya-30-iyunya-20250630-0900/,https://www.finam.ru/quote/moex/tgkj/publications/
TGKJ,2025-06-30,2025-06,30.06.25,Акционеры «Форвард Энерго» 30 июня примут решение по дивидендам-2024,Ранее совет директоров компании рекомендовал не выплачивать дивиденды,https://www.finam.ru/publications/item/aktsionery-forvard-energo-30-iyunya-primut-reshenie-po-dividendam-2024-20250630-0452/,https://www.finam.ru/quote/moex/tgkj/publications/
TGKJ,2025-06-06,2025-06,06.06.25,Заседание ЦБ по ставке - основные события 6 июня,"На утренней и вечерней торговых сессиях ""Мосбиржи"" станут доступны еще 8 бумаг",https://www.finam.ru/publications/item/dividendy-severstali-za-1-kvartal-osnovnye-sobytiya-6-iyunya-20250606-0900/,https://www.finam.ru/quote/moex/tgkj/publications/
TGKJ,2025-06-06,2025-06,06.06.25,Реестр акционеров «Форвард Энерго» для участия в ГОСА закрывается 6 июня,ГОСА по вопросу выплаты дивидендов за 2024 год пройдет 30 июня,https://www.finam.ru/publications/item/reestr-aktsionerov-forvard-energo-dlya-uchastiya-v-gosa-zakryvaetsya-6-iyunya-20250606-0429/,https://www.finam.ru/quote/moex/tgkj/publications/
TGKJ,2025-05-29,2025-05,29.05.25,Совет директоров «Форвард Энерго» рекомендовал не платить дивиденды-2024,ГОСА по данному вопросу пройдет 30 июня,https://www.finam.ru/publications/item/sovet-direktorov-forvard-energo-rekomendoval-ne-platit-dividendy-2024-20250529-1313/,https://www.finam.ru/quote/moex/tgkj/publications/
TGKJ,2025-05-13,2025-05,13.05.25,Совет директоров “Форвард Энерго” 13 мая утвердит инвестиционный проект,Также совет примет решения по другими вопросам,https://www.finam.ru/publications/item/sovet-direktorov-forvard-energo-13-maya-utverdit-investitsionnyy-proekt-20250513-0543/,https://www.finam.ru/quote/moex/tgkj/publications/
TGKJ,2025-04-02,2025-04,02.04.25,"Производство электроэнергии компанией «Форвард Энерго» выросло на 4,7% в 2024 году","В то же время отпуск теплоэнергии в сеть увеличился на 3,7%",https://www.finam.ru/publications/item/proizvodstvo-elektroenergii-kompaniey-forvard-energo-vyroslo-na-47-v-2024-godu-20250402-2048/,https://www.finam.ru/quote/moex/tgkj/publications/
TGKJ,2025-02-24,2025-02,24.02.25,"Британия ввела санкции против авиакомпании S7, Худайнатова и Троценко",Всего в список добавлены 34 физических лица и 33 юридических,https://www.finam.ru/publications/item/britaniya-vvela-sanktsii-protiv-aviakompanii-s7-khudaynatova-i-trotsenko-20250224-1552/,https://www.finam.ru/quote/moex/tgkj/publications/
TGKJ,2024-09-25,2024-09,25.09.24,"""Юнипро"" и ""Форвард Энерго"" могут разрешить не раскрывать отчетность",Соответствующий проект постановления правительства подготовила ФАС,https://www.finam.ru/publications/item/yunipro-i-forvard-energo-mogut-razreshit-ne-raskryvat-otchetnost-20240925-1842/,https://www.finam.ru/quote/moex/tgkj/publications/
TGKJ,2024-07-30,2024-07,30.07.24,"«Форвард Энерго» снизила чистую прибыль по РСБУ за 1 полугодие на 27,1%","Выручка уменьшилась на 1,9%",https://www.finam.ru/publications/item/forvard-energo-snizila-chistuyu-pribyl-po-rsbu-za-1-polugodie-na-271-20240730-1826/,https://www.finam.ru/quote/moex/tgkj/publications/
TGKJ,2024-06-28,2024-06,28.06.24,Форвард Энерго ПАО - Годовое общее собрание акционеров - ИТОГИ,,https://www.finam.ru/publications/item/forvard-energo-pao-godovoe-obshchee-sobranie-aktsionerov-itogi-20240628-0211/,https://www.finam.ru/quote/moex/tgkj/publications/
TGKJ,2024-06-27,2024-06,27.06.24,Акционеры «Форвард Энерго» отказались от дивидендов за 2023 год,"Чистую прибыль за год в размере 13,2 млрд рублей решено оставить нераспределенной",https://www.finam.ru/publications/item/aktsionery-forvard-energo-otkazalis-ot-dividendov-za-2023-god-20240627-1304/,https://www.finam.ru/quote/moex/tgkj/publications/
TGKJ,2024-06-21,2024-06,21.06.24,"Акционеры ""Сбера"" примут решение по дивидендам, у акционеров ""Яндекса"" последний день на обмен - основные события 21 июня","Сегодня акции ""Европлана"" будут включены в Индекс Мосбиржи",https://www.finam.ru/publications/item/aktsionery-sbera-primut-reshenie-po-dividendam-osnovnye-sobytiya-21-iyunya-20240621-0900/,https://www.finam.ru/quote/moex/tgkj/publications/
