ticker,date,date_ym,date_raw,title,text,url,source_page
TGKN,2026-01-30,2026-01,30.01.26,"Энергетики тянут рынок вверх, акции золотодобытчиков рухнули вслед за ценами на драгметаллы",Индекс МосБиржи смог удержать отметку 2800 пунктов и немного подрастает,https://www.finam.ru/publications/item/energetiki-tyanut-rynok-vverkh-aktsii-zolotodobytchikov-rukhnuli-vsled-za-tsenami-na-dragmetally-20260130-1032/,https://www.finam.ru/quote/moex/tgkn/publications/
TGKN,2026-01-27,2026-01,27.01.26,Рынок завершает день ростом во главе с акциями сектора электроэнергетики,"Индекс МосБиржи прибавляет около 0,5%",https://www.finam.ru/publications/item/rynok-zavershaet-den-rostom-vo-glave-s-aktsiyami-sektora-elektroenergetiki-20260127-1940/,https://www.finam.ru/quote/moex/tgkn/publications/
TGKN,2026-01-27,2026-01,27.01.26,Почему акции генерирующих компаний вдруг выстрелили,Никаких громких корпоративных новостей сегодня не выходило. Но причина есть,https://www.finam.ru/publications/item/pochemu-aktsii-generiruyushchikh-kompaniy-vdrug-vystrelili-20260127-1715/,https://www.finam.ru/quote/moex/tgkn/publications/
TGKN,2026-01-27,2026-01,27.01.26,Рост золотодобытчиков сменился ралли в энергетике,В топе лидеров сегодня также угольщики,https://www.finam.ru/publications/item/rost-zolotodobytchikov-smenilsya-ralli-v-energetike-20260127-1450/,https://www.finam.ru/quote/moex/tgkn/publications/
TGKN,2026-01-27,2026-01,27.01.26,Мосбиржа проводит дискретный аукцион по акциям ТГК-14,Возобновление торгов состоится в 13:19 мск,https://www.finam.ru/publications/item/mosbirzha-provodit-diskretnyy-auktsion-po-aktsiyam-tgk-14-20260127-1305/,https://www.finam.ru/quote/moex/tgkn/publications/
TGKN,2025-12-24,2025-12,24.12.25,Встреча Путина и бизнеса - основные события 24 декабря,"Также сегодня выйдут данные по недельной и годовой инфляции, а Минфин проведет аукционы по размещению ОФЗ 26252 и 26250",https://www.finam.ru/publications/item/vstrecha-putina-i-biznesa-osnovnye-sobytiya-24-dekabrya-20251224-0900/,https://www.finam.ru/quote/moex/tgkn/publications/
TGKN,2025-12-24,2025-12,24.12.25,24 декабря совет директоров ТГК-14 утвердил бизнес-план компании на 2026 год,А еще ее инвестиционную программу на тот же период,https://www.finam.ru/publications/item/24-dekabrya-sovet-direktorov-tgk-14-utverdil-biznes-plan-kompanii-na-2026-god-20251224-0452/,https://www.finam.ru/quote/moex/tgkn/publications/
TGKN,2025-12-12,2025-12,12.12.25,"Снижение рейтингов ""М.Видео"" и ТГК-14 сформировало волну продаж в секторе ВДО",Селективность бумаг в долговом сегменте растет,https://www.finam.ru/publications/item/snizhenie-reytingov-mvideo-i-tgk-14-sformirovalo-volnu-prodazh-v-sektore-vdo-20251212-0900/,https://www.finam.ru/quote/moex/tgkn/publications/
TGKN,2025-12-11,2025-12,11.12.25,"В полку падающих ВДО прибыло - инвесторов ""обрадовала"" ТГК-14","ТГК-14 выглядит как один из кандидатов если не на внезапную смерть, то на реструктуризацию долгов",https://www.finam.ru/publications/item/v-polku-padayushchikh-vdo-pribylo-investorov-obradovala-tgk-14-20251211-1420/,https://www.finam.ru/quote/moex/tgkn/publications/
TGKN,2025-11-14,2025-11,14.11.25,"Чистая прибыль ТГК-14 по РСБУ за 9 месяцев снизилась до 108,65 млн рублей","Выручка выросла до 14,2 млрд рублей",https://www.finam.ru/publications/item/chistaya-pribyl-tgk-14-po-rsbu-za-9-mesyatsev-snizilas-do-10865-mln-rubley-20251114-0932/,https://www.finam.ru/quote/moex/tgkn/publications/
